cusip,htsymbol
46603210,JJSF
2.94E+14,ELA
72913210,PLXS
41043F20,HNGR
68389X10,ORCL
59491810,MSFT
74144T10,TROW
43851610,HON
2.36E+13,AMRC
04878Q86,AT
05605H10,BWXT
7373010,BEAM
74368L20,PTVCB
45383610,INDB
85935910,STRL
74291850,PROS
23280610,CY
89011010,TMP
5766520,BCPC
98419J20,XOMA
32038510,FGBI
23391210,DJCO
87669410,TSBK
87227510,TCF
4622410,ASTE
95075510,WERN
195750,T
83087910,SKYW
30292L10,FRPH
76091110,REFR
88801610,TIPT
3050610,AMWD
3948310,ADM
74319R10,PRG
15090910,COMM
58958410,VIVO
18482P10,CLFD
85568210,STAR
81765M10,SERV
94274910,WTS
33615810,FRC
30252010,FNB
51179510,LAKE
69314910,PTSI
8817810,BSBK
29261A10,EHC
33773810,FISV
45892710,CARE
16090310,CF
31946M10,FCNCA
42234710,HTLD
36312730,GAN
72790310,PLAY
68554V10,OSUR
12950010,CAL
11704310,BC
80862330,SEAS
90921430,UIS
92932810,WSFS
46180410,ITIC
15678210,CERN
72354410,PAHC
94789010,WBS
57053510,MKL
05463X10,AXGN
55378810,MTCH
32073410,FLIC
31867270,FBP
85931930,STSA
24702R10,DELL
46185810,SAFE
3037110,AVD
61219010,MSBI
71940510,PLAB
59047910,MESA
03062T10,CRMT
55916910,KIDS
G0464B10,ARGO
67103X10,OFG
19564210,CDTX
88043210,TENB
71366410,PDCO
14920510,CATO
29175010,EIGR
89391010,TTEC
75991010,KRMD
31891010,FBNC
95081010,WSBC
19121610,KO
23792510,DATA
80001310,SAFM
15643210,CNBKA
90990710,UBSI
29404K10,ENV
84490920,SWTX
94061010,WASH
12738710,CDNS
20911510,ED
75790110,RESI
45459410,INBK
17783510,CHCO
72733910,PGEN
8578910,BRY
27871520,EBIX
12514110,CECE
8.66E+14,BEAM
30325010,FICO
16875K20,KIDS
20741010,CNMD
15102010,CELG
44040710,HBNC
29276510,EPAC
4990410,ATRI
81478530,SNFCA
24906P10,XRAY
29460310,EQBK
31190010,FAST
15476040,CPF
76028210,RBNC
42774610,HRTX
20576830,CRK
39304D10,GDOT
23333110,DTE
57686G10,MATX
45703010,IMKTA
26353410,DD
1234810,AIN
36866910,GPRO
1540410,ACEL
90210410,IIVI
G2918310,ETN
12468010,LUNG
47916710,JOUT
78486Q10,SIVB
1623010,ALCO
60671020,MITK
18449610,CLH
23251710,CYBE
1678310,ALEC
20414910,CTBI
30231G10,XOM
45833410,IPAR
55295310,MGM
57772K10,MXIM
55377310,MTSI
87831110,TEAM
1935910,HOPE
82709210,SILK
94106L10,WM
87230710,TCF
19109810,COKE
26747510,DY
74730110,QUAD
36144810,GATX
38068T10,GORO
36955010,GD
36960430,GE
50540R40,LH
68003310,ONB
96608420,WSR
71270410,PBCT
G8127610,SIG
28540910,ELMD
37044210,GM
N6596X10,NXPI
75606N10,RP
21870Q10,COR
12718310,CASH
2136720,ALTA
15870P30,CSBR
76041610,FRBK
38941910,GRAY
42236030,EAR
43332310,HIFS
53555510,LNN
54140210,LOGC
55303J10,MGPI
69839710,PANL
97815W10,GOLF
2317510,AMBA
92844S10,EYE
05368M10,CDMO
03236M20,AMRS
16119P10,CHTR
2339510,AIZ
28852N10,EFC
G7997810,BOX
N5374510,LYB
69404D10,PACB
85303B10,STND
92335C10,VRA
9950210,BAH
37045V10,GM
44267D10,HHC
70021530,PCYG
Y1771G10,CMRE
50212V10,LPLA
74165N10,PRMW
98978L20,ZGNX
33616C10,FRC
33904110,FLT
45685K10,INFU
62009710,MMI
78375P10,RYI
49904910,KNX
87612G10,TRGP
93148P10,WD
86810,ACNB
45920010,IBM
2407640,AMBC
74727D30,QADA
4539610,ASMB
67560710,OFED
6.39E+14,NAV
2401310,AAT
06652K10,BKU
45103320,IBIO
G6518L10,NLSN
49456B10,KMI
64051T10,NPTN
86608210,INN
45073V10,ITT
00444T10,ACRX
34385P10,FLDM
69512710,PCRX
90333L20,USCR
34416W88,FBM
36116M10,FF
40412C10,HCA
44641310,HII
21925Y10,CSOD
81763U10,SREV
00912X30,AL
48517030,KSU
74039L10,APTS
85254J10,STAG
11283W10,BRP
74965L10,RLJ
91734M10,ECOL
84857L10,SR
88362T10,THR
50068810,KOS
84857710,SAVE
09739C10,WIFI
56585A10,MPC
00164V10,AMCX
9532910,BLUE
86722A10,SXC
16308610,CHEF
26550410,DNKN
98954M10,ZG
34964C10,FBHS
92339V30,VER
30962710,FMNB
50181P10,LCNB
37228420,GNE
98419M10,XYL
90353W10,UI
57164Y10,VAC
G6095L10,APTV
00404A10,ACHC
18946410,CLVS
39947320,GRPN
9779340,BCEI
98212B10,WPX
G1890L10,CPRI
34960Q10,FBIO
89694520,TRIP
98986T10,ZNGA
40171V10,GWRE
73744610,POST
75025X10,RLGT
75972A30,REGI
92337C10,VSTM
29414B10,EPAM
57648520,MTDR
74371310,PRLB
9.03E+14,SLCA
10921T10,BCOV
7327110,BV
16383L10,CCXI
12768610,CZR
43785V10,HMST
01973R10,ALSN
75902K10,RM
62915640,NL
76169B10,RXN
98155810,WP
92857F10,VCRA
98581710,YELP
02917L10,ARCT
M2059810,CSTE
36322520,GALT
30303M10,FB
55405Y10,MTSI
90045020,HEAR
04013V10,ACRE
55345K10,MRC
71854610,PSX
76131V20,RPAI
31660B10,FRGI
74342410,PFPT
84863710,SPLK
29977G10,EVER
88688510,TLYS
95790D10,WMC
86845910,SUPN
1449110,ALEX
42225P50,HTA
81762P10,NOW
G9087Q10,TROX
16357220,CEMI
88156910,TSRO
02772A10,ANAT
63888U10,NGVC
69743510,PANW
17160410,CHUY
30263Y10,FSBW
44249610,HBMD
