permno,ticker
10026,JJSF
10028,ELA
10032,PLXS
10051,HNGR
10104,ORCL
10107,MSFT
10138,TROW
10145,HON
10158,AMRC
10201,AT
10220,BWXT
10225,BEAM
10239,PTVCB
10252,INDB
10254,STRL
10286,PROS
10302,CY
10308,TMP
10318,BCPC
10333,XOMA
10340,FGBI
10355,DJCO
10368,TSBK
10375,TCF
10382,ASTE
10397,WERN
10401,T
10421,SKYW
10443,FRPH
10463,REFR
10473,TIPT
10501,AMWD
10516,ADM
10517,PRG
10528,COMM
10530,VIVO
10547,CLFD
10556,STAR
10568,SERV
10606,WTS
10623,FRC
10629,FNB
10645,LAKE
10649,PTSI
10673,BSBK
10693,EHC
10696,FISV
10703,CARE
10725,CF
10777,FCNCA
10812,HTLD
10822,GAN
10857,PLAY
10860,OSUR
10866,CAL
10874,BC
10888,SEAS
10890,UIS
10892,WSFS
10901,ITIC
10909,CERN
10917,PAHC
10932,WBS
10933,MKL
10966,AXGN
10973,MTCH
11006,FLIC
11018,FBP
11056,STSA
11081,DELL
11138,SAFE
11144,AVD
11145,MSBI
11154,PLAB
11162,MESA
11174,CRMT
11193,KIDS
11203,ARGO
11208,OFG
11221,CDTX
11235,TENB
11247,PDCO
11267,CATO
11270,EIGR
11272,TTEC
11275,KRMD
11285,FBNC
11293,WSBC
11308,KO
11313,DATA
11343,SAFM
11348,CNBKA
11369,UBSI
11370,ENV
11393,SWTX
11397,WASH
11403,CDNS
11404,ED
11410,RESI
11423,INBK
11442,CHCO
11457,PGEN
11478,BRY
11481,EBIX
11499,CECE
11522,BEAM
11533,FICO
11545,KIDS
11547,CNMD
11552,CELG
11565,HBNC
11581,EPAC
11587,ATRI
11593,SNFCA
11600,XRAY
11602,EQBK
11618,FAST
11628,CPF
11634,RBNC
11636,HRTX
11644,CRK
11664,GDOT
11674,DTE
11691,MATX
11701,IMKTA
11703,DD
11731,AIN
11735,GPRO
11739,ACEL
11752,IIVI
11762,ETN
11766,LUNG
11775,JOUT
11786,SIVB
11790,ALCO
11803,MITK
11809,CLH
11825,CYBE
11843,ALEC
11844,CTBI
11850,XOM
11884,IPAR
11891,MGM
11896,MXIM
11898,MTSI
11910,TEAM
11915,HOPE
11940,SILK
11955,WM
11992,TCF
11995,COKE
12008,DY
12009,QUAD
12036,GATX
12049,GORO
12052,GD
12060,GE
12062,LH
12068,ONB
12070,WSR
12073,PBCT
12076,SIG
12078,ELMD
12079,GM
12084,NXPI
12089,RP
12093,COR
12136,CASH
12141,ALTA
12146,CSBR
12166,FRBK
12181,GRAY
12188,EAR
12189,HIFS
12211,LNN
12214,LOGC
12226,MGPI
12242,PANL
12252,GOLF
12256,AMBA
12265,EYE
12266,CDMO
12307,AMRS
12308,CHTR
12320,AIZ
12329,EFC
12342,BOX
12345,LYB
12360,PACB
12362,STND
12363,VRA
12366,BAH
12369,GM
12373,HHC
12380,PCYG
12391,CMRE
12400,LPLA
12402,PRMW
12413,ZGNX
12448,FRC
12449,FLT
12452,INFU
12456,MMI
12458,RYI
12473,KNX
12476,TRGP
12477,WD
12480,ACNB
12490,IBM
12491,AMBC
12493,QADA
12497,ASMB
12502,OFED
12503,NAV
12513,AAT
12515,BKU
12527,IBIO
12542,NLSN
12558,KMI
12559,NPTN
12566,INN
12570,ITT
12573,ACRX
12577,FLDM
12583,PCRX
12588,USCR
12614,FBM
12615,FF
12622,HCA
12623,HII
12639,CSOD
12640,SREV
12641,AL
12650,KSU
12668,APTS
12681,STAG
12718,BRP
12756,RLJ
12758,ECOL
12781,SR
12783,THR
12788,KOS
12796,SAVE
12798,WIFI
12872,MPC
12880,AMCX
18490,BLUE
12905,SXC
12913,CHEF
12914,DNKN
12927,ZG
12981,FBHS
13003,VER
13006,FMNB
13007,LCNB
13019,GNE
13035,XYL
13046,UI
13085,VAC
13103,APTV
13105,ACHC
13107,CLVS
13108,GRPN
13116,BCEI
13141,WPX
13142,CPRI
13159,FBIO
13168,TRIP
13169,ZNGA
13181,GWRE
13188,POST
13196,RLGT
13201,REGI
13202,VSTM
13210,EPAM
13244,MTDR
13249,PRLB
13253,SLCA
13260,BCOV
13261,BV
13262,CCXI
13267,CZR
13278,HMST
13284,ALSN
13302,RM
13303,NL
13305,RXN
13314,WP
13316,VCRA
13318,YELP
13320,ARCT
13321,CSTE
13324,GALT
13407,FB
13326,MTSI
13328,HEAR
13332,ACRE
13343,MRC
13356,PSX
13358,RPAI
13375,FRGI
13377,PFPT
13379,SPLK
13384,EVER
13399,TLYS
13401,WMC
13410,SUPN
13429,ALEX
13439,HTA
13447,NOW
13452,TROX
13453,CEMI
13456,TSRO
13507,ANAT
13508,NGVC
13511,PANW
13520,CHUY
13528,FSBW
13532,HBMD
13534,HTBI
13537,FRG
13548,BLMN
13567,ADT
13577,HY
13579,NBHC
13580,SRC
13586,PNR
13599,LFVN
13600,QLYS
13603,AMPH
13604,BERY
13610,OLN
13617,LXFR
13621,PBYI
13622,RLGY
13625,SSTK
13628,WDAY
13634,AMBA
13641,FANG
13643,ICPT
13646,AMRC
13687,RH
13688,PCG
13694,CHMG
13704,NEO
13706,PRTA
13712,UIHC
13718,AMRS
13721,ABBV
13723,RESI
13730,PBF
13739,BFAM
13743,VTOL
13748,TPH
13752,CONE
13756,LAND
13757,FWONA
13760,NCLH
13766,BCC
13775,ORC
13777,AMSWA
13787,RC
13788,ZTS
13791,CNOB
13796,HROW
13797,INBK
13799,XONE
13802,APAM
13816,MODN
13818,PF
13825,ENTA
13837,EVTC
13843,HASI
13856,PEP
13860,SEAS
13862,TMHC
13863,TXMD
13870,CMRX
13876,HMTV
13877,IBTX
13881,TNET
13887,AHH
13890,ECOM
13947,BLUE
13894,EARN
13900,AMTI
13901,MO
13904,VOYA
13907,NRZ
13908,PFSI
13911,IQV
13914,DATA
13918,ARCT
13919,AMBC
13921,CUBI
13924,EPZM
13928,COP
13935,NRC
13936,PVH
13943,TSC
13949,CDW
13954,ESPR
13956,GOGO
13957,HDS
13959,NDLS
13962,NSTG
13963,NWSA
13964,NWS
13965,NBSE
13967,PTCT
13968,RNA
13969,SAMG
13983,COTY
13993,GTT
14008,AMGN
14030,CWENA
14036,DOC
14039,SRC
14040,S
14044,AGIO
14045,LIND
14054,MRTX
14061,AMH
14065,EVHC
14071,IRT
14072,PGEN
14076,MUSA
14089,FI
14092,ASC
14097,FOXF
14099,MBII
14102,SFM
14136,RNG
14145,AAOI
14149,BNFT
14159,FEYE
14161,FPRX
14166,NVEE
14167,ISEE
14169,PINC
14175,TCFC
14177,DOOR
14179,AR
14181,BRX
14182,BURL
14183,CHMI
14184,CXP
14185,CPS
14196,ESRT
14213,MMI
14220,QTS
14221,RMAX
14229,OMF
14231,VEEV
14235,ESNT
14238,AERI
14239,COMM
14244,EIGI
14245,FATE
14252,GLPI
14257,MGNX
14262,SRNE
14263,VCYT
14274,TCS
14276,KODK
14277,SLB
14279,STAY
14295,TWTR
14297,ALLE
14299,ESGC
14310,FRBA
14312,HMHC
14316,KPTI
14317,LGIH
14318,NMIH
14322,S
14328,AMC
14329,ARMK
14334,CTT
14336,UUUU
14338,HLT
14352,KIN
14353,PANL
14359,XNCR
14401,OGS
14406,ESI
14408,RSPP
14414,SC
14422,CARA
