"","date","ticker","otcvol","otcshortvol"
"2",2019-01-02,"AAPL",30912844,17782452
"3",2019-01-02,"AMZN",2041632,945899
"4",2019-01-02,"FB",6613580,2628392
"5",2019-01-02,"GOOGL",343725,144906
"6",2019-01-02,"NFLX",3199351,1899170
"7",2019-01-03,"AAPL",101236612,40881252
"8",2019-01-03,"AMZN",1679619,760325
"9",2019-01-03,"FB",4569885,1702153
"10",2019-01-03,"GOOGL",401244,160895
"11",2019-01-03,"NFLX",4142255,2745276
"12",2019-01-04,"AAPL",57093304,21386236
"13",2019-01-04,"AMZN",2171634,905942
"14",2019-01-04,"FB",4911618,2128652
"15",2019-01-04,"GOOGL",454797,208995
"16",2019-01-04,"NFLX",5492095,3525883
"19",2019-01-07,"AAPL",55734368,20566708
"20",2019-01-07,"AMZN",1963846,885456
"21",2019-01-07,"FB",4584625,1587876
"22",2019-01-07,"GOOGL",683689,193794
"23",2019-01-07,"NFLX",5074518,3223688
"24",2019-01-08,"AAPL",62425344,25581744
"25",2019-01-08,"AMZN",3526259,1626455
"26",2019-01-08,"FB",9785909,3604629
"27",2019-01-08,"GOOGL",448046,178773
"28",2019-01-08,"NFLX",7336489,4730081
"29",2019-01-09,"AAPL",47573720,30689152
"30",2019-01-09,"AMZN",1475264,735662
"31",2019-01-09,"FB",5669715,2264483
"32",2019-01-09,"GOOGL",288582,135511
"33",2019-01-09,"NFLX",3714541,2142910
"34",2019-01-10,"AAPL",34545212,15934652
"35",2019-01-10,"AMZN",1549034,640374
"36",2019-01-10,"FB",4386623,1531373
"37",2019-01-10,"GOOGL",286223,114133
"38",2019-01-10,"NFLX",3546133,2281175
"39",2019-01-11,"AAPL",25274412,13132292
"40",2019-01-11,"AMZN",998955,431136
"41",2019-01-11,"FB",3181142,1151477
"42",2019-01-11,"GOOGL",366375,128402
"43",2019-01-11,"NFLX",5663336,3445812
"46",2019-01-14,"AAPL",41930900,21712760
"47",2019-01-14,"AMZN",2331174,1053794
"48",2019-01-14,"FB",7582640,3048925
"49",2019-01-14,"GOOGL",383822,155144
"50",2019-01-14,"NFLX",5102969,3120842
"51",2019-01-15,"AAPL",47284852,31410212
"52",2019-01-15,"AMZN",2480993,967826
"53",2019-01-15,"FB",8965918,3668238
"54",2019-01-15,"GOOGL",525278,222773
"55",2019-01-15,"NFLX",10421344,6581612
"56",2019-01-16,"AAPL",45018532,27673220
"57",2019-01-16,"AMZN",2609393,1119563
"58",2019-01-16,"FB",6417544,2148590
"59",2019-01-16,"GOOGL",537766,231048
"60",2019-01-16,"NFLX",7442846,4430138
"61",2019-01-17,"AAPL",46324580,27669860
"62",2019-01-17,"AMZN",1757243,778034
"63",2019-01-17,"FB",5368044,1688720
"64",2019-01-17,"GOOGL",340267,174436
"65",2019-01-17,"NFLX",7042754,4240456
"66",2019-01-18,"AAPL",45604068,25135672
