date,ticker,open,close,high,low,vol
2/1/2019,FB,128.99001,135.67999,137.50999,128.56,28142593
3/1/2019,FB,134.69,131.74001,137.17,131.12,22716248
4/1/2019,FB,134.00999,137.95,138,133.75,29000732
7/1/2019,FB,137.56,138.05,138.87,135.91,20088916
8/1/2019,FB,139.89,142.53,143.14,139.53999,26252863
9/1/2019,FB,142.95,144.23,144.7,141.27,22203279
10/1/2019,FB,143.08,144.2,144.56,140.84,16111304
11/1/2019,FB,143.14999,143.8,145.36,142.57001,12907031
14/01/2019,FB,142,145.39,146.57001,141.27,20515678
15/01/2019,FB,146.00999,148.95,150.67999,145.99001,24065513
16/01/2019,FB,149,147.53999,149.6499,146.9975,18060414
17/01/2019,FB,146.95,148.3,149,146.5,15787914
18/01/2019,FB,149.75,150.03999,152.42999,148.55,32309412
22/01/2019,FB,149.2,147.57001,151.53,146.37,22393694
23/01/2019,FB,148.28,144.3,148.8,143.05499,20290491
24/01/2019,FB,144.64,145.83,146.44,142.52,20952818
25/01/2019,FB,147.48,149.00999,149.83,146.53999,22248554
28/01/2019,FB,148.05,147.47,148.96001,146.21001,15505583
29/01/2019,FB,148.09,144.19,148.10001,143.42999,17623463
30/01/2019,FB,146.22,150.42,150.95,145.6953,44839367
31/01/2019,FB,165.60001,166.69,171.67999,165,77224802
1/2/2019,FB,165.84,165.71001,169.10001,165.66,30787313
4/2/2019,FB,165.7,169.25,169.3,163.62,20033070
5/2/2019,FB,169.14999,171.16,171.98,168.69,22552317
6/2/2019,FB,171.2,170.49001,172.47,169.27,13276686
7/2/2019,FB,168.2,166.38,169.24001,165.25,17514509
8/2/2019,FB,164.47,167.33,167.37,164.21001,12557352
11/2/2019,FB,167.89999,165.78999,168.3,165.08,12809676
12/2/2019,FB,166.86,165.03999,168.34,164.5,16289790
13/02/2019,FB,165.38,164.07001,166.22,163.73,14201846
14/02/2019,FB,163.19,163.95,164.86971,162.2468,12755051
15/02/2019,FB,164.50999,162.5,164.7,160.86,15503425
19/02/2019,FB,160.5,162.28999,164.14999,160.33,14342090
20/02/2019,FB,162.25,162.56,163.72,161.25,11769814
21/02/2019,FB,161.92999,160.03999,162.24001,159.59,15603628
22/02/2019,FB,160.58,161.89,162.41,160.31,15853478
25/02/2019,FB,163.07001,164.62,166.07001,162.89999,18724806
26/02/2019,FB,164.33501,164.13,166.24001,163.8,13768863
27/02/2019,FB,162.89999,162.81,163.92999,160.41,12696385
28/02/2019,FB,162.37,161.45,163.5,160.86,11110985
1/3/2019,FB,162.60001,162.28,163.132,161.69,11091870
4/3/2019,FB,163.89999,167.37,167.5,163.83,18897868
5/3/2019,FB,167.37,171.25999,171.88,166.55,28181797
6/3/2019,FB,172.89999,172.50999,173.57001,171.27,21529923
7/3/2019,FB,171.5,169.13,171.74001,167.61,18303704
8/3/2019,FB,166.2,169.60001,169.62,165.97,13183831
11/3/2019,FB,171.60001,172.07001,174.3,171.58,18876533
12/3/2019,FB,172.09,171.92,173.8,171.2178,12154464
13/03/2019,FB,172.32001,173.37,174.03,172.12,11972186
14/03/2019,FB,169.75999,170.17,171.14999,168.16,18035564
15/03/2019,FB,167.16,165.98,167.58,162.50999,37572000
18/03/2019,FB,163.57001,160.47,163.89999,159.28,37516947
19/03/2019,FB,161.48,161.57001,163.82001,160.82001,25604048
20/03/2019,FB,161.5,165.44,166.12,161.24001,20210574
21/03/2019,FB,164.89,166.08,166.39,163.75,16210884
22/03/2019,FB,165.64999,164.34,167.42,164.09,16379185
25/03/2019,FB,163,166.28999,166.53999,162,12625530
26/03/2019,FB,167.35001,167.67999,169.45,166.3499,15428120
27/03/2019,FB,167.85001,165.87,168.94,164.78999,10619599
28/03/2019,FB,164.57001,165.55,166.72,163.33,10687283
29/03/2019,FB,166.39,166.69,167.19,164.81,13454164
1/4/2019,FB,167.83,168.7,168.89999,167.2789,10378030
2/4/2019,FB,170.14,174.2,174.89999,169.55,23940335
3/4/2019,FB,174.5,173.53999,177.96001,172.95,27586558
4/4/2019,FB,176.02,176.02,178,175.53011,17842393
5/4/2019,FB,176.88,175.72,177,175.10001,9592433
8/4/2019,FB,175.21001,174.92999,175.5,174.23,7296707
9/4/2019,FB,175.62,177.58,179.19,175.55,19739831
10/4/2019,FB,178.17999,177.82001,178.78999,176.53999,11695894
11/4/2019,FB,178.24001,177.50999,178.39999,177,8070305
12/4/2019,FB,178,179.10001,179.63,177.95,12328632
15/04/2019,FB,178.5,179.64999,180.5,176.87,10831062
16/04/2019,FB,179,178.87,180.17,178.3,11201079
17/04/2019,FB,179.60001,178.78,180.74001,178.36,9973132
18/04/2019,FB,178.8,178.28,178.88,177.34,11653213
