ticker,date,totalvol,retailvol
FB,1/2/2018,18151903,8033370
FB,1/3/2018,16886563,7412834
FB,1/4/2018,13880896,6189272
FB,1/5/2018,13574535,5520050
FB,1/8/2018,17994726,9389207
FB,1/9/2018,12393057,5203538
FB,1/10/2018,10529894,4177811
FB,1/11/2018,9588587,4444003
FB,1/12/2018,77551299,33594661
FB,1/16/2018,36183842,15579423
FB,1/17/2018,27992376,11980404
FB,1/18/2018,23304901,10311687
FB,1/19/2018,26826540,9872282
FB,1/22/2018,21059464,8225613
FB,1/23/2018,25678781,9866024
FB,1/24/2018,24334548,10871741
FB,1/25/2018,17377740,6337277
FB,1/26/2018,17759212,7451668
FB,1/29/2018,20453172,8528619
FB,1/30/2018,20858556,8471044
FB,1/31/2018,43275144,13166648
FB,2/1/2018,54211293,21844078
FB,2/2/2018,26677484,11220857
FB,2/5/2018,33128206,13210344
FB,2/6/2018,37758505,12959840
FB,2/7/2018,27601886,11053032
FB,2/8/2018,38478321,14512257
FB,2/9/2018,39887626,15186993
FB,2/12/2018,32092133,11699045
FB,2/13/2018,21809350,8451819
FB,2/14/2018,28929704,11784098
FB,2/15/2018,20922120,8370845
FB,2/16/2018,21015610,7934661
FB,2/20/2018,21204921,8900339
FB,2/21/2018,23200804,9586083
FB,2/22/2018,18464192,8334227
FB,2/23/2018,19007288,7215981
FB,2/26/2018,17599703,7023612
FB,2/27/2018,15849806,5345493
FB,2/28/2018,18783039,6838967
FB,3/1/2018,23201626,7998016
FB,3/2/2018,20025905,6962986
FB,3/5/2018,16189280,5336345
FB,3/6/2018,15086784,5449923
FB,3/7/2018,19097293,6682771
FB,3/8/2018,17225946,7130428
FB,3/9/2018,18526292,6337803
FB,3/12/2018,15301229,6348067
FB,3/13/2018,18067477,6785771
FB,3/14/2018,16821728,6350217
FB,3/15/2018,15645035,5240552
FB,3/16/2018,24403438,7526404
FB,3/19/2018,88140060,34506178
FB,3/20/2018,129851768,53583243
FB,3/21/2018,106598834,52044595
FB,3/22/2018,73742979,34516401
FB,3/23/2018,53609706,23186441
FB,3/26/2018,126116634,57666660
FB,3/27/2018,79116995,36980040
FB,3/28/2018,60029170,24022415
FB,3/29/2018,59434293,28313689
FB,4/2/2018,36795991,15514554
FB,4/3/2018,42543865,19031046
FB,4/4/2018,49885584,21054784
FB,4/5/2018,41449609,17840439
FB,4/6/2018,41644812,17946688
FB,4/9/2018,34915227,15727011
FB,4/10/2018,58947041,27739637
FB,4/11/2018,56144633,28463140
FB,4/12/2018,38262956,18192283
FB,4/13/2018,19990561,9053323
FB,4/16/2018,18119435,8446630
FB,4/17/2018,22743029,10456911
FB,4/18/2018,20969568,9080076
FB,4/19/2018,22234961,7872647
FB,4/20/2018,19119438,6942699
FB,4/23/2018,23088102,10012290
FB,4/24/2018,35079926,15072327
