Date,Ticker,OTC_Short,OTC_Total,DPI
11/19/2021,NFLX,478249,796968,0.600085574
11/18/2021,NFLX,296757,613835,0.483447506
11/17/2021,NFLX,559126,989602,0.565000879
11/16/2021,NFLX,432218,761357,0.567694262
11/15/2021,NFLX,477351,874229,0.546025126
11/12/2021,NFLX,839427,1371691,0.611965085
11/11/2021,NFLX,490095,971140,0.504659472
11/10/2021,NFLX,300572,701738,0.428325101
11/9/2021,NFLX,450743,800330,0.563196432
11/8/2021,NFLX,505512,952519,0.530710674
11/5/2021,NFLX,758068,1637150,0.463041261
11/4/2021,NFLX,655436,1468972,0.446186857
11/3/2021,NFLX,465202,782601,0.594430623
11/2/2021,NFLX,707105,1542657,0.458368257
11/1/2021,NFLX,424352,1023543,0.414591278
10/29/2021,NFLX,721082,1207503,0.597167875
10/27/2021,NFLX,357143,720812,0.495473161
10/26/2021,NFLX,495192,942867,0.525198146
10/25/2021,NFLX,811879,1305912,0.62169503
10/22/2021,NFLX,1236394,2048939,0.603431337
10/21/2021,NFLX,1935231,3487834,0.554851808
10/20/2021,NFLX,2920800,4798873,0.608642904
10/19/2021,NFLX,1401602,2412702,0.580926281
10/18/2021,NFLX,992372,1758967,0.564178862
10/15/2021,NFLX,687568,1390547,0.494458656
10/14/2021,NFLX,506916,910720,0.556610155
10/13/2021,NFLX,392770,778012,0.504837972
10/12/2021,NFLX,656813,1349931,0.486553016
10/11/2021,NFLX,545995,1061248,0.514483891
10/8/2021,NFLX,691234,1316968,0.524867727
10/7/2021,NFLX,611371,1264905,0.483333531
10/6/2021,NFLX,1109265,1993668,0.556394044
10/5/2021,NFLX,2362592,4335373,0.544957031
10/4/2021,NFLX,869598,1532219,0.567541585
10/1/2021,NFLX,717428,1276930,0.561838159
9/30/2021,NFLX,1401171,2392681,0.585607108
9/29/2021,NFLX,1126198,2104384,0.535167536
9/28/2021,NFLX,710670,1359190,0.522862882
9/27/2021,NFLX,397272,709286,0.560101285
9/24/2021,NFLX,316677,525198,0.602966881
9/23/2021,NFLX,379288,704245,0.538573934
9/22/2021,NFLX,690702,1259378,0.548446932
9/21/2021,NFLX,383276,736188,0.52062245
9/20/2021,NFLX,517962,1000394,0.517758003
9/17/2021,NFLX,369715,623425,0.593038457
9/8/2021,NFLX,1311377,2176022,0.602648778
9/7/2021,NFLX,1369324,2308535,0.593157132
9/3/2021,NFLX,448243,778950,0.575445151
9/2/2021,NFLX,1287300,2206180,0.583497267
9/1/2021,NFLX,1208017,2024434,0.596718391
