rp_entity_id,category,relevance,ess,rpna_date_utc
03D5F9,legal-issues-defendant,100,22,1/1/2019
147C38,unit-acquisition-completed-acquiree,100,67,1/1/2019
147C38,unit-acquisition-acquiree,100,76,1/1/2019
147C38,unit-acquisition-completed-acquiree,100,67,1/1/2019
152E1D,legal-issues-defendant,100,22,1/1/2019
1FE3CB,acquisition-completed-acquirer,100,49,1/1/2019
251988,asset-sale,100,62,1/1/2019
251988,asset-sale,100,62,1/1/2019
2CB4C9,unit-acquisition-completed-acquirer,100,49,1/1/2019
2CB4C9,unit-acquisition-acquirer,100,49,1/1/2019
3D9999,legal-issues-defendant,100,22,1/1/2019
4.00E+163,legal-issues-defendant,100,22,1/1/2019
43A74A,business-contract,100,69,1/1/2019
86A1B9,business-contract,100,69,1/1/2019
AE7D16,legal-issues-defendant,100,22,1/1/2019
B8EF97,legal-issues-defendant,100,22,1/1/2019
FAE021,award,100,58,1/1/2019
FF6644,legal-issues-defendant,100,22,1/1/2019
48590,executive-appointment,100,54,1/2/2019
05AF14,unit-acquisition-acquiree,100,76,1/2/2019
081AB9,buybacks,100,74,1/2/2019
081AB9,conference-call,100,50,1/2/2019
95294,legal-issues-defendant,100,22,1/2/2019
0B400D,acquisition-completed-acquirer,100,49,1/2/2019
0B7375,conference-participant,100,50,1/2/2019
0C466B,executive-appointment,100,54,1/2/2019
0E439E,earnings,100,50,1/2/2019
0E499E,conference-participant,100,50,1/2/2019
0F0693,conference-participant,100,50,1/2/2019
106394,acquisition-completed-acquirer,100,49,1/2/2019
10C19B,dividend-up,100,81,1/2/2019
1220D2,conference-participant,100,50,1/2/2019
12E454,earnings,100,50,1/2/2019
147C38,executive-appointment,100,54,1/2/2019
14833D,legal-issues-defendant,100,22,1/2/2019
18D9FA,fundraising,100,64,1/2/2019
1A2D9F,earnings,100,50,1/2/2019
1EBF8D,conference-participant,100,50,1/2/2019
1FC422,conference-participant,100,50,1/2/2019
2082EA,executive-appointment,100,54,1/2/2019
219B21,executive-appointment,100,54,1/2/2019
221AD7,earnings,100,50,1/2/2019
228D42,partnership,100,61,1/2/2019
2920D5,acquisition-completed-acquiree,100,76,1/2/2019
2920D5,conference-participant,100,50,1/2/2019
2AA6A8,conference-participant,100,50,1/2/2019
2B0AF4,conference-call,100,50,1/2/2019
2C19A4,dividend,100,50,1/2/2019
2C681C,conference-participant,100,50,1/2/2019
2C681C,conference-participant,100,50,1/2/2019
2EB88B,unit-acquisition-completed-acquirer,100,49,1/2/2019
30DFD3,conference-call,100,50,1/2/2019
31553A,earnings,100,50,1/2/2019
31F25C,merger-completed,100,66,1/2/2019
328250,merger-completed,100,66,1/2/2019
32F943,conference-participant,100,50,1/2/2019
339F20,merger-completed,100,66,1/2/2019
341759,conference-participant,100,50,1/2/2019
367E1C,conference-participant,100,50,1/2/2019
36E479,executive-appointment,100,54,1/2/2019
370C50,acquisition-completed-acquirer,100,49,1/2/2019
37727A,executive-appointment,100,54,1/2/2019
382EAE,acquisition-completed-acquirer,100,49,1/2/2019
385DD4,legal-issues-defendant,100,22,1/2/2019
385DD4,legal-issues-defendant,100,22,1/2/2019
3A94DF,acquisition-completed-acquirer,100,49,1/2/2019
3AF7FD,conference-call,100,50,1/2/2019
3C11C4,executive-appointment,100,54,1/2/2019
3C7F5F,partnership,100,61,1/2/2019
3C7F5F,earnings,100,50,1/2/2019
3D9999,legal-issues-defendant,100,22,1/2/2019
3DDE54,conference-participant,100,50,1/2/2019
408089,earnings,100,50,1/2/2019
40F7DE,acquisition-acquirer,100,49,1/2/2019
40F7DE,legal-issues-defendant,100,22,1/2/2019
40F7DE,legal-issues-defendant,100,22,1/2/2019
41B53E,dividend,100,50,1/2/2019
42EFC7,conference-participant,100,50,1/2/2019
44ED36,acquisition-acquirer,100,49,1/2/2019
44ED36,acquisition-acquirer,100,49,1/2/2019
4649D5,executive-appointment,100,54,1/2/2019
46CF27,earnings,100,50,1/2/2019
50070E,conference-organizer,100,57,1/2/2019
5403F8,executive-resignation,100,44,1/2/2019
545272,award,100,58,1/2/2019
55438C,legal-issues-defendant,100,22,1/2/2019
57CAAB,conference-participant,100,50,1/2/2019
59B229,earnings,100,50,1/2/2019
59C539,conference-call,100,50,1/2/2019
59DB8C,conference-participant,100,50,1/2/2019
5D0337,joint-venture,100,62,1/2/2019
5EC388,earnings,100,50,1/2/2019
5F3D91,conference-participant,100,50,1/2/2019
5F9CE3,conference-participant,100,50,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
619882,conference-organizer,100,57,1/2/2019
620381,conference-participant,100,50,1/2/2019
63F892,earnings,100,50,1/2/2019
665618,dividend-up,100,60,1/2/2019
68BA15,conference-call,100,50,1/2/2019
6925EB,conference-participant,100,50,1/2/2019
6B494E,facility-open,100,65,1/2/2019
6BC6F9,conference-participant,100,50,1/2/2019
6-Dec-05,business-contract,100,69,1/2/2019
6E1E61,earnings,100,50,1/2/2019
6E8864,conference-participant,100,50,1/2/2019
701531,conference-participant,100,50,1/2/2019
723548,dividend,100,50,1/2/2019
72CB93,award,100,58,1/2/2019
7.45E+28,conference-participant,100,50,1/2/2019
747219,conference-participant,100,50,1/2/2019
763DBE,conference-participant,100,50,1/2/2019
765913,earnings,100,50,1/2/2019
791EC1,unit-acquisition-acquirer,100,49,1/2/2019
810FAD,conference-call,100,50,1/2/2019
8303CD,executive-appointment,100,54,1/2/2019
83B1C8,conference-participant,100,50,1/2/2019
85AD00,conference-call,100,50,1/2/2019
862941,conference-participant,100,50,1/2/2019
8665BA,conference-participant,100,50,1/2/2019
8AB85C,conference-participant,100,50,1/2/2019
8E93A4,acquisition-completed-acquirer,100,49,1/2/2019
91E5EE,acquisition-completed-acquirer,100,49,1/2/2019
925759,conference-participant,100,50,1/2/2019
92D3A0,conference-call,100,50,1/2/2019
94983E,conference-participant,100,50,1/2/2019
95DC1F,unit-acquisition-acquiree,100,76,1/2/2019
9.62E+76,earnings,100,50,1/2/2019
9.74E+08,conference-participant,100,50,1/2/2019
977A1E,executive-appointment,100,54,1/2/2019
979451,legal-issues-defendant,100,22,1/2/2019
979451,legal-issues-defendant,100,22,1/2/2019
9978F1,conference-participant,100,50,1/2/2019
9ABD30,executive-appointment,100,54,1/2/2019
9C009A,executive-appointment,100,54,1/2/2019
9D5FA4,conference-participant,100,50,1/2/2019
9F37C5,dividend,100,50,1/2/2019
A3F598,acquisition-completed-acquiree,100,76,1/2/2019
A48593,conference-participant,100,50,1/2/2019
A4B899,unit-acquisition-acquirer,100,49,1/2/2019
A5151E,executive-resignation,100,44,1/2/2019
A5151E,executive-resignation,100,44,1/2/2019
A5195E,conference-participant,100,50,1/2/2019
A5195E,clinical-trials-start,100,64,1/2/2019
A5A4F5,acquisition-acquirer,100,49,1/2/2019
A5B913,earnings,100,50,1/2/2019
A63387,acquisition-acquirer,100,49,1/2/2019
A6828A,dividend,100,50,1/2/2019
A72FD9,executive-appointment,100,54,1/2/2019
A868C9,conference-participant,100,50,1/2/2019
A8CBDA,conference-call,100,50,1/2/2019
AA3AB8,conference-participant,100,50,1/2/2019
AB4A7E,product-release,100,64,1/2/2019
AB4A7E,partnership,100,61,1/2/2019
AEF2C3,conference-participant,100,50,1/2/2019
AFF43F,earnings,100,50,1/2/2019
B04426,conference-participant,100,50,1/2/2019
B076A1,acquisition-completed-acquirer,100,49,1/2/2019
B1B10C,unit-acquisition-acquirer,100,49,1/2/2019
B290A2,conference-participant,100,50,1/2/2019
B2DAF6,conference-participant,100,50,1/2/2019
B642E8,asset-sale,100,62,1/2/2019
B7FA9B,conference-participant,100,50,1/2/2019
B80AD1,conference-participant,100,50,1/2/2019
B83D67,conference-participant,100,50,1/2/2019
B8F71F,executive-appointment,100,54,1/2/2019
BA218A,conference-call,100,50,1/2/2019
BB88B6,earnings,100,50,1/2/2019
BCC55F,conference-participant,100,50,1/2/2019
BCE9DA,acquisition-completed-acquirer,100,49,1/2/2019
BCE9DA,acquisition-completed-acquirer,100,49,1/2/2019
BDE867,acquisition-completed-acquirer,100,49,1/2/2019
BE5935,conference-participant,100,50,1/2/2019
C07E05,executive-appointment,100,54,1/2/2019
C22BE8,acquisition-completed-acquirer,100,49,1/2/2019
C4F9C6,patient-enrollment-start,100,58,1/2/2019
C584BE,credit-extension-recipient,100,69,1/2/2019
C598D7,conference-call,100,50,1/2/2019
C5D2AE,earnings,100,50,1/2/2019
C7AE14,dividend,100,50,1/2/2019
C941DC,conference-participant,100,50,1/2/2019
C9E107,earnings,100,50,1/2/2019
CBDB4D,executive-appointment,100,54,1/2/2019
CE4FD9,acquisition-acquirer,100,49,1/2/2019
CE4FD9,acquisition-acquirer,100,49,1/2/2019
CF3FF9,conference-participant,100,50,1/2/2019
D0DE27,conference-participant,100,50,1/2/2019
D437C3,earnings,100,50,1/2/2019
D5AF19,earnings,100,50,1/2/2019
D6EAA3,acquisition-completed-acquirer,100,49,1/2/2019
D76AEF,executive-appointment,100,54,1/2/2019
D76AEF,acquisition-completed-acquirer,100,49,1/2/2019
DEF058,earnings,100,50,1/2/2019
DF1F7A,conference-call,100,50,1/2/2019
E10D31,legal-issues-defendant,100,22,1/2/2019
E124EB,conference-participant,100,50,1/2/2019
E20392,conference-participant,100,50,1/2/2019
E3E68E,legal-issues-defendant,100,22,1/2/2019
