Date,Text_clean
12/31/2020,Monthly bullish MACD crossAAL ALK APA AXP BAC BURL CB CBRL CGC COTY DDS DISCA ECL EW GCP GRPN H HAS IBM IMAX JBLU JNJ JPM JWN KO KSS LGND LLY LTRPA LUV LVS MA MAR MJ PLAY RL ROST SAVE SEAS SIX SMPL TJX TLRY ULTA WYNN XLF V YELP
12/31/2020, ba aal
12/31/2020,chek moving AH they need to get this stock above 100 by the end of januaryspy pola aapl sqqq nio nkla tsla gnus twtr ge spi spxs cbat uvxy xlf amzn zom hyg sds spi nete iwm bbby dkng vxx rad kodk oxy penn nke tna snap wkhs pton nk aal 
12/31/2020,SmartOptions Unusual Activity AlertDelayedAAL 15 Calls05212021 ExpTrade Volume 39986 Contracts12675562 was traded nowCurrent Stock Price 1572Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai
12/31/2020,Fast Money Halftime Report Picks For December 31Related Tickers AAL BKNG GS MPCRead more at 
12/31/2020,EOD  EOY most active Stocks ETFs by volume spy qqq iwm slv xlf eem efa vxx gld uvxy gdx hyg tlt vnq xle ewj spxu ewz sqqq tqqq dia jets tsla aapl nio amzn aal baba pltr nflx msft qs fb snap amd fubu got fubud intc csco mu riot 
12/31/2020,OXY and UAL both lost over 3 and are Thursdays worst performing SPX stocks ETSY APA LRCX AAL LEN FTI LB PHM IFF WHR and DVN all closed down over 2 on the day trading
12/31/2020,  Side by Side AAL UAL Charts  Both Crashed Wonder if something going on we just havent heard yet So if Settlement applies then it wasnt last second tax loss selling 
12/31/2020,  AAL crashed as well Might have been last second Tax Loss Selling Can you do that on the last day of the year Or does the 3 day settlement rule apply UAL still expensive n the mid 40s imo with Potentially 12 more yrs for all we know of a death spiral We will know Monday
12/31/2020,Large Print AAL Size 664014 Price 1577 Time 1600 Amount 1047150078
12/31/2020,RECAP 1231 Unusual CallsSNAP Jan 52 CSLDB Jan 10 CDIS Jan08 190 CCHL Feb 30 CBMY Feb625 CWBA Jan 425 CGILD Jan 55MOMO Jan 12 CNIO Jan 45 CLC Jan 9 CJETS Mar 27 CVNO Jan 40 CXL Jan 25 CAAL May 15 CDBX Apr 30 CGM Jan 44 CIQ Jan29 21 C
12/31/2020,States coronavirus cases rise by record 17192 deaths up 121   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,New Strain Spreads in US Japan Braces for Spike Virus Update   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,Heavy snow and COVID19 crimp New Year celebrations in Japan  SWI    DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX
12/31/2020,Why 2021 May Be Even More Turbulent Than 2020 For Indias Airlines   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,New unemployment claims in Tennessee rise to threemonth high   Free Press   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,France Coronavirus 2620425 Cases and 64632 Deaths  DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,Large Print AAL Size 136812 Price 1587 Time 1521 Amount 217120644
12/31/2020,Thu Dec 31Most active stocks this afternoonBNGO 457AAPL 04BTBT 428FUBO 144AAL 17TSLA 12EBON 240GEVO 59RIOT 11MARA 28click here for a visual version 
12/31/2020,A 2020 YearEnd Portfolio Of Bounce Candidates Expected To Outperform In January AAL CCL FANG FE FTI 
12/31/2020,AAL  12M block May 15c this morninggoing to put the May 20c back on 
12/31/2020,Dolphins Ryan Fitzpatrick out vs Bills after testing positive for COVID19 per report    DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK
12/31/2020,This is one of my all time favorite Twittergoober takedowns A work of art to be admired by all BTC GBTC ETH ETHE AAPL TSLA PTON NCLH AAL 
12/31/2020,UKs busiest hospital declares Covid disaster mode after tsunami of cases with only 1 nurse for every 3 ICU patients   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL VIX
12/31/2020,Illinois COVID Numbers 8009 New Cases 133 Additional Deaths  CBS Chicago   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,Ohio coronavirus cases rise over 700000 to end 2020  WSYX   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,aal GET READY 
12/31/2020,Large Print AAL Size 123950 Price 1589 Time 1415 Amount 196956550
12/31/2020,Well a very strange year Never thought Id be a degenerate options seller but HTZ got me off the sidelinesBig winner NKLAOther winners AAL ABNB CCL KODK SNOWLosers DKNG MRNANot sure what 2021 holds but with SPAC mania should be  opportunities to fade
12/31/2020, Notice the sweeps lately in aal intc slv no coincidence
12/31/2020,Top Bullish Flow Today TSLA AAPL NIO AAL QS 
12/31/2020,Price x Volume Leaders today  TSLA AAPL NIO AMZN BABA BIDU NFLX FB MSFT PDD MRNA AMD BA FUBO NVDA MU ZM QS BNGO BTBT SQ SNOW ENPH GOOGL BILI XPEV GOOG CRM DIS AAL INTC PLTR WDC V T RIOT PFE LAST DAY for deductions   
12/31/2020,Large Print AAL Size 104000 Price 157815 Time 1404 Amount 164127600
12/31/2020,Another record rise in coronavirus cases as Gloucestershire enters Tier 4  Gloucestershire Live   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK
12/31/2020,GreatQuarters 2020 yearend bounce portfolio of 2020s worst performing stocks expected to bounce in January 20 selected from worst 25SLGXRXFEXOMSPGAALWFCRCLNOVVNOSLBFANGHFCUALOKEMROFTINCLHOXYCCL 
12/31/2020,FastMoneyEspressoFINAL CALLSJoe Terranova gt buy GSJim Lebenthal gt buy MPCDr J gt buy AAL unusual buying of 40000 May callsKari Firestone gt buy BKNG 
12/31/2020,Traders84 off SurfsharkVPN Also check out our storespy dia qqq aapl fb tsla amzn hoth ainc bngo ped rlh fgf sgoc ebon aiki husn mtnb grnq btbt fubo aal riot gevo mara ocgn pltr fcel idex f 
12/31/2020,Large caps of last day trading  TSLA AAPL NIO AMZN BABA BIDU NFLX FB MSFT PDD MRNA AMD BA FUBO NVDA MU ZM QS BNGO BTBT SQ SNOW ENPH GOOGL BILI XPEV GOOG CRM DIS AAL INTC PLTR WDC V T RIOT PFE PTON SHOP SNAP LMND PYPL XOM ROKU LRCX 
12/31/2020,145 employees at Washington Costco infected with COVID19   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
12/31/2020,Covid Royal London Hospital operating in disaster mode unable to provide high standard critical care   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX
12/31/2020,Louisiana confirms 3329 new COVID19 cases 37 deaths hospitalizations reach 1731 statewide   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK
12/31/2020,Spain departs 2020 with surging COVID19 infections   DAL JBLU JETS BYD AAL LUV UAL SAVE NCLH CCL RCL AIG SPY SPX NDX NVAX BABA TSLA DKNG PENN JMIA GOL HA APPL BAC NKLA VIX DIA STPK AEX COVID19
