Date,Text_clean
2020-12-31,Rose Above Previous Days High today ACA SMBC IVC HLI CYCCP DBP AAWW FXZ SANW SCX UFO STIM VCSH SONA TACO BFIN POOL MSBI EOLS BSDE  
2020-12-31,20 DMA Support today NNN XHR NVR AGNC ANF STC ACA NRZ FE LW HVT FIX RWO OPP EUFN GVA BSIG EOI IVE PLUS  
2020-12-31,20212017BTCETHPolkadotin KILT ACA DOT PLMNFTFiat
2020-12-30,Hit em if you want em TheStratInside D Adds  None31 D TVTX SWKS COHR AOSL LMPX INMD KRNT EXPO KSU ROCK POWI QTRX PRAX CYBR SEAS ACARev Strat D GOCO SGTX MODNATR over 5 20100 wInside D BLI NKTX CERT FATE BIGC EXPI PENN 
2020-12-30,The results of the voting about dot parachain auction that took place on the   Top 5 link ocean ACA pcx RFUEL 
2020-12-30,As a reminder blz  is part of the  ecosystem as an important infrastructure project labeled as such by  and headed by  dot ksm pols edg ring aca kar fil storj link band trb dia 
2020-12-29,20 DMA Support today AIZ A RWO ACA WSO TT FAX APLT VRIG LSXMA FPI  
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  
2020-12-29,Conversations with Jags  Dec 29FLGT breakout setup after new partnership with NYC K12 for covid testing Nice breakout in AMZN yday looking fora follow thru ACA preview of new JaguarMedia presentation coming soon CODI outdoor biz is rocking
2020-12-29,If youre bullish on dot ecosystem projects Sign up to this  ksm aca
2020-12-29,Alexandra Heller takes a look at Polkadot DOT after a successful 2020 Plenty of reasons as to why DOT Ecosystem projects will explode in 202123DOT EWT PHA OCEAN XRT KAR ACA KSM 
2020-12-29,Top 15 Industrials stocks with market cap over 1 billion today CTAS HI WSC RAVN ABM ECOL ACA GPN UAL ZBRA PSN DY ALLE JKHY ERJ 
2020-12-28,Rose Above Upper Bollinger Band today MA ACA  
2020-12-28,Look at what ChainX is being put up against This site is active and flourishing and look at the names next to chainx ChainX has poor marketing but infrastructure is insanepcx aca zlk dot defi eth btc zec zil algo link ewt ocean iexec
2020-12-27,DOT ACA GLMR    
2020-12-26,Recent ACA technical alerts Three Weeks Tight plus 9 more alerts 
2020-12-25,Is it polkadot season yet  DOT EWT OCEAN XOR XRT MAHA KSM PAID REEF GLMR TRAC ACA KYL XED ROYA POLS 
2020-12-25,therere  3 gems  have not listed you  should know aca coda cqt   HQ 
2020-12-25,Save the date Jan 22 2021 will be one of the biggest projects thats coming to  XChain Defi Hub 7M raised staking derivatives xchain stablecoin first parachain contenderDOT KSM ACA KAR 
2020-12-24,20 DMA Support today AGRX CURE PXD CHAU VIPS PTY NUGT TCON HUBB TRGP SRS CASA CVA MTG PM SUB KGC ACA HBM VAW  
2020-12-24,ACA in Downtrend Stochastic indicator peaks and leaves overbought zone View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,Rose Above Previous Days High today ACIU ALLO ACA FLL SEIC FMBI FMX LASR ANET GLPI GM GUNR NBHC HLT CCD ATOS RNP AQN XSOE THCX  
2020-12-23,While most of crypto community is waiting for ETH 20 history in the making DOT KSM ACA PHA  
2020-12-22,Crdit Agricole  augmentation de capital rserve aux salarisbourse finance ACA
2020-12-22,Rose Above Previous Days High today NHTC NIQ IGBH BNDX HEWG HTOO CERN NMI ACA NMRD AB NMY EXPE BBD BSBR ASGN BCX CAL CRS CBD  
2020-12-22,France Stocks Franais Bourse Auto RNO 26 BFS GLE 24 BioTech NANO 35 Airline AF 52 Tourism VAC 22 Animation XIL 11 EcomFashion SRP 69 REIT LI 18 Financial svc ACA 17 Personal care OR 18 BOOST 162
2020-12-21,ACA in Downtrend Stochastic indicator recovers from overbought zone View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-21,Reversed from Down today EXPO ABNB BKR CCD BX MXL LNTH ACA GRA AME KINZU TWNK MAC DALT IRBO  
2020-12-21, highlighted advantage is to unite the entire network of multiple blockchains into one decentralized ecosystem Thus many of Polkadots goto partners are proceeding with their developments on ICOs including ACA POT BNC GLMR KYL  
2020-12-21,Les actionnaires des banques  la dite Dossier complet   via  CAC BNP ACA GLE KN
2020-12-20,ACA in Downtrend Stochastic indicator peaks and leaves overbought zone View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,Here it is Great picks Where are YOUR hidden gems in the Polkadot ecosystemDOT KSM XRT RWS OCEAN EWT KILT PLM ACA EDG PHA PCX XOR VAL PSWAP CRU RING     
2020-12-20,ACA in Downtrend Stochastic indicator leaves overbought zone View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,My Crypto List No Particular Order  UpdatedDOT KSM ACA CEL XMRHonorable MentionsREN ROSE OCEAN GNO EWT
2020-12-18,ACAs price moved above its 50day Moving Average on October 30 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-18,20 DMA Support today MSA CXW IUSV ACA BOH ACGLO IYF ISSC ACGLP LKQ FENY DIG USRT HTY FIDU GNL TZOO ACY SRCL KBWB  
2020-12-18,Arcosa Inc Shares Close in on 52Week High  Market Mover  ACA stockmarket kwhenfinance
2020-12-18,ACAs price moved above its 50day Moving Average on October 30 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-17,ACA shows a strong growth in EPS 1082 which is quite good  
2020-12-17,iPadKARACADOTKSM
2020-12-17,Karura Crowdloan Waitlist Competition DOT KSM ACA KAR
2020-12-17,Karura Crowdloan Waitlist Competition join here gtgt  KAR ACA KSM   
2020-12-16,ACAs price moved above its 50day Moving Average on October 30 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-16,20201215ACA CJS Securities Market OutperformgtgtMarket Perform AVYA Morgan Stanley OverweightgtgtEqualWeight 22 BAX Goldman BuygtgtNeutral 96gtgt85BDX Wells Fargo OverweightgtgtEqual Weight 265 BKR Citigroup BuygtgtNeutral 20gtgt24
2020-12-16,ACAs in Downtrend Moving Average Convergence Divergence MACD Histogram just turned negative View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-15,Stocks in Downgrades today ACA Current Price 5297 Change today 000 Total Traded Volume 0 
2020-12-15,Downgrades 1215 ACA ALXN AMGN AVYA BAX BDX BKR BRFS BSX BVN BXP CLMT CRK CVX CWEN HP HXL IIVI IOVA INSP IPHA ISRG JCI LHX MAC MUR NUVA NXPI PBA PS PTVE QRTEA RYN SU TCF TNDM TV URI WTS XYL
2020-12-15,Downgrades 1215 ACA ALXN AMGN AVYA BAX BDX BKR BRFS BSX BVN BXP CLMT CRK CVX CWEN HP HXL IIVI IOVA INSP IPHA ISRG JCI LHX MAC MUR NUVA NXPI PBA PS PTVE QRTEA RYN SU TCF TNDM TV URI WTS XYL
2020-12-15,What happened with xrt is going to happen with pha One of the solid ones that will make the auction along with aca xrt kton rws ring kda edg klp pcx
2020-12-15, is partnering with  to launch the Open Oracle Gateway an open price oracle service to DeFi ecosystemsRead More  via  DeFi BAND ACA
2020-12-14,ACA CREDITAGRICOLE Agricole  1H CREDIT AGRICOLE sinscrit dans une tendance haussire trs forte Les traders pourraient envisager de ne traiter que les positions longues  
2020-12-14,France Stocks Franais Bourse BFS GLE 45 Energy MCPHY 29 Insurance CS 18 Metal JCQ 61 Airline AF 23 Aircraft AM 11 Semiconductor XFab 15 Auto parts FR 56 EO 32 Bank BNP 42 Financial svc ACA 31
2020-12-14, Acala ACA of course
2020-12-11,ACA CREDITAGRICOLE Agricole  15 min La forte hausse  court terme sur CREDIT AGRICOLE vient remettre en cause la tendance de fond actuellement faiblement baissire sur cette unit de 
2020-12-11,ACA CREDITAGRICOLE  15 min La forte hausse  court terme sur CREDIT AGRICOLE vient remettre en cause la tendance de fond actuellement faiblement baissire sur cette unit de 
2020-12-11,ACA CREDITAGRICOLE Agricole  Journalier CREDIT AGRICOLE sinscrit dans une tendance haussire trs forte Les traders pourraient envisager de ne traiter que les positions longues  
2020-12-11,ACA CREDITAGRICOLE Agricole  1H La forte baisse  court terme sur CREDIT AGRICOLE vient renforcer la tendance de fond actuellement faiblement baissire sur cette unit de temps 
2020-12-11,What does this mean for the Acala ecosystem 1 Amples can be used on 2 Amples become a 1stclass fee token on Acala3 Ampleforth contracts will be deployed on Acalas EVM4 Transfer AMPL between Ethereum and Acala  PolkadotACA KAR DOT KSM AMPL
2020-12-11,Ampleforth will join s Ecosystem Program likely deploying across the AcalaNetwork early 2021 launched AMPL as one of the pioneer rebase assets that introduced us to Elastic FinanceACA KAR DOT KSM 
2020-12-11,   When ACA on exchange
2020-12-10,Arcosa Inc Shares Close in on 52Week High  Market Mover  ACA stockmarket kwhenfinance
2020-12-08,With  bondly dropping today I cover the upcoming dot gems to keep an eye out for plm glmr crv ausd aca ksm xrt cru kton rfi edg kai trb cover kyl link 
2020-12-08,France Stocks Franais Bourse Financial svc ACA 23 Pharma SAN 18 Apparel SMCP 27 Furniture MDM 23 Energy FTI 2 FP 13 Animation XIL 19 FinTech WLN 12 Hospitality SW 19 Airline AF 15 EngineeringRampD AKA 4
2020-12-07,ACA in Downtrend its price expected to drop as it breaks its higher Bollinger Band on November 10 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-07,Rose Above Previous Days High today ACA MEAR MPX BXMX HR ECOW EDF EDI EDEN MYFW CMCSA NBN EBMT EFZ EGPT EIS ELJ NHIC NKG MHK  
2020-12-05,ACA in Downtrend its price may drop because broke its higher Bollinger Band on November 10 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-05,Liste non exhaustive vu le nombre dactions existantes  pour la semaine 07121112 Repli puis up  alcrbglomcphyBreakout  altuvalgenS30vtxkorieliorToTheMoon  acadbgalpcvxfaberaVoil bonne semaine et bons trades  tous 
2020-12-05,ACA enters a Downtrend because Momentum Indicator dropped below the 0 level on December 1 2020 View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-05,The key value here is the Open Oracle GatewayIt allows multiple parties in addition to  to operate oracle networks and provide price feed servicesData from all parties will be aggregated into a single reliable price feedACA KAR DOT KSM BAND 
2020-12-05,Acala and Band Protocol join forcesPreviously  operated their own oracle network now they will leverage s tech for a more decentralized and secure frameworkACA KAR DOT KSM BAND 
2020-12-04, ACA gt aggregates business primarily in Texas think mini MLM spunoff from TRN in 2018  No debt highly FCF generative 5 per share FCF in 2020 and levered to US residential housing with pricing power  CEO is a great capital allocator
2020-12-03,ACA Arcosa maintains dividend also renews 50 mln share repurchase program 
2020-12-03,ACA Arcosa Inc Declares Quarterly Dividend and Renews 50 Million Share Repurchase Authorization 
2020-12-03,ACA  Arcosa declares 005 dividend 
2020-12-03,ACA  Arcosa files form S3ASR 
2020-12-03,Acala Network Teams Up W Band Protocol To Bring A New Defi Orcale To Polkadot Open Orcale Gatewayband dia aca dot ksm eth
2020-12-03,Bon TP touch Du coup je suis out sur 107 aca
2020-12-03,20 DMA Support today SONN TXMD RE BPOP HIG SRE CIR PRGO GCP IT ACC FCN ULH OCFT BKE ACA JHB MCR JWA PUK  
2020-12-03,Finalement cest un de mes meilleurs investissement de la semaine pour le moment aca
2020-12-03,Join the Polkadot Decoded Conference T O D A Y on December 3rd 2020DOT KSM ACA XOR OCEAN EDG ANKR MXC AKRO RING XRT OM POLS FIS DOCK RFUEL KLP RWS CHADS CLIQ CRU CRINGAnd many more Reserve your seat N O W
2020-12-03,Bourse Euronext Intraday 0312  08h50   les premires news via WLN worldlineRXL rexelALQGC quantumgenomics ACA creditagricoleORA orange 
2020-12-03,aca is probably one of strongest dot project  
2020-12-03,Crdit Agricole  mission obligataire sociale et durable de 1 MdEbourse finance ACA
2020-12-02,ACA in Downtrend Stochastic indicator recovers from overbought zone View odds for this and other indicators  Arcosa stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-02,Im really proud the role hypersphere played here lkly the first venture fund to own all 3 layers relay chain  DOT parachain  ACAapplication  AMPL 
2020-12-02,20 DMA Support today PRK ACA ONB SHM SPTS PODD IMMP SGMS MEDS TILE AME AMRC EMQQ CSX OBNK ESTA HBP TGLS CMCM SWTX  
