Date,Text_clean
2020-12-31,American Homes 4 Rent Class A Shares Close in on 52Week High  Market Mover  AMH stockmarket kwhenfinance
2020-12-31,Rose Above Previous Days High today NAVB SIGI EMR DHS NMY PRF WLTW IFRA CODI AMH TZOO BGT GHL PRGS EXPO KRUS SPTM GWGH VOOV CNCE  
2020-12-31,AMH showing up in our top breakout selection 
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AMH ANF ARNC AVTR BLDP CCL CLSK CMC CNQ DLX DXC EQC EQH FCX FEYE FOXA GP HFC HPQ INVH MCRB MYOV NCLH PACB PDI PLTR PUBM RIDE RKT SAVE SC SLB SLV SPWR TRGP TRIP UNM VIPS VLDR WRI
2020-12-30,Ex Div TomorrowAMH   005APD   134CAH   049CONE  051FRT   106RSG   042WERN  009
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  
2020-12-26,BLDV To Announce New Revenue Sharing Agreement With Fortune 500 Company Announcement Pending RCI IFF AMH MGA SFM FAX EWBC OI SCIE MTB TMEB KLDX VKTX XCRA
2020-12-26,homebuilding will there be enough land Will multifamily builders focus more on townhomes SFR RealEstate investing INVH AMH RESI  
2020-12-25,3 Week Tight Pattern from watch list  FCX COG ULTA LUV PINS BKNG LDOS ANTM LVS AMRN UNH ADM FROG BMO KO TME HOLX VRT MU GDDY SBUX JNJ AMH NUAN FAST SMAR stocks stockstowatch 
2020-12-24,50 DMA Support today SPAB EBAY DOC WTRH VMC GLDM NSPR SOLN FSKR FAT SWK BSCN LMNL AMRX WU AMH MOH BSV DFFN RGA  
2020-12-23,After hours 4 or more gain 1216MRNAPLUGORCLPTONWKHSSQQCOMABUSINSGCHWYETSYMURDDOGAIGMDTFOLDADBECTSHPXDPGRCIENOFSLRLMNDHPNLSEWBCPINGAMHLEVISPPIBILLDOMOYEXTNNNCYHGOGPNMDRXLQDAQRVOEXPITRUEXYL
2020-12-23,20 DMA Support today MBIN AMH SMTS  
2020-12-23,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AES ALGM AMH AQUA ATRA BLDP CLSK CMBM DBX DEA DM DRNA EH ELF FEYE GP HCC HPQ HTA ICLN LESL MGNI NLS NWL PACB PLT PRPL PSTG PTGX RIDE SHC SMPL SPCE TTCF VIPS VLDR VSTO WKHS
2020-12-22,Rose Above Previous Days High today GRNV CLRO SYK PARR LKCO AMH HGBL HIL ANVS IBM HMTV HNNA HNW HSAQ SBUX HTIA HURC HY HWCPZ VRTS  
2020-12-22,  INVH and AMH parallel HODLs
2020-12-21,Reversed from Down today HASI AMH FL CLB AR LB STOR  
2020-12-21,Zillow Predicts Stronger Housing Market Across the Board in 2021  SFR singlefamilyrental RealEstate realestateinvestor Z INVH AMH RESI IPOB
2020-12-21, AMH RESI INVH are others for a reit list
2020-12-18,50 DMA Support today AMH SO SRG  
2020-12-17,FWSells AMH Smith Bryan Chief Operating Officer of American Homes 4 Rent sold 50000 shares on 20201215 
2020-12-17,Scan results  Stochastic Sell Signal today FLO LOPE IAC QLYS TREX RGR AMH CPRT SWTX INMD ATNM CAJ  
2020-12-17,American Homes 4 Rent Class A Shares Approach 52Week High  Market Mover  AMH stockmarket kwhenfinance
2020-12-17,Rose Above Upper Bollinger Band today IPAY CTO RPD NDLS CL FUBO FIVN AGI MGEN GDX MDB VNQ BOX MHO AXTI AMH UGA XLP GOLF BTG  
2020-12-17,AMH  American Homes 4 Rent 97 Occupancy From This Resilient And Growing REIT  investing economy stockmarket
2020-12-16,Insider Jack E Corrigan reports selling 25000 shares of AMH for a total cost of 75340000 
2020-12-16,FWSells AMH CORRIGAN JACK E Chief Investment Officer of American Homes 4 Rent sold 25000 shares on 20201216 
2020-12-16,Bryan Smith Chief Operating Officer of AMERICAN HOMES 4 RENT  AMH sold 50000 shares to now own a total of 73857 anomalous of their normal trading pattern
2020-12-16,FWSells AMH Smith Bryan Chief Operating Officer of American Homes 4 Rent sold 50000 shares on 20201215 
2020-12-16,Rose Above Previous Days High today MHO CARS SLNO DRE BEPC UGA MSOS ANF PFN HGV AMH AYRO ULTA RRC VCEL HOMB VVPR AXS BLW YEXT  
2020-12-16,American Homes 4 Rent Class A Shares Approach 52Week High  Market Mover  AMH stockmarket kwhenfinance
2020-12-16,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 AMH ARRY AY AZEK BSX CAG COLD CUBE CWH DRE ELAN EWZ GLW LI NJR STAG T TCOM UGI VIAC VNT VRM
2020-12-15,American Homes 4 Rent AMH PT Raised to 3100 at Smith Barney Citigroup  stocks
2020-12-15,50 DMA Support today THO NBEV GSK FIX AMH VMW GNPX GNK SCPL PIXY ZBH HL POOL CONN AWR FSLR HTA MAS ALJJ CLVS  
2020-12-15,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AES AMH CALX CARG CYTK DBX EWH EXEL FLO FLWS FOLD GBTC HPQ HWM IPOB IQ JNPR LBTYK LRN MGNX MOS MPW MT OCFT OFC PLTR PS RKT RVNC SJI SPWR SVMK TTCF WEN
2020-12-13,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AES AMH AVTR BEN CARG CYTK DBX DISCA EPD FOLD FOXA HWM IPG MDU MPW NIU PLTR PSTH RKT RMG RVNC SJI SPWR SVMK TBIO TPGY TPGYUN WKHS WU
2020-12-13,Deep Dive Into The ExDividend Dates For The Upcoming Week AAP ADT AINV ALLE AMH 
2020-12-13,AMH BTFD RSI 5407 Inst Act 472 Insi Act 0 
2020-12-13,AMH BTFD RSI 5407 Inst Act 472 Insi Act 0 
2020-12-11,Scan results  MACD Bullish Centerline Cross today HJLI LAKE PING GOSS ATNM SVMK CCC CPRT WIX TSCO AMH VIR  
2020-12-11,Scan results  Crossed Above 50 DMA today HJLI DOC LSI COST GOSS VSAT UPS REGI CCC CPRT HTA ADM ADC ODFL DTE AVO HZNP GNRC EPZM AMH  
2020-12-11,AMH 
2020-12-11,Rose Above 50 DMA today GNRC BLCT SHY OTRK JAZZ CCC CCM TAOP NSPR JD CHE UFPI EDV AMH COE JAN REGI RKT TENX CPRT  
2020-12-11,5 Pitfalls of New Traders and How to Avoid ThemSLS IMMP ABNB VERU SGMO NEOS SSPK EGHT TGTX GLSI AMH ASO
2020-12-11,My Most Requested Post Easy Webull Desktop Tutorial in 5 Steps How to Buy Your First StockSLS IMMP ABNB VERU SGMO NEOS SSPK EGHT TGTX GLSI AMH ASO
