Date,Text_clean
2020-12-31,Discovered Ash through  streams and I fucken love her shes so nice and funny 
2020-12-31,yall should follow ashshe deserves way more hype amp should be given tons of love and supportfollow on twitter too Ash 
2020-12-31,Ash 
2020-12-31,Yaaaay Ash in Among Us 
2020-12-31,Ash 
2020-12-31,Ash hiiii ash 
2020-12-31,Ash Happy new year Ash 
2020-12-31,Ash Hello Ash  super cool aussie streamer
2020-12-31,Ash period ash
2020-12-31,Ash Already signed up Cant wait for my iq to raise up in double digits after all the the audiobooks Ill be listening to 
2020-12-31,Ash happy new year ash  
2020-12-31,Ash SPONSOR HECK YEAH
2020-12-31,Ash Yayayayay congrats 
2020-12-31,Ash Ye yeyeyeye
2020-12-31,Ash 
2020-12-31,Ash Happy new year and day ashhhhh
2020-12-31,Ash It would be cool if u started streaming tmr and said youve been gone for a year
2020-12-31,Ash If you narrated some books I would definitely listen
2020-12-31,Ash Congrats Maby i will finally check it out
2020-12-31,Ash looks interesting O
2020-12-31,Ash nice well deserved
2020-12-31,Ash congratulations on the sponsor ash 
2020-12-31,Ash PogU
2020-12-31,This month streams will be sponsored by Audible  Support me and check out Audible out by clicking here  OR texting ash to 500500   Thanks Audible for the amazing opportunity  ad
2020-12-31,Hey Ash have the best day ever Happy new year  hope ur doing well 
2020-12-31,HAPPY NEW YEAR Husband     Ash SepticEye     praisebingus bingus 
2020-12-31,Ash Happy new year ash
2020-12-31,Ash You helped make my 2020 better I hope 2021 is everything you need it to be
2020-12-31,Ash Get well soooonnn
2020-12-31,Ash You are awesome ash I appreciate the love you show on the OTV rust server Things will get better Head up
2020-12-31,Ash Happy New Year
2020-12-31,Ash Yes if you ever need me to simp for you then Ill be there in a heartbeat homie
2020-12-31,Ash I hate still being in 2020
2020-12-31,Ash Have a great day Ash and take care of yourself 
2020-12-31,Ash Hope youre feeling better
2020-12-31,Ash HNY Ash
2020-12-31,Ash Happy new year ash 
2020-12-31,Ash You are a national treasure 
2020-12-31,   SepticEye Ash  Husband This is so fuckingggg cool omg 
2020-12-31,   SepticEye Ash  Husband this lud is adorable omg
2020-12-31,Ash Yesss
2020-12-31,Ash Have a good day
2020-12-31,Ash Happy New Year Mum
2020-12-31,Ash Happy New Year Ash 
2020-12-31,   Ash idk man looks like ur really do care  anyways they do and thats it from me for this conversation happy new year buddy
2020-12-31,Medoofa Ash Shes Australian Not New Years yet in the UK
2020-12-31,Ash me cries in Germany
2020-12-31,Ash Literally so sweet ash
2020-12-31,Ash A new day to a new year 
2020-12-31,Ash Happy new year ash 
2020-12-31,Ash me still in 2020 D 
2020-12-31,Ash AGANE 
2020-12-31, Ash i this is a masterpiece m8 
2020-12-31,   SepticEye Ash  Husband Oh my goshhh your art I love it so much  it looks like this could be an anime I would definitely watch 
2020-12-31,Ash greetings from those still trapped in 2020 lt
2020-12-31,Ash Xqc getting you a gift to say sorry
2020-12-31,Ash Is 2021 better  Being in 2020 still feels pretty 
2020-12-31,Ash Wait are you like UK Ash 
2020-12-31,Ash Happy new year ash 
2020-12-31,Ash 
2020-12-31,Ash Happy new year 
2020-12-31,Ash Yeaaaa
2020-12-31,Ash 
2020-12-31,Ash Hope everyone is having a good day
2020-12-31,Ash Happy new years Ash I love your content
2020-12-31,Ash Must feel good to be in 2021
2020-12-31,Ash i love you ash have a great year 
2020-12-31,Ash i hope you have a great day ash D
2020-12-31,Ash Happy New Year Ash
2020-12-31,Ash hope u have a great day ash lt3
2020-12-31,Ash much love ash hope youre doing well lt33
2020-12-31,Ash Hope you have a good day Ash 
2020-12-31,Ash I hope youre doing good now 
2020-12-31,Ash I hope you are doing fine Ash 
2020-12-31,Ash hey ash i hope youre feeling better lt3
2020-12-31,Ash Hope you have a great day Ash 
2020-12-31,Ash D 
2020-12-31,Ash You are the best Ashhappy new year 
2020-12-31,Ash love you Ash
2020-12-31,Ash happy new year ash 
2020-12-31,Ash 
2020-12-31,Ash No u
2020-12-31,Ash 
2020-12-31,Its a new day guys Lets start fresh 
2020-12-31,Ash Its all good
2020-12-31,Ash Get well soon girlyyy lt3
2020-12-31,Ash Whats the future like
2020-12-31,    I wonder if Ash thought this was roleplay
2020-12-31,   SepticEye Ash  Husband This is so cute D they are all so great omg  Ash and ludwig are especially cute D
2020-12-31,   Ash Well he certainly makes enough to be paying his mods Even someone whos up and coming like CodeMiko do it
2020-12-31, Ash Team rocket is better 
2020-12-31, Ash   nah just her accent was really hard to understand
2020-12-31,  Ash Its not XQC fans its literally rust viewers they are a toxic ass community lol
2020-12-31, Ash omg thats so kyut
2020-12-31,Ash Happy New Year Ash I only found you a few months ago but Im very glad I did You always bring a smile to my face and youre an inspiration Heres to a good year for you Cheers 
2020-12-31,Ash I love it
2020-12-31,Ash HAPPPY NEW YEARS ASH 2021 HERE WE COME 
2020-12-31,Rose Above Previous Days High today PAHC SPYV IMBI FMBIO IJS ISBC ASH NOBL STE RDN PFGC XAR XSLV OMCL JJSF WHLRP MD PRMW ARR HOMB  
2020-12-31,Ash 
2020-12-31,Ash Happy New year Say hello to 2021 for me since Im stuck in 2020 for another 12 hours 
2020-12-31,Ash Happy New Year Wish you great blessing and abundance
2020-12-31,Ash ASH WHY ARE YOU SO FRIGGIN CUTE I WANNA SQUISH YER CHEEKS AKYDISHFISIWOJFJE
2020-12-31,Ash This is my favorite team
2020-12-31,Ash Happy new years Ash Hope you have a good one this year
2020-12-31,Ash Happy New Year Ash So glad to have discovered your stream this year Hope 2021 is even better for you 
2020-12-31,   Ash I dont give a fuck abt whatever any of them do Dont overthink shit Its just how I see thingsAnd no Nickmercs and Asmon have never had a cancer community with an average age of 12 in their career And people like Ninja and Tfue who did they turned their backs on them
2020-12-31,  Delirious had your back Ash
2020-12-31, SepticEye   Ash  Husband Ok tho where did corpse even show up from Its like overnight he just popped up on some of the most popular gamers streams Seriously how did he get this popular out of nowhere
2020-12-31,Ash Happy New Year Ash 
2020-12-31, Ash Dont worry renforcements are in 12 am
2020-12-31,Ash great group gt
2020-12-31,Ash Well i mean its still the 31st but happy new years
2020-12-31,Ash Happy new year Ash
2020-12-31,   Ash Yeah just like your suicide joke
2020-12-31, Ash  
2020-12-31,     SepticEye Ash  Husband I think Welyn and Bo will be permanent members From what I heard something happened to the server and it kinda kicked them both out and make Jack leader again But Ash is leader now and she friends with both of them
2020-12-31,Ash rest well ash you are always online lol happy new year
2020-12-31,Ash So ahead of your time our time
2020-12-31,    SepticEye Ash  Husband Those last two slots seem to switch around a bit It was Bo and Welyn then Tina then Tina and Welyn now back to Welyn and Bo
2020-12-31,   SepticEye Ash  Husband Yp this is good for an anime show
2020-12-31,Ash HAPPY NEW YEARS ASH well see you in a bit in 2021 lol
2020-12-31,Ash take care ash we love u lt3333
2020-12-31,Ash HAPPY NEW YEAR ASH 
2020-12-31,   SepticEye Ash  Husband ALL IN 5
2020-12-31,Ash Rest well ash  Hope you feel better
2020-12-31,Ash Happy New Year Ash
