Date,Text_clean
2020-12-22,A logo mark filed for trademark by BrownForman Corporation   BFB BFA BFA BFB BFABFB BFABFB BFB 
2020-12-17,  Interesting I agree in APXT Where is BFA 
2020-12-09,BFA Stocks StockMarket BrownForman released second quarter of 2020 EPS on  Sales growth of 1923  could not prevent EPS contraction of 1525  in the Q2 of 2020 compared to same quarter a year ago Sales were at 127 BIL 
2020-12-08,BFA  BROWN FORMAN files form 10Q 
2020-12-08,New Form 10Q Quarterly Report entry filed by  BFA BFB BROWN FORMAN CORP  
2020-12-08,New Form 8K PressNews Current Report entry filed by  BFA BFB BROWN FORMAN CORP  
2020-12-08,BrownForman Reports Solid First Half Results BFA 
2020-12-07,Earnings happening tomorrow20201208 BFABFBAZOMDBGWRE
2020-12-06,Earnings this week20201207 COUPSMARCASYTOLHQY20201208 BFABFBAZOMDBGWRE20201209 ADBEWORKCPBNCNOASAN20201210 ORCLAVGOCOSTLULUMTN20201211 ROADJOUTUBAUBPKALV
2020-11-18,ampBFA 
2020-11-18,BrownForman Second Quarter Earnings Release and Conference Call Scheduled for December 8 2020 BFA BFB 
2020-11-02,BFA BFBNew Insider Filing on BROWN FORMAN CORPsEVP Gen Counsel and SecretaryMATTHEW E HAMEL
2020-10-27,BFA   BFA  BFA  
2020-10-22,BFA 
2020-10-17,BFA BFB new insider selling 1613 shares  BFB
2020-10-16,BFA BFB Ralph De Chabert Dumps 16K Shares of BrownForman Corp 
2020-10-16,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 1613 shares to now own a total of 5106 anomalous of their normal trading pattern
2020-10-16,BFA BFBNew Insider Filing on BROWN FORMAN CORPsSVP Chief Diversity OfficerCHABERT RALPH E DE
2020-10-16,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 1613 shares to now own a total of 5106 anomalous of their normal trading pattern
2020-10-09,BFA BFBNew Insider Filing on BROWN FORMAN CORPsSVP Chief Diversity OfficerCHABERT RALPH E DE
2020-10-09,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND
2020-10-09,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern
2020-10-09,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern
2020-10-09,BFA BFB new insider selling 695 shares  BFB
2020-10-08,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern
2020-10-08,BFA BFB  BrownForman Corp 
2020-10-08,Insider Chabert Ralph E de reports selling 695 shares of BFA for a total cost of 4842656 
2020-10-08,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern
2020-10-08,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND
2020-10-07,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND
2020-10-06,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND
2020-09-30,BFA Stocks StockMarket BrownForman released Q1 EPS on  Company delivered strong EPS growth on slow Sales increase in the Q1 where EPS surged by 7179  at 067 per share Sales grew modestly by 092  to 987000 MM from the 
2020-09-30,BFA Stocks StockMarket BrownForman reported Q1 EPS on  Company delivered strong EPS growth on slow Sales increase in the Q1 where EPS surged by 7179  at 067 per share Sales grew modestly by 092  to 987000 MM from the 
2020-09-16,BFA BFB  BrownForman Corp 
2020-09-11,Money Ideas  DPHCQDGLPGCIDMFAMIAMRKNHTCCLROHCACWBFACKPTSWTXNMTRCLBSCODXDQDPHCUHCCHWNNOXSUNWCDTXCXVBLTSDNESALMVSTOCTRMZYMECBLIIBEXTECKZUMZLAURFRTAWHLMCBOXSCORMBIODHTHCCOSURSACHNINEACMR 
2020-09-10,BFA BFB Chavanne Patrick Bousquet Dumps 62K Shares of BrownForman Corp 
