Date,Text_clean
2020-12-31,Thursdays Top Flow in healthcare sector Buy Flow amp Sell Flow VRTX BSX BAX WAT PKI UNH VAR ABC MDT GILD HUM CI EW MCK DGX LH BIIB PDCO PRGO A stock stocks StockMarket Investment investing HealthTech  
2020-12-31,Rose Above Upper Bollinger Band today SPAB CHH BSX SHOO JRI KBE ANGO PKW PACW UVSP IBN USSG FSDC PHO EGBN  
2020-12-31,The last trading session of 2020 Heres our picks as we head into the NewYear  investing stockmarket V HD TMO UNH BSX BKNG 
2020-12-31,ONCS 10 PT Dawson JamesCVAC BNTX ALNY EBS VIR ADPT ARCT TBIO VXRT ATRA VBIV ALT DVAX IBIO HTBX TNXP NNVC PDSB TFX GOVX IGC MACK MRUS XNCR FPRX INCY AGIO GBT HALO ALKS KPTI CARA ZGNX TMO EW DXCM IDXX NVTA HZNP BMRN VRTX ABT MDT BSX 
2020-12-31,New patent application published for Fortified Balloon Inflation Fluid for Plasma System to Disrupt Vascular Lesions BSX 
2020-12-31,BSX SHAREHOLDER DEADLINE Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion In a Securities classactionlawsuit Against Boston Scientific BSX Corporation  StockMarket
2020-12-31, BSX and HD from Firestone great 2021 plays thanks
2020-12-31,BSX sold 39 Pr 32
2020-12-31,Rose Above Previous Days High today GSS FITBP AAAU WPM FN BSX KMB CTVA AIZ STRT LFTR BTG ETJ NBTB LEG NEM MU COF MCO ANSS  
2020-12-31,Large Print BSX Size 168347 Price 357 Time 935 Amount 600998790
2020-12-31,Highest volume in premarket  CTRM  BSX CVE HAL   
2020-12-31, You know my list but incase you forgotnickelBSXAOUARNADDAZScopperEM2 EM2CLAaxNWCCSTPUABYH
2020-12-31,Scans from Wednesday December 30 2020   PTON MRVL ABBV QCOM MU SE SQ BMY V PDD SBUX BIDU BSX NVS JD MA GPN MNST DIS CDNS SwingTrading technicalanalysis trading stocks StockTrading Options OptionsTrading
2020-12-31, BSX You read my mind
2020-12-31,Analysing and researching battery metals markets such as nickel  lithium and the EV technology disruption driving them is nice but driving an actual EV is so much fun Thx to ElonMusk for the MerryXmas touch ADD AOU AZS BSX CPN CTM PAN QPM POS SGQ WSA CXO LKE 
2020-12-31,BSX Will Announce Terms Of Agreement Reached in Significant Partnership Deal With Nasdaq Traded Company WMC WLH WLFFF AITG AIT AIR AIMT AIMC DRUA RAIL QTRX TG HNET LTHUQ
2020-12-31,bsx interesting look
2020-12-31,BSXBig things to come in 2021I wonder how long the SP will be capped below 40cOnce the brakes are off it could be explosivebroker data for the last monthThe Germans loading up in a sub holder change another 35m sharesScott buying on marketJoin the dots  
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 AIG BSX CAR CF DMTK DRE EPR FE GBTC GDX GSK HOG JWN KR LAZR MAIN MGM MGNI MP ON PLUG STLD STM TCOM TLS UDR VER YELP
2020-12-31,NEE CEO TO Detail Huge Partnership Agreement With Leading US Company As Early As MondayGM BSX PEP CL INFY OAS TEVA DVN AKS WMT BHGE IBM ERFB
2020-12-31,BSX BSXLooking Primed 
2020-12-31,Getting in one last shameless promotion before the year is out with a trading idea in BSX I have baggied out a bit post SS but I think it will pay off with a little more patience into early CY21 See thinking in the images below Happy new year punter 
2020-12-31,How to Trade How to trade Boston Scientific BSX With Risk Controls  Click for Details 
2020-12-30,Large Print BSX Size 561079 Price 3555 Time 1830 Amount 1994635845
2020-12-30,Scan results  MACD Bullish Centerline Cross today OM COLL LEG VST JD TRI SIG GT AU OPCH FTS JKHY ADM LE O BSX  
2020-12-30,   What a great list mateHolding the dynamic trioBSXEM2 EM2NWC
2020-12-30,AXNX short interest at 185 and right at all time highs 57 million shares which would take 147 days to cover at current trading volume likely from folks who see the MDT name and think AXNX will fail just like NVRO and BSX  see how that worked out 
2020-12-30,ONCS 10 PT Dawson JamesCVAC BNTX ALNY EBS VIR ADPT ARCT TBIO VXRT ATRA VBIV ALT DVAX IBIO HTBX TNXP NNVC PDSB TFX GOVX IGC MACK MRUS XNCR FPRX INCY AGIO GBT HALO ALKS KPTI CARA ZGNX TMO EW DXCM IDXX NVTA HZNP BMRN VRTX ABT MDT BSX 
2020-12-30,   BSX looks to be distancing themselves from the mess A lot of evidence here court calling it a very strong case that Sarna made off with trade secrets one more example of a PEN board member with major credibility problems Antikbose 
