Date,Text_clean
2020-12-31,Rose Above 50 DMA today COR SWK PT RLGT  
2020-12-31, My top influencers    For tagTag miemie2   hejo Tg ujangkemod9COR 
2020-12-31, my top 3 influencer is    cryptocurrencies CryptoGiveaway CryptoTwitter bitcoin BTC COR ETH cryptonews investing DeFi DeFiNews trading blockchain 
2020-12-31,Dont forget to take part in our End of Year GiveawayJoin our community here DeFi DeFiNews cryptocurrency cryptocurrencies CryptoNews cryptocurrencynews bitcoin bitcoinnews blockchain blockchaintechnology nostresscrypto BTC COR ETH 
2020-12-30, NVDA buys HIMX DLR  EQIX buys COR  CONE
2020-12-30,Scan results  Fell Below 50 DMA today ORCC BDTX BAND BRMK SFM UPS DOC RC CVAC BRP FB CPB COR JKS CHRW REYN MRTN HLF  
2020-12-30,gifts cor crypto 
2020-12-30, Thanks for the opportunity Would like to reinvest and add to my bag of COR      herium   
2020-12-30,cryptocurrencies CryptoGiveaway CryptoTwitter bitcoin BTC COR ETH cryptonews investing DeFi DeFiNews trading blockchain
2020-12-30,St Nick has passedXmas has passedBut we still have afor youWho are the top 3 influencerstraders you followTag them in a comment bellowLike and retweet this postFollow  and join Tag 5 friends Ends on January 1stCOR 
2020-12-30,50 DMA Support today KMI SNMP CMO LOW SSD STAG WMK PINC COR MODN BRP VRT NOK REXR SPCE VBIV PFSW SNEX GEF BVN  
2020-12-30,This is the last Wednesday and Thursday of 2020 Make sure to make the best out of them We can say that 2020 was a good year for crypto with more upsides than downWhat will 2021 bring us What would you do different than what you did in 2020DeFi bitcoin COR BTC 
2020-12-30, Will HODL COR 
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  
2020-12-29,  Integrar cor a binance  integrar el peso a la plataforma
2020-12-29, Another option will purchase  COR and ETH equally and will add it to liquidity pool
2020-12-29,Invest In Crypto and COR Start trading journey along  
2020-12-29,What would you buy if you had a 715 amount of money to spend Would you choose to invest or to spendcrypto DeFi DeFinews cryptocurrencies bitcoin bitcoinnews Ethereum cryptotrading CryptoNews nostresscrypto blockchain investing cryptogiveaway  COR ETH BTC 
2020-12-29,TD SELL COR at 12529 Supp 11849 Resis 12589 R6  HiLo 85 T1Y 131 hold 28 PE 627 DIV 395 CoreSite R stocks trading finance market  
2020-12-28, park This is where COR will come into play To avoid scams like this  will be widely adopted for its trust  will find all the legit projects and red flag all the scams to prevent rug pulls like this
2020-12-28,Our digital lives drive a brickandmortar boom in data centers  datacenters DLR IRM CONE QTS COR EQIX
2020-12-28,Our platform is designed in such a way that even the less experienced crypto users will find it easy to track the sources of their incomesOur objective is building Coreto with the user at heart providing adequate UXUI for everyonetrading COR BTC ETH DeFi DeFinews 
2020-12-28,COR was 93 in March Now its 124 stocks stockmarket stock Stock2020 Investor DRIP investing invest investment investors investments dividend dividendstocks DividendInvesting dividends dividendincome stockstowatch StocksToTrade stockstobuy OptionsTrading
2020-12-27, COR 
2020-12-27,12 dividend stocks with upcoming EX dates 122931 3 yieldsTicker      YieldNHI        633BGS       623CTRE     448XRX       443CUBE    404 COR      395FITB      392VTR       366CAH      361BMY      321NHC      314TOWN   307
2020-12-27,The crypto world is on fire Bitcoin hit another all time high breaking 28000 Where do you think this bullrun will stopbitcoinprice BTC ETH COR crypto cryptotrading Bitcoin prediction Crypto2020 DeFi DeFiNews cryptocurrencies
2020-12-27,Nowadays gamification plays an important role in our online interactions It became something so natural that sometimes we dont even realize it So for those traders that are competitive both with themselves and others well have you covered COR Crypto trading 
2020-12-27,Spice it up a little Challenge other traders predictions and gain your place in Coretos leaderboard The games will begin soon Join us DeFi DeFiNews crypto2020 bitcoin December2020 Crypto cryptocurrency cryptotrading BTC COR ETH 
2020-12-26,ISWH Will Confirm Buyout Offer On The Table On Wednesday Talks In New JerseyIGR SWCH MIDD NWS EEQ TRCH UMFG DX CVRR PHK COR CCOI DRYS
2020-12-26,These festive times spend lesser time online and more with the people that fill up your real worldMerry Christmas worldxmas2020 Christmas Christmas2020 cryptochristmas DeFi DeFiNews crypto cryptocurrency cryptotrading bitcoin family familytime BTC COR ETH 
2020-12-25,Wishing you all a Merry Christmas Let this festive day bring prosperity amp lots of happiness to you all xmas2020 Christmas Christmas2020 cryptochristmas crypto DeFi DeFiNews CryptoNews CryptoTwitter cryptocurrencies Bitcoin btc BTC COR ETH trading 
2020-12-25,If your looking for some great Dividend commercial REIT stocksSLGHIWKRCFSPBXPCOR
2020-12-24,Scan results  MACD Bullish Centerline Cross today NLTX FROG VVPR LAC WKHS CBSH BRKB ACEL AGIO PODD TPH WST GRUB CPT KBH NLS BRO COR FLO SWK  
2020-12-24,I like this Chart  and it will Continue COR  
2020-12-24, One word COR
2020-12-24, COR will make huge profits
2020-12-24, Look at COR  you wont regret it
2020-12-24, Bought some COR  and watch the mission to Moon
2020-12-24, Starting the moon mission  Love this COR project
2020-12-24,I Follow you  COR 
2020-12-24,Buy some COR  You wont regret it this will be huge dyor  
2020-12-24, COR will pump 
2020-12-24,May this festive season bring you joy happiness and success 2020 was just the preparation for what 2021 HODLS for usbitcoin ethereum coreto Merry CryptmasCOR BTC ETH LTC crypto xmas cryptochristmas christmas2020 DeFi DeFiNews cryptoTwitter xmas2020 
2020-12-24,RealEstate Commercial Digital REIT Colony Capital CLNY STWD ACRE ABR CLNC BXMT DLR EQIX CONE COR LADR QTS WheelOfFortune Countdown CountdownTo2021 Top10 Trade YearEndSale StocksToWatch StocksToBuy Northstar DigitalArt XLRE VNQ
2020-12-23,What makes you trust an influencer or traderIs it his reputation transparency or proof of knowledgeYou dont have to pick one as well be providing you all of these metrics based on their traceable resultsDeFi DeFiNews CryptoNews CryptoTwitter bitcoin BTC COR
2020-12-23,Rose Above Upper Bollinger Band today AVIR SBH GRSV GIL GHSI AONE PSNL MS XERS JRSH RUN COR GNRC STL AUMN TRCH CCX LIT WEAT SWCH  
2020-12-23,SHMP To Announce Secret Reverse Merger Negotiations Underway In DelawareIGR SWCH MIDD NWS EEQ TRCH UMFG DX CVRR PHK COR CCOI DRYS
2020-12-22,We have also taken great care to ensure a fair and accurate system and are analyzing all the different edge cases possible system exploits incentives to reward fairplayDeFi DeFiNews CryptoTwitter CryptoNews Cryptocurrency BTC bitcoin COR
2020-12-22,IF breaches are ever found in the platforms codebase funds are never exposed and failsafe measures are in place on all levelsCurious enoughJoin us here DeFi DeFiNews CryptoTwitter CryptoNews bitcoinprice BTC COR crypto bitcoin Ethereum
2020-12-22,Rose Above 50 DMA today AIRI TCDA TPH EXC COR RSG WM CLMT NWFL ENOB IPDN DADA GPC TAST STMP ORGS IEP  
2020-12-22,Follow us on our official communication channels for more previews and updates as we move ever closer to our ALPHA release next yearJoin here DeFi DeFiNews crypto CryptoNews nostresscrypto investor trading cryptotrading bitcoin BTC COR
2020-12-21, 2021 will be huge for the likes of BTC ETH and LINK but also for Coreto COR as this project will help bring Crypto to the masses So keep an eye out for that one as well
2020-12-21, XRP CEL QNT VI and some more COR
