Date,Text_clean
2020-12-18,New Form 8K PressNews Current Report entry filed by  CRDA CRDB CRDB CRDA CRAWFORD amp CO  
2020-11-20,CRDA Croda upped to buy by Citi following Iberchem acquisition   CRDA KatiePilbeamTV
2020-11-18,Croda JulOct Core sales 1 yy ex FX H1 60 incl Personal Care 5 H1 95 Perf Tech 5 56 amp Life Sciences 18 17 Personal Care modest margin dilution as in H1 300bps to 304 FY outlook unchanged 820m Iberchem acq amp 600m placing CRDA LN 
2020-11-18,UK Stocks Engineering SPX 43 Defense MGGT 28 Cruise CCL 24 Travel TUI 49 Chemical CRDA 23 Tobacco IMB 15 Insurance RSA 39 Energy SSE 44 Financial svc PFG 24 Ecom BOO 38 Restaurant RTN 11 Home building TW 15
2020-11-18,Start the day with one of our favourites Croda which is up 2 todayIts firmly in BUY on our system See chart Key above the cloud In Buy below In Sell CRDA FTSE ftse100 trading investing stocks investment fintech fintwit 
2020-11-18,CRDA Croda issues placing to fund 736mln acquisition of Spanish fragrances firm Iberchem   CRDA
2020-11-12,CRDA Croda resumes its descent as Barclays cuts its rating to underweight from equalweight   CRDA
2020-11-11,059 down from 068 of CRODA INTERNATIONAL PLC UK is now shorted by PICTET ASSET MANAGEMENT SA More info on  crodainternationalplc CRDA
2020-11-11,CRDA Croda International too expensive for JP Morgan downgraded to underweight    CRDA
2020-11-09,CRDA CRDBNew Insider Filing on CRAWFORD amp COsDirectorCHARLES H OGBURN
2020-11-06,147 down from 15 of CRODA INTERNATIONAL PLC UK is now shorted by MARSHALL WACE LLP More info on  crodainternationalplc CRDA
2020-11-05,Croda gave a BUY signal in March 2020 on our system amp is now at ATHsSee chart Key above the cloud In Buy below In Sell CRDA ftse100 trading investing socks investors investment fintech finwit 
2020-11-04,059 down from 069 of CRODA INTERNATIONAL PLC UK is now shorted by AQR CAPITAL MANAGEMENT LLC More info on  crodainternationalplc CRDA
2020-11-04,UK Stocks Restaurant RTN 45 BFS HSBA 34 Mining EVR 25 Ecom BOO 18 Pharma HIK 42 Cruise CCL 11 Tobacco BATS 34 Airline IAG 19 IT AVV 23 Chemical CRDA 15 Publishing INF 22 Bank LLOY 21
2020-11-04,CRDA Stocks StockMarket Crawford reported third quarter of 2020 EPS on  Despite weak Sales in the Q3 of 2020 company managed to grow its EPS per share EPS per share more than doubled by 11905  to 046 per share while 
2020-11-02,CRDA  CRDB  Crawford amp Company CRDA and CRDB announced its financial results for the third quarter ended September 30 2020  Revenues before reimbursements of 2531 million compared with 2547 million for 2019 third quarter   CRDB307
2020-11-02,4 sections of CRDA  CRDB 10Q analyzed J score of 5410 10 difference since last filing  11 redflags found in the XBRL and 0 insider events out of the ordinary  CRDB307
2020-10-30,CRDA 15s delayed filed form SC 13D on October 30 114214 
2020-10-27,UK Stocks Financial svc MNG 49 Retail NXT 2 Energy RDSB 17 TLW 49 Restaurant RTN 17 BFS HSBA 64 Packaging SKG 2 Advertising WPP 21 Cruise CCL 17 Ecom OCDO 31 Food ABF 1 Chemical CRDA 15 Insurance PRU 23 LGEN 23
2020-10-26, Yo llevo SSE y LegalampGeneral LGEN Me gustara aadir Croda CRDAUnilever la tengo comprada en Amsterdam
2020-10-21,15 up from 149 of CRODA INTERNATIONAL PLC UK is now shorted by MARSHALL WACE LLP More info on  crodainternationalplc CRDA
2020-10-21,Marshall Wace LLP short position in CRODA INTERNATIONAL PLC up 001 to 150 CRDA CRDA LSE StockMarket Stocks Shares Business Markets Trading News Investing Short 
2020-10-20,149 down from 15 of CRODA INTERNATIONAL PLC UK is now shorted by MARSHALL WACE LLP More info on  crodainternationalplc CRDA
2020-10-20,Marshall Wace LLP short position in CRODA INTERNATIONAL PLC down 001 to 149 CRDA CRDA LSE StockMarket Stocks Shares Business Markets Trading News Investing ShortSqueeze 
2020-10-20,Again in the uk chemicals sector Rentokil continues to perform strongly amp remains firmly in BUY on our system Its been one of our favourites The chart says it allKey above the cloud In Buy below In Sell CRDA ftse100 trading investing stocks fintech fintwit 
2020-10-20,In the uk chemicals sector Croda continues to perform strongly amp remains are firmly in BUY on our system Its been in almost continuous BUY since SEPT 2009See charts Key above the cloud In Buy below In Sell CRDA ftse100 trading investing stocks fintech 
2020-10-20,Croda International will hold virtual investor seminar on sustainability today    CRDA Trading Shares Stocks Ratings 
2020-10-15,2 sustainable investments for 2020 CRDA HLMA stocks  stockmarket investing  investment stockstobuy ESG Croda Halma invest investors UKStocks sustainability  
2020-10-14,15 up from 149 of CRODA INTERNATIONAL PLC UK is now shorted by MARSHALL WACE LLP More info on  crodainternationalplc CRDA
2020-10-14,Marshall Wace LLP short position in CRODA INTERNATIONAL PLC up 001 to 150 CRDA CRDA LSE StockMarket Stocks Shares Business Markets Trading News Investing Short 
2020-10-13,Trending stocks on  on 20201013  A AGCO ALK AMWL BAC CAT CNA CRDA DE DECK
2020-10-12,Trending stocks on  on 20201012  A ASMIY B BA BASFY BME BWY CCH CPG CRDA
2020-10-09,069 down from 079 of CRODA INTERNATIONAL PLC UK is now shorted by AQR CAPITAL MANAGEMENT LLC More info on  crodainternationalplc CRDA
2020-10-07,UK Stocks Analytics REL 25 Airline EZJ 29 Telecom BTGroup 23 Marketing DCC 17 Realty BLND 13 Travel TUI 19 Home builder TW 25 Chemical CRDA 2 Construction KIE 18 Mining GLEN 18 Energy RDSB 16 Ecom BOO 19
2020-10-07,The ftse100 hasnt performed but there are hidden gems like CrodaIts given a great series of BUY signals on our system since AUG 2009 amp has risen 936 sinceSee chart Key above the cloud In Buy below In SellCRDA trading investing stocks fintech fintwit 
2020-10-02,AQR Capital Management LLC short position in CRODA INTERNATIONAL PLC down 010 to 069 CRDA CRDA LSE StockMarket Stocks Shares Business Markets Trading News Investing ShortSqueeze 
2020-10-02,Filing Alert FORM 8K PressNews Current Report available  CRDA CRDB CRDB CRDA CRAWFORD amp CO  
2020-10-02,CRDA 15s delayed filed form 8K on October 02 081517 Item701 Regulation FD 
2020-09-30,Croda in the uk is one of those hidden investment nuggets amp is in BUY on our system againSee chart Key above the cloud In Buy below In Sell CRDA ftse100 trading investing investments fintech fintwit chemicals 
