Date,Text_clean
2020-12-31,Accumulation Scanner resultsAMDAAPLTCCLCSCOXOMFBFGEGMKMILUMNMSFTNCLHPFE
2020-12-31,Will Zoom Or Cisco Stock Grow More By 2022Related Tickers CSCO ZMRead more at 
2020-12-31,PURE SPECULATIONMampA possibilitiesGOOG or CSCO to buy FSLYNOW to buy PDNoteMy preference is no MampA and that companies grow EV organically
2020-12-31,EOD  EOY most active Stocks ETFs by volume spy qqq iwm slv xlf eem efa vxx gld uvxy gdx hyg tlt vnq xle ewj spxu ewz sqqq tqqq dia jets tsla aapl nio amzn aal baba pltr nflx msft qs fb snap amd fubu got fubud intc csco mu riot 
2020-12-31,stocks in consolidation phase BB Width lt 004 GLD COST MCD CSCO XLV BMO SMH TROW BIIB XLF ABT KO HON LDOS stockstowatch stockscreener 
2020-12-31,HAPPYNEWYEAR2021 Happy2021 HNY2021 AAPL AGG AMD AMZN ARKK AVGO BA BABA BAC BND BTC BTCUSD C CSCO DIS DOCU F FB FCAU FCEL GBTC GDX GDXJ GLD GM GOOGL GOVT HYG IAU IEF IEI IGSB INTC JNK JPM KODK LQD MRNA MU NFLX NIO
2020-12-31,CSCO Below Avg VolumeDaily appearances since 2010 395Close 5 days later Avg 000SD 120Worst 564Best 33310 days laterAvg 003SD 181Worst 636Best 42930 days laterAvg 063SD 387Worst 1385Best 838
2020-12-31,CSCO EngulfingDaily appearances since 2010 93Close 5 days later Avg 029SD 124Worst 681Best 19210 days laterAvg 034SD 173Worst 728Best 31330 days laterAvg 039SD 269Worst 1047Best 695
2020-12-31,Todays Most Active Calls TSLA CSCO NIO AAPL DG NFLX options StockMarket wallstreet fintech optionstrading blackbox 
2020-12-31,Huge Print CSCO Size 3085607 Price 4475 Time 1600 Amount 13808091325
2020-12-31,DJI US Dow Jones Industrial Average top INTC WMT CSCO UNH Selected by our stock screener  stocks  valueinvesting valuation
2020-12-31,CSCO most active call option 15Jan21 40 Calls See CSCO Option Chain 
2020-12-31,ZM FB SPY AMD QCOM MSFT TWTR SPAQ NIO NKLA WMT BA ATVI  PYPL AMZN SQ FSLY ETSY SHOP LYFT UBER CSCO BP TSLA CRM BIGC SHOP APPL ROKU ORCL 
2020-12-31,Geschlossen Put Option auf Cisco Systems Inc CSCO mit Strike zu 41 USD zum Verfallstag 15120 Prmie war 41 USD Rckkauf zu 15 USD nach 23 Tagen Gewinn nG 2040 USD bzw 05 79 pa Bye 2020Aktien Brse Trading Optionen CashSecuredPut Cisco CSCO 
2020-12-31,Worst performing Dow Jones stocks of 2020Boeing BA 34Walgreens WBA 33Chevron CVX 29Intel INTC 19Merck MRK 11JPMorgan JPM 10Cisco CSCO 73IBM 72Amgen AMGN 6Verizon VZ 5American Express AXP 4CocaCola KO 23M MMM 1DOW 1
2020-12-31, Some people just dont get it Maybe this helps Its been 20 years since CSCO peaked during the dotcom bubble and it hasnt been back to that high
2020-12-31,CSCO IGNORE THE FANTASTIC UOA HERE DONE ON DEC 31ST EX DIVE ON MONDAYI WAS SALIVATING TILL I SAW NOT ONLY THE HIGH OPEN INTEREST BUT THE EX DIV DATE 
2020-12-31,DOW JONES INDUSTRIAL AVERAGES MOVERSGAINERSINTCGSAXPDOWJPMCATUNHMCDTRVHONIBMMMMDECLINERSBACVXCRMAAPLWMTMSFTVNKECSCOHDWBAPG
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR ACI LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB 
2020-12-31,Best place for day trading swing trading stocks and options   SHLL GRWG GLLU DDOG NVAX NVDA NTES RVLV FUTU TNK LYFT PENN MU RVLV CSCO AMC TSLA PTON DVAX 
2020-12-31,TSLA is CSCO in the dotcom bubble except its happening much faster because much more traders and access to the market is much easier TSLA will become a lt50 stock  this is not me this is how market works in bubbles 
2020-12-31, I added to my PEG  CSCO T and SCHD  Also received dividends from PEG this morning
2020-12-31,Huge Print CSCO Size 1100000 Price 441875 Time 1138 Amount 4860625000
2020-12-31,CSCO bullish
2020-12-31,Today Top Flow in technology sector Buy Flow amp Sell Flow GOOGL MU GOOG LRCX ORCL INTU CSCO MSFT KLAC ADP FB T V NVDA AAPL AMAT EA HPQ CTSH INTC stock stocks StockMarket Investment investing  
2020-12-31,MU  Hourly Dec312020 AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,MU  Hourly Dec302020  AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,How to Trade How to trade Cisco Systems CSCO With Risk Controls  Click for Details 
2020-12-31,Added some CSCO this weekShoulda added more Guess Ill have to wait until next week 
2020-12-31,Making my last stock purchase of the year CSCOTodays the last day to get the 120 dividend 
2020-12-31,Markets open Keep your  onBMY ABBV SO CSCO MKTX HPQ 
2020-12-31,Large Print CSCO Size 181977 Price 4438 Time 930 Amount 807613926
2020-12-31,All you need to know about CSCO on a singlepage  
2020-12-31,AA   ABT  ANF  AVGO  CSCO  DLTR   EA   HOG  JNPR  MRO  PACW  possibilities at   depends from action can be fod swingtrade or daytrade and triangle or breakout trade
2020-12-31,For CIOs Theres No Place Like Home CSCO WBS DE WDAY PYPL 
2020-12-31,CSCO price chart is an interesting reminder of the 9900 bubbleThat price has not been reached againThe mindblowing part7438 Mio shares outstanding on Jul 29th 20004254 Mio shares outstanding on Jul 25th 20203rd biggest mkt cap company in 99 
2020-12-31,CSCO business transformation statement from the last 10KFrom hardware leading to more software and subscriptions pdf page 5 from the last 10K 
2020-12-31,CSCO weakness  acquisitions2020 was a par for the course year9 acquisitions or intendedBut historically they have failed to become a clear growth engine  
2020-12-31,CSCO 1PagerThe internet infrastructure giant is attempting a transformation into SaaS30B in cash and investments could provide a war chest to acquire one growth engineProbably still some pain ahead but can be a rewarding long term play 
2020-12-31,CSCO Goes ex div on Monday for 036 It has increased its div 3 times in 3 years Annual Yld is 32 
2020-12-31,WebEx CSCO 
2020-12-31,Cisco Terminates Smart Cities Plan Amid Pandemic Woes CSCO NOW FB BOX 
2020-12-31,CSCO To Confirm Terms Of Agreement Reached in Significant Partnership Deal With Nasdaq Traded CompanyBKT NXJ EVY TRYIY FDEF DNHBY FIF PFL SOJA MNTX NBH MYC
2020-12-31,CSCO weekly 
2020-12-31,CNP To Be Scooped Up In Cash And Stock Transaction By Unnamed Nasdaq Traded Company Official PR Coming Next WeekCMCSA PVTL AWGI NOK CSCO ECOB FPFI GAHC MMEX CHK DSCR SPOM
2020-12-31,  Sure do And when CSCO beat wink wink by a penny wink wink for 32 consecutive quarters as they were Lending money to their customers out the back door to buy their product that ended up in Semi Trailers Full in parking lots
2020-12-31,2020 In 12 Stunning Charts GE WMT AAPL AMZN CSCO INTC MSFT FB SPX GOOGL 
2020-12-30,CSCO CISCOSYSTEMS   Hebdomadaire Lactuelle acclration haussire enregistre  court terme sur CISCO SYSTEMS INC devrait rapidement permettre  la tendance de fond de 
2020-12-30,Current Positive DOW 30 Earnings Reported NKE CRM WMT HD CSCO 
2020-12-30,Large Print CSCO Size 192156 Price 4448 Time 1717 Amount 854709888
2020-12-30,News 1230AAPLAMZNAZNBABABABNTXCATCMGCRWDCSCODISFBGDRXGOOGGOOGLHPQIBMICPTINTCJACKKNDIMCDMELIMKCMRNAMSFTNFLXNIONKENVDAPFEPINSPYPLQSRREGNSPLKSPYTSLAZMZS
2020-12-30,Most Active 1230AALAAPLABEVACBACSTADXSAESAGNCAIKIAMCAMDAMPEAMRNAMRSASRTAUYAVGRAZNBABABABACBBBBDBFTBIDUBILIBIOLBLNKBNGOBPBTBTCCANCCLCFMSCHEKCIDMCLFCMCSACNFRCSCOCSCWCTRMCVECVXDALDISDKNG
2020-12-30,   Even the inevitables in 99 didnt do well as a stockMSFT took 16 years to get back to peak priceINTC and CSCO have never gotten back to that priceThe biz part of inevitables theory played out for all of those just the stock price didnt work
2020-12-30,CSCO Below Avg VolumeDaily appearances since 2010 394Close 5 days later Avg 000SD 120Worst 564Best 33310 days laterAvg 003SD 181Worst 636Best 42930 days laterAvg 063SD 387Worst 1385Best 838
