Date,Text_clean
2020-12-31,Keep an eye on LOAC  AAL AEO AFL AMC AMD APHA APPL BAC BJ BLNK CCL CHEF CMCSA CNK COTY CRSO CUBI CVS CZR DAL DKNG DPW EB EBAY EPD EV EVRI FANG FBC FCEL FSLY FUBO GLPI GLUU GNUS GPS H HAL HMST HPE HST IEC INTC IPOC 
2020-12-31,HAL Confirmation On Secret Reverse Merger Discussions Underway In New York City NTCPF FLIC HBAYF NBD PFNX FF HWKN BAND LRAD CURO CUBI CTWS
2020-12-30,Rose Above Previous Days High today GUNR CSTM DKNG XRT NESR IMO EBIZ DADA BXG SM UGL SABR MCBC CUBI IBUY CENT ANGO SSSS SE XLV  
2020-12-30,CRM CEO To Release Details Of New Joint Venture With Unnamed Nasdaq Traded Stock Talks In AtlantaCURO CUBI CTWS CTTAY CTT CTSO CTRL CTMIF CTLE CTBO CSU CSTE CSLT CSGS
2020-12-29,Customers Bancorp Listed in Kiplingers 6 Best Financial Stocks to Buy in 2021 CUBI 
2020-12-29,100 Stocks to watch in 2021AAL AEO AFL AMC AMD APHA APPL BAC BJ BLNK CCL CHEF CMCSA CNK COTY CRSO CUBI CVS CZR DAL DKNG DPW EB EBAY EPD EV EVRI FANG FBC FCEL FSLY FUBO GLPI GLUU GNUS GPS H HAL HMST HPE HST IEC INTC IPOC JD KMI KSS
2020-12-29,CUBI Customers Bancorp Listed in Kiplingers 6 Best Financial Stocks to Buy in 2021 
2020-12-29,Looking forward to 2021  included Customers Bancorp in its 6 Best Financial Stocks to Buy Read more at  CUBI
2020-12-29,HAL Confirmation On Merger Discussions Underway In New York City NTCPF FLIC HBAYF NBD PFNX FF HWKN BAND LRAD CURO CUBI CTWS
2020-12-28,Rose Above Previous Days High today GSS UVV DTP NUGT SLVP SLM VG MBUU MBT MTH ZION VOT AAN CUBI FANG ON EA AMPH J SPLG  
2020-12-28,Customers Bank Wins Prestigious Global Everbridge Critical Event Management Impact Award CUBI 
2020-12-28,CNNs Your Money will be having a segment on BBBY as soon as Tuesday FF HWKN BAND LRAD CURO CUBI CTWS CTTAY CTT CTSO CTRL CTMIF CTLE
2020-12-28,CLSK to bring to light new merger discussions already underway in ColoradoCURO CUBI CTWS CTTAY CTT CTSO CTRL CTMIF CTLE CTBO CSU CSTE CSLT CSGS
2020-12-24,CUBI in Downtrend its price may drop because broke its higher Bollinger Band on December 4 2020 View odds for this and other indicators  CustomersBan stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,TD BUY CUBI at 1746 Supp 1746 Resis 1897 R9  HiLo 56 T1Y 22 buy 23 PE 62 DIV NA Customers  stocks trading finance market  
