Date,Text_clean
2020-12-31,Monthly bullish MACD crossAAL ALK APA AXP BAC BURL CB CBRL CGC COTY DDS DISCA ECL EW GCP GRPN H HAS IBM IMAX JBLU JNJ JPM JWN KO KSS LGND LLY LTRPA LUV LVS MA MAR MJ PLAY RL ROST SAVE SEAS SIX SMPL TJX TLRY ULTA WYNN XLF V YELP
2020-12-31,Former Viacom shareholders can sue Shari Redstone over ViacomCBS merger   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,No more hiding behind  members  Plus to Hike Prices of UFC PayPerView Events Annual Subscription in 2021  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT 
2020-12-31,  Duck check out LSYN  i love all of the pref action but you really like QRTRA over DISCA here
2020-12-31,In Stephen Guilfoyles yearfinal 2020 note  considers Streaming Entertainment cordcutting the evolution of the services amp the pandemics effect Which names qualify as a SargeFave AMZN AMC DIS AAPL T VIAC LGFA DISCA  via 
2020-12-31,It Was a Fall Season to Forget for Broadcast TV Networks   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Midday bullish TTM Squeeze fired with highest  above the opening 30min high amp trading range gt 80 Min 5 amp Vol 750K Min Opt Vol 250 in any strike DISCA 
2020-12-31,Stocks trading at monthly highsLC WDC VTRS NFLX MGM DISCA MA SYF EAF NRG Scan updates every 5 secsnyse nasdaq
2020-12-31,DISCA Implied Volatility expiration 01152021 maxpain options  
2020-12-31,LightShed Partners Rich Greenfield on fuboTV as lockup expires viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Rose Above Upper Bollinger Band today NFLX DISCA GEVO SNCA LSAT  
2020-12-31,The Stock That Im Not Long but Want to Be Is Disney AMZN AMC DIS NFLX AAPL T VIAC LGFA DISCA  via 
2020-12-31,Discovery Plus launches 1421DISCA
2020-12-31,Connected TV Trends to Accelerate in 2021   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Bears Pile On fuboTV After 330 Rise In 2020 Bears Vs BullsRelated Tickers AMCX CMCSA DIS DISCA DKNG FUBO NFLX PENNRead more at 
2020-12-31,Wonder Woman 1984 Shows Promise for HBO Max Audience Survey Finds viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Wonder Woman 1984 Release Strategy Isnt Clear Victory for WarnerMedia  Variety viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Amazon Buys Wondery as Podcasting Race Continues  viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Virtual and victorious Anime came out on top in 2020   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Cinema Stocks Decimated Netflix and Disney Outperform in 2020 viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,Amazon buys Wondery to compete against Spotify for podcast domination viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,MU T DISCA BABA DDD PBI ARKK 
2020-12-31,Netflix maintains its lead over streaming rivals  viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,The 21 Most Influential TV Series Of The 21st Century So Far  viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
2020-12-31,VER Will Confirm Acquisition Talks Happening Now In PhiladelphiaRBNW NLSN HON APC WMB GILD APA DISCA
2020-12-31,DISCA CEO To Confirm As Early As Next Week That Advanced Acquisition Talks Are Ongoing In  MichiganCLR SU BTE PRTK MCET CNXS EYEG EQR FTI TCFINTK CNQ HK NWSA
2020-12-31,HAPPY NEW YEAR from Trade IdeasWere offering you 25 off your 1st month or year of Trade IdeasSALE runs from Wed Dec30 through Mon Dec04via    Coupon code is  AULDLANGSYNE25 BNGO PBI GCI NLSN NFLX AMZN PSEC DISCA 
2020-12-30,Research App spending reached 407m over Xmas  viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo 
