Date,Text_clean
2020-12-31,Large Print DISCK Size 160562 Price 2619 Time 1600 Amount 420511878
2020-12-31,Rose Above Upper Bollinger Band today NNBR CXH DISCK PMBC MXC EMF FFG SRLN  
2020-12-31,SUPN CEO Confirmation Of  New Joint Venture With Leading US Company Announcement PendingETPP GTE BONZ IQ WDC CUZ IHSI DISCK ATPT IGNE LUK NBL BTI SWK
2020-12-30,Rose Above Previous Days High today EVR HII RGLD HPS XPEV LYB PEB VLRS OTIS MEOH TS TGS DISCK HDSN CVAC JHG CTB AMG PHUN EAD  
2020-12-30,DISCK high OI range is 2250 to 2250 for option expiration 01152021 PutCallRatio032 maxpain options  
2020-12-30,This Streaming Upstart Is a SPAC to Watch  stocks CURI NFLX DIS CMCSA DISCA DISCK DISCB 
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AEO ALGM ASO AU CIIC DISCA DISCK DMTK EOSE FCX GES HWM LESL MOS MPW NLSN PLAY PS RKT SBNYP SUPN TRIP UNM VIPS VLDR
2020-12-29,CPRT DISCK and AMZN are the top gainers in the SampP500 for the day 
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AA AEO AES ARNC BKLN CCL CHL CLSK DISCA DISCK DMTK DXC EOSE FEYE FOXA GME GP ICLN INVH IPG LAKE LGVW LOAK MYOV NCLH NLSN NWL PACB RIDE SAVE SFM SIG SLV TRIP UNM WEN WFC WRI XLF
2020-12-28,20 DMA Support today AXTA GPM MERC RCS SNV DIAL CHNR FSR CTIC DISCK EWW ENTA CSX ADMP KNL BHVN GUSH OGI DVY BRY  
2020-12-28,Discovery streaming is launching on January 4th DISCA and DISCK are the top tickers related that are both up over 30 since the beginning November These runs should continue and I am looking to add on Monday
2020-12-27,Recent DISCK technical alerts Crossed Above 20 DMA plus 4 more alerts 
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 ADXN AU BHC CLSK DBX DISCA DISCK DMTK DMYT EH FE FOX FOXA HGEN HPQ LBTYK LCA LGVW NCLH NLOK SLV SMPL STPK TTCF VIPS WKHS XLF
2020-12-27,SBFM To Announce New Revenue Sharing Agreement With Fortune 500 Company Announcement Pending ETPP GTE BONZ IQ WDC CUZ IHSI DISCK ATPT IGNE LUK NBL BTI SWK
2020-12-27,DISCK Delta expiration 01152021 maxpain options  
2020-12-24,GSector SELL WK51 TMUS VG T WB DISCK NTES FOXA IPG IQ DISCA  Communication Services IYZ FCOM VOX XLC growthstocks stocks finance investment  
2020-12-24,SDGR To Announce New Revenue Sharing Agreement With Fortune 500 Company Announcement Pending ETPP GTE BONZ IQ WDC CUZ IHSI DISCK ATPT IGNE LUK NBL BTI SWK
2020-12-23,DISCK Max Pain is 2250 for maturity 01152021 maxpain options  
2020-12-23,DISCKs in Downtrend Moving Average Convergence Divergence MACD Histogram crosses below signal line View odds for this and other indicators  Discovery stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,DISCKs in Downtrend Moving Average Convergence Divergence MACD Histogram just turned negative View odds for this and other indicators  Discovery stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-22,A Form 8K PressNews Current Report filing has been made with the SEC  DISCA DISCK DISCB Discovery Inc  
2020-12-22,DISCK  Discovery Communications files form 424B7 
2020-12-22,Warning for those holding DISCA  DISCK  90dayfiance has been kneecapped  no new episodes and no pillow talk AND theyre trying to launch their own streaming platformPillow Talk was adding 185 more viewer hours and its gone  DISCA on back foot 
2020-12-21,DISCK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  Discovery stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20, For FOMO guy mo qrtea gs disck fhi   trying to find out if nni belongs hereFor Buffettcopycat mktx abnb dkng sklz evvty avlr twlo okta zi dcbo
2020-12-20,DISCK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  Discovery stockmarket stock technicalanalysis money trading investing daytrading news today 
