Date,Text_clean
2020-12-31,Rose Above Previous Days High today ESGRP ODC WEI IAI MBWM SHI DE QRTEP EQOS CZWI CIT SCSC THRY CSX SRTY PTBD PH DOV SEER ARGD  
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR ACI LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB 
2020-12-30, This stock trading software analyzes MILLIONS of trades while you sleep to find the best trade setupsAutoTrading via  HollyAI AutoTrading StocksAVGO BABA  CDNS CAVM CERN CHKP CSCO CTXS CTSH CSC DVMT DOV DST 
2020-12-30,Dover Corporation Shares Close in on 52Week High  Market Mover  DOV stockmarket kwhenfinance
2020-12-30,Rose Above Upper Bollinger Band today EWH IYF KJAN PDEC SPLB RNWK AMCR PPLT DOV SHV BSN MHLD TMFC BBI TT EW ZBH ALEX KSS RLJ  
2020-12-30,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  SPAQ JAKK IDEX BOXL TSLA NKLA HYLN HTZ SPCE WKHS AAPL FB DOV DST ATVI EA MU PYPL SIRI  SCHW HD KRLYFT UBER FISV SYMC CHKP SWKS CA 
2020-12-30,WMB To Be Featured on upcoming Your Money Segment On CNN Gaining Nationwide ExposureALGN SBH SBS ISRG PSTG AVEO GES DOV LNG ROIC HCLP FSIC RYAM
2020-12-29,Large Print DOV Size 248673 Price 12351 Time 1830 Amount 3071360223
2020-12-29,Blackmer Releases New System One High Temperature Series Centrifugal Pumps DOV 
2020-12-29,Largest Notional Buy On Close Order Imbalances JPM CL PSX LOW CRM PG SQ DOV HD DELL 
2020-12-29,DOV Blackmer Releases New System One High Temperature Series Centrifugal Pumps 
2020-12-29,DOV Blackmer Releases New System One High Temperature Series Centrifugal PumpsFrom our Stock News Alerts App
2020-12-29,20 DMA Support today ASEA IWC XCEM CPK PEGA BLKB DOV COKE VLRS GVA TDAC  
2020-12-29,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  F C JPM BCRX M T FCX HWM V MS CDNS CAVM CERN CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR 
2020-12-29,Rose Above Upper Bollinger Band today SQM NEE SPY IT TT BTO FUL INTF ZTS UDOW EGP TRNO CAE V DOV AME MXC CUBE O COO  
2020-12-29,DOV Todays Market View  Bushveld Minerals Greatland Gold Power Metal Resources and more   DOV
2020-12-28,AvGODOVQCOM
