Date,Text_clean
2020-12-31,Duke Energy  DUK QUOTEDUK is UP  on Thu Dec 31Currently at 9068 USD for a 014 gain from previous close   ANALYSISDuke Energy should be nationalized  
2020-12-31,Today Top Flow in utilities sector Buy Flow amp Sell Flow SRE DUK AEE FE NI XEL CMS SO PEG DTE NEE PCG ED WEC PNW ETR AEP D EIX EXC stock stocks StockMarket Investment investing  
2020-12-31,Some of the largest stocks that hit new All Time Highs so far todayTesla TSLADisney DISPinduoduo PDDHDFC HDBStarbucks SBUXInfosys INFYDuke DUKSouthern Copper SCCOMonster MNSTCanadian Pacific CPCadence CDNSAptiv APTVGenmab GMABLogitech LOGIONALLY
2020-12-31,DUK Check out this chart I made with   I have a July 2021 position Notice the blue raindrop at the gap down which just so happened to be right at the trendline Trend holding well so far Id be thrilled if we close above 91 today
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 90 and 100 AMD ATHM BILI BLL CHWY DUK FATE FSLY ITRI KMX LOGI NTES NVS PLD SYNA
2020-12-31,NRZ CEO To Announce Open Market Share Buy Back Program Before FridayACAD RDFN TINO DKS MAN AKER DRE HAS SBGI DUK LVS NWL POTN
2020-12-30,Large Print DUK Size 350757 Price 9056 Time 1830 Amount 3176455392
2020-12-30,Rose Above Previous Days High today GNTY CSTR UNTY ALTA RBB LEVL OPBK VNTR SPVM FTDR CMCO TPIC DUK GTHX FARM BME STLD GWB TISI CATO  
2020-12-30,Today Top Flow in utilities sector Buy Flow amp Sell Flow AES NEE SRE PNW CNP EIX NRG DUK CMS XEL ETR PEG PCG WEC DTE EXC ED NI AEP FE stock stocks StockMarket Investment investing  
2020-12-30,Duke Energy  DUK QUOTEDUK was DOWN  on Tue Dec 29Closed at 8986 USD for a 043 loss from previous close   ANALYSISDuke Energy should be nationalized  
2020-12-30,My trades for Wednesday 123020 adding more dividend income with O VNQ amp DIA  SPG  CLOU  DUK  and adding to my position with WM  spending that deposit bonus stocks investing fintech
2020-12-29,Large Print DUK Size 392611 Price 8986 Time 1830 Amount 3528002446
2020-12-29, December Dividends Total Payments  9 Total Amount 1725 Companies include AFL V KO O STAG MAIN SCHD DUK BAC
2020-12-29,DUK Implied Volatility expiration 01152021 maxpain options  
2020-12-29,Rose Above Previous Days High today EWS CL DUK SPGI ESS ADC SLG NHI BDN VICI DEA DRE PGRE CXW DXCM RCL MDLZ LVS ELS WRE  
2020-12-29,DUK Check out this chart I made with   All the way back from the crash starting to believe
2020-12-28,Large Print DUK Size 145627 Price 9025 Time 1830
2020-12-28,Large Print DUK Size 145627 Price 9025 Time 1600
2020-12-28,Imagine Owning This Energy Stock Throughout The Pandy XOM CVX SLB COP BP SUN MRO OXY PSX PBR KMI ET ENPH FSLR QQQ XLE RUN TAN GE BE FCEL PLUG TSLA SPCE DUK BLDP BA DAL CCL BABA MSFT PTON MRNA LI PENN DKNG 
2020-12-28,Because most of Americas power lines are operating beyond their lifespan America has more power outages than any other developed nation in the worldXLU PCG EIX SO NEE ICLN TAN FAN BIP ED DUK POR VST SRNE CNP
2020-12-27,DUK Check out this chart I made with   Ugly false breakout during the consolidation Might be making our final stand here Needs to hold
2020-12-27,SNDD CEO TO Detail Huge Partnership Agreement With Leading US Company As Early As WednesdayACAD RDFN TINO DKS MAN AKER DRE HAS SBGI DUK LVS NWL POTN
2020-12-26,Imagine Owning This Energy Stock Throughout The Pandy XOM CVX SLB COP BP SUN MRO OXY PSX PBR KMI ET ENPH FSLR QQQ XLE RUN TAN GE BE FCEL PLUG TSLA SPCE DUK BLDP BA DAL CCL BABA MSFT PTON MRNA LI PENN DKNG 
2020-12-25,Popular OII BK SPGI CAH MRTX IR TMF EW LFTR CEIX CB DUK RSVAU AKTS YUM GTBIF FTNT ORI RNG
2020-12-24,My RKT position is dead RIP My DUK July 2021 position is hangin in the balance but hanging non the less Not concerned about it And I have a January WMT position All cash otherwise
2020-12-24,DUK Max Pain is 9000 for maturity 01152021 maxpain options  
2020-12-24,GSector SELL WK51 EXC FE EIX PEG NI DUK ED AEE AWK  Utilities XLU FXU growthstocks stocks finance investment  
2020-12-24,MIDD CEO TO Detail Huge Partnership Agreement With Leading US Company As Early As Monday ACAD RDFN TINO DKS MAN AKER DRE HAS SBGI DUK LVS NWL POTN
2020-12-23,Ambitious CleanEnergyPlan Senator Kerry back in business Thats why I asked 4A Generac GNRC for Christmas for those future months when the propane tank is low winds dont blow the sun doesnt shine and the federalsubsidies for them run dry D DUK SO NRG APU SPH  
2020-12-23,DUK in Uptrend price expected to rise as it breaks its lower Bollinger Band on December 21 2020 View odds for this and other indicators  DukeEnergy stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,DUK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  DukeEnergy stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,Rose Above Previous Days High today PRPB ERUS NURO DM DRE DUK MDU CCC GRX PLXS E WRB WBS TDG ECC ECOM A DJP UFI ARES  
2020-12-23, Im one of the few who doesnt should run a concentrated tech portfolio My divvies are 12 portfolio appl abbv afl bmy c d duk ibm jnj low msft ms nee orcl  pfe payx unh chips amd intc mrvl nvda mu others band pton vrtx doc wix zm lazr mgni fubo
2020-12-22,Good movers today  these stock have created a good starting point for future move in the next 13 weeks pubm wkhs psti pulm lazy cdtx prts wve hlit vsat fmtx vsat hdsn sats apto vst hog bb rmti pbf lak san eqh duk
2020-12-22, What you expect from duk Wendy
2020-12-22,Bought 7 shares of DUK and 2 more shares of PPL 
2020-12-22,DUK on watch it just entered the BuyZone at 88785 Potential entry aroundunder 875 DDAP
2020-12-21,trading alerts stockmarket AI MLAlgo v30  20201221 1530BullishMA Pullback TTMSqueezeOnMDT  TTMSqueezeOn TTMSqueezeOnZTS Pullback TTMSqueezeOnBearishMOMO DUK DOMO Subscribe 4full alerts soon  
2020-12-21, Nice Yeah Ive been holding O SO and DUK for awhile WTRG is another utility company I hold for dividends
2020-12-21,athletic I wanted to open a position in utility and tech stocks in my IRA nothing big So Im looking into SO amp CSCO or NTAP I already have DUK in my brokerage thats why i was opting for SO
2020-12-21,DUK on watch it just entered the BuyZone at 89 Potential entry aroundunder 8769 DDAP
2020-12-21,Oversold on Hourly   STX  6629  to 6488 EBAY  5325  to 5273 DVN  1625  to 1556 MCD  21564  to 21382 DUK  9160  to 9080 JWN  3148  to 3032 XME  3310  to 3266 GT  1086  to
2020-12-21,DUK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  DukeEnergy stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-21,Why are utility companies one of the biggest supporters of 100 electric vehiclesBecause they have a lot to gain from itXLU PCG POR DUK ED EIX SO D BRKB BRKA NEE PPL NGG SNP EXC SRE XEL
2020-12-21,Dividendos cobrados la semana pasadaDOV O DUK MMM MCO SWK KO ATO y NEE
2020-12-21,DUK Implied Volatility expiration 01152021 maxpain options  
2020-12-21,Fri 121820 bearish TTM Squeeze fired with greatest  below the opening 30min low amp trading range lt 20 Min 5 amp Vol 750K Min Opt Vol 250 in any strike TCS FL BXP SPG VFC DUK 
2020-12-20,Dividendos cobrados esta ltima semana MMM HSY KO MCD DUK HD KHC RDSA 
2020-12-20,Oversold on Hourly   DUK  9160  to 9080 JWN  3148  to 3032 XME  3359  to 3293 GT  1086  to 1061 HAL  2029  to 1976 GS  24539  to 24157 KRE  5159  to 5085 OI  1190  to 11
2020-12-20,DUK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  DukeEnergy stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,Duke Energy  DUK QUOTEDUK was DOWN  on Fri Dec 18Closed at 9032 USD for a 131 loss from previous close   ANALYSISDuke Energy should be nationalized  
2020-12-20,Some trades are just for fast money  Trade like DUK  We did 90 to 96  Its back to 90 now  Might continue to decline to a new low On watch 
2020-12-19,BLNK PLUG RMO DUK  
2020-12-19,DUK in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  DukeEnergy stockmarket stock technicalanalysis money trading investing daytrading news today 
