Date,Text_clean
2020-12-31,No more hiding behind  members  Plus to Hike Prices of UFC PayPerView Events Annual Subscription in 2021  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT 
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR ACI LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB 
2020-12-31,End 2020 with a free preview of the day ahead with Hammerstones Early Look here Sign up for your FREE 2week trial for our news feed and 4 daily Reports so you continue your momentum and start 2021 strong as wellDVN ENPH XOM BRKS FOXA T
2020-12-31,FOX T FOXA  Fox CNN notch cable news records in 2020 
2020-12-31,GM To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AMH ANF ARNC AVTR BLDP CCL CLSK CMC CNQ DLX DXC EQC EQH FCX FEYE FOXA GP HFC HPQ INVH MCRB MYOV NCLH PACB PDI PLTR PUBM RIDE RKT SAVE SC SLB SLV SPWR TRGP TRIP UNM VIPS VLDR WRI
2020-12-31,EBAY CEO Release Details of Pending Merger With Unnamed Nasdaq Traded Stock Following Talks In NYCDCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU
2020-12-31, Fingers crossed short FOXA
2020-12-30,Large Print FOXA Size 176905 Price 2909 Time 1600 Amount 514616645
2020-12-30,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  F C JPM BCRX M T FCX HWM V MS LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA 
2020-12-30,FOXASali de la zona de soporte donde tena marcada la entrada no tenia razn para preocuparme pero de ah para arriba la accin esta en profitBiba trum 
2020-12-30,Stocks making the biggest moves AZN INTC FOXA T AAPL   CVAC MRNA LEVI MKC  AMC CAT BABA JD MVIS 
2020-12-30,2000 Stimulus Checks Blocked  FastSpreading Variant Enters US JD MVIS CVAC INTC FOXA AAPL AMC amp moreNews Headlines Stocks StockMarket Equities Finance Investing Trading DayTrading NYSE NASDAQ WallStreet 
