Date,Text_clean
2020-12-31,GDPs price moved below its 50day Moving Average on December 21 2020 View odds for this and other indicators  GoodrichPetroleum stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-30,Rose Above Previous Days High today VMO GDP IGBH TMX FHLC CNOB SABRP APG TPRE FDUS TMTSU CPE IVE DAL JETS KOMP RTM PEI BORR BDJ  
2020-12-28,DOWNSIDE MOMO GDP Goodrich Petroleum Corp    TradeIdeas via  
2020-12-24,GDP in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  GoodrichPetroleum stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,DGTW Confirmation On Merger Discussions Underway In Las VegasEDNMY EMYB SVBI MBCN APEN ZXZZT GDP KMPA DGGXF WINA TIXC
2020-12-22,USA 3Q GDP grew at revised 334 pace est 331 TrumpConceded signs federal spending StimulusCheck  legislation
2020-12-22,Top Losers 1221CUROCVEOCYRNDADADBVTDLADSEDSSEASTEBFEDTKELAENOBEOLSERFERJEXPRFAMIFFHLFGENFGFFHTXFIFLMNFNCBFUNCFVEGDPGLOGGLOPGNSSGOLGPRKGRIFGSXGTTHDSNHGLBHGSHHJLIHSTOIIIIMGNINSWINZYIRCP
2020-12-22,Stimulus Passed GDP API Due AAPL Cars  Whats up in Markets Tuesday  
2020-12-20,Although the technical rating is only medium GDP does present a nice setup opportunity  
2020-12-20, The USA ALREADY has significantly less CO2 output per GDP than the world averageIf CO2 is really a problem go after India and China theyre many times less efficient  youwont
2020-12-18,Rose Above Previous Days High today GOOS GDP OMP ACMR FSI ENTX EQ IX DTIL HIBS INMD SLGG FIII CATC CBH CBFV HEES CBNK XOMA LOAN  
2020-12-17,GDP New SEC Filing for Goodrich Petroleum Corporation NYSE AmericanGDPFrom our Stock News Alerts App
2020-12-17,50 DMA Support today CMCM GDP VAPO PWFL ARTL AC HROW PAVM  
2020-12-17,Goodrich Petroleum Announces Appointment of Senior Vice President and Chief Financial Officer GDP 
2020-12-16,GDP Goodrich Petroleum Announces Appointment of Senior Vice President and Chief Financial Officer
2020-12-16,Bloomberg Goodrich Petroleum GDP CFO Robert Barker retires effective today and Controller Kristen McWatters named successornew title will be SVP CFO and CAO OOTT EFT
2020-12-16,GDP Goodrich Petroleum promoted Kristen M McWatters the Controller to Senior Vice President CFO and Chief 
2020-12-16,Goodrich Petroleum announces CFO transition GDP 
2020-12-16,GDP  Goodrich Petroleum announces CFO transition 
2020-12-16,GDP Goodrich Petroleum Announces Appointment of Senior Vice President and Chief Financial Officer 
2020-12-16,GDP New SEC Filing for Goodrich Petroleum Corporation NYSE AmericanGDPFrom our Stock News Alerts App
2020-12-16,A Form 8K PressNews Current Report filing has been made with the SEC  GDP GOODRICH PETROLEUM CORP  
2020-12-16,GDP Goodrich Petroleum Announces Appointment of Senior Vice President and Chief Financial OfficerFrom our Stock News Alerts App
2020-12-16,GDP  Goodrich Petroleum files form 8K  Departure of Directors or Certain Officers Election of Directors Appointment of Certain Officers Compensatory Arrangements of Certain Officers   FORM 8K 
2020-12-16,713 SD amp GDP
2020-12-15,GDP 50ma support higher lows 
2020-12-14,GDP New SEC Filing for Goodrich Petroleum Corporation NYSE AmericanGDPFrom our Stock News Alerts App
2020-12-14,50 DMA Support today CTAS DLPN RVNC BLL GSV GLMD AKRO PRTS RLAY CVV SCHZ HCKT EAGG GDP CBSH HNI AIHS DT NFLX PCRX  
2020-12-14,NYSE Oil amp Gas YTD Share Price Performance TGC SNMP MARPS AR RRC MXC GBR SWN BRN USEG EQT CNX GDP EPSN BCEI COG NFG HUSA HES EQNR TOT SBR CNQ CVX AXAS CDEV NOG LPI HNRG PNRG VIST BTE PVAC GTE VET REI TALO CPE PHX TELL HPR SNDE GPOR WLL 
2020-12-11,Canada Toronto TSXV stockmarkets smallcap 32 stocks rose41 fellHot stockstowatchMostActive HEM SVA JTR BRAG GDNP FLWR HPQ HEO PGM GSI TopGainers  ICAU 36 HEM 33 EVX 30 IPA 26 GOT 24 GDP 21 KING 20 EV 20 
2020-12-10,Hits to GDP and increase in tarif could be the result of BrexitShambles
2020-12-09,BCN PXC LUC PAAS PRYM TTAU CAML HZM JYP GDP FAR BMN PRE MKA PREM IRR NQMI EML 
2020-12-08,50 DMA Support today RACA MGNX RGCO GDP SJT  
2020-12-03,My Latest GDP REGI LBRTThree High Flying Oil And Gas Stocks 
2020-12-01,GDP  Goodrich Petroleum Corp The machine learning model computed this company s stock price should remain flat in the coming days and is poised to devalue in the coming weeks stocks accounting credit
2020-11-30,  To top that the stock markets at an all time high Contracting GDP and booming StockMarket  How much futureforward looking  Celebrating less than expected contraction What will happen when the GDP goes to 7 or thereabout 
2020-11-28,ENSV  FTSI  ENG  TDW  RIG  CEIWeekly Extremes  EnergyCTRA  BROG  GDP  GPOR  NRP  CBAT 
2020-11-25,We have never had a negative quarter with GDP down 30 as market may be ahead of itself Europe is fullon monetary response BTC is the result of culmination of the last year
2020-11-25,UPSIDE MOMO GDP Goodrich Petroleum Corp    TradeIdeas via  
2020-11-22,Stocks to watch Nov 23 thru Nov 27 aif banc mitk toke bbf ardc evn nxn tig cgo airg mj gdp naii grwg amp wyy Widepoint Corporation the catalyst 
2020-11-22,New hi 1111GRAYTCONLEDXYNBRKSMNKDDNLIBSIGROADBHVNBEAMZLABDZSIPACBENSGPLUGKRNTRTRXHVTSTIMNWSAXPELNWSAPGCOWNVCYTOPRXRAREKYMRINSPMGIFATEGDPCRSRTWSTBIPCHTHTSTNEFPILDLSWAVERIEMSTRKNSLEBCUI
2020-11-22,GDP  Goodrich Petroleum Corp The statistical model computed this company s stock price should remain flat in the coming days and has weak long term fundamentals money motivation marketing
2020-11-21,FTSI  HPR  EGY  SM  PRT  TUSKWeekly Extremes  EnergyCTRA  GDP  TALO  HPK  FTK  GPOR 
2020-11-21,Earnings before open 115CGENCHHCICIOCIRCLVSCMLSCMRXCNCECNHICNKCNPCNQCOMMCORECPRICRONCSUCWENDDCTHDHCDISCADISCKDNBDUKDXYNEARNECOMEPAMESTEEVAEVOPEVRGEYEEYPTFOCSFOEFOLDFOURFVEGDENGDPGELGLPGM
2020-11-21,Recent GDP technical alerts MACD Bearish Signal Line Cross plus 14 more alerts 
2020-11-20,Goodrich Petroleum To Participate At Upcoming Event GDP 
2020-11-20,GDP Goodrich Petroleum To Participate At Upcoming Event
2020-11-20,20 DMA Support today CVGI SELB GDP  
2020-11-20,GDP Goodrich Petroleum To Participate At Upcoming Event 
2020-11-20,GDP Goodrich Petroleum To Participate At Upcoming EventFrom our Stock News Alerts App
2020-11-20,Goldplat PLC GDPL GDP Stock Passes Above Two Hundred Day Moving Average of 666 
2020-11-20, EampPs who have either guided or who are biased towards maintenanceoxy eog apa clr wll sbow pdce crk gdp cnxfang xecList is not complete by any means  I am probably missing a handful
2020-11-18,Todays Top  Losers NASDAQ ONCT PAYS CBAT ATHE SNDA NYSE AVYA STG DQ NCLH NIO AMEX CTO GDP ZOM FURY NAVB OTC ECEZ JADA TGRR DXBRF DGTW 
2020-11-17,Rose Above Upper Bollinger Band today DXC VVNT WMB GPP FL OPBK PFHD GDP NS CRSA  
2020-11-14, I like the idea of DoughnutEconomics by  providing a framework for living within PlanetBoundaries taking into account the SDGs to create a thriving society with a UBI and a CircularEconomy not using GDP as success measure 
2020-11-13,5 sections of GDP 10Q analyzed J score of 8910 1083 difference since last filing  0 redflags found in the XBRL and 0 insider events out of the ordinary
2020-11-13,GDP New SEC Filing for Goodrich Petroleum Corporation NYSE AmericanGDPFrom our Stock News Alerts App
2020-11-13,New 52 Week High today FPI ACHC DLB GDP  
2020-11-13,  I had missed this discussion Looking through comments So bullish sentiment on AR GDP CRK etc at current levels Like as these guys will finally create value or like shortterm proxies to ride the gas bull thesis Interesting
2020-11-13,At 718 trillion the Feds BalanceSheet now account for over 13 of the US GDPSHV SHY IEF TIP BIL TLT IEI VCIT BNDX VCSH BSV GOVT MINT BIV 
2020-11-12, Love the opinion but I respectfully disagree on where people are focusedIMHO the YTD moves by NG equities is discounting some of this hype youre talking aboutRRC 40EQT 33AR 30GDP 23SWN 18CNX 6COG 3NFG 12CRK 44GPOR 92
2020-11-12,New 52 Week High today ACSI GDP MIDF ACVF  
2020-11-12,The UKs GDP grew 155 in the past quarter just shy of the markets expectation of 158 
2020-11-12,52 wk highs Thurs  NIO PDD MNKD NUAN CELPH GH AXTI ASML EVOL RH DSKE STKL DNLI OCUL STAA ORSN CDLX ONCS NVEE CDAY SWAV NWS RARE TWST PODD EIDX VCYT KURA RCM MSTR PAR MCFT DAVA DZSI KRNT HBP GDP INSP SMMC TTGT
2020-11-12,GDP New SEC Filing for Goodrich Petroleum Corporation NYSE AmericanGDPFrom our Stock News Alerts App
2020-11-12,GDP 15s delayed filed SEC form 4 Insider FRANKLIN RESOURCES INC Disposed 47705 of Common Stock at price 0 on 20201109 decreased holding by 2 to 2233995 shares  
2020-11-12,  agree that CRK interestingeasy to nitpick EampPs but if NG keeps moving higher the stocks are all going higher near term  Crappiest ones might be best investments IMO  Little GDP an interesting Hville play thats under the radar
2020-11-11,GDP  purveyor of natgas best levels since summer 2019 Cant say the same about much of the rest of the gassy group or their flashy Haynesville peer CRK Still relevant piece from April 
2020-11-11,GDP  Goldplat plc Update on Preliminary Results amp Sale of Kilimapesa 
2020-11-11,New 52Week Highs Top 10 APVO 35370 TWI 23150 IEA 18670 DAC 16550 GDP 14070 LDL 13540 HRI 11160 COGT 10350 MGI 10140 USLM 9870 stocks stockmarket stockstowatch 
2020-11-11,2020NOV10 715pmGDP Goodrich Petroleum up 1407  156 million gainNov 10 Goodrich Petroleum Guiding For 25 Production Growth In 2021  Seeking Alpha 
2020-11-10, GDP Another Z4 sleeper that got away from me 
2020-11-10,Rose Above Upper Bollinger Band today MORF GDP PNR G MAIN NGM ASG EXLS BCAT CSGS CVCO INFN REGI PXE VKTX FTAI CIEN XSVM EVA SIRI  
2020-11-10, GDP Coming up on resistancesupply at 1150 Expecting buyable pullbacksDaily and weekly charts 
2020-11-10,GDP 
2020-11-10,GDP Golden Pursuit Announces Acquisition of the WT Myrt Lake Project Gordon Lake NWT 
2020-11-10,GDP  Goodrich Petroleum Guiding For 25 Production Growth In 2021  stockmarket business stocks
2020-11-09,Rose Above Upper Bollinger Band today VRTV VRP FCEL HBAN XLF BCO GDP CLM CWT APHA FAS HMI ADTN NCZ BCC CG XAN TW HRTX PII  
2020-11-09,GDP Earnings Intelligence Analysis of recent earnings identified Goodrich Petroleum Corp  NYSEMKT GDP  business focus on cashcreditdebtguidance cashgas cashgasguidance
2020-11-08,GDP  Goodrich Petroleum Corporation GDP CEO Gil Goodrich on Q3 2020 Results  Earnings Call Transcript  investing stocks business
