Date,Text_clean
2020-12-31, For Compounders HEI IAC TMO MASI MTCH CSUTO NOW RACE SNAP BLFS
2020-12-31,Portfolio as of December 31 2020 CHTR GFL CSUTO MTCH TDG SYK MA MSFT FB HEI PVFUN MASI PIFTO IAC CGNX HOMUN LVMUY BAM GRTUN ADSK RICK MVPTO BLFS YTD Return 3387YTD Vol 3008Sharpe 108Sortino 152 
2020-12-31,My Watchlistis long but below are the top onesTop 10  CRWD NET PTON CHWY JD PDD RDFN U PYPL BL Next 10  AAXN GDRX COUP DDOG ESTC FVRR FTCH IIPR CRNC RGENBigOld Cos that Im interested in MSFT ADBE ADSK TEAM COST HD NFLX NVDA HDB HEI
2020-12-31,long brkb heiCap 
2020-12-31,Best ideas for 2021BRKBFBPCGJPMKRHEIAIAYX 1 year
2020-12-31,See what we wrote about HEI earlier this year in case you missed it 
2020-12-31,HEI filed its 10K on Dec 23 Comparing the current to the prior year for deletions red and additions green we found some changes that speak volumes of how the company and its leadership thinks of its employees Truly more than just employees 
2020-12-31,WFC Confirmation Of Merger Discussions With Leading Company As Early As Next Week IDMMF NTRSP MUS SSREY HIFR HI HHC HGT HFRO HESpA HEP HELE HEI HEES HE HCMLY HCKT HCHC HASI
2020-12-31,HEIClose to adding 
2020-12-30,Large Print HEI Size 545292 Price 13249 Time 1830 Amount 7224573708
2020-12-30,scaled into more of this today hei  
2020-12-30,Rose Above Upper Bollinger Band today FLGB IUSG EWW MSGN MAG BSQR IGACU AIR VOOG HEI UVSP AOA AGRO FLNT AOK ZNTEU MGC RBAC IYG ORI  
2020-12-30,CLF CEO Release Details of Pending Merger With Unnamed Nasdaq Traded Stock Following Talks In NYCGTGEF IEP FTSSF ARII PBCRF SCD MWXRF SSOL LRTNF HEIA OMVE CUR EFL STBZ EIA PCMI DGMLF
2020-12-29,WFC Confirmation Of Merger Discussions With Top US HouseHold Name Company As Early As Next Week IDMMF NTRSP MUS SSREY HIFR HI HHC HGT HFRO HESpA HEP HELE HEI HEES HE HCMLY HCKT HCHC HASI
2020-12-28, No hei no
2020-12-28,KMX CTAS NEOG VNCE HEI CVGW 
2020-12-28,Another bag  on the way HEI 
2020-12-27, HEI awesome business Great people too
2020-12-26,The five new stocks are Abbott Laboratories ABT HEICO HEI Miller Industries MLR Thermo Fisher Scientific TMO and Zoetis ZTS
2020-12-26,El gran  publica de manera anual su lista de 25 acciones preferidas y acaba de publicar su lista para 2021 Su seleccin ha batido al SampP 500 durante 15 aos Entran ABT HEI MLR TMO ZTSSalen BDX EGBN GL HRL RPM 
2020-12-25,Investors of HEI commonly refer to him as the optometrist A great read especially if you havent heard of him
2020-12-24,Largest Aerospace amp Defense sector stocks by market capBoeing BARaytheon RTXLockheed Martin LMTNorthrop Grumman NOCGeneral Dynamics GDL3Harris LHXTransDigm TDGHeico HEITextron TXTAxon AAXNCAEWoodward WWDHuntington Ingalls HIIVirgin Galactic SPCEBWXT
2020-12-24,20 DMA Support today MGEN DRV IVZ CM THS HEI MOV MCRB RCS BCEL RYN FFG IP XHR JUPW ZTR EARS ESGE FBNC FE  
