Date,Text_clean
2020-12-31,Popular HPP SYY MC
2020-12-31,Rose Above 50 DMA today HPP PRAA WRE ABT HLF MRTN  
2020-12-31,200 DMA Support today OSTK PING TRC HPP  
2020-12-31, Great picks  PF1 RDN CXU OKR HPP
2020-12-30,Large Print HPP Size 383869 Price 2387 Time 1830 Amount 916295303
2020-12-30,Rose Above 50 DMA today QH APTX AKER GBIO TNK PLX HPP HAPP WIMI MOH XELA ATCO HFWA ABT HEPA ABUS SELB BTAI CCMP CNXN  
2020-12-29,Large Print HPP Size 130220 Price 2349 Time 1830 Amount 305886780
2020-12-29,Rose Above Previous Days High today KIM LSI UNIT ZBH JRS A EMQQ VNO EQR NGE RWO SDIV NTES BA AEE IQV GOOG AVB WRI HPP  
2020-12-29,Another 16 285BUG aka HPPHappy New Year Loch 
2020-12-29,HPP 
2020-12-29,HPP old name  BUG Up 60  in last 5 trading days As I said Cheap things dont stay cheap for long   
2020-12-29,HPP I miss that big seller 
2020-12-29,BUG BUGax has been renamed to HPP HPPaxHealth And Plant Protein Group up another 10 today thus far 27c  31m MC20m Cash on Hand22m Inventory 29m AUD45m macadamia nut orchard 32m USD16m Total LiabilitiesLooking forward to Dec Qtr sales figures
2020-12-28,Large Print HPP Size 154055 Price 2402 Time 1830
2020-12-28,Rose Above Previous Days High today ARKW GDDY GSK SSL HPP POST GATX AVTR SPHY CFFN SM RE JPHY TANH ACRE PANW RHS STK RTX AWI  
2020-12-28,Worst 52w performing  reits realestate VNQ1  VORNADO REALTY TRUST VNO 4512  SIMON PROPERTY GROUP SPG 4283  SL GREEN REALTY CORP SLG 3864  THE HOWARD HUGHES CO HHC 3635  HUDSON PACIFIC PROPE HPP 360
2020-12-26,VNUE CEO Confirmation Of Covert Acquisition Discussions Ongoing In HoustonATKR SERV EVH SRUP CYD HPP UTHR APPS APHQF FGEN IRBL EPXY TONR
2020-12-26,BUG is now HPP
2020-12-25, HPP
2020-12-24,200 DMA Support today SFET BKT NGG GHG EQX SALT HPP SDPI MIRM OSPN  
2020-12-24,20201223 DEA BMO Capital Markets Outperform 26 EVLO JMP Securities Mkt Outperform 27 HGEN National Securities Buy 35 HPP BMO Capital Markets Market Perform 27 KLDO JMP Securities Mkt Outperform 22 LAC Stifel Buy 1325
2020-12-23,Rose Above Previous Days High today G NLSN WMB CWB CNC THR RPAI SCHX ETM AFG APO PBF ESE THC TYL ESRT ETO HPP AMN QRVO  
2020-12-23,HPP BMO Capital Initiates Coverage On Hudson Pacific Properties with Market Perform Rating Announces Price Target of 27BMO Capital initiates coverage on Hudson Pacific Properties NYSEHPP with a Market Perform rating and announces Price Target of 27
2020-12-23,ACC ALEX DEA EGHT HARP HEI HON HPP KLDO LAC LAC LAZR LINX NKTX NMRK ONDS PAYS PCPL PD QCOM RDSA SQ SWBI TME TTGT TXRH MCRB LAC IT IQ IIPR Latest Analyst Ratings
2020-12-23,HEI HELE HGEN HPP HUM IAC IIPR IT KMX MCRB MDB MRNA NDA NKLA NKTX PANW PD PFE PYPL QCOM SHOP SPOT 23 
2020-12-23,Hudson Pacific Properties HPP Receives New Coverage from Analysts at BMO Capital Markets  markets
2020-12-23,HPP BMO Capital Initiates Coverage On to Market Perform  PT 2700 
2020-12-23,HPP BMO Capital Markets starts at Market Perform
2020-12-23,Hudson Pacific Completes 625M Purchase in Joint Venture with CPP  markets trading stocks HPP
2020-12-23,BUG looking forward to the code change to HPP so we can stop sifting through all these global cyber ETF tweets to find the real gravy
2020-12-22,Scan results  MACD Bearish Centerline Cross today QURE TGP TRP MLHR HLF YELP FDX BRKB CTB WOR RLAY JKHY SJI SAFM URBN HPP TCP KRA VZ INSM  
2020-12-22,Scan results  Stochastic Buy Signal today LAC NVTA RIDE ATNX SC SWIR VST NWSA ODT SPCE ETR ZGNX OGE HPP AFG DGX NXST WW CW RHP  
2020-12-22,Hudson Pacific Properties and CPP Investments Complete Acquisition of 1918 8th Avenue in Seattle HPP 
2020-12-22,Hudson Pacific Properties JV closes on 625M Seattle office tower purchase HPP 
2020-12-22,HPP Hudson Pacific Properties and CPP Investments Complete Acquisition of 1918 8th Avenue in Seattle 
2020-12-22,If you invest 1000 in HPP today at 2401 per share and the stock prices rebound back to prepandemic prices at 3870 your investment would be worth 161183 Thats 61 growth and 61183 profit  See more   OPBK EMCF TIGR BBN GNOM 
2020-12-21,50 DMA Support today ACER OTIS ZI TAST SCHH AOS BIP BMY MCHI CUE WIT ECOM OSG CANF OFC HPP CAR BSM AGLE NMIH  
2020-12-17,Stocks closing down with high RVol todayXSPA HZNP UXIN NVTA HPP Sort results by Time Chg  Vol and moretrading fintwit
2020-12-17,Fitwel Viral Response Module Continues to Attract Biggest Names in Real Estate with BentallGreenOak Vornado and Hudson Pacific Properties Achieving HPP VNO 
2020-12-17,HPP Fitwel Viral Response Module Continues to Attract Biggest Names in Real Estate with BentallGreenOak Vornado and Hudson Pacific Properties Achieving Certification 
2020-12-17, SLG EQR HPP What else I know Im missing some But I like those short for regional reasons coasts  NYC
2020-12-16,HPP Hudson Pacific Properties and Macerich to Fund Major Grant for Local Artists Impacted by COVID19 
2020-12-16,Hudson Pacific Properties and Macerich to Fund Major Grant for Local Artists Impacted by COVID19 HPP MAC 
2020-12-15,HPP has only a medium technical rating but it does show a decent setup pattern  
2020-12-15,Why not join a Passive income system that is actually ran by respectable and established company that own their own centralized cryptocurrency exchange AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-12-15,Why not join a Passive income system that is actually ran by respectable and established company that own their own centralized cryptocurrency exchange AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-12-14,Nail meet NYCs coffin SLG EQR HPP 
2020-12-12,Hudson Pacific Properties Declares Fourth Quarter 2020 Dividend HPP 
2020-12-11,HPP Hudson Pacific Properties Declares Fourth Quarter 2020 Dividend 
2020-12-11,HPP  Hudson Pacific Properties declares 025 dividend 
2020-12-11,RT  Hudson Pacific Properties adds Karen L Brodkin EVPContent Strategy amp Development Endeavor Operating Co LLC to Board HPP corpgov 
2020-12-11,RT  Hudson Pacific Properties adds Karen L Brodkin EVPContent Strategy amp Development Endeavor Operating Co LLC to Board HPP corpgov 
2020-12-10,Majority of workfromhomers dont want to go back to the office BXP SLG HPP HIW CLI 
2020-12-10,BXP SLG HPP  Majority of workfromhomers dont want to go back to the office 
2020-12-10,Hudson Pacific Properties Appoints Karen Brodkin to Board of Directors HPP 
2020-12-10,ALYI CEO Confirmation Of Covert Acquisition Discussions Ongoing In BCATKR SERV EVH SRUP CYD HPP UTHR APPS APHQF FGEN IRBL EPXY TONR
2020-12-09,A Form 8K PressNews Current Report filing has been made with the SEC  HPP Hudson Pacific Properties Inc  
2020-12-08,20 DMA Support today PESI PTN REDU ROCK RSSS WVVI TRMD HPP  
2020-12-08,HPP  Hudson Pacific Properties Property Demand Appears Resilient But Stock Price Is High  stocks finance investing
2020-12-06,Join us on telegram Register and purchase AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-12-04,Join us on telegram  Register and purchase  AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-12-04,Hudson Pacific Properties Inc HPP to Post FY2020 Earnings of 188 Per Share DA Davidson Forecasts  markets
2020-12-03,Why not join a Passive income system that is actually ran by respectable and established company that own their own centralized cryptocurrency exchange AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-12-02,Rose Above Previous Days High today CHE DFHT DGP SDIV SNP IEC HDGE EDAP EQH AXGN ISD LBRT HSBC FBK WBT DISCA FMX HFRO HPP BOOM  
2020-12-01,Hudson Pacific Properties and CPP Investments Sign Agreement to Acquire Office Tower in Heart of Seattles Denny Triangle HPP 
2020-11-30,Why not join a Passive income system that is actually ran by respectable and established company that own their own centralized cryptocurrency exchange AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-30,Join us on telegram  Register and purchase  AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-30,Hudson Pacific JV agrees to buy Seattle office tower for 625M HPP 
2020-11-30,HPP Hudson Pacific Properties and CPP Investments Sign Agreement to Acquire Office Tower in Heart of Seattles Denny Triangle 
2020-11-30,Why not join a Passive income system that is actually ran by respectable and established company that own their own centralized cryptocurrency exchange Hows that for transparencyAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-28,Is this trend a bad omen for office REITs  commercial RealEstate landlords tenants workers BXP SLG VNO ESRT HPP KRC CXP coronavirus COVID19
2020-11-27,This is building quickly Here is my 2 month review of my results with impulsXPassiveRegister and purchaseAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-27,This is building quickly Here is my 2 month review of my results with impulsXPassiveRegister and purchaseAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC
2020-11-27,NOCOPI TECHS INC NNUP To Verify New Non Toxic Line Of Credit From Bank Of America BOA ATKR SERV EVH SRUP CYD HPP UTHR APPS APHQF FGEN IRBL EPXY TONR
2020-11-25,FWSells HPP GLASER JONATHAN M Director of Hudson Pacific Properties Inc sold 5000 shares on 20201124 
2020-11-25,Register and purchaseAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-25,Register and purchaseAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-23,Join us on telegram  Register and purchase  AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-23,IpulsX Passive Commission structure explained  via  ImpulsX Passive registration Link AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC
2020-11-23,HPP  Hudson Pacific Properties Inc The network concludes the market value of this company has a neutral short term outlook and has a negative long term outlook wealth trading smallbusiness
2020-11-19,Join us on telegram  Register and purchase  AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-17,Rose Above Previous Days High today HCSG UNVR HPP NXRT RNET ADES MGPI SNCR AMNB MORF AMBC ETX EVY IDCC FBIOP GNFT HIFS FRME REX AMUB  
2020-11-17,If you invest 1000 in DXB today at 2499 per share and the stock prices rebound back to prepandemic prices at 2674 your investment would be worth 106999 Thats 7 growth and 6999 profit  See more   VRSK SHLX HPP KOD CDRC 
2020-11-17,ALK HBI HMI HPP HRB HST HTHT    Moving
2020-11-17,Join us on telegram  Eureka Network OfficialThis is the Official Discussion Group on Telegram for the Eureka Network Blockchain ProjectAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-17,Join us on telegram  Eureka Network OfficialThis is the Official Discussion Group on Telegram for the Eureka Network Blockchain ProjectAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-16,Hudson Pacific Properties HPP PT Raised to 2800 at Bank of America  markets
2020-11-16,HPP B of A Securities Maintains to Buy  PT 2800 
2020-11-16,Office REIT collection rates Q3 and October  update dataRates improve as the economy reopened during the summer months and landlords were able to boost collection ratesBND ESRT SLG ARE BXP KRC PGRE OFC VNO DEI CLI CUZ  CXP HPP HIW 
2020-11-16,HPP The short term trend is positive while the long term trend is neutral So this is evolving in the right   
2020-11-16,Eureka blockchain with its own stakeable tokens that secures their 100 decentralized ecosystem cutting edge Blockchain technology and Architecture AKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC ERK 
2020-11-15,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AES ALLY BAC BBBY CGC CMC CNP CNQ CPRI CWH DLX DNB EQC EQH FCX GPS GRWG GUSH HFC HPP HSBC HWM INVH IPG IQ JELD JNPR KDP KSS KTOS LBTYA LBTYK LPRO MAXR MGM NCLH NKLA PEAK PLL RKT
2020-11-15,Recent HPP technical alerts 180 Bullish Setup plus 7 more alerts 
2020-11-15,Join My team in ImpulsX Passive and get massive SpilloverI am Dimond level already so all my referrals fall under youGet 2 commission on spillover deposits My team big leadersAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-14, creating a video sharing presence in many categories want to share your ideas then come on over and find out more looking forward to hearing from youAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE ETH BTC yuvu videosharing 
2020-11-13,FWSells HPP GLASER JONATHAN M Director of Hudson Pacific Properties Inc sold 7500 shares on 20201112 
2020-11-13,Rose Above Upper Bollinger Band today PCN WVVI ENSG PDM SMED OPHC REM NHI CZZ KRC ATO HPP IYR CWBR HROW ACTCU KBWY NARI JHB GTN  
2020-11-13, Join us on telegram  Eureka Network OfficialThis is the Official Discussion Group on Telegram for the Eureka Network Blockchain ProjectAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC
2020-11-13,Join us on telegram  Eureka Network OfficialThis is the Official Discussion Group on Telegram for the Eureka Network Blockchain ProjectAKR REG HIW OFC BXP UDR HPP DEA COLD CUBE CORE KORE ETH BTC 
2020-11-13,Short sale volume not short interest for HPP at 20201112 is 53  SLG 68 KRC 65 CLI 62 OFC 49
