Date,Text_clean
2020-12-30,Scan results  Shooting Star Candlestick today EXPC FCAU EOSE BEEM MOMO ACI KTOS SWAV DY VER GPN TME MT HPQ TRV TSLX YUM SJR KAR JWA  
2020-12-18,Scan results  Bearish Engulfing today BNL SBCF ACRE CALM CDXS GWB AVNS SRC LCA HWC KW JWA REXR GFF SIBN CC MDU IDA AX VMW  
2020-12-17,JWA announced a 03425 dividend Annual Yld is 30 JWA raised its dividend 3 times in 3 yrs 
2020-12-16,Latest US Markets Earnings Reported in Communication Services LEE JWB JWA Source Finscreener 
2020-12-16,Daily Stock Analysis John Wiley amp Sons JWA 
2020-12-12,23 The SP400 midcaps lost 023 last week and ETFs tracking the index have seen net inflows of 67M over the past 5 days flows lag 1 BD 34 companies gained and 41 lost gt 5Top THC JWA CMD DY ARWRBottom ADS HRB SABR WW SVCMDY IJH IVOO SPMD 
2020-12-12,John Wiley amp Sons Inc Class A Shares Close the Week 181 Higher  Weekly Wrap  JWA stockmarket kwhenfinance
2020-12-11,Scan results  Shooting Star Candlestick today CLSK PBYI PERI FTOC NETE PTVE WTFC BILI MAS VIVO MIK UFPI SKT WAL CDNA CNNE SAIC IEA RSVAU JWA  
2020-12-11,Newest Russell 1000 Earnings Ratings for Communication Services CHTR CMCSA NFLX JWA Source Finscreener 
2020-12-10,FORM 10Q Quarterly Report recently SEC filed  JWA JWB JWA JWB JOHN WILEY amp SONS INC  
2020-12-10,AutomatedTrading AlgoTrading MachineLearningAZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWAstocks DayTrading SwingTrading  15 off MonthlyYearly with Coupon Code MYDISCOUNT15 
2020-12-09,John Wiley amp Sons EPS beats by 036 beats on revenue JWA JW 
2020-12-08,JWA Earnings Intelligence Analysis of recent earnings identified John Wiley amp Sons Inc JWA business focus on digitalgrowthprofessionallearningrevenue coursewaredigitalgrowthrevenue coursewaredigitaleducationgrowth
2020-12-08,Scan results  Expansion Breakout today PERI SFIX IGMS LQDT BFTU RXT TRNE CMD SMAR GOGO PHR SYRS VLRS WMG CREE EFX KTOS ON AXTI JWA  
2020-12-08,JWA JWB  John Wiley amp Sons Inc JWA CEO Brian Napack on Q2 2021 Results  Earnings Call Transcript  stocks stockmarket trading
2020-12-08,JWA stock gains 159 View latest news 
2020-12-08,FORM 8K PressNews Current Report recently SEC filed  JWA JWB JWA JWB JOHN WILEY amp SONS INC  
2020-12-08,Wiley 16 after easy profit beat upbeat fullyear guidance on research publishing strength JWA JW 
2020-12-08,SOCIAL ACTIVITY JWA  John Wiley amp Sons Inc   TradeIdeas via  
2020-12-08,UP WITH EARNINGS JWA John Wiley amp Sons Inc   TradeIdeas via  
2020-12-08,JWA JWB JWA  John Wiley amp Sons EPS beats by 036 beats on revenue 
2020-12-08,JWA reported earnings of 100 via   
2020-12-08,JWA 02 pre Wiley Reports Second Quarter Fiscal 2021 Results  SI
2020-12-08,Tuesdays US earnings reports inclPreMarket  AZO BFB CMD CONN GIII HRB JWA THO AfterHours AVAV CHWY GME GWRE MDB PHR
2020-12-08,Todays earnings releasesBefore the bell BNED HRB THO ALCO AZO CMD CONN GIII JWA LQDTAfter the bell CHWY GME MDB AVAV GWRE PHR POWL STRM 
2020-12-07,Here are the largest stocks that report earnings tomorrowBrownForman BRBChewy CHWYAutoZone AZOMongoDB MDBGuidewire GWREThor THOHampR Block HRBCantel CMDJohn Wiley JWAAeroVironment AVAVPhreesia PHRGIII GIIIGamestop GMEGatos GATOCONN
2020-12-07,earnings after the close  before the open Tues  AZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWA   
2020-12-07,REVERSALtoUP JWA John Wiley amp Sons Inc    TradeIdeas via  
2020-12-07,JWA JWB  John Wiley amp Sons Q2 2021 Earnings Preview 
2020-12-07,earnings after the close today and before the open tomorrow  AZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWA 
2020-12-07,WallStreet  earnings after the close today and before the open tomorrowAZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWA
2020-12-07,earnings after the close today and before the open tomorrow  AZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWA 
2020-12-07,Top Earnings Tu 128 Pre AZO BNED BFB CMD CONN GIII HRB JWA LQDT THO
2020-12-03,20 DMA Support today SONN TXMD RE BPOP HIG SRE CIR PRGO GCP IT ACC FCN ULH OCFT BKE ACA JHB MCR JWA PUK  
2020-12-03,JWA is currently showing a bull flag pattern A bull flag pattern is a pull back after a strong rise up  
2020-12-02,John Wiley collaborates with Southern New Hampshire University JWA 
2020-12-02,JWA  John Wiley collaborates with Southern New Hampshire University 
2020-11-30,How to Trade What investors think about John Wiley amp Sons JWA from here  Click for Details 
2020-11-25,200 DMA Support today LLIT BSCL HTA JWA THR WING AEP NATI VGZ CPHI URG ED KRP  
2020-11-24,TOP Russell 1000 Earnings Ratings for Communication Services ZM JWA ZM  
2020-11-20,Daily Stock Analysis John Wiley amp Sons JWA 
2020-11-12,JWA  John Wiley amp Sons Should See Benefit From Virtual Shift  trading finance investing
2020-11-11,Trading Comprehensive noncorrelated John Wiley amp Sons JWA Trading Report  Click for Details 
2020-11-11,The AltmanZ score of JWA is much better than the industry average of 206  
2020-11-10,JWB JWA NEW ARTICLE  John Wiley amp Sons Is Another Great Bond Substitute 
2020-11-10,JWA  John Wiley amp Sons Is Another Great Bond Substitute  markets stockmarket economy
2020-11-10,Recent JWA technical alerts Crossed Above 50 DMA plus 6 more alerts 
2020-11-07,short ratio interest of CHGG is 958 at 20190531  JWA 459 BKS 1346
2020-11-06,Rose Above Previous Days High today TGT PAR CPRI FRC TREX AGE SNX WHD LEDS BP PAAS IWN DDD LAC VMW ENBL PSTH RL JWA CX  
2020-11-04,20 DMA Support today GDP MERC GV KELYA MSBI KFS FDM WPG TPC THM OUT HRI LTC PEBO SBSI HAE JWA MLM WHR CGC  
2020-11-02,JWA technical alerts Slingshot Bearish Pocket Pivot Lower Bollinger Band Walk Bullish Engul 
2020-11-01,Directional Bias for Comprehensive noncorrelated John Wiley amp Sons JWA Trading Report  Click for Details 
2020-10-31,John Wiley amp Sons Inc Class A Shares Near 52Week Low  Market Mover  JWA stockmarket kwhenfinance
2020-10-30,Scan results  Bullish Engulfing today JWA BSX VNO AJG EMR BAP INTC CP PRGO ABC INSM STX GBX IART KNX MCK TPIC PGR OGS PFE  
2020-10-30,John Wiley amp Sons Inc Class A Shares Near 52Week Low  Market Mover  JWA stockmarket kwhenfinance
2020-10-29,Scan results  New 52 Week Closing Low today FCN VSTA OMC FMX WBA GILD CHL MCFE JWA GOCO INTC WFC BAP AJRD LMND FCFS ARCE JBGS TRHC VRM  
2020-10-29,Con las bajadas de hoy entran rdenes olvidadas de JWa y NWNPromediando a la baja y mejorando el yield si mantienen dividendos
2020-10-29,52Week Low Alert Trading todays movement in JOHN WILEY amp SONSJWA 
2020-10-29,New 52 Week Low today BUR BXP BAP CIO CLI CVI DEI DEN EURN FCN HE INSW JWA KOF KRC LPI NOV NWN NYCB PDM  
2020-10-29,JWA short interest ratio on 20190531 is 459  SPGI 270 RELX 296 TGNA 343
2020-10-29,John Wiley amp Sons Inc Class A Shares Near 52Week Low  Market Mover  JWA stockmarket kwhenfinance
2020-10-28,short ratio interest of RELX is 296 at 20190531  PSO 471 JWA 459
2020-10-27,20 DMA Support today NMIH TBT TMV VBTX JWA SFBS LINX CSII RPM CPF  
2020-10-27,SPGI short ratio on 20190531 is 270  JWA 459 FDS 738 MCO 328
2020-10-26,REVERSALtoUP JWA John Wiley amp Sons Inc    TradeIdeas via  
2020-10-26,50 DMA Support today EWS IYG IHRT KURE DELL NDAQ GEVO MTP INOD JWA CIA VIE EHTH IGSB GMED YMAB ANGL RPTX BNFT AJG  
2020-10-26,Short sale volumenot short interest for CHGG on 20201023 is 56  GOOGL 38 AMZN 46 JWA 74
2020-10-25,Tomrrows watchlist for NYSE NASDAQ between 30 and 40 AFL AIG AL APPS BAM BEAM BK CARR CHL CIT COLD CTVA DAL DEM EMLC FE HES HOG JWA KBE KHC LNC MDLA PFE SOXS TCOM TNA TRTN TWOU UAL UBER VNT ZION
2020-10-24,JWA John Wiley Sons Inc Cl A JWA  Embedded Expectations Analysis  2020 10 23 John Wiley amp Sons Inc JWAUSA currently trades below corporate averages relative to UAFRSbased Uniform earnings with a 166x Uniform PE At  equity stocks
2020-10-23,Scan results  Crossed Above 50 DMA today TRTN TPH ORAN YY TRN HSBC FMX MDC JWA OMC HP GPC JWN FNF UE CLH STC PAGS EIGR STAR  
2020-10-23,Directional Bias for Comprehensive noncorrelated John Wiley amp Sons JWA Trading Report  Click for Details 
2020-10-23,20 DMA Support today UONE FWONK NTRA PGEN GDRX WIMI SU EVBG DT NFIN AUTO KDNY HTHT RCM OCN MLSS CPE PCOM HAPP JWA  
2020-10-22,Scan results  MACD Bullish Signal Line Cross today GPS MXL SONO COLM MAT JBLU PBCT EXPE CFFA CSX HLT CFX MLCO JWA KO RCI BKNG RGNX RHP INVA  
2020-10-22,Rose Above 50 DMA today PRI NFG MCHX CVM NGHCZ JWA  
2020-10-21,JWA has a bad technical rating but it does show a decent setup pattern  
2020-10-21,Some trades from the watchlist worked this week such as this one hitting 31 JWA but overall could have been betterWatch list SPY QQQ 
2020-10-20,MOST ACTIVE JWA John Wiley amp Sons Inc   TradeIdeas via  
2020-10-20,Short Interest in JWA JWA Expands By 252   markets
2020-10-20,Short Interest in JWA JWA Expands By 252  markets
2020-10-20,John Wiley amp Sons Inc Class A Shares Near 52Week Low  Market Mover  JWA stockmarket kwhenfinance
2020-10-19,Scan results  MACD Bearish Signal Line Cross today SBRA OFC JBHT CCI JWA UL CRL CHRS VFC ARE BSX SFT ABBV ROST CXP PHM ARNA MAIN ED LTC  
2020-10-19,Scan results  New 52 Week Closing Low today ARCE JWA ICPT BP CAJ GILD CVI EBC PDM EQC CLI SUMO VSTA  
2020-10-19,DOWNSIDE MOMO JWA John Wiley amp Sons Inc    TradeIdeas via  
2020-10-19,Here is our weekly stock watch list 17 stocks to watch for this weekLink HERE TUP GOGO LVGO SE TECK AVGO NLS PEIX JKS LAC KURA SEDG SHW GRTUN FLO C JWASPY QQQ DIA ES Stockstowatch Trading 
2020-10-18,Short Interest in JWA JWA Rises By 252  markets
2020-10-18,Short Interest in JWA JWA Rises By 252  stocks
