Date,Text_clean
2020-12-31,Current Positive Russell 1000 Earnings Estimates NVT UHAL SC LBRDA EVR 
2020-12-30,VZ CEO Confirmation Coming Of New Non Toxic Shareholder Friendly Line Of Credit From Capital One Financial COFRA SHOM UCFC PARR FEN ONOV MOV LBRDA LNGG BMXI SBSI ARA ESNC TOWTF AMBR KOOYF BYSI
2020-12-29,Good interview with  amp  Focused on ATUS with a good overview of the cable industrychtr cmcsa lbrda cabo
2020-12-28,20 DMA Support today IYR BCRX LBRDA HNRG SHC MOGU EVA RVMD RRGB ESPR DKL VJET CM NTB MAV APOP USRT CHMI BOXL FCNCA  
2020-12-28,LBRDA was analyzed by 3 analysts The buy consensus is at 87 So analysts seem to be very confident about LBRDA  
2020-12-28,Pitti Yeah I have 6 core positions SSNC TPL LBRDA LSXMA MO and BTI that comprise 88 of my portfolio Im really concentrated up top
2020-12-24, Buy Alert71519004 or 17 worth of LBRDA  Liberty Broadband Corp shares were purchased or held on Dec 18 by MAFFEI GREGORY B totaling 459368 sharesBe the first to know about hedge fund trades stocktrade tips stockstowatch tradingsignals
2020-12-24, Buy Alert73657095 or 66 worth of LBRDA  Liberty Broadband Corp shares were purchased or held on Dec 18 by DUNCAN RONALD A totaling 473101 sharesBe the first to know about hedge fund trades stocktrade tips bullish 
2020-12-24,Liberty Broadband announces  dividend of 04375  Payable on 1152021 LBRDA
2020-12-24,5 TopRanked Momentum Stocks for 2021That Have Surged YTD MU HOLX FDX LEN LBRDA 
2020-12-23,Rose Above Previous Days High today SYNC EYPT FOSL BHV RCS TRIP CFB BMRC TFI LBRDA VEGN SLT SVVC BSBK BSGM NAK GRPN PDAC JAKK FJP  
2020-12-22,LBRDA NASDAQ  8K  Liberty Broadband Corp  BA00  BidAsk Size00  Volume262218  AverageVol105582  Outstanding0 
2020-12-22, I agree with you wholeheartedly I own LSXMA and LBRDA so Im biased But I own them based on the merits of the underlying businesses as you outlined in your original tweet It just so happened that they were the largest 2 holdings of each Maffei and Malone
2020-12-22, In addition a powerful filter is to own the Liberty entities that are MaloneMaffeis 23 largest holdings For example LBRDA and LSXMA are well over 50 of each ones total holdings
2020-12-21,LBRDA Liberty Broadband Corporation Declares Quarterly Cash Dividend 
2020-12-21,LBRDA  Liberty Broadband Corporation declares 04375 dividend 
2020-12-21,Monday MampA Update Contd QEP to be bot by FANG for 005x exchange ratio 22 billion 08 discount RNET to be bot by VSAT for 01845x exchange ratio 222 million 13 premium GCto  Apollo bumps 154 from 3900 to 4500 GLIBA  LBRDA deal closed2
2020-12-20,STNG BOD to vote on proposed share buy back program this WednesdayRA SHOM UCFC PARR FEN ONOV MOV LBRDA LNGG BMXI SBSI ARA ESNC
2020-12-18,Liberty Broadband and GCI Liberty Announce Closing of Combination LBRDA GLIBA 
2020-12-18,John C Malone  of LIBERTY BROADBAND CORP  LBRDA sold 200000 shares to now own a total of 2120859 anomalous of their normal trading pattern
2020-12-18,FWSells LBRDA MALONE JOHN C 10ownerDirector of Liberty Broadband Corp sold 200000 shares on 20201218 
