Date,Text_clean
2020-12-31,Large Print LBRDK Size 102814 Price 15837 Time 1600 Amount 1628265318
2020-12-31,Portfolio 01012021PPTSFUTI NIFTYPPLTEFINRUSDFBITCQLTEVFLBRDKLSXMARICKGOOGIEXTATAPOWERAMZNVYGGSPGIBAJAJHLDNGDBXBHARTIARTLIACAXISBANKSYNGENECIPLAMTCHHDFCBANKSHAKEICHERMOTMampMPERSISTENTRAINGFLGPPLSPOTNOCILTBLTCRISILMARUTI 
2020-12-30,Highest net margin  among stocks SPX SPY1  LIBERTY BROADBAND CO LBRDK 137562  CANNAE HOLDINGS INC CNNE 18443  OWL ROCK CAPITAL COR ORCC 16144  GCI LIBERTY INC GLIBA 16125  BIORAD LABORATORIES BIO 1479
2020-12-30,Large Print LBRDK Size 109151 Price 15615 Time 1600 Amount 1704392865
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 150 and 200 ALXN AWK BIDU DEO FIVE GLD IAC JNJ LBRDK LLY MTCH PDD SE TQQQ ZBH ZTS
2020-12-28,Best earnings growth rate  among stocks SPX SPY1  BEAM THERAPEUTICS IN BEAM 61196182  TG THERAPEUTICS INC TGTX 14065063  EIDOS THERAPEUTICS  EIDX 11414334  APELLIS PHARMACEUTIC APLS 1776075  LIBERTY BROADBAND CO LBRDK 71678
2020-12-26,BTSC Confirmation Coming On Covert Reverse Merger Discussions Underway In DelawareMGP WNC TK LBRDK DPZ QEDN GLOW CLD INT FNGN FECOF BIOC JAPAY
2020-12-25,Highest PS among stocks SPX SPY1  BEAM THERAPEUTICS IN BEAM 218942422  TG THERAPEUTICS INC TGTX 49167343  EIDOS THERAPEUTICS  EIDX 38972064  APELLIS PHARMACEUTIC APLS 651155  LIBERTY BROADBAND CO LBRDK 229745
2020-12-24,Reversed from Down today LBRDK DSACU ONTO EDUT QDEC  
2020-12-23,Highest net margin  among stocks SPX SPY1  LIBERTY BROADBAND CO LBRDK 137562  CANNAE HOLDINGS INC CNNE 18443  OWL ROCK CAPITAL COR ORCC 16144  GCI LIBERTY INC GLIBA 16125  BIORAD LABORATORIES BIO 1479
2020-12-22,LBRDK BOD to advance merger talks following straw poll of investors who approve the moveVTXB MSEX STDY OMAB SENR PCRCF SARA PDT CRNCY TPGE ATGN
2020-12-21,Reversed from Down today PMM GLDD EZPW APG PCYO VXF QTWO HRTX RTLR FLR SLCA TPX BABA YQ AJXA ARES LUNA AMOV WCN LBRDK  
2020-12-21,Best earnings growth rate  among stocks SPX SPY1  BEAM THERAPEUTICS IN BEAM 49972512  TG THERAPEUTICS INC TGTX 13568403  EIDOS THERAPEUTICS  EIDX 10683614  APELLIS PHARMACEUTIC APLS 1684275  LIBERTY BROADBAND CO LBRDK 53154
2020-12-20,Recent LBRDK technical alerts Fell Below 20 DMA plus 8 more alerts 
2020-12-18,Friday MampA Update TIF  LVMH received bond consents deal closing early Q1 2021 GLIBA  LBRDK expected closing ALSK  Macquarie right to match expires GV  First Reserve cleared HSR
2020-12-18,MergerBrief DailyBEAT PHG Brief PostedGLIBA LBRDK Expected Completion merger mergerbrief
2020-12-18,Highest PS among stocks SPX SPY1  BEAM THERAPEUTICS IN BEAM 174260292  TG THERAPEUTICS INC TGTX 46116663  EIDOS THERAPEUTICS  EIDX 34764574  APELLIS PHARMACEUTIC APLS 6175025  LIBERTY BROADBAND CO LBRDK 173723
