Date,Text_clean
2020-12-29,LENB Both the short term and long term trends are positive This is a very positive sign  
2020-12-22,Americas biggest home builder may profit from the millennial generations coming of age   LEN LENB DHI 
2020-12-19,Lennar Corporation Class B Shares Close the Week 108 Higher  Weekly Wrap  LENB stockmarket kwhenfinance
2020-12-17,On our Top 50 Bearish List today LENB TLMD FSK HNI PLYA CHCT NCNO ACCD GIX DOOR  
2020-12-17,LEN LENB  Lennar Corporation LEN Q4 2020 Results  Earnings Call Transcript  investing markets economy
2020-12-12,LENB to report earnings on Dec 16 AMC with an expected move of  
2020-12-11,LEN LENB ABM MLHR ACN  Upcoming Earnings report for the week ending 1218 CORRECTION 
2020-12-11,LEN LENB ABM MLHR ACN  Upcoming Earnings report for the week ending 124 with previous and upcoming move in  along with marketCap and last know price during the time of posting On watch LEN LENB ABM MLHR ACNView the   
2020-12-06,LENB shows a strong growth in Revenue In the last year the Revenue has grown by 3923  
2020-12-01,LENB 2500 598 shares  for a bounce of LEN as you know IM SHORT 25K shares of LEN  
2020-11-27,Rose Above Previous Days High today HQL HGLB HCACU IMAX LC GOLF IQI CEA KAR ISD JPC H HIE PHAS JPI GO KOP LENB MFL MMU  
2020-11-27,LENB has only a medium technical rating but it does show a decent setup pattern  
2020-11-25,20 DMA Support today TSCO AKER ALDX LII SRE LENB EYE IDYA MX CDW GNMA TPH FHLC AXGN RXT NEXT RKT NBIX VGSH VHT  
2020-11-19,Rose Above Previous Days High today MSD ETB EFR FBM VKQ ATEC ROP NVG DTSS IIM LENB NOAH MUC PML MD PMF PSO NXST PRTS CAE  
2020-11-18,Rose Above Previous Days High today KRP LAZ BDGE GIL LENB MCN MCR MT MTCN NFG GMLPP URNM III DMTK BLW SOLO NGS PQG TRC GLU  
2020-11-17,20 DMA Support today XNCR TSHA SUM SAFE WPF HRMY PXLW MTOR WEBL LENB DGNR CMS RPTX JIH SNSS ALNY NVDA CELP CINF HPR  
2020-11-17,2 sells  AN LENB and 2 buys  SLM PCTY in this week Updated ranking table and current portfolio trendfollowing systematictrading python
2020-11-16,20 DMA Support today SBAC PAI MCAC PBYI LENB NRG NXRT HUN SBT CVM RYB PCAR LMNX BMRN ENTX  
2020-11-11,Rose Above Previous Days High today BLOK MPLN HZO GOED ACP SQ BNKU TSRI PHD NZF CHPM BSGM LENB ALNY STAR AMAT MPW TAC ARCE LIVX  
2020-11-09,REVERSALtoDOWN LENB Lennar Corp    TradeIdeas via  
2020-11-08,TOL short interest ratio is 327 on 20190531  LENB 217 KBH 374 TPH 1160 MDC 403
2020-11-06,LENB short ratio on 20190531 is 217  NVR 307 MHO 201 PHM 426 DHI 406
2020-11-05,20 DMA Support today KREF LENB  
2020-11-04,TOL short  to float is 1126  LENB 003 KBH 558 TMHC 305 TPH 1126
2020-11-04,Rose Above 50 DMA today HQH IIM IBP IHIT LUV LENB MFL MMP NIE NRK NXJ PCGU RMM TRU UTZ VKQ VGM VMO WH BBU  
2020-11-03,New SC 13DA from GAMCO INVESTORS INC ET AL concerning LENB  See details at 
2020-11-03,Gamco Investors Inc Et Al has filed an amended 13DA reporting 409 ownership in LENB  
2020-10-27,Join to the fast growing community LEN LENB LHCG LOAKU LOGI LPRO LSAC LSACU MNA MNTA MRTX MTH MYOK NFE NHIC NIO NJAN NOVA NOVSU NSHU NVCR OFLX OSH PCTY PKI PMVP POCT PODD PPD QCLN QQQN QYLG REGI RUN SAIL SEDG SGEN 
2020-10-23,Rose Above 50 DMA today FLOT VNTR OI ZGYH ANVS FLY RISN KBAL CLH LENB ALTG ARYB EVLO  
2020-10-21,20 DMA Support today CREX ANCN BBCA HBANO EWM SUSB CTY BDXB BMEZ LENB SPXX ZS INTU CACC PSNL DEW IEV ITA BSCP CIBR  
2020-10-21,Short Interest in LENB LENB Rises By 208 
2020-10-21,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1050
2020-10-19,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1822
2020-10-19,LENB LENB Hits New 1Year High at 6881  markets
2020-10-19,LENB LENB Hits New 1Year High at 6881  stocks
2020-10-19,LENB LENB Short Interest Update  markets
2020-10-19,LENB LENB Short Interest Update  stocks
2020-10-19,LENB LENB Short Interest Update  
2020-10-19,LENB LENB Short Interest Update 
2020-10-19,LENB LENB Short Interest Update   markets
2020-10-19,LENB LENB Short Interest Update  markets
2020-10-18,Stop losing money in Stocks and options Check out this chat room with real traders ENTG FBHS FIIIU FSEP FUSEU GGG GOAACU GRSV GRSVEU GSAH IBP IMAB INFY IPO IPOB IPOBU IRTC ITB JHX KGRN KSMTU KURA LAC LATNU LEN LENB LHCG 
2020-10-18,Financial Survey LENB LENB vs Gafisa GFASY 
2020-10-17,Stop losing money in Stocks and options Check out this chat room with real traders helping each other profit since 2015 LEN LENB LHCG LOAKU LOGI LPRO LSAC LSACU MNA MNTA MRTX MTH MYOK NFE NHIC NIO NJAN NOVA NOVSU NSHU NVCR OFLX 
2020-10-17,If you invest 1000 in BDN today at 1021 per share and the stock prices rebound back to prepandemic prices at 1618 your investment would be worth 158472 Thats 58 growth and 58472 profit  See more   MLHR ONEM TAC ARKR LENB 
2020-10-16,New 52 Week High today ETN AME ZM QCLN TRUP LOB MYRG EMN SITM TXRH GGG HVT IEX LENB MSA PKG PPG PSTH ROK SI  
2020-10-15,Rose Above Previous Days High today VSH EVRG BRBR ENDP IRT ASRV ADM PLMR FLCO KELYB LNDC INGR KEX EVC LENB IIVI SALT PEN EXLS SF  
2020-10-14,LENB short  to float is 248  MHO 135 DHI 416 NVR 248
2020-10-14,LENB LENB Hits New 1Year High at 6874 
2020-10-14,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1387
2020-10-14,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1386
2020-10-14,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1381
2020-10-14,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 1380
2020-10-14,LENB LENB Announces Quarterly Dividend of 025   markets
2020-10-14,LENB LENB Announces Quarterly Dividend of 025   markets
2020-10-14,LENB LENB Announces Quarterly Dividend of 025  
2020-10-14,LENB LENB Announces Quarterly Dividend of 025  
2020-10-14,LENB LENB Increases Dividend to 025 Per Share  markets
2020-10-14,LENB LENB Increases Dividend to 025 Per Share  markets
2020-10-14,Gafisa GFASY and LENB LENB Financial Review 
2020-10-13,LENB LENB To Go ExDividend on October 15th 
2020-10-13,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 2703
2020-10-13,LENB  new alert at   stocks daytrading  NYSE NASDAQ market 2702
2020-10-13,LENB LENB Reaches New 52Week High at 6874 
2020-10-13,LENB LENB Reaches New 52Week High at 6874  markets
2020-10-13,LENB LENB Reaches New 52Week High at 6874  stocks
2020-10-13,LENB LENB Reaches New 52Week High at 6874 
2020-10-12,Builders  HOV MTH BZH MHO TMHC TOL LENB KBH 
2020-10-12,Critical Review LENB LENB versus Gafisa GFASY  stocks
2020-10-12,Critical Review LENB LENB versus Gafisa GFASY 
2020-10-12,Critical Review LENB LENB versus Gafisa GFASY 
2020-10-09,HeadToHead Analysis Gafisa GFASY amp LENB LENB  markets
2020-10-09,Short sale volumenot short interest for PHM on 20201008 is 58  TOL 41 MDC 45 LENB 42 KBH 63
2020-10-09,Rose Above Upper Bollinger Band today QQEW UEIC USA VCR OSS DGII YUMC WCLD KOPN PNQI ZUMZ LCG EBIZ RMR RDWR PVAC LENB BCI IBND XXII  
2020-10-08,Rose Above Upper Bollinger Band today KRNT ALEX EFT EMN LENB CAKE PETS PE DVN PEY AIR VNOM  
2020-10-08,LENB LENB Sets New 52Week High at 6758 
2020-10-08,LENB LENB Hits New 12Month High at 6758 
2020-10-07,Lennar LENB Reaches New 52Week High at 6758   markets
2020-10-07,Lennar LENB Reaches New 52Week High at 6758  markets
2020-10-07,Lennar LENB Reaches New 52Week High at 6758  stocks
2020-10-07,Lennar LENB Reaches New 52Week High at 6758  markets
2020-10-06,Would you like to make good profit Im making good profits with this room Free check out this IPVU ISDR ITB IVA JAZZ JHX JKS KGRN KOR LCR LEN LENB SLDB PLTR BBY AAPL ENLV ZSAN NIO NKLA SNDL OAS AAL SPY SQQQGE XLF F EEM 
2020-10-06,RealTime Charting Mentoring amp TrainingLive Streaming DailyDay Trading amp Penny StocksSwing Trading amp OptionsLENB SLDB PLTR BBY AAPL ENLV ZSAN NIO NKLA SNDL OAS AAL SPY SQQQ GE XLF F EEM AMD CCL TSLA QQQ BA GSUM BAC 
