Date,Text_clean
2020-12-31,Monthly bullish MACD crossAAL ALK APA AXP BAC BURL CB CBRL CGC COTY DDS DISCA ECL EW GCP GRPN H HAS IBM IMAX JBLU JNJ JPM JWN KO KSS LGND LLY LTRPA LUV LVS MA MAR MJ PLAY RL ROST SAVE SEAS SIX SMPL TJX TLRY ULTA WYNN XLF V YELP
2020-12-31,LLY Implied Volatility expiration 12312020 maxpain options  
2020-12-31,GILD antiviral  Remdesivir is fading  ODay has no monoclonal to battle RGEN or LLY  HGEN makes so much sense  In NIAID Big Effects study and P3 data soon plus OPEN Data GILD Yescarta  trial  Mondays a great day for an acquisition 
2020-12-31,ONCS 10 PT Dawson JamesMRK BMY NKTR GWPH AFMD ADAP CYCC LPTX TRIL PIRS BLCM NTLA EDIT CRSP CLLS BLUE ZIOP SGMO NK NVAX FATE INO SRNE MRNA IONS CALA ALLO AZN GSK GILD NVS ABBV BIIB REGN LLY SNY RHHBY AMGN JNJ PFE BAYRY GLSI XBI IBB 
2020-12-31,3 Bargain Stocks You Can Buy Today  stocks GILD INTC COST LLY REGN BIG XLV 
2020-12-31, If you are a TRADER looking for a new tool     Check out  Automated Trading Strategies US marketsDataScience MachineLearning InvestingPG MRK MYL VRX VRTX BIIB BMY JNJ CELG AKRX REGN JNJ PFE GSK LLY 
2020-12-31,ICYMI Immunoprecise Antibodies IPAV or should I say NASDAQ IPA  IPA IPATF  LLY  TRIL  ZYMEBiotech HealthTech NASDAQ BioPharma
2020-12-31,MU  Hourly Dec312020 AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,MU  Hourly Dec302020  AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,2020 healthcare major acquisitions Here are the stocks performance post the announcements so far LLY and BMY did better than GILD and AZN JNJ XLV 
2020-12-31,RDGL VIVOS INC OTCQB  ABBV ROG BIIB PFE JNJ LLY GSK MRK SAN AZN BMS RHHBY GILD NOVN NVS EUZ EKTAY ISR VAR ZTS ELAN 
2020-12-31,Mortgage rates have hit record lows in 2020More analysis DataScience MachineLearning AI IoT Housing stock RMBS CMBS EQC WFC HD LOW LEN USO KSS UA GS RH HD FB VER NLSN LLY JKS AMKR JPM MS 
