Date,Text_clean
2020-12-31,LGEN  UKs best pension managerNEE  Renewable utility giantPLD  Premier warehouse REITSCCO  Copper giantTDOC  Leader in telehealth transitionTPIC  Global blade manufacturer 
2020-12-31,tensai NEE
2020-12-31,MYPF BYND 117 SQ 153 TDOC 177 GOLD  NEE 163   
2020-12-31,NEE seems to be finally ready Nice closing todayTrade this Monday if you are looking to keep it for 45 months
2020-12-31,Large Print NEE Size 105529 Price 7715 Time 1658 Amount 814156235
2020-12-31,Sub 2 positionssmlrcrspnetddogfvrrneetpicchggtwlonvtaptonfuboatvibyndntdoysdgrdisexas
2020-12-31,Thursdays Top Flow in SampP 500 SP500 Buy Flow amp Sell Flow INTU TXN MCD ACN NEE UNP NOW FIS LRCX CME TSLA CHTR HUM SBUX ADSK CI LMT ANSS ADP CPRT stock stocks StockMarket Investment investing  
2020-12-31,Thursdays Top Flow in StockMarket Buy Flow amp Sell Flow SPY INTU TXN BLDR MCD ACN NEE UNP NOW FIS TSLA CHTR LQD BLV OKTA SE ITOT HUM EFA BABA stock stocks Investment investing  
2020-12-31,NEE getting ready for the new year 
2020-12-31,Thu Dec 31stTodays BEST performing sector at the closeUtilities 16follow along here utilities investments bubbleboard stocks investingPPL AEP EIX AWK ED PEG WEC FE NEE D 
2020-12-31,NEEThis is my first large cap options play Im going in on by myself so Im glad its doing ok so far Im holding Jan 775c amp Feb 80 calls  
2020-12-31, I have started a position in NEE and hope to build on it as the year progresses
2020-12-31,tensai 
2020-12-31,3 Top Renewable Energy Stocks to Buy for 2021  stocks TPIC SPWR NEE MAXN 
2020-12-31,1231 2020 HoldingsBABA 2281LTHM  1082BIDU 1047NEE 793GE 634PLTR 526JPM 439NIO 399TWTR 375ATHM 376FB 269CRM 257TCOM 232DIS 210CURLF 207CVX 109TCNNF 185ABNB 169AXP 104
2020-12-31,Today Top Flow in utilities sector Buy Flow amp Sell Flow SRE DUK AEE FE NI XEL CMS SO PEG DTE NEE PCG ED WEC PNW ETR AEP D EIX EXC stock stocks StockMarket Investment investing  
2020-12-31,Starting in 2021 we will get weekly DIV payments JAN MAR JUN OCT1 PEP2 ITW3 MKC WPC O STAG4 GOFFEB MAY AUG NOV1 T2 GD DE3 CAT O STAG4 SCHW SBUX GOFMAR JUN SEP DEC1 CMI CHD2 MSFT XOM3 MCD NEE O STAG4 UNP GOFBig step 
2020-12-31,Holdings for the firm as we head into 2021 acrt nee lac blcm prpl btbt apt btwn 
2020-12-31,invests Yes I use a DRIP for jpm bac and nee
2020-12-31,tensai 
2020-12-31, Right there with you on JPM ABBV JNJ BAC NEE
2020-12-31,Boring Boomer stocks I ownLMT BRKB JPM CAT UNH RTX BR WM NOC O UNP CB ABBV JNJ BAC BX BX STOR NEE TXN MAIN
2020-12-31,2020NEE2021tensai  daiki
2020-12-31,tensai 2021NEE
2020-12-31,tensai 
2020-12-31,tensai NEE
2020-12-31,tensai 2021
2020-12-31,tensai NEE
2020-12-31,tensai 
2020-12-31,tensai 
2020-12-31,Rose Above Upper Bollinger Band today JCS AONE RIV VCLT FOF ALLE TMTS ACHV CREX DWSN NEE JTA JNK MAIN EVOP LIND ERES STBA KN LEDS  
2020-12-31,tensai 
2020-12-31,tensai 
2020-12-31,tensai 2021
2020-12-31,2021NEE
2020-12-31, Tambin Sector XLU hoy un poco mejor NEESomos CDI
2020-12-31,1 Green energy  the Biden administration has already pledged their willingness to bring green energy to the forefront with Carbonfree plans and increased spending in renewables We like NEE XCEL ICLN and ACES for this play
2020-12-31,a4 tensai 
2020-12-31,NEE forming an excellent breakout setup pattern 
2020-12-31,Finishing off 2020 BIG with my own kind of fireworks tripling my normal investments to get 2021 started off right  DIA O VNQ  HD LOW MO  ABEV BTI BUD  and KHC KO NEE  stocks investing fintech
2020-12-31, FL real estate is infamous for boom and busts Are there any FL focused Reits Only 2 businesses I know well that are relatively pureplay FL are nee and trulto
2020-12-31,Top 11 Solar stocks with market cap over 1 billion today NOVA RUN MAXN SPWR SEDG FSLR ARRY CSIQ ENPH NEE JKS 
2020-12-31,Financials of NextEra NEE NEE 
2020-12-31,NEE CEO TO Detail Huge Partnership Agreement With Leading US Company As Early As MondayGM BSX PEP CL INFY OAS TEVA DVN AKS WMT BHGE IBM ERFB
2020-12-30,Large Print NEE Size 103907 Price 7591 Time 1717 Amount 788758037
2020-12-30,  So if Biden actually gets in what do you think energy oil will do Ive leveraged myself with Nee But still holding hal and mro
2020-12-30,Added NEE will post DD this week when I can
2020-12-30,Today Top Flow in utilities sector Buy Flow amp Sell Flow AES NEE SRE PNW CNP EIX NRG DUK CMS XEL ETR PEG PCG WEC DTE EXC ED NI AEP FE stock stocks StockMarket Investment investing  
2020-12-30,NEE continues to chug along 
2020-12-30,Rose Above Upper Bollinger Band today NEE TJX RPM TRV V RPAR JD IHI UMBF HNDL SPSB ROK BBCP KN INDL TPR CWS SPAB QLD ACTC  
2020-12-30,NEE Max Pain7000 Maturity01152021 maxpain options  
2020-12-30,Is NextEra Energy Stock a Buy Reuben Gregg Brewer from TMF indicated that NextEra Energy looks like its positioned to lead the utility industry into a bright new future NEE solar windpower renewableenergy
2020-12-30,Top 11 Solar stocks with market cap over 1 billion today NEE ARRY ENPH SEDG CSIQ FSLR NOVA JKS SPWR RUN MAXN 
2020-12-29,NEE Northern Vertex Settles Minor Dispute With Previous Mining Contractor 
2020-12-29, Linde PLC LINCameco CCJNextera NEE
2020-12-29,100 Stocks to watch in 2021LCA LEN LUV LVS LYFT LYV MBIO MFA MGM MRO NBL NCLH NEE NIO NLY NOVS NRZ NTDOY NWL NYMT OTIS PENN PINS PK PLAY PLUG PROG PRTY PSX RCL RTX RYBIF SAVE SBUX SCHW SPCE SPG SRC SSPK STKL T TRIP TRNE UAL UBER
2020-12-29, nee
2020-12-29,Is NextEra Energy Stock a Buy  stocks NEE 
2020-12-29,Is NextEra Energy Stock a Buy  stocks NEE  Veteran Vets OH Technology is changing our world for the better forever
2020-12-29,Rose Above Upper Bollinger Band today SQM NEE SPY IT TT BTO FUL INTF ZTS UDOW EGP TRNO CAE V DOV AME MXC CUBE O COO  
2020-12-29,tensai NEE
2020-12-29,tensai a4 NEE
2020-12-29,tensai 
2020-12-29,DJU US Dow Jones Utility top NEE ED PEG AWK Selected by our stock screener  stocks  valueinvesting valuation
2020-12-29, I feel so cool  tensai
2020-12-29,Which ESG companies are you investing in  I like MP SPWR NEE UEC 
2020-12-29,NEE CEO To Release Details Of New Joint Venture With Unnamed Nasdaq Traded Stock Following Talks In South Florida ECCZ UZB ZMSPF ZMTP ABRNCL UWEFF ELTK FPAY SELF LIQDQ GFKSY
2020-12-29,Top 11 Solar stocks with market cap over 1 billion today NEE SPWR RUN FSLR ARRY SEDG CSIQ ENPH NOVA JKS MAXN 
2020-12-29,Summary Swings  mostly down Stopped out of FSLY NBAC Very close to being stopped from BIGC Up a small  on the rest  NEE SWBI TRIP TRIT Trades  Two for 2R Mondays are my strongest day so may size down until I find my groove here this week  
2020-12-29,Top 15 Energy stocks with market cap over 1 billion in 5 days CLNE FCEL KOS SWN BE ENPH PLUG NFE PDCE FANG CEO PSX DK NEE SEDG 
2020-12-29,Top 15 Energy stocks with market cap over 1 billion today CEO SHI CLNE REGI DCP SNP LIN E PSX EQNR NEE TRP DUK VVV TCP 
2020-12-29,pearson nee GK
2020-12-28,Large Print NEE Size 595907 Price 7549 Time 1830
2020-12-28,Scan results  MACD Bullish Centerline Cross today SIG TRIT HBI RC REXR UNH NSC NEE EQR CHRW  
2020-12-28,NEE not bad 
2020-12-28,A strong value tilt with BofAs selections  There are some nice dividend yielding stocks on the list includingWMT  Walmart 15 YldCVX  Chevron 60 YldALL  Allstate 20 YldO  Realty Income 46 YldNEE  NextEra Energy 19 YldI own WMT CVX and O
2020-12-28,BofA Stock Picks for 2021 1 per sectorDIS  CommunicationHLT  Consumer DiscretionaryWMT  Consumer StaplesCVX  EnergyALL  FinancialsHCA  HealthcareALK  IndustrialsQRVO  TechVALE  MaterialsO  Real EstateNEE  Utilities
2020-12-28,Largest Notional Sell On Close Order Imbalances AMT DHR BRKB GM WMT MO TCO UNH V NEE 
2020-12-28,Mondays Top Flow in SampP 500 SP500 Buy Flow amp Sell Flow UNH AMZN ADBE WLTW HON ZTS CVS TXN NEE PNC TSLA DHR WELL ISRG MSI PPG NOW AMD FB UPS stock stocks StockMarket Investment investing  
2020-12-28,Objetivos 2021Empresas objetivo AVGO AAPL MSFT MCD MMM APD PEP KMB V JPM MRK TSN COST NEEAumentar aportacionesPriorizar Dividend GrowthLlegar al 10 de mi objetivo de IFAprovechar cadas huir del FOMOYield gt 35Yield Growth gt 7
2020-12-28,310 CLX PUTS LEFT Watching COST XLU AAPL SPY TSLA FSLY PLUG NEE
2020-12-28,UTY US PHLX Utility top WEC DTE NEE ED Selected by our stock screener  stocks  valueinvesting valuation
2020-12-28,Rose Above Upper Bollinger Band today AKER FSM ACIO OEG NEE GNMK ALEX JEF RUN PHUN AMRH OPTT AEHL VERI ELF QCLN HMST HIMX PAYA BWACU  
2020-12-28,NEE  PINS
2020-12-28,NEE nice action Pivot formed on the 20 sma weekly looking for a continuation higher to 8000  
2020-12-28,Large Print NEE Size 105065 Price 7543 Time 930
2020-12-28,The Biggest Climate Change Stories of 2020 AMZN BLK CVX NEE XOM 
2020-12-28, Power divergence as well ED vs NEE
2020-12-28, Long SAP NVO JNJ NEE MSFT
2020-12-28,10 COMPAAS TOPSAP Se SAPApple Inc AAPLTesla Inc TSLANovo Nordisk NOVOBTaiwan Semiconductor Manufacturing Co Ltd TSMAlibaba Group Holding BABAJohnson amp Johnson JNJNextEra Energy Inc NEETencent Holdings Ltd 700Microsoft Corp MSFT10 COMPAAS TOP
2020-12-28,Because most of Americas power lines are operating beyond their lifespan America has more power outages than any other developed nation in the worldXLU PCG EIX SO NEE ICLN TAN FAN BIP ED DUK POR VST SRNE CNP
2020-12-28,ENPH NEE SEDG JKS CSIQ PLUG BLNK 
2020-12-28,EV and Solar playsTSLA FSR RIDE HYLN WKHS SOLO IDEX FUV AYRO GP NKLA NIO XPEV LI KNDI BYDDY NIU CIIC NGA PIC HCAC GIK FIII LAZR VLDR MVIS QS CBAT THCB BLNK BEEM CLSK ALB LTHM LAC VALE PLL SQM SEDG ENPH FLSR NEE RUN JKS SPWR SUNW JE  
2020-12-28, check these for next week EXR FLO MAA NEE PSA VMC
2020-12-27,aks when a gov hype play goes unrealized Low 164  High of 1128Whos next nio plug tsla nee 
2020-12-27,  En Espaa tenemos empresas como VIS IBE y ITX que las prefiero a sus homologas Americanas aunque NEE me gusta mucho
2020-12-27,NEE I like the set up here 1st target 78 Timeframe  3045days 
2020-12-27,CTYX Will Announce Terms Of Agreement Reached in Significant Partnership Deal With Nasdaq Traded Company SEE WSM RXN DBX VLY STWD CRC YUM RHT ASML IP NEE IMGN AXL
2020-12-27,NEE lookin sexy Ill look more into this one Thank you Sean and everybody else for top tier picks  
2020-12-27,Trades nee is the king Ive also been buying position in ine  ta and nep  Nothing sexy but long term average gainers plus some decent EPS Solar has already started its peak Look for developers building mixed wind solar battery storage projects  gamechanger
2020-12-27, portfolio TSMRPRXASMLZIDISDGXNEESPGIMSFTMDBBLKCDNSZTS SMH VMW  MDB  CDNS MSFT SPGI  
2020-12-27,Heeey hope everyone had an amazing safe  holiday now back to business ENZC ALPP NECA DSGT CBBT TSNP  MTVX MSMY NIO SPWR SBUX NEE  Less get it KNOW WHAT YOU OWN
2020-12-26,Why I am bullish on utilities  this gap will close yields can only go so high 23x turns of PE is a material 20 higher for valuations coupled with midtohigh single digit growth from projects  thats a low vol mid teen returnXLU XUTto NEE XEL AQN FTS EMA 
2020-12-26, Yup I have a good chunk of stocks in my long that are div stocks I do aim for stocks that pay a div  have growth potential  MO AAPL NEE  NEP  etc
2020-12-26,NEE technical alerts 180 Bullish Setup NR7 Bollinger Band Squeeze and Crossed Above 50 DMA  
2020-12-26, I like the FUTU amp EH mentionsMaybe NEE in the Alternative Power sectionWould have added a genomics section with CRSP NVTA EDIT PACB VRTX I like doing list like this at the start of a new year and then seeing what remains intact at the end of year
2020-12-25,Recent NEE technical alerts 180 Bullish Setup plus 9 more alerts 
2020-12-25,5 Stocks Thatll Secure Your Financial Freedom  stocks PINS AMZN MA ISRG NEE 
2020-12-25,Popular ILMN DISH BTCX SNPR PLMR IMGN ETCX SVMK EBAY PGNY NEE SFUN CHWY TXT CAT OKTA UVV SMG INFN
2020-12-25,Top 15 Energy stocks with market cap over 1 billion today NFE SNP RTLR CEO FANG NEE ENLC DUK DCP TRP LIN ENPH VVV USO TCP 
2020-12-25,Weekly Upside Reversal Scan  PDD NVAX WKHS GOGO GPRE BKNG COST UNH V HUM MCD LUV INTC NCLH PFE SBUX STNG UBER VMW ABT CCL GOOGL HON CI GOOG GDDY NEE ANTM SPG stocks StocksToWatch stockscreener 
2020-12-24,MonthlyWeeklyDaily Up order by Weekly from personal watchlist  IPOC LCA NARI CELH SVMK LITE STMP PGNY TNDM PDD LAD VMW TSM XLF ONTO BRP CPRT UNH NEE stocks StocksToWatch Stockscreener 
2020-12-24,Chart of the day power companies NY  ED FL  NEE TX  NRG  VST 
2020-12-24,This Discord have replicated the popular bullseye options strategy from  and JeffBishop Daily option trade at open that last 15 mins then you are done A 90 success record these last few weeks Come and join us   ocgn NEE MA
2020-12-24,Rose Above 50 DMA today CHSCP BPYPN CBMG NEE CHSCO  
2020-12-24,2 Wind Energy Stocks to Buy in 2021  stocks NEE BP EQNR  
2020-12-24,   The noise around rotation from growth to value and back should give you plenty of opportunities to add some BEPC Its a gd way to play on US weakness as well Right now NEE could have more upside I have a GreenEnergy basket BEPC NEE SEDG Like AZRE but was late to it
2020-12-24,GSector BUY WK51 SRE DTE CMS ETR AEP ES POR PNW NEE XEL  Utilities XLU FXU growthstocks stocks finance investment  
2020-12-24,22 Some of my developmental buysCRSP  LongONVO  LongDDD  Sold last monthFSR  LongNEE  more for growth than income now  I expect it to become an income buyARKK ARKG ARKFSome income holdsGDTMKCOSTAGPEPUNP the ultimate hard asset
2020-12-24,BEPC 87 since 815 yields 2 in a ZIRP world BEPC NEE will do well bc of ESG Cost base is insulated from inflation CoC to acquire assets is low bc institutional demand for RE debt remains strong Robust CFs bc of LT contracts   
2020-12-24,NEE Implied Volatility expiration 01152021 maxpain options  
2020-12-24,MDT Overweight PT 13000 spy aapl qqq msft mo nee 
2020-12-24,20212NextEra Energy NEE Equinor EQNR 2021
2020-12-24,HSIC Will Announce Terms Of Agreement Reached in Significant Partnership Deal With Nasdaq Traded Company SEE WSM RXN DBX VLY STWD CRC YUM RHT ASML IP NEE IMGN AXL
