Date,Text_clean
2020-12-31,More misinformation about housing and  from NWSA its another  crap shoot  with 
2020-12-31,DISCA CEO To Confirm As Early As Next Week That Advanced Acquisition Talks Are Ongoing In  MichiganCLR SU BTE PRTK MCET CNXS EYEG EQR FTI TCFINTK CNQ HK NWSA
2020-12-30,Large Print NWSA Size 202393 Price 1803 Time 1600 Amount 364914579
2020-12-30,NWSA Implied Volatility expiration 01152021 maxpain options  
2020-12-29,Jahresrckblick USMedienaktien Die Disruptoren gewinnen Traditionsmedien verlieren DIS NYT NWSA FOXA VIAC 
2020-12-29,20 DMA Support today MGV MDP OM XLB IEP ISD TY VRS PAG HBANO JAN LL RGS FICO OBNK EHC NWSA PVAC KALU BHR  
2020-12-29,Cancel Murdochowned Fox News FOX NWSA ESG CSR 
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 JBLU KAR KIM LAC LXP M MAC MARA MIK MWK NOV NPA NWSA NYCB ORAN PBCT PBR PCPL PEB PK PLAB PSTX RF RIDEW RIOT ROOT RQI RVI SABR SBRA SOL STAY SVC TAK TGNA THBR THCB TRIT TTM UBS
2020-12-28,Large Print NWSA Size 212433 Price 1818 Time 1600
2020-12-28,Top 4 stocks to watch for the week BKCC HST NWSA OFC all may climb win 13 8 8 8 days up to 68 43 57 51 respectively  When the fall is triggered then they all may fall win 21 15 14 18 days down to 57 08 03 5 respectively 
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 AG AMCR APLE APXT ATAC BFT BTWN BTWNU CLA DPG EGO FUV GHIV GOGO HPE IAU IBN IEA INSG IPOC IPOF ISBC IVZ LGFA MAC MARA MFC MWK NGA NLTX NPA NWS NWSA NYCB PBR PBRA PEB PK PRTS
2020-12-27,Stocks to watch Dec 28 thru Dec 31 cr geL vrtu vips fti sgry bpy bdtx five iphi zs phat evh nwsa bnr mgm uber sgms acia hhc amp TURN 180 Capital Corp the catalyst  
2020-12-27,GRCU CEO Confirmation Of  Acquisition Discussions Ongoing In New YorkCLR SU BTE PRTK MCET CNXS EYEG EQR FTI TCF INTK CNQ HK NWSA
2020-12-26,Recent NWSA technical alerts Doji  Bearish plus 6 more alerts 
2020-12-24,NWSA in Downtrend Stochastic indicator stays in oversold zone for 4 days View odds for this and other indicators  News stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-24,DOX CEO Confirmation Of Covert Acquisition Discussions Ongoing In NYCCLR SU BTE PRTK MCET CNXS EYEG EQR FTI TCF INTK CNQ HK NWSA
2020-12-23,NWSA Implied Volatility expiration 01152021 maxpain options  
2020-12-22,Scan results  Stochastic Buy Signal today LAC NVTA RIDE ATNX SC SWIR VST NWSA ODT SPCE ETR ZGNX OGE HPP AFG DGX NXST WW CW RHP  
2020-12-22,Rose Above Previous Days High today TBC NRBO MCRI NRO QVAL ODFL NSS NWSA NWS ONCY WVVI LINC JMP MCC RYT NUO XMHQ AKRO SBT FTI  
2020-12-22,FE INN NWSA PACW amp SHO are just 5 of my 14 Tier 2 StockPicks Check out my trading vlog for their suggested entry amp target as well as the other half dozen of StockPicks   96
2020-12-22, Murdoch must be held accountable for propaganda Follow the money FOX NWSA ESG 
2020-12-22,FE INN NWSA PACW amp SHO are just 5 of my 14 Tier 2 StockPicks Check out my trading vlog for their suggested entry amp target as well as the other half dozen of StockPicks   38
2020-12-22,FE INN NWSA PACW amp SHO are just 5 of my 14 Tier 2 StockPicks Check out my trading vlog for their suggested entry amp target as well as the other half dozen of StockPicks   34
