Date,Text_clean
2020-12-31, AAPLSNAPGEORCLLENORBCMSBACIPOCIPODIPOEIPOFGBTCVNODISTOKETMFCENEInsert Biotech ETF HereHAPPYNEWYEAR2021
2020-12-31,Thursdays Top Flow in energy sector Buy Flow amp Sell Flow COP SLB MPC KMI APA EQT NBR FTI HAL RIG SE OKE XOM MUR CVX MRO SWN WMB PXD COG stock stocks StockMarket Investment investing OilPrice Oil oilandgas  
2020-12-31,SampP 500 Winners of 2020TSLA ETSY CARR  NVDA PYPL LB ALB AMD FCX  CDNSLosers of 2020SLB FANG HFC OKE MRO UAL FTI NCLH CCL OXY 
2020-12-31,Todays Top 5 Technical Gainers among Large Caps WDC OKE DXC NRG TYL  sccrankings stockcharts
2020-12-31,GreatQuarters 2020 yearend bounce portfolio of 2020s worst performing stocks expected to bounce in January 20 selected from worst 25SLGXRXFEXOMSPGAALWFCRCLNOVVNOSLBFANGHFCUALOKEMROFTINCLHOXYCCL 
2020-12-31,Adding to TRGP MTDR and OKE longs Not a lot going on today in energy Most tickers remain in middle of range with roughly equal upside vs downside over nearterm duration
2020-12-31,ONEOK  OKE QUOTEOKE was DOWN  on Wed Dec 30Closed at 3812 USD for a 003 loss from previous close   ANALYSISONEOK should be nationalized  
2020-12-31,As mentioned before I am extremely bullish in the oil sector for 2021 Will not alert these volatile multifactorial plays XLE XOM OKE USO OIL Themes
2020-12-31,Top 10 Momentum stocks based on some Amibroker analysis for trending stocks TPR IVZ UA DFS FCX PAYC ALB MU OKE SIVB 
2020-12-30,Wednesdays Top Flow in energy sector Buy Flow amp Sell Flow XOM SE APA MPC HAL PXD SLB VLO EOG FTI HES OKE COP COG MUR RIG MRO NBR KMI CNX stock stocks StockMarket Investment investing OilPrice Oil oilandgas  
2020-12-30,Currently holding CVX FANG and small position in XOM in Roth energy positions  Out of OKE  
2020-12-30,Stocks trending lower in afternoon trading lower lowsFUBO EPD LUMN WMB ABNB WBA UPS YALA OKE ENLC 15 more results  Scan updates every 5 secstrading fintwit
2020-12-30,Rose Above Previous Days High today TSRI NEU SNFCA OKE LQDT EWRE ZCMD VFMV ARGT XNTK ELVT PZD UAL XSD MYSZ COP DDIV VMC NREF XHE  
2020-12-30,  OKE FCF beastmidstream is where the best divi remains
2020-12-30, OKE from 13 to 38 and a nice div
2020-12-30,oke Hello 
2020-12-30,TD BUY OKE at 3813 Supp 3813 Resis 4175 R9  HiLo 39 T1Y 37 hold 28 PE 261 DIV 974 ONEOK Inc stocks trading finance market  
2020-12-29,Las 20 acciones del SampP 500 con el peor rendimiento en 2020 al 2812OXY 58CCL 57NCLH 56FTI 56MRO 51HFC 50UAL 50OKE 49FANG 49SLB 46
2020-12-29,Zion oil and gas rig is up and lot of work is going on on site znog XOM CVX rdsaa PSX TOT OXY COP rdsb BP EOQ WLL PXD PTR DVN GEP EC GE VLO E CLR CEO CXO SLB KMI CNQ EQNR OKE MRO RIG CVE CPE NBR RRC LPI XEC WPX SM MTDR 
2020-12-29,2021 Dogs of the SampP read link below if youve not heard of strategy10 highest yielding SampP stocks LUMN OKE IRM XOM  MO WMB KMI T VLO SLG
2020-12-29,Adding to OKE OIS and ESTE longs Booking some gains in DK
2020-12-29, I still have OKE and ET it was just the odd man out
2020-12-28,Large Print OKE Size 347527 Price 3841 Time 1830
2020-12-28,Step 1 Get moneyStep 2 Buy passive incomeStep 3 Repeat I like ET PSEX OKE
2020-12-28,Adding to TRGP FET NGS LBRT RIG XEC NBR OKE OIS and AR longs Adding to EPM LNG and VLO shorts Booking some gains in WMB CNX ET puts and SWN shorts 59 net long
2020-12-28, A m me gusta OKE
2020-12-28, OKE is a buy now and under 50
2020-12-27,OKE Implied Volatility expiration 12312020 maxpain options  
2020-12-27,SampP 500 Index companies with the highest yields are Lumen Technologies LUMN 1010 ONEOK OKE 964 Iron Mountain IRM 838 and Exxon Mobil XOM 833 The highest yielding Dow 30 stocks are Chevron CVX 602 IBM IBM 526 and Dow DOW 511
2020-12-27,No dividend announcements are projected Heading 2021 the SampP 500 Index companies with the highest yields are LUMN 1010 OKE 964 IRM 838 and XOM 833 The highest yielding Dow 30 stocks are CVX 602 IBM 526 and DJI 511 MarketUpdate MarketWatch 
2020-12-27,SampP 500 Index highest yields areLumen Technologies NYSE LUMN 1010 ONEOK NYSE OKE 964 Iron Mountain NYSE IRM 838 Exxon Mobil NYSE XOM 833     The highest yielding Dow 30 stocks are  Chevron NYSE CVX 602IBM NYSE IBM 526 Dow DOW 511
2020-12-27,12281228 SINA CSPI WB1229 LMND ACCD1230 BEAMLUMN OKE IRM XOM CVX IBM DOW1230 TIF  LVMH  
2020-12-27,TopOfThePops MLPs XOP ARLP BKEP BPMP CEQP CLMT CNXM CPLP CQP DCP DK DLNG ENB ENBL ENLC EPD EQM ET GEL GLOP GMLP KNOP MLPA MMLP MMP MPLX NBLX NGL NMM OKE OMP PBFX SHLX SMLP SNMP SRLP TCP TGP USAC USDP XOM CVX HAL
2020-12-27,DLCR To Be Scooped Up In All Cash Transaction By Unnamed Nasdaq Traded Company Official PR Coming Early Next WeekPXD CRUS FANG ADFS WTTR DGX OKE DRI DXC TAUG ALK TTWO CTXS
2020-12-26,TopOfThePops MLPs ARLP BKEP BPMP CEQP CLMT CNXM CPLP CQP DCP DK DKL DLNG ENB ENBL ENLC EPD EQM ET GEL GLOP GMLP HEP KNOP MLPA MMLP MMP MPLX NBLX NGL NMM NS OKE OMP PBFX RTLR SHLX SMLP SNMP SRLP TCP TGP USAC USDP
2020-12-26, OKE for their stability and 4x return and NEBLQ for their possible 10x50x return
2020-12-26,ONEOK  OKE QUOTEOKE was DOWN  on Thu Dec 24Closed at 3880 USD for a 000 loss from previous close   ANALYSISONEOK should be nationalized  
2020-12-25,Current worst performing large cap stocks of 2020Carnival CCLOccidental OXYUnited UALEnergy Transfer ETOneOk OKESuncor SURoyal Caribbean RCLSchlumberger SLBWells WFCBPSimon SPGCnooc CEOShell RDSBEOGValero VLOExxon XOMLloyds LYGConoco COP
