Date,Text_clean
2020-12-31,20 DMA Support today EWZS CAR CPIX PKBK NXGN DYNT RWK CPB XNCR CTBI GABC QADA CCCC NULG KOF ACP ITRN FRPH FUL ZROZ  
2020-12-31,QADA in 068 Uptrend rising for three consecutive days on December 30 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-29,20 DMA Support today QTRX QADA PGZ BANR FMAO USLM FLXS FDVV ICON LCUT CSD BLPH  
2020-12-28,Rose Above Previous Days High today CRAI EPAY EVV FLV UMAY QADA FMAO PFIS AMTB CPRX BSRR ATLO CNBKA AMNB SMMF FNLC RBB TZOO BBIG GOAC  
2020-12-28,UAL CEO to pronounce forward split to proceed as early as TuesdayQADA CPSI DLOV NYRT DSS CPTA USAP HSKA ORN METC MSP CRGS RTIX
2020-12-27,Dividends this week20201228 CMQADBQADAGHYISD20201229 SMHEMLCHYDCIBTWO20201230 DHRBDHRAMSEMSIMSF20201231 APDRSGVTRPWRMORN20210101 CONE
2020-12-24,QADA in 649 Downtrend sliding for three consecutive days on December 21 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-23,Rose Above Previous Days High today GS VRP WBIE TEGS LSAF PSHG SWKS MRAM MGLN PW QADA DHF QCRH QRTEB NETL NIFE RACA RAND GNFT IGC  
2020-12-23,120630004 of shares sold by Lender Daniel EVP amp CFO reported in a new form 4 filed with the SEC  QADA 
2020-12-23,QADAQADB Dec 22 CFO Sells 20000 Shrs Net 121M Acqd 0 Dispd 20000 6032s 
2020-12-22,20 DMA Support today GOAU PVL SZC SHBI DIAX QADA RCD OUSA RCG RUSHB NCTY XLF KINS IVA XLV DFAI BSCQ SIVBP MKC SFUN  
2020-12-22,16151022 of shares sold by Chilton Anton CEO reported in a new form 4 filed with the SEC  QADA 
2020-12-22,QADA in 265 Downtrend sliding for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-22,INFO CEO to pronounce forward split to proceed as early as TuesdayQADA CPSI DLOV NYRT DSS CPTA USAP HSKA ORN METC MSP CRGS RTIX
2020-12-21,20 DMA Support today INKM IDEV PZG GSBC ZIONP SSUS QADA BYND ESG ANNX NUEM ADME  
2020-12-21,QADA in 265 Downtrend falling for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,MWWC to divulge ongoing merger talks happening now in BostonBANR BANF BALMF BAK BACpC  QADA CPSI DLOV NYRT DSS CPTA USAP
2020-12-20,QADA in 265 Downtrend falling for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,AKBA CEO to pronounce forward split to proceed as early as TuesdayQADA CPSI DLOV NYRT DSS CPTA USAP HSKA ORN METC MSP CRGS RTIX
2020-12-19,QADA in 342 Uptrend growing for three consecutive days on December 17 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-19,COST to divulge ongoing merger talks happening now in New YorkBANR BANF BALMF BAK BACpC  QADA CPSI DLOV NYRT DSS CPTA USAP
2020-12-18,New 52 Week High today PWS IIVIP IZRL JEQ JJG JOUT LGI LIXT LXEH WOOD MNSBP PATK PBUS OCFCP ORPH QADA QADB  
2020-12-18,QADA in 265 Downtrend falling for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-17,New 52 Week High today IYY PZD LGI UHAL LXEH MJO NATR OCFCP AESR PFO WIT PRS PRTC QADA RBCN RNDB FHTX SILC SMTI AX  
2020-12-17,QADA in 265 Downtrend declining for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-17,QAD Expands Capabilities in Strategic Sourcing and Supplier Management with Planned Acquisition of Allocation Netwo QADA QADB 
2020-12-17,42sTop422020DEC16 725pmQADA QADCommunity QAD up 246  288 million gain QADA has made notable gains in 7 of the last 26 trading sessionsapplication software stockTips stockMarket trading investing 
2020-12-16,QAD acquires Allocation Network expanding capabilities in strategic sourcing and supplier management QADA 
2020-12-16,QADA QADB  QAD acquires Allocation Network expanding capabilities in strategic sourcing and supplier management 
2020-12-16,QADA NASDAQ  8K  QAD INC  BA00  BidAsk Size00  Volume80981  AverageVol49228  Outstanding0 
2020-12-16,QADA QAD Expands Capabilities in Strategic Sourcing and Supplier Management with Planned Acquisition of Allocation Network GmbH 
2020-12-16,Rose Above Previous Days High today FLC FNF ZS CARE EQ QADA CCF HOTH HSIC OMCL CLPT BDGE CEV UNFI VCTR FHLC DXYN CRWS FNLC CUBB  
2020-12-16,In the last month QADA has a been trading in the 4700  6487 range which is quite wide  
2020-12-16,QADA considerable price movement 447  change recently 
2020-12-16,QADA in 265 Downtrend sliding for three consecutive days on December 14 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-15,QADA  QAD declares 0072 dividend 
2020-12-15,QADA QAD Declares Quarterly Cash Dividend of 0072 Per Class A Share and 006 Per Class B Share 
2020-12-13,QADA Valuation is starting to make more sense now 5336  
2020-12-10,DOWNSIDE MOMO QADA QAD Inc    TradeIdeas via  
2020-12-10,QADA NASDAQ  10Q  QAD INC  BA00  BidAsk Size00  Volume  AverageVol45268  Outstanding0 
2020-12-10,NASDAQNewHighCountTechnologyCASA 4IEC 4IMOS 3QADA 3RIOT 3AMBA 3COHU 3ADTN 2CREE 2DMRC 2From20201202
2020-12-09,QADA was analyzed by 3 analysts The buy consensus is at 100 So analysts seem to be very confident about QADA  
2020-12-09,New 52 Week High today KLAC MAGS GCV IBBJ ITI WRK ENTR AIQ SPRO ETH BLDG PJP ICL QADA RUSHB XHE JEQ KAI SNEX SPB  
2020-12-09,NASDAQNewHighCountTechnologyQADA 4RIOT 4COHU 4CASA 3IEC 3AMBA 3AOSL 2AVNW 2LAZR 2RMBS 2From20201201
2020-12-09,QAD Inc Class A Shares Climb 09 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-08,New 52 Week High today SCHX NKG FLNT NTRSO IQDG ACACU OCFCP SUSA RYT INFI TROW QADA RFM GSLC PSCT SCPE CBON ANEW SLN SMID  
2020-12-08,NASDAQNewHighCountTechnologyRIOT 5COHU 5INOD 3AMBA 3UCTT 3QADA 3PI 3AVNW 2IEC 2IMOS 2From20201130
2020-12-08,QAD Inc Class A Shares Climb 00 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-08,QADA in 699 Uptrend rising for three consecutive days on December 4 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-07,QADA in 699 Uptrend rising for three consecutive days on December 4 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-06,QADA  new high coming 454  change recently 
2020-12-06,QADA in 699 Uptrend advancing for three consecutive days on December 4 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-05,QADA Ill probably buy on the dip Still need to do more research  454  
2020-12-05,QADAs price moved above its 50day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-05,NASDAQNewHighCountTechnologyAMBA 6RIOT 6COHU 5MSTR 5AVNW 5QADA 4HIMX 4UCTT 3CMBM 3From20201119
2020-12-05,QADA the valuation looks good   454  change recently 
2020-12-05,QAD Inc Class A Shares Close the Week 110 Higher  Weekly Wrap  QADA stockmarket kwhenfinance
2020-12-05,QAD Inc Class A Shares Climb 45 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-04,New 52 Week High today CACG YLDE PGM QADA QADB  
2020-12-04,2020DEC04 1225pm42sNotableALSK  AMAT  AVID  BCRX  CDEV  CPE  HEAR  ICHR  IMH  IPI  LINC  LRCX  LTRPA  LZB  MACK  MU  PATK  PD  QADA  SNX  SQ  SSTK  UCTT  UEIC  UMCstockMarket trading investing 
2020-12-04,2020DEC04 1125am42sNotableALSK  AMAT  CDEV  CPE  HEAR  IMH  LINC  LRCX  MACK  MU  PD  QADA  SNX  UCTT  UEICstockMarket trading investing 
2020-12-04,QADA might be worth taking a position when this bottoms  234  change recently 
2020-12-04,NASDAQNewHighCountTechnologyAMBA 5RIOT 5MSTR 5AVNW 5COHU 4QADA 4HIMX 4CMBM 3DMRC 3From20201118
2020-12-04,QADA in Uptrend 50day Moving Average broke above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-04,QAD Inc Class A Shares Climb 23 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-03,New 52 Week High today VB CIGI SPTM OSB CHI HIX ARW MOAT NSH XTN BOTZ IPV RGT PSACU ESGU LBRDK SIZE CROX PRG QADA  
2020-12-03,NASDAQNewHighCountTechnologyMSTR 5AVNW 5AMBA 4HIMX 4RIOT 4COHU 3DMRC 3PI 3QADA 3INOD 3From20201117
2020-12-03,QADAs price moved above its 50day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-03,QAD Inc Class A Shares Climb 23 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-03,Fuelcell Energy Inc FCEL CEO to pronounce forward split to proceed as early as TuesdayQADA CPSI DLOV NYRT DSS CPTA USAP HSKA ORN METC MSP CRGS RTIX
2020-12-02,New 52 Week High today NREF NSH PI FRHC SMMC VEA PFD POWI PRG QADA SPRO PSI AMAT LDL  
2020-12-02,QAD QADA  QADB DynaSys announced that CERP Rhin Rhne Mditerrane a French leader in pharmaceutical distribution has selected the QAD DynaSys Retail Planning solution
2020-12-02,UPSIDE MOMO QADA QAD Inc    TradeIdeas via  
2020-12-02,ABT AON GMDA INSM LUMN QADA QADB 
2020-12-02,QADA CERP Rhin Rhne Mditerrane Selects QAD DynaSys Cloud Solutions to Improve Customer Service Levels and Satisfaction 
2020-12-02,CERP Rhin Rhne Mditerrane Selects QAD DynaSys Cloud Solutions to Improve Customer Service Levels and Satisfaction QADA QADB 
2020-12-02,QADA in Uptrend 50day Moving Average moved above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-01,New 52 Week High today ATRA CDAK OEF SPEU MOAT ARCB IIVIP XHS BKK NUMG GNTX QADA IWC IQM EVX COWN CTSH BYM JHG FNDX  
2020-12-01,QAD Inc Class A Shares Close in on 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-12-01,QADA in Uptrend 50day Moving Average broke above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-11-30,QADA in Uptrend 50day Moving Average broke above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-11-30,QADA this is the time you buy equities thank you fed  497  change recently 
2020-11-29,QADA holding until 6316 dollars a share  
2020-11-29,QADA in Uptrend 50day Moving Average crossed above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-11-28,QADA here we go  497  change recently 
2020-11-28,If you invest 1000 in CUTR today at 2542 per share and the stock prices rebound back to prepandemic prices at 2701 your investment would be worth 106255 Thats 6 growth and 6255 profit  See more   QADA EBAY GLPG PNW KBLMR 
2020-11-28,QADA definitely going to finish over 6316  497  change recently 
2020-11-28,QADA in Uptrend 50day Moving Average crossed above 200day Moving Average on November 3 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-11-28,QAD Inc Class A Shares Close the Week 123 Higher  Weekly Wrap  QADA stockmarket kwhenfinance
2020-11-28,QAD Inc Class A Shares Climb 29 Past Previous 52Week High  Market Mover  QADA stockmarket kwhenfinance
2020-11-27,NASDAQ52WNewHighTechnology1 NNDM 2 APPN 3 HIMX 4 LUNA 5 ENPH 6 SWIR 7 CRNC 8 QADA 9 BL 10 SPSC 20201128 6856
