Date,Text_clean
2020-12-31,lotto last day of the yearTSLA 75 to 485 700NFLX 235 to 340QCOM 165 to 180failed FCELfinished 2020 with a strong lotto daytradeHAPPY NEW YEAR fellow tradersStockMarket OptionsFlow optiontrading check us out dm for infoSPX SPY QQQ VIX 
2020-12-31,kotecha AAPL 592AMZN 396GOOG 379MELI 328QCOM 322NVDA 311CRWD 301BRKB 295MMM 281LMND 269
2020-12-31,QCOM 16 
2020-12-31,MSFT NKLA NVAX NVDA PTON QCOM SIL SILJ SLV SNAP TLT TM TSLA TSM TXN WFC XLNX ZM BABAF BAMXF BAR BIL BMWYY BYMOF CEF COIN DDAIF DMLRY FCELB GOOG HTZGQ NSANF NSANY PHYS PSLV SQ TIP TOYOF UGL VLKAF VLKPF VWAGY VWAPY
2020-12-31,Potential Breakout 5 Stocks To WatchQCOM AXP SPX SPY NDX QQQ stocks investing business finance trading
2020-12-31,QCOM Below Avg VolumeDaily appearances since 2010 281Close 5 days later Avg 036SD 325Worst 1200Best 195010 days laterAvg 104SD 518Worst 1327Best 251030 days laterAvg 415SD 946Worst 2057Best 3260
2020-12-31,QCOM Rising Price and VolumeDaily appearances since 2010 129Close 5 days later Avg 013SD 213Worst 861Best 75410 days laterAvg 007SD 343Worst 1578Best 103730 days laterAvg 037SD 664Worst 2591Best 3051
2020-12-31,kotecha BA CRWD TTD PENN VIAC FDX FB CRLBF QCOM RVLV Little over half my holdings 
2020-12-31,Wow we timed that QCOM swing perfectly Nice little run into close up 16 on the 1525 call also added on a 155 call PT for next week is 154155 
2020-12-31,tsla qcom ttd as always my max risk is 45k  option position and am always looking to find the best risk to reward trades expect 0 dont force trades wishing everyone a happy new year cheers to 2021 and lets go crush this market   
2020-12-31,The market is underestimating the potential impact of aapl using its own modem chips instead of qcom The saving grace for qcom is huawei and other Chinese firms are being force to stop design their own chips but it is a temp phenomenon No competitive barriers for qcom
2020-12-31,QCOM testing high base breakout has nice room to the upside im swinging 1525 call 18 exp 232 avg 
2020-12-31,Watch list for next weekJan 15 calls on TSLA NFLX DIS and QCOM Watching T for value play The XDIV is Jan 8 GL
2020-12-31,NVDA all I see is relative weakness That daily pattern could break either way specially looking price action around short term MAsGood thing is NVDA still riding long term trendThink leadership in SMH has shifted to MU QCOM AVGO MRVL etc
2020-12-31,QCOm
2020-12-31,How SNE Sony Is Fueling The Computer Vision Boom  xperia1II  ZM AAPL MSFT MSGE GE RBC DMLRY ARGGY AML EWG zeiss EWL PCRFY FTSSF IBM QCOM INTC HIMX VIAC ZM PCRFY EWJ EWG SOLO TM NKLA RACE SSNLF NOK BB 
2020-12-31,ZM FB SPY AMD QCOM MSFT TWTR SPAQ NIO NKLA WMT BA ATVI  PYPL AMZN SQ FSLY ETSY SHOP LYFT UBER CSCO BP TSLA CRM BIGC SHOP APPL ROKU ORCL 
2020-12-31,QCOMs Aroon indicator reaches into Uptrend on December 16 2020 View odds for this and other indicators  Qualcomm stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-31,qcom bullish look 
2020-12-31,AMT breakout DXCM breakoutQCOmAMD pop it lets go
2020-12-31,I remember those days of QCOM 
2020-12-31,Heres Why US Cellular is a Solid Pick for Investors TDS QCOM USM INSG 
2020-12-31,MSFT not Everything is green in my portfolios this one fading with the sector on low volume  Id worry if we crack the 10SMA support otherwise we should be good long term GL AMD SPY INTC BABA TSLA LOW FB SQ QQQ PTON AAPL NIO TWTR MSFT QCOM 
2020-12-31,TSLA reminds me of QCOM in January 2000 QCOM was on an amazing run that peaked on either the last day of 1999 or the first trading day of 2000 Seems TSLA could do the same
2020-12-31,QCOM NFLX FLGT  look at the resolutioni have experience in my style of tradingLOLno joke
2020-12-31,remember i am beta tradingthere is no news for most stocksthe only news was lower subsidies NIO  so QCOM is just trading on technicals n mkt moves
2020-12-31,QCOM stop loss 15146 avg vs 15169 avg entry when i put on a higher low or any PB setupit should go up relatively quickodds go up for a stop loss if it stalls makes senseno buying or heavy sellers
2020-12-31,2 BABA 230p 105QCOM 1525c 86NFLX 560c 50MU 76c 83PLAY 30c 212QCOM 155c 70TSLA 735c 240HoldingFUBOFailsAAPLBIDU putsPDD rollSNOWRIOTSBUX
2020-12-31,got a live day trade i am monitoringits a higher low setup 5min but going nowhere so the odds r increasing i will get stopped for a loss QCOM
2020-12-31,I am going to RKT into 2021 with new QCOM components and QQQ hedges to fund my fun
2020-12-31,SMIC at a critical levelChinese Stocks StocksToTrade StocksToWatch SMIC SMICY Tech Technology Semiconductor Manufacturing China MCHI FXI chip semis Qualcomm Broadcom BlackList ExecutiveOrder QCOM AVGO Software Export Restrictions CCP Military Beijing 
2020-12-31,7 Cheap Stocks That Cant Wait for 2021 QCOM GOGO ALLY 
2020-12-31,QCOM people are u seeing this
2020-12-31,QCOM get as close as you can to 15309 and I will close out today be done and end 2020 GREEN not only today but for the year 
2020-12-31,TSLA ALL OUT again for now congrats on the call If we hold the gray area this could give us another DT play into eod GL  AMD SPY INTC BABA CHWY V LOW FB SQ QQQ FSLY ZM PTON AAPL BA JNJ NIO TWTR MSFT QCOM SPCE ATVI TMUS BAC PINS 
2020-12-31,QCOM unloaded freeroll when it got below 20ema 5min n failed to regain   15155
2020-12-31,QCOM  
2020-12-31, Its been like that for awhile Got in during its bear flag formation This IPO is going to be a tragedy QCOM 20
2020-12-31, QCOM bullish
2020-12-31,Cutting back to small size in QCOM given that the action will now more than likely turn into very slow low vol chop not an ideal environment for a breakout Wanted to see more of a push up into the gap given what peer MU has been able to do
2020-12-31,QCOM is moving guys 17000 coming
2020-12-31,Smaller size for Lottos but still killed it Break time 121k be back shortly  TSLA QCOM FB NFLX NIO 
2020-12-31,QCOM is looking like an ascending base BO  hourly   have freeroll day trade half
2020-12-31,MU  Hourly Dec312020 AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,MU  Hourly Dec302020  AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS 
2020-12-31,QCOM 
2020-12-31,Rock I have QCOM from 245 though 
2020-12-31,QCOM trying 
2020-12-31,QCOM looks like it wants to squeeze like it did last time at this level 
2020-12-31,QCOM remember i recorded the pivot late yesterdaycheck out the opening 5min candles break above  then test the pivotsee yesterdays PB n basing late in the day
2020-12-31,QCOM  that front half sell n rebuy that is a PB test to support u see VERY OFTEN  it should be memorized
2020-12-31,QCOM Break of Low Cheat
2020-12-31,Semis very bullish today WDC MU QCOM etc
2020-12-31,QCOM  17000 is possible
2020-12-31,QCOM still moving higher if you are in it
2020-12-31,QCOM  the front half i rebought 15160   i sold 15209
2020-12-31,QCOM looking good here MU has earning next week as far as GT wait for pullback and respect stops 
2020-12-31,  QCOM QCOM   
2020-12-31,QCOM also with 1000 July 155 calls being bought 1475 to 1535 
2020-12-31,QCOM  front half exited 152   just bought back 1516
2020-12-31, Be careful today the market is choppy Not the best day to watch  The list is not super exciting today Lets wait 2021  Stay safe be patient WDCMUENPHNIOCRWDASHRADSKQCOMATVI  EA 
2020-12-31,Qualcomm QCOM with 1000 July 145 puts sold to open 14 5G winner for 2021
2020-12-31,20 DMA Support today CMG HLX ATI NHI SSL AXP SILK CFG TFC BAX LHX ES QCOM LOAN MCD SPGI CAT ROK MUR IVR  
2020-12-31,QCOM outWatch NFLX flag
2020-12-31,Not pushing my luck today haha FB QCOM NIO Wins TSLA in limbo has potential but well see I will hold it as the lotto it is
2020-12-31,QCOM long 15081 avg     sold partial 152
2020-12-31,qcom  option flow in to the 071621 155 CALLS 
2020-12-31,Got back into some QCOM with risk on the lows was a little too tight yday moving stops up to be Trying to get into the gap here
2020-12-31,QCOM 120 scaling more
2020-12-31,QCOM 1516 coming up
2020-12-31,QCOM looking good  Holding and purchasing long Cs
2020-12-31,QCOM 65 scaling
2020-12-31,UAPC OVERSOLD MMJ PT 4 CENTSxrp btc spy tsla msft goog ba fb amd v qcom nflx bac nvda roku cost rvdo spx baba nwbo ttph mvis dirv blxx llit mara visl tghi frsx solo myo mark gnus rmbl sunw vvpr zom dss hgsh zm abnb idex wmt uber 
2020-12-31,QCOM added 1525c lottos
2020-12-31,QCOM watch it now 151
2020-12-31,Qualcomm was the biggest 5G chipset vendor in the third quarter of 2020 powering 39 of the 5G phones sold worldwide Future 5G growth wave and AI applications will move QCOM to the top
2020-12-31,GM  Today is like a Friday Im probably not going to trade a bunch Fridays are not my jam Watching TSLA BIDU for more upsideQCOM gt151 possibleFB gt274 maybeSHOP gt1166 if volume comesDoesnt seem to be much Momo this morning  May wait a few
2020-12-31,Premarket tickers on watch TSLA BIDU QCOM BILI AINC EBON  Premarket breakdown everyday 800930am EST Breakdown of the Macro Environment Market Commodities FAANG and then Individual names Action plan for open being charted amp written Live
2020-12-31,Qualcomm Boosts Smart Mobility Experience With GWM TieUp QCOM AVNW CMTL UI 
2020-12-31,Kontrol KNR KNRca KNRc KNRLF Retains Emerging Markets Consulting LLC for Investor Relations Advisory Services SNE MSFT HON GOOGL QCOM 
2020-12-31,SBE NIO QCOM AAPL PLTR SQ CRSR W So many plays cant watch em all So I DCA
2020-12-31,FUBO  QCOM 54Short149  FUBO  
2020-12-31,Scans from Wednesday December 30 2020   PTON MRVL ABBV QCOM MU SE SQ BMY V PDD SBUX BIDU BSX NVS JD MA GPN MNST DIS CDNS SwingTrading technicalanalysis trading stocks StockTrading Options OptionsTrading
2020-12-31,Portfolio going into 2021UBERJWNTDOCBYNDPYPLABNBQCOMTSLACSPRExpecting a 20 return next year possibly even higherIn dollar figures thats approximately 22000 in capital gains
2020-12-31,Dollar Id like to get a position in QCOM eventually and I have one in HD Been looking into FDX instead of UPS
2020-12-31,Dollar Im long all of those except UPS QCOM and LOW
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 ABBV ABT AI ALB APH APTV AXP AZPN CDLX CDNS CPRT CREE EXPE FRC FSLR FTNT HLT JNUG JPM LMND MIDD MSGE PBW PFPT QCOM RL ROST TAN TSM WCN
2020-12-31,EVFM Share Price To Rise As Nationwide Exposure Coming With CNNMoney Segment Next TuesdayCBIS TXHD ESV MDLZ PTOP XOM CCTR SBUX LLNW CLKA PBR QCOM
2020-12-31,stock I would not be called a Semi expert but I follow closely I am long MU and had positions in TSM and NVDA will buy again I am very interested in QRVO and ASML traded them for a while but want long positions I think QCOM and AVGO Broadcom will underperform
2020-12-31,semiconductors I hold TSM NVDA AMD but would like to hear your thought and others as well  arent you a semi expertNVDA best breed ceo belief future growthAMD up and comer ceo beliefTSM largest foundry QCOM 5G contracts recent loss to AAPLAVGO Others
2020-12-31,QCOM To Announce New Non Toxic Shareholder Friendly Line of Credit From Wells Fargo WFCFBP ENDP CCI SVTE THNS TSPG WU CI PAYX XEL SEGI GT HUN CRM IR
2020-12-31,NXTD BOUNCING AFTERHOURS Adding heavy hereSPY SPX QQQ ESF NQF RTYF ZBF GCF NDX RUT AAPL NFLX AMZN TSLA FB MSFT DIA NDX IWM QCOM GDX DAX BYND TWTR GLD SLV GEF BABA TLT LYFT VXX TVIX VIX XLE XOM JPM GS GOOG DIS IBM 
2020-12-31,NXTD BOUNCING AFTERHOURS Adding heavyTOPS JMIA UXIN EDXC BPTH TTCM DPW AMD AAPL FB AMZN QCOM ERIC C VRUS BTC PRPO MRVL NIO RAD UXIN YUMA sfs boxl RBZ QCOM LABD akao GOGO HEXO aveo TPNL holi DPW SBGL zsan bzun DECK stocks blockchain 
2020-12-30,Having a trusted team on your side will make all the difference when investing Have you tried OptionAlarm yet Free Trials Winning Option Swing Trades Since 2006  QCOM SQ DKNG PENN
2020-12-30,puru  I believe they put out a short thesis on QCOM 300 ago
2020-12-30,TSM semis did alright today AMD MU INTC QCOM NVDA 
2020-12-30,Why Qualcomm Is a Dividend Investors Dream  stocks QCOM AAPL NVDA 
2020-12-30,QCOM Below Avg VolumeDaily appearances since 2010 281Close 5 days later Avg 034SD 324Worst 1200Best 195010 days laterAvg 102SD 518Worst 1327Best 251030 days laterAvg 414SD 945Worst 2057Best 3260
2020-12-30,Up  Down up again   A lot of Chop today 500  Great move on FUTU  Added today  WDC XPEV QCOM  CAT Closed NETE for a small win  couldnt close it  premarket 
2020-12-30,JD  HourlyClose to hit the target AAPL GOOGL AMZN PYPL SQ MU CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U 
2020-12-30,QCOM i was wrongbut the point is that your loss would have been less than 20 cents on a 15016 print
2020-12-30,Large Print QCOM Size 471324 Price 14995 Time 1600 Amount 7067503380
2020-12-30,QCOM Has An Excellent Technical Analysis Score TA Score Breakdown Of 3 Categories candle score Excellent moving average score Neutral momentum score Excellent stocks stock StockMarket Investment investing  
2020-12-30,QCOM  20ema 5min flattened after downtrending the upside pivot is formedpush above then PB test downside pivot forms  yadi yah yah transition to uptrend
2020-12-30,the downside pivot has formed 5min QCOM   stop should now be below 150 
2020-12-30,QCOM its too latebut the new pivot on 25min is 15016 n the stock just broke above on some volume
2020-12-30,JD  Hourly  AAPL GOOGL AMZN PYPL SQ MU CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD JD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD KO 
2020-12-30,QCOM  new pivot 15035  but i forgot the book is closed lolmaybe tomorrow
