Date,Text_clean
2020-12-31,SBRA enters a Downtrend as Momentum Indicator dropped below the 0 level on December 30 2020 View odds for this and other indicators  SabraHealthcareREIT stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-31,VTRS CEO To Confirm Acquisition Discussions Ongoing In ChicagoBBVA SBRA DEI NTRS ALKS LITE SNPS BZUN ETR CSTM PNAT NCLH PAY
2020-12-30,Large Print SBRA Size 214595 Price 17565 Time 1600 Amount 376936118
2020-12-29,20 DMA Support today PGC SCHV OSB QRTEA KAMN SBRA JJN ARW CNST JWN BLFS WTFC TDY CNCE EXAS TARO SPXX EPRT MRC AGM  
2020-12-29,RT  Sabra Health adds Ann Kono Fmr Chief Information amp Risk Officer Ares Management to Board SBRA corpgov 
2020-12-29,RT  Sabra Health adds Ann Kono Fmr Chief Information amp Risk Officer Ares Management to Board SBRA corpgov 
2020-12-29,RT  Sabra Health adds Ann Kono Fmr Chief Information amp Risk Officer Ares Management to Board SBRA corpgov 
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 JBLU KAR KIM LAC LXP M MAC MARA MIK MWK NOV NPA NWSA NYCB ORAN PBCT PBR PCPL PEB PK PLAB PSTX RF RIDEW RIOT ROOT RQI RVI SABR SBRA SOL STAY SVC TAK TGNA THBR THCB TRIT TTM UBS
2020-12-29,Highest dividend yield  among reits realestate VNQ1  PARK HOTELS amp RESORT PK 20252  IRON MOUNTAIN INCORP IRM 8383  OMEGA HEALTHCARE INV OHI 724  SABRA HEALTH CARE RE SBRA 6765  SL GREEN REALTY CORP SLG 641
2020-12-28,Large Print SBRA Size 115210 Price 1778 Time 1600
2020-12-28,20 DMA Support today HTOO TFC CHTR SHYD JD WIA BCSF BDTX TRTX MTDR TBI SBRA CLRO FULC DM TRNO RDNT DFEN SOLO PCAR  
2020-12-27,Recent SBRA technical alerts Crossed Above 20 DMA plus 5 more alerts 
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 QRTEA RF SBRA SCS SPWH SRAC SSRM STAY STIC STICUN THBR TME TPH TRIL TRIT UAA VALE VFF VG VGAC VST VVPR WPF YEXT
2020-12-24,Lowest PFFO among reits realestate VNQ1  HEALTHCARE REALTY TR HR 852  IRON MOUNTAIN INCORP IRM 903  SABRA HEALTH CARE RE SBRA 1004  SL GREEN REALTY CORP SLG 1025  BRIXMOR PROPERTY GRO BRX 106
2020-12-24,Timeline Lebanons ordeal from civil war to port blast SBRA 
2020-12-24,KLIC Confirmation To Come From CEO On HushHush Talks In New Jersey Announcement Early Next WeekBBVA SBRA DEI NTRS ALKS LITE SNPS BZUN ETR CSTM PNAT NCLH PAY
2020-12-24,SBRA CEO Will Be Confirming A Buyout Offer Is On The Table Following Talks In MassachusettsWM KBR AGN NI CPB ABB XNET PSX DFCO SC IVZ CLX  EOG XSNX AAOI NKTR
2020-12-24,Math clearly indicates that you should shift all your savings into Sabra Healthcare REIT SBRA trading
2020-12-23,20 DMA Support today VVI PSEC LOV CE EBND EFC MDRX MMS SSB VRP SFM IP WSBF BCYC ARMK PDLI SHC SBRA NTST ACAM  
2020-12-23,Truist Securiti Comments on Sabra Health Care REIT Incs FY2020 Earnings SBRA  markets
2020-12-23,Truist Securiti Comments on Sabra Health Care REIT Incs FY2020 Earnings SBRA  stocks
2020-12-23,GMRE GMREPA  Global Medical REIT Preferred Might Be A Good Bet On Rising Rates AIV NAV 8 AAPL AMZN FB GOOG GOOGL MSFT TSLA BRKA BRKB RKT OCN COOP PFSI WD MGI UHAL MA V AXP INVH FCPT DRE IRT PNC WRI SBRA CLI PEIB RHEA GRIF FSP IEP
2020-12-23,National Retail Properties  NNN  and WP Carey  WPC  AIV NAV 8 RKT AAPL AMZN FB GOOG GOOGL MSFT TSLA BRKA BRKB RKT OCN COOP PFSI WD MGI UHAL MA V AXP INVH FCPT DRE IRT PNC WRI SBRA CLI PEIB RHEA GRIF FSP IEP 
2020-12-21,Sabra Health Care REIT Appoints Ann Kono to Board of Directors SBRA 
2020-12-21,Highest dividend yield  among reits realestate VNQ1  PARK HOTELS amp RESORT PK 20252  IRON MOUNTAIN INCORP IRM 8363  OMEGA HEALTHCARE INV OHI 7074  SABRA HEALTH CARE RE SBRA 6815  NATIONAL HEALTH INVE NHI 63
2020-12-21,AIV NAV 8AAPL AMZN FB GOOG GOOGL MSFT TSLA BRKA BRKB RKT OCN COOP PFSI WD MGI UHAL MA V AXP INVH FCPT DRE IRT PNC WRI SBRA CLI PEIB RHEA GRIF FSP IEP 
2020-12-21,Added to MMP MCD LUMN MCK PG O and SBRA today  Love adding to forward income dividends
2020-12-21,SBRA NASDAQ  8K  Sabra Health Care REIT Inc  BA00  BidAsk Size00  Volume3677707  AverageVol1995859  Outstanding0 
2020-12-21,Alert PressNews Current Report  Form 8K filed with the SEC  SBRA SBRAP Sabra Health Care REIT Inc  
2020-12-21,AIV 2nd Coronavirus Stimulus Bill25Billion in Rental AssistanceAAPL AMZN FB GOOG GOOGL MSFT TSLA BRKA BRKB RKT OCN COOP PFSI WD MGI UHAL MA V AXP INVH FCPT DRE IRT PNC WRI SBRA CLI PEIB RHEA GRIF FSP IEP 
2020-12-20,SBRA in Downtrend its price may drop because broke its higher Bollinger Band on December 4 2020 View odds for this and other indicators  SabraHealthcareREIT stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-20,dark pool equity orders Friday 18th FEP TRIP FCAC INTC F HBAN RUN LU MOS AM AEO C HBI HDS SBRA COTY IMUX ATUS PCG AES CI BMY SYY T SWI VTRS SNAP ACHC PS GE GDXJ MPLN AR CLFBABA RTX HPE AAPL NTNX KMI MSFT FIT TRIL TJX FCX AMD COTY 
2020-12-20,SBRA to communicate exciting new JV to shareholders within the next 2 weeksGOOD LFUS WPP WXXWY STK GHG PSTI TITN ALRN PBT CCXI ASPS MGLN
2020-12-20,SBRA in Downtrend its price may drop because broke its higher Bollinger Band on December 4 2020 View odds for this and other indicators  SabraHealthcareREIT stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-18,SBRA enters an Uptrend as Momentum Indicator exceeded the 0 level on December 1 2020 View odds for this and other indicators  SabraHealthcareREIT stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-17,Lowest PFFO among reits realestate VNQ1  HEALTHCARE REALTY TR HR 882  IRON MOUNTAIN INCORP IRM 893  SABRA HEALTH CARE RE SBRA 1034  SL GREEN REALTY CORP SLG 1075  BRIXMOR PROPERTY GRO BRX 107
2020-12-17,SBRA Oppenheimer maintains Outperform PT 29
