Date,Text_clean
2020-12-31,Thursdays Top Flow in Financial sector Buy Flow amp Sell Flow CME GS MS PLD AXP SCHW PGR PSA COF AIG PRU WFC L SLM LNC PNC CIT AMP VNO MET stock stocks StockMarket Investment finance investing  
2020-12-31,Rose Above Previous Days High today CHNG BAR GPK AIV RMM WCN QCLN SVM BLFS TRXC BRLIR PRAX CENX VPN PTF RZV SLM HCKT AEE CAE  
2020-12-31,SLM Confirmation Of Merger Discussions With Top US HouseHold Name Company As Early As Next WeekFMO FMI FLY FLWS FLOW FLNT FLDM FIZZ FIVN FIEB FHB FGP FFWM FFRMF FFIN
2020-12-31,MPC CEO To Unveil Buyout Offer As Early As Tuesday Following Talks In Jacksonville FLECOS SLM CCL SPWR MNST LGBI HMY NEM TJX TRU WPG
2020-12-30,Large Print SLM Size 235647 Price 1215 Time 1600 Amount 286311105
2020-12-30,Today Top Flow in Financial sector Buy Flow amp Sell Flow JPM GS XL CME MMC MCO MS LNC HBAN STT BAC WFC C SPG AXP PSA PLD PRU CIT SLM stock stocks StockMarket Investment finance investing  
2020-12-29,Tuesdays Top Flow in Financial sector Buy Flow amp Sell Flow STT BAC C GS CIT CME VTR L BK SPG HIG TROW WFC DFS ICE AFL AMP MS HBAN SLM stock stocks StockMarket Investment finance investing  
2020-12-29,20 DMA Support today PRF IWS PRQR FRG GIII TROX FLQL AMSF CTXS THG FIBK LH EMX VBR RM OMFS CRAI CVLY SLM  
2020-12-29,Stocks breaking down in the morningARCT MAT GPRO CARR BOXL IGC ZYNE SLM BGCP XSPA Scan updates every 5 secsdaytrading traders
2020-12-29,Today Top Flow in Financial sector Buy Flow amp Sell Flow BAC CB CME JPM SCHW AXP BXP BK PSA XL WFC PGR HIG SLM MTB STT AMP MS PLD AFL stock stocks StockMarket Investment finance investing  
2020-12-29,SLM was analyzed by 7 analysts The buy consensus is at 83 So analysts seem to be very confident about SLM  
2020-12-28,Double inside day scan from my master watchlist courtesy of MAT TWTR FLGT LOB SLM TLRY PAGSLearn more about their scanner and how I use it here 
2020-12-28,Rose Above Previous Days High today GSS UVV DTP NUGT SLVP SLM VG MBUU MBT MTH ZION VOT AAN CUBI FANG ON EA AMPH J SPLG  
2020-12-27, Da 19 3000 a 10000 Posiciones actuales todas callsBXAAPLNIOSLMTSMCALAQQQNETActual 3808 584Todas las alertas de entrada y salida en vivo en Discord
2020-12-27,Top 5SLM USDT on io 37BTC SKM on  50BTC SKM on  50ETH GRT on  86ETH GRT on  86
2020-12-27,Top 5CBK USDT on io 33SLM USDT on io 40SLM USDT on io 40BTC SKM on  57BTC SKM on  57
2020-12-27,How to Trade How to Trade Slm SLM with Risk Controls  Click for Details 
2020-12-27,EPAZ CEO To Unveil Buyout Offer As Early As Tuesday Following Talks In Las VegasECOS SLM CCL SPWR MNST LGBI HMY NEM TJX TRU WPG
2020-12-25,Took positions in KLAC PEGA SLM GEOS
2020-12-25,SLM Corp Shares Approach 52Week High  Market Mover  SLM stockmarket kwhenfinance
2020-12-24,Scan results  Hammer Candlestick today TRTX AWI MAIN XPEL CRDF MO AKR LNT PAYX DD ETR IFF SY YY HE OKE HRL SLM SGRY STX  
2020-12-24,Recent SLM technical alerts NonADX 1234 Bullish plus 6 more alerts 
2020-12-24,EXPD CEO To Unveil Buyout Offer As Early As Tuesday Following Talks In Washington StateECOS SLM CCL SPWR MNST LGBI HMY NEM TJX TRU WPG
2020-12-23,Scan results  MACD Bearish Signal Line Cross today MDLA API CNA PAYX KMX CVM GLSI ARCT SLM NOVS IFF RSG PRA CHNG MAA BR AEE GRFS SNBR EXP  
2020-12-23,SLM Corp Shares Close in on 52Week High  Market Mover  SLM stockmarket kwhenfinance
2020-12-22,SLM The Sallie Mae Fund Provides 50000 Grant to Big Brothers Big Sisters of Delaware to Assist Students Impacted by COVID19 
2020-12-22,The Sallie Mae Fund Provides 50000 Grant to Big Brothers Big Sisters of Delaware to Assist Students Impacted by COVID19 SLM 
2020-12-22,OZON Citigroup Neutral 48 REZI JP Morgan Overweight 28 SAMG Janney Buy 1850 SHSP Needham Buy 25 SLM RBC Capital Mkts Sector Perform 14 VERI Stifel Hold 25 VMC Morgan Stanley EqualWeight 150
2020-12-22,SLM Corp Shares Climb 03 Past Previous 52Week High  Market Mover  SLM stockmarket kwhenfinance
2020-12-21,SLM SLM Coverage Initiated at Royal Bank of Canada  markets
2020-12-21,SLM RBC Capital Initiates Coverage On to Sector Perform  PT 1400 
2020-12-19,SLM Corp Shares Close in on 52Week High  Market Mover  SLM stockmarket kwhenfinance
2020-12-18,New 52 Week High today REGI SLM ARW ATR PANW PBD FFTY GMED IVV RSP SSO VIG FDIS FTEC WANT VB WOW DWAS BLCN DFAU  
2020-12-18,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  F C JPM BCRX M T FCX HWM V MS TWTR WTI AR SWN TRVG SM SLM CLSK SBUX CNX 
2020-12-18,  XLM WPRT FCEL SLM GE new to stocks are these good picks
2020-12-18,SLM Corp Shares Climb 12 Past Previous 52Week High  Market Mover  SLM stockmarket kwhenfinance
2020-12-18,Thurs 121720 bullish RSquared126 abv 80 X abv 20day price channel with highest  above the opening 30min high amp trading range gt 80 Min 5 amp Vol 750K Min Opt Vol 250 in any strike SHAK TSLA TXRH EXPI ABR CC SLM ZEN 
2020-12-18,Thurs 121720 bullish RSquared63 abv 80 and X abv 20day price channel with highest  above the opening 30min high amp trading range gt 80 Min 5 amp Vol 750K Min Opt Vol 250 in any strike PLAY CPRI CRNC SHAK OLN ACHC ABR ONEM SLM ZEN 
2020-12-17,Oversold ZM LOW AMD LRCX MCHP GNRC FVRR SJR GT TAL GD TEVA NI QDEL THO NFG VSTO RGR BMA TMFOverbought VRSN FTNT ACAD LEGN CINF NEU NEWR BAK CARG SONO PPH DRN URE UYGMomentum PBR FLEX ULTA AVNS SLM DDD ARWR CLF CTRE SI SLX MJO
2020-12-17,New 52 Week High today HEWJ SLM THRM SLYG BL HTH SITM IJT RYT IGM REAL PRLD UCON CFBK CGO JYAC MGA ADRE CRVL OTRAU  
2020-12-17,I am done risking money without Unusual Options Activity confirmationOptions are 100 transparent  no delays block trades nonsenseAnd stock roughly 40 trade offmarket you never get to see the volumeStock Volume is garbageOptions Volume is PUREFUBO PAAS SLM 
