Date,Text_clean
2020-12-31,Did this company miss the booze boom Our traders look at Molson Coors and discuss if the stock is worth sipping on TAP 
2020-12-31,Thursdays Top Flow in consumer staples sector Buy Flow amp Sell Flow MDLZ MO CLX HRL MNST BEAM K SJM PG KO BFB KR TAP TSN CPB CL MKC COST HSY ADM stock stocks StockMarket Investment investing consumers  
2020-12-31,AT A DOORTAP FOR A RACEHE CRY OUT CUBS
2020-12-31,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow KMB EL PM STZ KO MO CVS PG KR BEAM MDLZ COST MNST HRL CLX TSN SJM MKC BFB TAP stock stocks StockMarket Investment investing consumers  
2020-12-31,FOR SEASDANG IT TAP FOR DATAEEP I AM ONE
2020-12-31,3 VCE would include ACB ATVI BUD CGC CRON CURLF DEO DMYD DKNG GTII HARV MO MSOS PENN PM SAM STZ TAP TCEHY TRL TTOW VREO Add RBLX  Robinhood
2020-12-31,12 31 TAP   2020 1 TAPillionaires      3555 ICX     110196 ICX     1301022 ICX TAP    1 ICX  3703 TAPICX TAP BTC 
2020-12-31,ICX  TAP 
2020-12-31,TAP MY COG FOR KEYSTAP MR EXAMYELP BEN
2020-12-31,Where Will HEXO Be in 1 YearThis pot company is choosing to consolidate its shares to save i  TAP THC HEXO ACB 
2020-12-31,Where Will HEXO Be in 1 YearThis pot company is choosing to consolidate its shares to save i  TAP THC HEXO ACB 
2020-12-31,HL CEO To Announce An Open Market Share Buy Back Program To Begin ShortlyTAP NGD AGNC K CEGX I ADI LEN AR D ADM HES MET AFL GLNG
2020-12-30,Large Print TAP Size 120561 Price 4524 Time 1830 Amount 545417964
2020-12-30,TOP SampP 500 Earnings Ratings for Consumer Defensive WMT NWL KHC PEP TAP 
2020-12-30,Wednesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow TSN KO BEAM PG CPB ADM WMT CAG MNST GIS EL COST CLX SYY HSY TAP KR CL MO HRL stock stocks StockMarket Investment investing consumers  
2020-12-30,2580 growth How to Buy Tap XTPTap Tap XTP XTP bitcoin btc crypto cryptocurrencies cryptobuyingtips blockchain coin coinbase binance cryptotrading  
2020-12-30,TAP DAILY 1 YEAR VOLATILITY CHART from Tues BUDSAM STZ Best charts in biz 
2020-12-30, Same here sleep like a baby with my icx and tap tokens 
2020-12-30,12 30 TAP   2020 1 TAPillionaires      3564 ICX     110498 ICX     1304587 ICX TAP    1 ICX  4192 TAPICX TAP BTC 
2020-12-30,EEPTAP AT A BIDHE PAY USA FOR A FOE
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 40 and 50 ACM AER BAM CPRI FWONK FXI INTC LUV NAV NIO NTR PGNY RPRX TAP TOT VEA VWO WWE
2020-12-29,Tuesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow BEAM GIS COST HSY KO ADM SJM STZ CPB BFB PEP PG WMT MDLZ MO KMB CL SYY TAP PM stock stocks StockMarket Investment investing consumers  
2020-12-29,TapMyData DataEconomy Tap 
2020-12-29,Rose Above Previous Days High today CBOE EWW SYY TAP GIB MUSA LBJ RLI DISCA CVBF VST BOIL CAF MEDS PKI AMN MGTX DISH CINF MEI  
2020-12-29,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow COST MKC GIS KR KO HSY EL CPB K TAP PEP PG KMB SYY TSN MO ADM CL CVS PM stock stocks StockMarket Investment investing consumers  
2020-12-29,Tinleys Beverage Company The Next Beverage Growth Story TNY TNYBF WEED CGC PRMW KO HEXO STZ TAP ABI HEIA BEV Cannabis PotStocks SoberCurious 
2020-12-29,HE EARN TWO ADS AGOTAP TWO CUBS AGOMMM
2020-12-29,Molson Coors TAP Dividend Suspended  via  TAP BeerOfTrueDistinction dividend dividendpower
2020-12-29,BAM I BORN MR MADANGHE TAP TEN SEAS
2020-12-29,EEP HUBS ARE ALLOUT ADSIT TAP AFT
2020-12-29,IM RADTAP MS ONEDO MS HD OUT A RATE
2020-12-29,12 29 TAP   2020 1 TAPillionaires      3570 ICX     110671 ICX     1306637 ICX TAP    1 ICX  4545 TAPICX TAP BTC 
2020-12-29,IT TAP TEN DATA OUT ADSADS ARE FOR MENMS ALLY
2020-12-29,TAP Delta expiration 12312020 maxpain options  
2020-12-28,MMM IT TAP ONETWOIM RAD
2020-12-28, TAP ICON
2020-12-28,Levermann US MidCap Sell WK52 TREX 1 CBOE 2 GLPI 1 MHK 2 TAP 1 PWR 1 RH 1 LNC 2 LEA 2 AMED 3  
2020-12-28,12 28 TAP   2020 1 TAPillionaires      3576 ICX     110863 ICX     1308899 ICX TAP    1 ICX  4235 TAPICX TAP BTC 
2020-12-28,Want to get involved with TAPIts super easy just have a quick read of this and youre all set TapMyData DataEconomy 
2020-12-28,IT ATE HDBWA IT TAP FOR SEASEEP
2020-12-28, Look into staking with TAP for even more ICX divs 
2020-12-28,TOO FUNHI I EAT TOO LOWTAP OUT A RICE
