Date,Text_clean
2020-12-31,well these are at 062mid now  
2020-12-31,WELL in Downtrend Stochastic indicator sits in oversold zone for 5 days View odds for this and other indicators  Welltower stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-31,well was a great growth story in 2020 and things only look better for 2021 Glad to be a part of it and going forward
2020-12-31,well weeklyA close above 6354 today should setup 6566 675 next week115 675c at 042mid right now for lotto 
2020-12-31, Provides 2020 Corporate Overview and 2021 Outlook  SHG SHGFF  PradWELL WLYYF DOCRF DOC TDOC AMWL LVGO healthcare USA telemedicine  
2020-12-31,My top ideas for 2021 no exact timeframesBB Blackberry  BABA Alibaba  IQ iQiYi  WELL WELL Health  EEM Emerging Market ETF  HARV Harvest HealthWill addadjust to this list as we move forward
2020-12-31,MCI Onehealth Technologies files for 30M raise in IPO on TSXWELL  DOC DOCRF  NPTH  Ehealth DigitalHealth Telehealth
2020-12-31,Highest sales in billions among reits realestate VNQ1  AMERICAN TOWER CORPO AMT 7842  WEYERHAEUSER COMPANY WY 7023  EQUINIX INC REIT EQIX 5854  CROWN CASTLE INTERNA CCI 5775  WELLTOWER INC WELL 473
2020-12-31,well health holding 8 dollar mark which is nice this is a nice readoff to India goes well 
2020-12-31,Although the technical rating is only medium WELL does present a nice setup opportunity  
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 60 and 70 ADC BMY FTV IEFA IEMG LIT LNG MS O TJX WELL
2020-12-31,Tomrrows watchlist for TSX TSXV between 2 and 10 PYR QST RECO SBB SCL SKE SVM TA TH TOG USA VII WCP WELL WPRT XEG YRI
2020-12-31,RF CEO Will Be Confirming A Forward Split To Begin As Early As This WeekAPOpB AEXE TECK PCAR CIEN SRE STLD FOLD FHN PEG SNBR WELL BDN FIT
2020-12-30,Large Print WELL Size 194369 Price 638 Time 1830 Amount 1240074220
2020-12-30,WELL Delta expiration 01152021 maxpain options  
2020-12-30, man23 that means you should invest CRBK whose full SaaS business model is much more profitable than DOC WELL and other likewise telehealths including SHG
2020-12-30, Announces Closing of Tennessee Clinic Acquisition  SHG SHGFF congrats Prad telehealth healthcare USA TDOC AMWL LVGO DOC DOCRF WELL WLYYF MampA  
2020-12-30,Welltower  WELL QUOTEWELL was UP  on Tue Dec 29Closed at 6318 USD for a 033 gain from previous close   ANALYSISWelltower should be nationalized  
2020-12-30,puru worth your valuable time WELLTO WELL
2020-12-30, is one of the greatest leaders I have ever worked with and learned from  TSX WELL a company focused on consolidating and modernizing clinical and digital assets within the healthcare sector WELL 
2020-12-29,Large Print WELL Size 137709 Price 6318 Time 1830 Amount 870045462
2020-12-29,SHG SHGFF   DOC DOCRF WELL WLYYF AMWL TDOC LVGO Telemedicine healthcare USA 
2020-12-29,Tue Dec 29thTodays WORST performing sector at the closeReal Estate 07follow along here realestate equitytrading business trading datavizWELL SBAC CCI EQIX AMT ARE DLR PLD PSA VTR 
2020-12-29, 2 stocks actually  FOOD   WELL  growthstock
2020-12-29,Home prices and pending sales grow active listings drop to alltime low EQR WELL TOL LGIH AVB 
2020-12-29,EQR WELL TOL  Home prices and pending sales grow active listings drop to alltime low 
2020-12-29,SHG should be on your radar Check the trajectories of WELL and DOC to see why
2020-12-29,well CNBC talking about telehealth
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  
2020-12-29,MCI Onehealth Technologies files for 30M raise in IPO on TSXWELL  DOC DOCRF  NPTH  Ehealth DigitalHealth Telehealth
2020-12-29,WELL GRN XBC BU SCR FANS MTRX KWE set to open higher
2020-12-29,Stocks to watch Dec 29 thru Dec 31 gtLs pntg carr fox tex mor eva kmx itos weLL coLm spb fcx mo aLny kLic odp hfc wpm nni amp EH EHang the catalyst  
2020-12-29,Highest net debt in billions among reits realestate VNQ1  SIMON PROPERTY GROUP SPG 25432  AMERICAN TOWER CORPO AMT 23163  CROWN CASTLE INTERNA CCI 19064  PROLOGIS INC PLD 15645  WELLTOWER INC WELL 1302
2020-12-29,If Dems win the Georgia Senate Runoff on Jan 5th 2021 does it cause a sector wide MJPotCannabis short squeeze  SPY AAPL GOOG FB AMZN TSLA NIO CGC WEED APHA ACB CRON TLRY OGI HEXO VFF CURA GTII MSOS CXXI MMED CYBN NUMI CMPS RIOT MARA DOC WELL 
2020-12-28,Large Print WELL Size 2768340 Price 6297 Time 1830
2020-12-28,Todays Top Sell Money Flow TSLA DHR WELL
2020-12-28,Top Sell Flow Money  12282020  TSLA DHR WELL IWM NIO via Super Stocks App 
2020-12-28,Mondays Top Flow in SampP 500 SP500 Buy Flow amp Sell Flow UNH AMZN ADBE WLTW HON ZTS CVS TXN NEE PNC TSLA DHR WELL ISRG MSI PPG NOW AMD FB UPS stock stocks StockMarket Investment investing  
2020-12-28,Mondays Top Flow in StockMarket Buy Flow amp Sell Flow HYG UNH BABA XLF QQQ AMZN ADBE WLTW LQD HON TSLA DHR WELL IWM NIO ISRG IWF MSI MRNA PPG stock stocks Investment investing  
2020-12-28, Beauty well
2020-12-28,XBC trading at equivalent 851 statesideWELL trading at equivalent 895 stateside
2020-12-28,well 695 USD  893CDN 
2020-12-27, Thank you very much You are correct the private players of Telus and Dialogue health are currently the bigger players that could steal market share however I like the niche that WELL is carving out for itself Itll be an interesting 2021
2020-12-27,GSPE Confirmation Of Merger Discussions With Top US  Company As Early As Next Week APOpB AEXE TECK PCAR CIEN SRE STLD FOLD FHN PEG SNBR WELL BDN
2020-12-27,  Keep up the great work well 2021 big year for well health
2020-12-26,Recent WELL technical alerts Bollinger Band Squeeze plus 10 more alerts 
2020-12-26,Watch Out These 2 Stocks Might Cut Their Dividends WELL  SPY
2020-12-26,THC      If SHG SHGFF exits 2021 with a higher revenue run rate and more profitable than WELL  plus uplists to TSX or NAZ Then 2020 CEO of the year  from WLYYF will pass the title to Prad for 2021healthcare USA Telemedicine TeamPrad
2020-12-26,THC    Many people doubted this CEO Prad at 007now SHG SHGFF at 118 and CEO says has plans to build it to 1Billyr in revenue5 might look cheap soon when WELL at 8 is 2021 goal TDOC LVGO AMWL  WLYYF DOC DOCRF ONEM HUM 
2020-12-25,WELL Welltower Inc is shooting through the roof with a 186 increase today
2020-12-25,While deciding good investments Consider this mid May to mid July of 2020 VET shows up those that know partnering companys with VET  Smart money showed up and the rest of the market showed themselves 2 months later  Many will do well 
2020-12-24,WELL Welltower Inc is shooting through the roof with a 186 increase today
2020-12-24,Thu Dec 24thTodays BEST performing sector at the closeReal Estate 10follow along here realestate stocktrading investing business stockmarketEQR WELL INVH BXP ESS AMT PLD O CCI SPG 
2020-12-24,Rose Above Previous Days High today LPX XLY CPAH EVTC WMT SBH ELP EIG RYAM PAC ARNC FMX STAY UNAM SNBR HLIT PMM AMWD PTICU WELL  
2020-12-24,Thu Dec 24thTodays BEST performing sector middayReal Estate 05follow along here realestate equitytrading trading stockmarket stocksEQR WELL INVH ESS PLD SPG BXP AMT AVB O 
2020-12-24,WELL in Downtrend its price expected to drop as it breaks its higher Bollinger Band on November 9 2020 View odds for this and other indicators  Welltower stockmarket stock technicalanalysis money trading investing daytrading news today 
2020-12-24,AMKR Confirmation Of Merger Discussions With Top US HouseHold Name Company As Early As Next Week APOpB AEXE TECK PCAR CIEN SRE STLD FOLD FHN PEG SNBR WELL BDN
2020-12-24,  Ill be at the magic mill if well hits 10 still wont sell tho 
2020-12-24,AMZN by a lot ie 369 averageGOOG amp GOOGL 282 averageAAPLMSFTDHRABTFDXHONDISNVDAWTM BRKb ABBV TJX CL PKI REGN AL SPOT LOW PFE NSRGY WELL CVX
2020-12-24,Core longterm portfolio is buy and hold rarely trades Only buys this year were early April PKI WELL amp CVX Going forward Ill rarely mention this portfolio Average holding length maybe 10 years Id describe strategy as quality Here are the holdings in order of size
2020-12-24,Tomrrows watchlist for TSX TSXV between 2 and 10 ONC OSK PCLO PEY PGM POU PSI SBB SKE SOTUN SVM TA TMD TOG TXP USA VET VII WCP WELL WISH WPRT XBC XEG YRI ZEN
2020-12-24,Upgrade 1215AKRAWKAMRXARVNBDNCTRECLXBBCPCTVADLTHGBXHCAIRINGNLAZMCDMSMMLINHINTNXRPTRSTTGLSTRNUSBWELL
2020-12-23,Sold some ZLB 7 and bought AT AcuityAds and more WELL Well Health in CAD account
2020-12-23, Bought square and well
2020-12-23, FANS full on breaking out RIGHT NOW up 165 on solid volume trying to break through 1 FUNFF  NWES VS FANS EGLX EPY AXV FDM GGAM VST YDX PYR KNR GSI MTRX DOC NXO WELL SONA 
