Date,Text_clean,Sentiment
2020-12-31,Rose Above Previous Days High today ACA SMBC IVC HLI CYCCP DBP AAWW FXZ SANW SCX UFO STIM VCSH SONA TACO BFIN POOL MSBI EOLS BSDE  ,positive
2020-12-31,20 DMA Support today NNN XHR NVR AGNC ANF STC ACA NRZ FE LW HVT FIX RWO OPP EUFN GVA BSIG EOI IVE PLUS  ,positive
2020-12-31,20212017BTCETHPolkadotin KILT ACA DOT PLMNFTFiat,negative
2020-12-30,Hit em if you want em TheStratInside D Adds  None31 D TVTX SWKS COHR AOSL LMPX INMD KRNT EXPO KSU ROCK POWI QTRX PRAX CYBR SEAS ACARev Strat D GOCO SGTX MODNATR over 5 20100 wInside D BLI NKTX CERT FATE BIGC EXPI PENN ,positive
2020-12-30,The results of the voting about dot parachain auction that took place on the   Top 5 link ocean ACA pcx RFUEL ,positive
2020-12-30,As a reminder blz  is part of the  ecosystem as an important infrastructure project labeled as such by  and headed by  dot ksm pols edg ring aca kar fil storj link band trb dia ,positive
2020-12-29,20 DMA Support today AIZ A RWO ACA WSO TT FAX APLT VRIG LSXMA FPI  ,positive
2020-12-29,Rose Above Previous Days High today AMH WELL CHCT DAL CTXS SPLV ACA SWKS OFC SRC MAA WMT USRT JBGS COR HIW PK PDM MSI BKR  ,positive
2020-12-29,Conversations with Jags  Dec 29FLGT breakout setup after new partnership with NYC K12 for covid testing Nice breakout in AMZN yday looking fora follow thru ACA preview of new JaguarMedia presentation coming soon CODI outdoor biz is rocking,positive
2020-12-29,If youre bullish on dot ecosystem projects Sign up to this  ksm aca,positive
2020-12-29,Alexandra Heller takes a look at Polkadot DOT after a successful 2020 Plenty of reasons as to why DOT Ecosystem projects will explode in 202123DOT EWT PHA OCEAN XRT KAR ACA KSM ,positive
2020-12-29,Top 15 Industrials stocks with market cap over 1 billion today CTAS HI WSC RAVN ABM ECOL ACA GPN UAL ZBRA PSN DY ALLE JKHY ERJ ,positive
2020-12-28,Rose Above Upper Bollinger Band today MA ACA  ,positive
2020-12-28,Look at what ChainX is being put up against This site is active and flourishing and look at the names next to chainx ChainX has poor marketing but infrastructure is insanepcx aca zlk dot defi eth btc zec zil algo link ewt ocean iexec,negative
2020-12-27,DOT ACA GLMR    ,positive
2020-12-26,Recent ACA technical alerts Three Weeks Tight plus 9 more alerts ,positive
2020-12-25,Is it polkadot season yet  DOT EWT OCEAN XOR XRT MAHA KSM PAID REEF GLMR TRAC ACA KYL XED ROYA POLS ,positive
2020-12-25,therere  3 gems  have not listed you  should know aca coda cqt   HQ ,positive
2020-12-25,Save the date Jan 22 2021 will be one of the biggest projects thats coming to  XChain Defi Hub 7M raised staking derivatives xchain stablecoin first parachain contenderDOT KSM ACA KAR ,positive
2020-12-24,20 DMA Support today AGRX CURE PXD CHAU VIPS PTY NUGT TCON HUBB TRGP SRS CASA CVA MTG PM SUB KGC ACA HBM VAW  ,positive
