Date,Text_clean,Sentiment
2020-12-31,Rose Above Previous Days High today RIV FRGI AQUA NATR TSBK SMHI BFS KIM HFWA DGP ATGE NWG NMIH COOLU IDN PCSA SCOR THRM BPRN AMTB  ,positive
2020-12-30,Rose Above Previous Days High today NAVB PTON ARKW BTG CRK KAI AMTB TBNK SMMF SPIP SCHP SCHI JKL AIIQ VTIP ARTW ITMR CEMI IDU BXC  ,positive
2020-12-29,AMTB  Mercantil Bank Holding files form 8KA  Costs Associated with Exit or Disposal Activities   8KA ,positive
2020-12-29,AMTB NASDAQ  8KA  Amerant Bancorp Inc  BA00  BidAsk Size00  Volume21351  AverageVol46530  Outstanding0 ,positive
2020-12-29,AMTB might be worth taking a position when this bottoms  323  change recently ,positive
2020-12-28,Rose Above Previous Days High today CRAI EPAY EVV FLV UMAY QADA FMAO PFIS AMTB CPRX BSRR ATLO CNBKA AMNB SMMF FNLC RBB TZOO BBIG GOAC  ,positive
2020-12-27,If you invest 1000 in KRG today at 1484 per share and the stock prices rebound back to prepandemic prices at 1792 your investment would be worth 120755 Thats 21 growth and 20755 profit  See more   PAVMW BA WASH IRWD AMTB ,positive
2020-12-24,  Right Says here Miguel establishes performance and production targets to achieve the financial objectivesConsidering AMTB has not met a single performance measure as laid out in the 2018 IPO he may need to step it up a bit  ,positive
2020-12-24,AMTB AMTBB The Chief Business Officer  of Amerant Bank tendered all 653 worth of his stock for 60 of book value  ,positive
2020-12-24,AMTB has an average technical rating and it also does not offer a high quality setup at the moment  ,negative
2020-12-23,Rose Above Previous Days High today AGD TMP AINC ALAC TECK BIGC AFB ARDS BAL AIC ALTA AMTB BFOR BFY BGIO VKI IVOV AIRT FCOM CEY  ,positive
2020-12-23,AMTB AMTBB Buyback added 74 cents to book value  Amerant Bancorp Inc Announces Final Results of its Successful Modified Dutch Auction Tender Offer ,positive
2020-12-23,AMTB Amerant Bancorp Inc Announces Final Results of its Successful Modified Dutch Auction Tender Offer ,positive
2020-12-23,AMTB NASDAQ  8K  Amerant Bancorp Inc  BA00  BidAsk Size00  Volume17938  AverageVol49888  Outstanding0 ,positive
2020-12-23,Filing Alert FORM 8K PressNews Current Report available  AMTB AMTBB Amerant Bancorp Inc  ,negative
2020-12-23,AMTB  Mercantil Bank Holding files form 8K  Financial Statements and Exhibits Other Events   8K ,positive
2020-12-23,Amerant Bancorp buys back 10 of its common stock AMTB ,positive
2020-12-23,AMTB  Amerant Bancorp buys back 10 of its common stock ,positive
2020-12-23,AMTB Amerant Bancorp Inc Announces Final Results of its Successful Modified Dutch Auction Tender Offer ,positive
2020-12-23,Amerant Bancorp Announces Final Results of its Successful Modified Dutch Auction Tender Offer AMTB ,positive
2020-12-22,Top Losers 1221ABCLACBAEYAGFSAHTAIHAIHSAKTXALLTAMPYAMSTAMTBANIPANNXAPHAAPVOAQSTATACATTOAYROBBWBCABBESTBFSTBKTIBPTBQBRTBTUBWCARECBFVCCLPCCMCDCDEVCGACIBCLEUCLMTCMPICNSPCPECPGCRAICSUCTK,negative
2020-12-22,AMTB in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-22,Amerant Bancorp Announces Preliminary Results of its Successful Modified Dutch Auction Tender Offer AMTB ,positive
2020-12-21,SEC Form 8K PressNews Current Report filed by  AMTB AMTBB Amerant Bancorp Inc  ,positive
2020-12-21,AMTB  Mercantil Bank Holding files form 8K  Regulation FD Disclosure Financial Statements and Exhibits   8K ,positive
2020-12-21,AMTB Amerant Bancorp Inc Announces Preliminary Results of its Successful Modified Dutch Auction Tender Offer ,positive
2020-12-21,AMTB NASDAQ  8K  Amerant Bancorp Inc  BA00  BidAsk Size00  Volume226280  AverageVol49396  Outstanding0 ,positive
2020-12-21,AMTB in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-19,AMTB in Downtrend its price may drop because broke its higher Bollinger Band on December 15 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-18,Rose Above Previous Days High today OMI PBYI PRLB AFB AFC TTI NUBD ONEM AIH AIRI AIRTP ALIM MVBF AMTB ANAT SSKN TPZ FVE ARKR ARL  ,positive
2020-12-18,AMTB in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-18,The Worlds CFOs Have a Dire Message for RealEstate Investors UFS BKD SPGI AMTB RNST ,negative
2020-12-17,AMTBs 10day Moving Average broke above its 50day Moving Average on November 11 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-16,AMTB in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-15,AMTB Truist maintains Hold raises PT from 13 to 17,positive
2020-12-14,Rose Above Previous Days High today KTF ARTW FJUL BBVA BIOX BOCH BPYPN AMTB ATNI VCR BEDU BCTG UFPI BUI BOTJ BME BELFA BFST BHFAO BPOPN  ,positive
2020-12-08,AMTBs Aroon indicator reaches into Uptrend on December 4 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-08,Amerant Bancorp Announces the Adjusted Price Range of its Modified Dutch Auction Tender Offer to Repurchase up to 500 Million of its Cla AMTB ,positive
2020-12-07,AMTB Mercantil Bank adjusts price range of its Modified Dutch Auction tender offer ,positive
2020-12-07,FORM 8K PressNews Current Report recently SEC filed  AMTB AMTBB Amerant Bancorp Inc  ,negative
2020-12-07,AMTB NASDAQ  8K  Amerant Bancorp Inc  BA00  BidAsk Size00  Volume54121  AverageVol35054  Outstanding0 ,positive
2020-12-07,AMTB Amerant Bancorp Inc Announces the Adjusted Price Range of its Modified Dutch Auction Tender Offer to Repurchase up to 500 Million of its Class B Common Stock at a price not greater than 1255 nor ,positive
2020-12-07,AMTBs Aroon indicator reaches into Uptrend on December 4 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-06,AMTBs Aroon indicator reaches into Uptrend on December 4 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-04,AMTBs Aroon indicator reaches into Uptrend on December 2 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-03,AMTB in Downtrend its price expected to drop as it breaks its higher Bollinger Band on November 24 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-03,AMTB holding until 1709 dollars a share  ,positive
2020-12-02,Rose Above Previous Days High today AEB PSCM AFT TFLT AGNCN AGS AIF AINC MAC MN SPR AMNB AMRB AMTB AMUB AMYT ANAT ANDA WMS DEW  ,positive
2020-12-02,AMTB in Downtrend RSI indicator exits overbought zone View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-01,AMTB in Uptrend RSI indicator stops in overbought zone for 2 days View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-30,AMTB  Mercantil Bank Holding files form SC TOIA Tender Offer ,positive
2020-11-30,AMTB in Uptrend RSI indicator stops in overbought zone for 2 days View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-29,AMTB in Uptrend RSI indicator stops in overbought zone for 2 days View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-28,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-27,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-26,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-25,AMTB Ill probably buy on the dip Still need to do more research  1517  ,positive
2020-11-25,Stocks to watch Nov 25 thru Nov 27 ftsi kod leu pypd pypl amba dan amtb qtt bry reph unp lxu hmhc dpst aytu amp wyy Widepoint Corporation the catalyst ,positive
2020-11-25,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-25,AMTB holding until 1494 dollars a share  ,positive
2020-11-25,Most gaining stocks in the Russel 2000 today AMTB PZN and TALO ,positive
2020-11-25, Agreed Very exposed to CRE I am not going to tender I hate the two classes of shares They should do away with them There are some serious holders of AMTB from the IPO who will do all they can to ensure this turns out well,positive
2020-11-24,Cierre AMTB hoy vol      JG ,positive
2020-11-24,Rose Above Previous Days High today AACG ADT AFGD AGD AGNCN AGS AMAL AMTB BMRC BOCH SIC ACGLO RWLK AFB AFT AGFS CIVB CMCT CMRX CNBKA  ,positive
2020-11-24,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-23,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-22,MOst Volitile 119ACBAEYEAFINAGSAHTAINCAKRAKTXALGSALTAMCAMRHAMTBAMTXANCNAPEXAPTAPVOARCTAUVIAVIRBCCBCORBDSXBGFVBHRBIGBKDBLRXBTUBVHBXRXBYNDCDORCDTXCHCICHSCLGNCMBMCNKCODXCOGTCPECRONCTLTCURI,positive
2020-11-22,Top gainer 119AINCPACWATROGWBLNCMTBWEXFTIFHBOXMNEXCHXTXMDEXPEKRGCALFUNWTISUPLCEZIONSHOICPTREPHCAAPWALAFINFIMURSTXSSPRMROWRIHLXBCEIEWBCCARPFGCTWIMRLNAGSCLBOXYPSXCNQPDCEAMTBUSPHPBCT,positive
2020-11-22,AMTBs price moved above its 50day Moving Average on November 9 2020 View odds for this and other indicators  AmerantBancorp stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-11-21,AMTB is on the move with significant price changes 325  ,positive
2020-11-20,Amerant Bancorp Commences Modified Dutch Auction Tender Offer to Repurchase up to 500 Million of its Class B Common Stock AMTB ,positive
2020-11-20,Rose Above Previous Days High today HYMB ACIW CPAH GMLP FRG PRAX MEXX VALT WANT UJAN ACGLP AMOT AMTB CMSA ARKR PTMN UPW UJUL UMAR SNX  ,positive
