Date,Text_clean,Sentiment
2020-12-22,A logo mark filed for trademark by BrownForman Corporation   BFB BFA BFA BFB BFABFB BFABFB BFB ,positive
2020-12-17,  Interesting I agree in APXT Where is BFA ,positive
2020-12-09,BFA Stocks StockMarket BrownForman released second quarter of 2020 EPS on  Sales growth of 1923  could not prevent EPS contraction of 1525  in the Q2 of 2020 compared to same quarter a year ago Sales were at 127 BIL ,negative
2020-12-08,BFA  BROWN FORMAN files form 10Q ,positive
2020-12-08,New Form 10Q Quarterly Report entry filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-12-08,New Form 8K PressNews Current Report entry filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-12-08,BrownForman Reports Solid First Half Results BFA ,positive
2020-12-07,Earnings happening tomorrow20201208 BFABFBAZOMDBGWRE,positive
2020-12-06,Earnings this week20201207 COUPSMARCASYTOLHQY20201208 BFABFBAZOMDBGWRE20201209 ADBEWORKCPBNCNOASAN20201210 ORCLAVGOCOSTLULUMTN20201211 ROADJOUTUBAUBPKALV,positive
2020-11-18,ampBFA ,negative
2020-11-18,BrownForman Second Quarter Earnings Release and Conference Call Scheduled for December 8 2020 BFA BFB ,positive
2020-11-02,BFA BFBNew Insider Filing on BROWN FORMAN CORPsEVP Gen Counsel and SecretaryMATTHEW E HAMEL,negative
2020-10-27,BFA   BFA  BFA  ,positive
2020-10-22,BFA ,negative
2020-10-17,BFA BFB new insider selling 1613 shares  BFB,positive
2020-10-16,BFA BFB Ralph De Chabert Dumps 16K Shares of BrownForman Corp ,negative
2020-10-16,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 1613 shares to now own a total of 5106 anomalous of their normal trading pattern,positive
2020-10-16,BFA BFBNew Insider Filing on BROWN FORMAN CORPsSVP Chief Diversity OfficerCHABERT RALPH E DE,negative
2020-10-16,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 1613 shares to now own a total of 5106 anomalous of their normal trading pattern,positive
2020-10-09,BFA BFBNew Insider Filing on BROWN FORMAN CORPsSVP Chief Diversity OfficerCHABERT RALPH E DE,negative
2020-10-09,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND,negative
2020-10-09,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern,positive
2020-10-09,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern,positive
2020-10-09,BFA BFB new insider selling 695 shares  BFB,positive
2020-10-08,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern,positive
2020-10-08,BFA BFB  BrownForman Corp ,negative
2020-10-08,Insider Chabert Ralph E de reports selling 695 shares of BFA for a total cost of 4842656 ,negative
2020-10-08,Chabert Ralph E De SVP Chief Diversity Officer of BROWN FORMAN CORP  BFA BFB sold 695 shares to now own a total of 2210 anomalous of their normal trading pattern,positive
2020-10-08,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND,negative
2020-10-07,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND,negative
2020-10-06,BFA BFBNew Insider Filing on BROWN FORMAN CORPsDirectorAUGUSTA BROWN HOLLAND,negative
2020-09-30,BFA Stocks StockMarket BrownForman released Q1 EPS on  Company delivered strong EPS growth on slow Sales increase in the Q1 where EPS surged by 7179  at 067 per share Sales grew modestly by 092  to 987000 MM from the ,positive
2020-09-30,BFA Stocks StockMarket BrownForman reported Q1 EPS on  Company delivered strong EPS growth on slow Sales increase in the Q1 where EPS surged by 7179  at 067 per share Sales grew modestly by 092  to 987000 MM from the ,positive
2020-09-16,BFA BFB  BrownForman Corp ,negative
2020-09-11,Money Ideas  DPHCQDGLPGCIDMFAMIAMRKNHTCCLROHCACWBFACKPTSWTXNMTRCLBSCODXDQDPHCUHCCHWNNOXSUNWCDTXCXVBLTSDNESALMVSTOCTRMZYMECBLIIBEXTECKZUMZLAURFRTAWHLMCBOXSCORMBIODHTHCCOSURSACHNINEACMR ,positive
2020-09-10,BFA BFB Chavanne Patrick Bousquet Dumps 62K Shares of BrownForman Corp ,negative
2020-09-10,Insider Chavanne Patrick Bousquet reports selling 6250 shares of BFA for a total cost of 50000000 ,negative
2020-09-08,BFA BFB  BrownForman Corp ,negative
2020-09-08,BFA BFBNew Insider Filing on BROWN FORMAN CORPsEVP Gen Counsel and SecretaryMATTHEW E HAMEL,negative
2020-09-08,Insider Matthew E Hamel reports buying 1077 shares of BFA for a total cost of 8419009 ,positive
2020-09-03,BFA BrownForman Reports Solid First Quarter Results amidst Continued Uncertainty ,positive
2020-09-02,Brown Forman BFA BFBEPS 068 vs 039 YoY Rev down 1 753M YoYProfit down 6 to 465M YoYCOGS was up 7 288M YoY BFB,negative
2020-09-02,BFA  10Q  BrownForman   2 Sep 402pm 2021 Q1 EarningsBFA 10Q BrownForman Earnings,positive
2020-09-02,Fly Intel Premarket Movers AMC PTON ZG GES BFA BFB BFA BFB M HOME HRB SCVL JAMF GSX DKNG ,positive
2020-09-02,BFA BFB  The Brownforman presidency has been in charge of the BrownForman brand since 2008  Vice President Rob Robbie Frederick and Vice President Leannne Cunningham have been at the helm of BrownFarnham administration  BFB,positive
2020-09-02,BFA  BROWN FORMAN files form 8K  Financial Statements and Exhibits Results of Operations and Financial Condition   8K ,positive
2020-09-02,Filing for 8K PressNews Current Report has been made with the SEC  BFA BFB BROWN FORMAN CORP  ,positive
