Date,Text_clean,Sentiment
2020-12-22,A logo mark filed for trademark by BrownForman Corporation   BFB BFA BFA BFB BFABFB BFABFB BFB ,positive
2020-12-12,not even close to done TEVA 2 in a wk KHC JPM 20 KO BFB AAPL ,negative
2020-12-08,New Form 10Q Quarterly Report entry filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-12-08,New Form 8K PressNews Current Report entry filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-12-07,Earnings happening tomorrow20201208 BFABFBAZOMDBGWRE,positive
2020-12-07,BFB earnings tomorrow,positive
2020-12-07,Calendario de empresas que reportan esta semana especialmente del sector consumo discrecional y tecnologa Adobe ADBE AutoZone AZO GameStop GME Oracle ORCL Lululemon LULU Costco COST SFIX BFB HRBmorning Monday December2020 StockMarket ,positive
2020-12-07,Market BFB seems like a far betterrun outfit though you really have to pay up for it,positive
2020-12-06,Earnings this week20201207 COUPSMARCASYTOLHQY20201208 BFABFBAZOMDBGWRE20201209 ADBEWORKCPBNCNOASAN20201210 ORCLAVGOCOSTLULUMTN20201211 ROADJOUTUBAUBPKALV,positive
2020-11-27, Btw mine is BFb,neutral
2020-11-21, The guy at the liquor store offered me a free taster of Hibiki andor expensive wine and I declined I only break streaks with one drink BFB,positive
2020-11-19,Nada me causa ms placer que ver mi patrimonio y mis dividendos crecerLong BFB ,positive
2020-11-19,hat  traded on the NASDAQ BFB Meat Pocket  a burger you can fuck,negative
2020-11-19,BrownForman Corporation hikes dividend by 30 percent BFB,positive
2020-11-18,BrownForman Second Quarter Earnings Release and Conference Call Scheduled for December 8 2020 BFA BFB ,positive
2020-10-24,RT  RT  Congress should just give everyone a Peloton instead of another 12001200 worth of LULU BYND PTON AAPL NFLX WING BFB NKEWHICH ARE THE TOP 3 CHOSEN,positive
2020-10-16,BFB 15s delayed filed SEC form 4 SVP Chief Diversity Officer de Chabert Ralph E Disposed 3074 of Class B Common at average price 7813 and Converted securities 3074 of Class B Common at price 1822 on 20201014 holding 51061 shares  ,positive
2020-10-15,BFB BrownForman Corp is falling fast Its down 159 today,negative
2020-10-08,BFB 15s delayed filed SEC form 4 SVP Chief Diversity Officer de Chabert Ralph E Disposed 695 of Class A Common at price 6968 on 20201007 decreased holding by 24 to 2210 shares  ,negative
2020-09-26,TD BUY BFB at 7450 Supp 7450 Resis 8114 R9  HiLo 81 none DIV NA Brown Form stocks trading finance market  ,neutral
2020-09-11,Friday beersSAM BFB ,positive
2020-09-10,BFB 15s delayed filed SEC form 4 Director BOUSQUET CHAVANNE PATRICK Disposed 6250 of Class B Common at price 80 on 20200909 decreased holding by 9 to 60415 shares  ,negative
2020-09-08,BFB 15s delayed filed SEC form 4 EVP Gen Counsel and Secretary Hamel Matthew E Acquired 1077 of Class B Common at average price 7817 on 20200908 increased holding by 1 to 112876 shares  ,positive
2020-09-05,  BFB is the bestofbreed when it comes to these alcohol names no Seems far better positioned than STZ or DEO Too bad its a bit pricey right now,negative
2020-09-05,  Just looking at a longterm chart of BFB What a great place thats been to park your money Im definitely down with these sin stocks,negative
2020-09-04,Theres also a clear overlap in the holdings of  and Lindsell TrainBFB EFX EL INTU JNJ NKE PEP PYPL V VRSK,positive
2020-09-03,Jack Daniels owner reveals the biggest alcohol trend in 2020 so far BFB   via ,positive
2020-09-03,PODCAST NO AR  Mercado faz pausa para respirar Aes da dona do Jack Daniels BFb saltam com vendas de bourbons e resultado operacional Macys M surpreende nas vendas online E mais uma pequena e lucrativa dessa vez voltada para jardinagem a SMG,negative
2020-09-03,INTERVIEWBeam Suntory sees sales improving after pandemic hurt drinking BFb ,positive
2020-09-02,BFB BrownForman Corp is shooting through the roof with a 1004 increase today,positive
2020-09-02,BFB 15s delayed filed form 10Q on September 02 160248 ,positive
2020-09-02,El Dow Jones sube con nuevos protagonistas productos bsicos y serviciosExelon EXC 4 y PPL PPL 3 lideran el repunte del sector de serviciosLos productos bsicos brillan de la mano de CocaCola  KO 3 y Brown Forman  BFb 10 ,positive
2020-09-02,Earnings Brown Forman BFb  ActualEPS067 vs EstEPS03 ActualRev753M vs EstRev68968M,positive
2020-09-02,Brown Forman B BFb is up 114  ,positive
2020-09-02,Fly Intel Premarket Movers AMC PTON ZG GES BFA BFB BFA BFB M HOME HRB SCVL JAMF GSX DKNG ,positive
2020-09-02,Filing for 8K PressNews Current Report has been made with the SEC  BFA BFB BROWN FORMAN CORP  ,positive
2020-09-02,BFB 15s delayed filed form 8K on September 02 080956 Item202 Results of Operations amp Financial Condition ,positive
2020-09-02,BrownForman Reports Solid First Quarter Results amidst Continued Uncertainty BFA BFB ,positive
2020-09-01,Upcoming earnings calls on Wednesday September 2 20201 RKT Rocket Companies Inc2 CRWD CrowdStrike Holdings Inc3 BFB BrownForman Corporation4 CPRT Copart Inc5 MDB MongoDB Inc6 GWRE Guidewire Software Inc7 SMAR Smartsheet Inc,positive
2020-09-01,Earnings happening tomorrow20200902 RKTBFBBFACRWDCPRT,positive
2020-08-30,Notable Companies Reporting Earnings this weekZMCTLTSNPBMAMEGJAMFHRBHOMECDMOSCVLRKTBFBBFACRWDCPRTAVGODOCUCOOCPBCIENUBAUBPIRCPTNP,negative
2020-08-30,Earnings this week20200831 ZMCTLTSNPBMAMEG20200901 JAMFHRBHOMECDMOSCVL20200902 RKTBFBBFACRWDCPRT20200903 AVGODOCUCOOCPBCIEN20200904 UBAUBPIRCPTNP,positive
2020-08-03,BFB 15s delayed filed SEC form 4 Director Skeans Tracy L Transacted Derivative Securities on 20200730  ,positive
2020-08-03,BFB 15s delayed filed SEC form 4 Director TODMAN MICHAEL Transacted Derivative Securities on 20200730  ,negative
2020-08-03,BFB 15s delayed filed SEC form 4 Director RONEY MICHAEL J Transacted Derivative Securities on 20200730  ,positive
2020-08-03,BFB  BFB 375 01 files form 8K  Regulation FD Disclosure Financial Statements and Exhibits Submission of Matters to a Vote of Security Holders   8K ,positive
2020-08-03,Filing for 8K PressNews Current Report has been made with the SEC  BFA BFB BROWN FORMAN CORP  ,positive
2020-07-30,BrownForman Makes Donation to Foundation BFB BFA ,positive
2020-07-30,BrownForman Stockholders Elect Directors and Mark 150th Anniversary BFA BFB ,positive
2020-07-24,BrownForman Corp Announces Quarterly Dividend of 017 BFB ,positive
2020-07-09,BFB a company you can count on JackDaniels Whiskey ,positive
2020-07-03,BrownForman BFB Trading 14 Higher ,positive
2020-07-01,Insider Kirsten M Hawley reports selling 3562 shares of BFB for a total cost of 22860524 ,negative
2020-07-01,BFB Bourbon Whiskey ,positive
2020-06-30,BFB  BFB 375 01 files form DEF 14A ,positive
2020-06-30,BFB 15s delayed filed form DEF 14A on June 30 060758 ,negative
2020-06-30,A new filing Form DEF 14A  has been made at the SEC by  BFA BFB BROWN FORMAN CORP  ,positive
2020-06-24,SEC Form 8KA  filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-06-24,BFB  BFB 375 01 files form 8KA  Financial Statements and Exhibits Changes in Registrants Certifying Accountant   8KA ,positive
2020-06-24,BFB  BFB 375 01 files form 11K ,positive
2020-06-23,BFB  BFB 375 01 files form 10KA ,positive
2020-06-22,Filing for 10KA  AnnualReport  has been made with the SEC  BFA BFB BROWN FORMAN CORP  ,positive
2020-06-19,New Form 10K  AnnualReport  entry filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-06-19,BFB 15s delayed filed form 10K on June 19 172014 ,positive
2020-06-17,BFB  BFB 375 01 files form 8K  Temporary Suspension of Trading Under Registrants Employee Benefit Plans Financial Statements and Exhibits   8K ,positive
2020-06-17,SEC Form 8K PressNews Report filed by  BFA BFB BROWN FORMAN CORP  ,positive
2020-06-15,BrownForman Announces Jim OMalley Retirement Names Jim Perry Successor BFA BFB ,negative
2020-06-15,BrownForman to Sell Early Times Canadian Mist Collingwood BFA BFB ,negative
2020-06-14,BrownForman BFB Price Target Raised to 6500 ,positive
2020-06-14,BrownForman BFB Price Target Raised to 6500  stocks,positive
2020-06-14,BrownForman BFB Price Target Raised to 6500 ,positive
2020-06-14,BrownForman BFB Price Target Raised to 6500 ,positive
2020-06-11,BrownForman BFB Issues Earnings Results Misses Estimates By 001 EPS  markets,negative
2020-06-10,SEC Form 8K Current Report filed by  BFB BFA BROWN FORMAN CORP ,positive
2020-06-10,BFB  BFB 375 01 files form 8K  Departure of Directors or Certain Officers Election of Directors Appointment of Certain Officers Compensatory Arrangements of Certain Officers   8K ,negative
2020-06-10,BrownForman announces earnings 027 EPS Misses estimates  BFB BFB via ,negative
2020-06-10,BrownForman BFB Posts Earnings Results Misses Estimates By 001 EPS ,neutral
2020-06-10,BrownForman BFB Releases Earnings Results  stocks,positive
2020-06-10,BrownForman BFB Releases Earnings Results ,neutral
2020-06-09,BFB BrownForman Corp is shooting through the roof with a 181 increase today,positive
2020-06-09,A Form 8K Current Report filing has been made with the SEC  BFB BFA BROWN FORMAN CORP BROWN FORMAN CORP ,positive
2020-06-09,BFB  BFB 375 01 files form 8K  Financial Statements and Exhibits Results of Operations and Financial Condition   8K ,positive
2020-06-09,Upcoming earnings calls today1 BFB BrownForman Corp2 CHWY Chewy Inc3 FIVE Five Below Inc4 VRNT Verint Systems Inc5 M Macys Inc6 PHR Phreesia Inc7 SIG Signet Jewelers Limited8 AMC AMC Entertainment,positive
2020-06-09,BFB  8K  Brown Forman   9 Jun 840am Brownforman Reports Fiscal 2020 ResultsBFB 8K BrownForman News,positive
