Date,Text_clean,Sentiment
2020-12-31,What are everyones top 2021 trades FSR GP IPOC FIII DOCV OPK IDEX NEM FUBO KGC WPM FVLTO NFGTO TPII KGCV USB BK BAC WFC,positive
2020-12-31,Stocks breaking out in afternoon tradingCAN CD LC WDC EVRG UNM BTBT VTRS CI BK 2 more results  Scan updates every 5 secstrading fintwit,negative
2020-12-31,BKs 10day Moving Average crossed above its 50day Moving Average on November 10 2020 View odds for this and other indicators  BankOfNewYorkMellon stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-31,Banks are looking green BAC WFC USB BK ,positive
2020-12-31,Rose Above Upper Bollinger Band today NXJ BEP BK NZF COLB CLH SYF SUSC SMCI PLIN PLYA FSV TWIN PSEP SPIP LTPZ OEC ZVO TMUS DOW  ,positive
2020-12-31,  SLG SL Green NewYorkCity baby dividends buybacks LBO takeover barbariansattheGate BX KKR BTLCY BAM BMO JPM MS CS BK C ,positive
2020-12-31,BTLCY British Land BLND doubles in 2021 silent takeover by BAM dividends coming soon SLG KKR CG BX KBWY C BK ,positive
2020-12-31,Theres no entertainment without music SNE Sony 250 GIM strategy games image music dont forget growing value of both Sony Playstation brands investments M3 med SPOT BILI   baking PS5 MSGE PEJ ROBO SLG MSFT AAPL TSLA GOOG BK C MS JPM,positive
2020-12-31,The Bank of New York Mellon BK Upgraded to Hold at BidaskClub ,positive
2020-12-31,GM To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-31,EBAY CEO Release Details of Pending Merger With Unnamed Nasdaq Traded Stock Following Talks In NYCDCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,negative
2020-12-31,BK Bank of New york should buyback tons of shares way too undervalued so is SLG SL green and BTLCY British Land  C Citi and BABA too,positive
2020-12-31,This can when you dont drive a DMLTY Daimler car  maybach MercedesBenz AstonMartin or AMG DAI ARGGD TSLA DDAIF GM NIO F C BK RACE TM SNE SLG BCS BTLCY NKLA FSR FRB MS JPM LYG DB ,positive
2020-12-30,Large Print BK Size 489726 Price 4169 Time 1830 Amount 2041667694,positive
2020-12-30,BNY Mellon Municipal Bond ClosedEnd Funds Declare Distributions BK ,positive
2020-12-30,How to Trade How to trade Bank Of New York Mellon BK With Risk Controls  Click for Details ,positive
2020-12-30,BK BNY Mellon Municipal Bond ClosedEnd Funds Declare Distributions ,positive
2020-12-30,SNE 250  Analyst Actions Zacks Investment Upgrades SNE Sony to Outperform From Neutral Adjusts Price Target to 112 From 102BY MT Newswires 1037 AM ET 12302020 C BK JPM JEF EVR WFC BAC SAN HSBC BCS MS ,neutral
2020-12-30,bankers mergers acquisition lawyers wfh   WinterIsComing NewJersey Connecticut  oxfordshire suburbs middle of nowhere places without fast internet firewalls electricity  want to compete with china  JPM BABA SAN C GS BK SLG BTLCY BXP NYC GE VNO INTC V ,negative
2020-12-30,surprised BAM KKR CG and PEs havent taking over SLG SL Green for 100 or BTLCY British Land  for 10 AMZN amazon cannot keep using streets as metro warehouses and BABA alibaba should tale advantage and move in      C BK JPM ,negative
