Date,Text_clean,Sentiment
2020-12-31,kotecha AAPL 592AMZN 396GOOG 379MELI 328QCOM 322NVDA 311CRWD 301BRKB 295MMM 281LMND 269,negative
2020-12-31, BRKB BABA T CRMVsCRWD TWLO FSLY OKTAAvg return of the 4 in 1 year,negative
2020-12-31,My portfolio as of Dec 31 2020Top 90 AMZN  3249TSLA  1517AAPL  573MDB  457SHOP  447PTON  386MSFT  339DOCU  283TWLO  274ADBE  266SMAR  264CRM  239BRKB  189HUBS  173ALK  159OZON  118 ,positive
2020-12-31,Q4 2020 portfolio CSUto 49SPY 18JKHY 5TDG 5BRKB 4FNMAS 2FMCKJ 2EQIX 2CASH 2 ,positive
2020-12-31,PE among largest financials bank insurance XLF1  BERKSHIRE HATHAWAY I BRKB 1502  JPMORGAN CHASE amp CO JPM 1613  BANK OF AMERICA CORP BAC 1444  CITIGROUP INC C 1175  WELLS FARGO amp COMPAN WFC 762,positive
2020-12-31,The ten hottest stocks in 2021 will be AMZN WSGF CWH TURN BIOL AAPL BRKA BRKB AYTU amp MCOA investment portfolio stock tips ,positive
2020-12-31,The ten stocks in 2021 to invest in are AAPL TURN AYTU MCOA CWH BIOL BRKA BRKB AMZN amp WSGF stock tip hot stock to buy investment investmentportfolio portfolio retweet ,positive
2020-12-31,Top 12 HoldingsAAPL  642 263AMZN  592 198NVDA  545 229QQQ  506 77SQ  494 456PTON  482 166DKNG  479 23 TWLO  461 170 LMT  347 32 BRKB  337 20 SHOP  308 197TDOC  298 184,positive
2020-12-31,ltima operacin del ao Vendo BAC flat solo 2 debido al efecto divisa debera haber sido 10 sin efecto divisa para comprar BRKB Seguimos movindonos hacia ETFs BRK la consider lo ms cercano a ETF sin serlo,positive
2020-12-31,Current Portfolio by Size 1231 Brkb IAC Dis BOMN Heia Spot Sbux Fwonk Lamr TPL Batrk Eqc Psth,positive
2020-12-31,How the largest stocks performed in 2020Apple AAPL 82Microsoft MSFT 41Amazon AMZN 78Alphabet GOOG 30Facebook FB 32Alibaba BABA 12Tencent TCEHY 48Tesla TSLA 730Berkshire BRKB 1Visa V 16Taiwan Semi TSM 87JNJ 7Walmart WMT 21,positive
2020-12-31,brkb brka brk brkb brka very very long January 2022 300 calls asking 260 I think we see a move to 260270 after Q4 earnings,positive
2020-12-31, LMTBRKBKOABT,negative
2020-12-31,Starting Jan 1 what will have a better 3 year performance1 FANMAG so FB AAPL NFLX MSFT AMZN GOOG equally weightedOr 2 Berkshire Hathaway BRKB,positive
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week ANDV APA BSM BPMP BP BPL CPE CNQ CRZO CDEV CHK CAM NAB FTK HAL BHI NGS HOS SLB RES WFT PETN BAS EGN PXD FANG COG EPE OAS SM ECR GPOR CXO WLL XOM CVX BRKB JPM BAC ,negative
2020-12-31,Great way to end the year with VTV Vanguard Value ETF paying its dividend todayCurrently a 079 per share dividend and a yield of 256 on your investmentTop 10 HoldingsBRKB JNJ JPM PG UNH DIS VZ CMCSA BAC WMT ,positive
2020-12-31,  Buffett took the micro cap of BRKB on a 50 year journey with 0 and 100,positive
2020-12-31,Boring Boomer stocks I ownLMT BRKB JPM CAT UNH RTX BR WM NOC O UNP CB ABBV JNJ BAC BX BX STOR NEE TXN MAIN,negative
2020-12-31,long brkb heiCap ,positive
2020-12-31,Best ideas for 2021BRKBFBPCGJPMKRHEIAIAYX 1 year,positive
2020-12-31,A thread 1It is hard to find the right words when looking back at 2020 So I just drop the right videos  The first was the IVIC presentation of Greggory Warren on BRKB He took a deep dive into the company and why it is worth owning it  ,positive
2020-12-31,The Rich Got Richer During COVID19 Heres How American Billionaires Performed BRKA BRKB NKE WMT AMZN GOOG MSFT ORCL TSLA FB GOOGL ,positive
2020-12-31,Stocks with cheaper options low IVIV percentile watchlist for  Dec 31 2020 QQQ SPY IWM success trading options stock MDLZ VZ SO CL PEP HSY DG MCD BRKB COST ,negative
2020-12-31, I ran both thru a DCF analysis and I think Ill be buying brkb instead,positive
2020-12-31,Rat poison Bitcoin takes out the rats Banks and BRKBWarren you were so right  Extermination in progress,negative
2020-12-31,Highest sales in billions among financials bank insurance XLF1  BERKSHIRE HATHAWAY I BRKB 27922  JPMORGAN CHASE amp CO JPM 118833  BANK OF AMERICA CORP BAC 87784  CITIGROUP INC C 76185  WELLS FARGO amp COMPAN WFC 7428,positive
2020-12-31,Top story  Bitcoin has flipped Warren Buffetts Berkshire Hathaway by market capitalizationBTC Market Cap 541293864050BRKB Market Cap 538768702165   see more ,positive
2020-12-31,Net margin  among largest financials bank insurance XLF1  BERKSHIRE HATHAWAY I BRKB 1282  JPMORGAN CHASE amp CO JPM 2003  BANK OF AMERICA CORP BAC 2054  CITIGROUP INC C 1425  WELLS FARGO amp COMPAN WFC 22,positive
2020-12-31,BREAKING Bitcoin is now larger than Warren Buffets Berkshire Hathaway by market capitalizationBitcoin 5425bBerkshire Hathaway 5382bWhat a time to be alive brka brkb brk btc BerkshireHathaway BERKSHIRE,positive
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 200 and 500 ADSK AMGN APD AVGO BIDU BRKB COST CRWD DXCM ECL GNRC GPN GS IWO KSU LIN LRCX MA MCO MDY MSTR NOC NSC PAYC PYPL RNG SEDG SOXL SPGI SPY SQ STZ SYK TDOC TTWO ULTA UNP V ZS,positive
2020-12-31,  Yes I think BTC past BRKB today for a bit and Im sure in the future it will hold This is the fast 10k ever since a last all time high,positive
2020-12-31,Rat poison squared Bitcoin according to Warren Buffett is worth as much as Berkshire Hathaway BRKB  at 538B ,negative
2020-12-31,              Ill benchmark againstivvqqqdiabrkbarkkamzntslabtc,negative
2020-12-31,BRKB Share Price To Rise As Nationwide Exposure Coming With CNNMoney Segment Next TuesdayBLTA EAF XTRN DHR GFI UPS IAG MCHP PLPL GSAT,positive
2020-12-31,Bitcoin supera en capitalizacin a BRKB y entra en el top 10 de activos con mayor capitalizacin de mercado Casi nada  ,positive
2020-12-31,Bitcoin has officially passed Berkshire BRKB in market cap1 Apple AAPL2 Microsoft MSFT3 Amazon AMZN4 Alphabet GOOGL5 Facebook FB6 Tencent TCEHY7 Tesla TSLA8 Alibaba BABA9 Taiwan Semi TSM10 Bitcoin BTC11 Berkshire BRKBSource   ,positive
2020-12-31,Bitcoin has flipped Warren Buffetts Berkshire Hathaway by market capitalizationBTC Market Cap 541293864050BRKB Market Cap 538768702165 ,positive
2020-12-30,While Warren Buffett has been a vocal critic of bitcoin for years his comments sound downright ebullient when compared to those of Charlie Munger Indeed Munger has established himself as one of Bitcoins most vocal opponents BTC BRKA BRKB,negative
2020-12-30,Charlie Munger Avoid Bitcoin Like Poison  via  BTC BRKA BRKB,negative
