Date,Text_clean,Sentiment
2020-12-31,CENTs in Uptrend Moving Average Convergence Divergence MACD Histogram just turned positive View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-31,CENT was down 030 at USh 53464 on Thursday,negative
2020-12-31,CENT Central Garden agrees to acquire Green Garden Products for 532 mln ,positive
2020-12-31,CENT Green Garden Products to Be Acquired by Central Garden amp Pet ,positive
2020-12-31,Green Garden Products to Be Acquired by Central Garden amp Pet CENT ,positive
2020-12-31,CENT Central Garden amp Pet To Acquire Green Garden ,positive
2020-12-31,Central Garden amp Pet signs agreement to acquire Green Garden Products for 532M CENT ,positive
2020-12-31,Rose Above Upper Bollinger Band today PARR MCHI WNS RNWK CSWC CENT IMAB HROW DLX BSJM ASGI OCSI BGH BTT WKEY YINN BNSO BSJN VACQ CSTE  ,positive
2020-12-31,CENT  Central Garden amp Pet files form 8K  Entry into a Material Definitive Agreement Financial Statements and Exhibits   8K ,positive
2020-12-31,CENT NASDAQ  8K  CENTRAL GARDEN amp PET CO  BA00  BidAsk Size00  Volume0  AverageVol117991  Outstanding0 ,positive
2020-12-31,Filing Alert FORM 8K PressNews Current Report available  CENT CENTA CENTRAL GARDEN amp PET CO  ,negative
2020-12-31,CENT Central Garden amp Pet To Acquire Green Garden ,positive
2020-12-31,Central Garden amp Pet announces 532M acquisition in garden line CENT ,positive
2020-12-31,Central Garden amp Pet To Acquire Green Garden CENT ,positive
2020-12-31,CENTCentral Garden amp Pet To Acquire Green Garden,positive
2020-12-31,Central Garden amp Pet To Acquire Green Garden For 532M CENT,positive
2020-12-30,Rose Above Previous Days High today GUNR CSTM DKNG XRT NESR IMO EBIZ DADA BXG SM UGL SABR MCBC CUBI IBUY CENT ANGO SSSS SE XLV  ,positive
2020-12-29,GDMK Global Diversified Marketing Group Engages FullService Marketing Firm to Launch New eCommerce Site After Strong Success on    SAFM JJSF THS CENT SMPL TWNK CENTA BGS CVGW UTZ JBSS BRBR GLUC HRCR,positive
2020-12-29,CENT was up 016 at USh 53624 on Tuesday,positive
2020-12-29,In 2009 1 BITCOIN was Sold 1cent Just Imagine if You Had Bought N10000 Worth of BITCOIN You Would Have Been the Highest Millionaire  in Your Area Now But for Those Who Missed Bitcoin  1 centThere is Another Promising CRYPTO CURRENCY Now TATCOIN ,positive
2020-12-29,CENT shares up by 016 at USh 53624,positive
2020-12-29,SO NOT BALANCED KEEPER WISE   MAKES NO CENT HOW SKILL MOVE USE TO GET OPEN SHOT IS BLOCKED BY A KEEPER IVE USED BUT ALSO GAVE UP 6 FUCKING GOALS yall need to be sued ea ,negative
2020-12-28,CENT was up 423 at USh 53536 on Monday,positive
2020-12-28,200 DMA Support today HDSN TTOO ALNY CSCW AESE CENT XIN ITP  ,positive
2020-12-28,CENT shares up by 293 at USh 53536,positive
2020-12-26,CENT was down 109 at USh 51363 this week,negative
2020-12-25,CENT was down 124 at USh 51363 on Friday,negative
2020-12-24,CENT was up 191 at USh 5201 on Thursday,positive
2020-12-24,200 DMA Support today CIA CENT  ,positive
2020-12-24,CENT shares up by 126 at USh 5201,positive
2020-12-24,4061 growth How to Buy CENTERCOIN CENTCENTERCOIN CENTERCOIN CENT CENT bitcoin btc crypto cryptocurrencies cryptobuyingtips blockchain coin coinbase binance cryptotrading  ,positive
2020-12-24,CENT enters a Downtrend because Momentum Indicator dropped below the 0 level on November 25 2020 View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-24,Central Garden amp Pet To Expand Board Of Directors Nominates Two New Independent Directors Courtnee Chun And Daniel P Myers CENT ,positive
2020-12-23,CENT Central Garden to expand board of directors ,positive
2020-12-23, Am ready cent,positive
2020-12-23,CENT  Central Garden amp Pet files form DEF 14A ,positive
2020-12-23,200 DMA Support today SMHI MGTA CENT CVM  ,positive
2020-12-22,200 DMA Support today CENT CVGW CSTE HARP CTSO MGTA QFIN YTEN  ,positive
2020-12-22,CENT shares up by 049 at USh 51034,positive
2020-12-22,CENT enters a Downtrend as Momentum Indicator dropped below the 0 level on November 25 2020 View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-21,Oversold CCI NOW SE TTD KKR TSN CQP AKAM CZR LITE UGI HSIC OSTK OI NEM CNC ROL KL TEVA NVAX FLO SFM CENT IAG TRILOverbought KOD IOVA KRTX RCKT HRTX GLLMomentum MS ROKU PTON APPN DNLI FSLR BBIO TGTX PACB NTLA RPAY EXAS GH TAN,negative
2020-12-21,CENT was down 220 at USh 50786 on Monday,negative
2020-12-21,200 DMA Support today CQP MKL AEE DEI CENT MLND EDN  ,positive
2020-12-21,CENT shares down by 21 at USh 50786,negative
2020-12-20,CENT enters a Downtrend as Momentum Indicator dropped below the 0 level on November 25 2020 View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-20,CENT enters a Downtrend as Momentum Indicator dropped below the 0 level on November 25 2020 View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-19,CENT was down 211 at USh 51877 this week,negative
2020-12-19,CENT in Uptrend price expected to rise as it breaks its lower Bollinger Band on December 2 2020 View odds for this and other indicators  CentralGardenPet stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-18,Cryptocurrency winners BKBT CENT RWN BNANA ALEPH ,positive
2020-12-18,If you invest 1000 in LPTX today at 185 per share and the stock prices rebound back to prepandemic prices at 215 your investment would be worth 116216 Thats 16 growth and 16216 profit  See more   ATHM CTV ETY ARES CENT ,positive
