Date,Text_clean,Sentiment
2020-12-31,Who wants to confess to buying CHK at 75 this summerI know youre out there this is a safe space,positive
2020-12-31, So many highlights Top for me still has to be when Davey Day trader and Robinhooders started pumping bankrupt EampPs like OAS WLL CHKSo many worlds colliding at once Will never forget,positive
2020-12-31,5 In June retail traders with stimulus bucks decide its time to light it upCHK attracts the Robinhood mobs attention It jumps 182 on June 9th amp has multiple trading halts the same day it files bankruptcyIf Aubrey was here hed be on the phone to tap that cash ,positive
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week ANDV APA BSM BPMP BP BPL CPE CNQ CRZO CDEV CHK CAM NAB FTK HAL BHI NGS HOS SLB RES WFT PETN BAS EGN PXD FANG COG EPE OAS SM ECR GPOR CXO WLL XOM CVX BRKB JPM BAC ,negative
2020-12-31,UNG  BOIL KOLD UNL DCNG GAZB Natgas  ONGT  NGF  CLF oott WTI OIL UWT  NATGAS  CNLE GASL CHK SWN SPY SPX CL   well 2020 Close out Natty Gas UNG trading weighted mathematical volume trend Volume ,negative
2020-12-31,Great trading models at Profectus Systems AAPL BAC PG YHOO CHK WFC FB CRM GE MRO NFLX AMZN TSLA SPY VLO JBLU ATVI AMD,positive
2020-12-31, CHK,negative
2020-12-31,juicytradez traded AMD for 5000 Loss MBOT CHK IPWR  ,negative
2020-12-31,juicytradez traded PDD for 65000 Loss ENSV LTRPB CHK  ,negative
2020-12-31,juicytradez traded BIDU for 295000 Profit LTRPB CHK MBOT  ,positive
2020-12-31,juicytradez traded FCEL for 2000 Profit IPWR CHK LTRPB  ,positive
2020-12-31,Comrades what a way to finish the year ADD  2AVWO 25CHK 5ESH 10LRS 18OAR 5WCN 385SHUT UPand take my money ,negative
2020-12-31,CNP To Be Scooped Up In Cash And Stock Transaction By Unnamed Nasdaq Traded Company Official PR Coming Next WeekCMCSA PVTL AWGI NOK CSCO ECOB FPFI GAHC MMEX CHK DSCR SPOM,negative
2020-12-31,CHK are people still shorting,negative
2020-12-31,CHK why is this still going down,negative
2020-12-31,CHK pleased to see it hold 21c post SPP at 17c Approx double the average volume 4 day post SPP shares listing indicating redistribution of shares to new holders happy to be in at 20c22c Starting 2021 above 20c places it well for incoming assays in Jan,positive
