Date,Text_clean,Sentiment
2020-12-31,Former Viacom shareholders can sue Shari Redstone over ViacomCBS merger   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,Comcast CMCSA Has A Neutral Technical Analysis Score TA Score Breakdown Of 3 Categories candle score Weak moving average score Neutral momentum score Excellent stocks stock StockMarket Investment investing  ,positive
2020-12-31,No more hiding behind  members  Plus to Hike Prices of UFC PayPerView Events Annual Subscription in 2021  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,positive
2020-12-31,Most active stocks in todays afterhours tradingMGMApple AAPLNielsen NLSNLiberty FWONKMicrosoft MSFTWells WFCFidelity FNFPfizer PFEATampT TL Brands LBLumen LUMNZillow ZComcast CMCSAViacomCBS VIACGrubhub GRUBIntel INTCKroger KRFord FHFC,positive
2020-12-31,With people stuck at home during the pandemic streaming subscriptions have surged this year  Professor Bob Thompson weighs in on the companies benefiting from this trend and why hes optimistic movie theaters can recover in 2021DIS CMCSA NFLX AMZN AMC CNK ,positive
2020-12-31,OutsideYear 2020 ABBV ALGN ANTM AVGO AXP BBBY BBY BIDU BIG BJ BKNG BLNK C CAT CHGG CHWY CLDR CMCSA CMG CREE CRM CROX CRWD CSX CVNA CZR DE DELL DIA DIS EBAY ELY ETSY FCX FDX FEYE FSLR FSLY GDX GE GILD GOGO GOOGL GPRO GS GSK HD HOG,negative
2020-12-31,Huge Print CMCSA Size 2548472 Price 524 Time 1600 Amount 13353993280,positive
2020-12-31,cmcsaCovid Central ,negative
2020-12-31,iPhone POV of me checking on my gains cmcsa ,positive
2020-12-31,CMCSA Would want to see this make the new high there before an entry ,positive
2020-12-31,Rose Above Upper Bollinger Band today ROP JTD POR CMCSA LUXAU NUS FRME BRC TAYD SGLB  ,positive
2020-12-31,Large Print CMCSA Size 154490 Price 5208 Time 1415 Amount 804583920,positive
2020-12-31,  Thanks for the rec Youre probably aware already but I always enjoyed this bit of trivia about CMCSA and another of your favorite stocks QRTEA ,positive
2020-12-31,Theaters look to Bond and Black Widow to spark 2021 moviegoing CMCSA DIS T ,positive
2020-12-31,It Was a Fall Season to Forget for Broadcast TV Networks   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,Great way to end the year with VTV Vanguard Value ETF paying its dividend todayCurrently a 079 per share dividend and a yield of 256 on your investmentTop 10 HoldingsBRKB JNJ JPM PG UNH DIS VZ CMCSA BAC WMT ,positive
2020-12-31,Most educational read of 2020  schools you on the industry wa critical eye amp particular skepticism of Comcast But left me impressed w Roberts the businessman amp CMCSA now 7th largest position 4 going into 21,negative
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR ACI LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB ,negative
2020-12-31,At What Point Does American Express Catch A Bid  GS JPM XLF FB GOOG DIS CMCSA CHTR ATVI VZ AAPL MSFT TWTR SNAP EA VIAC V NVDA PYPL ADBE AMD NVDA ABNB BIDU W TWLO SHOP SPOT SNOW UBER LYFT TSLA PINS ,positive
2020-12-31,VYM Vanguard High Dividend ETF Too 10 Holdings as follows 1 JNJ 3542 JPM 3313 PG 3144 VZ 2325 CMCSA 2116 BAC 2027 PFE 1988 WMT 1979 T 19010 INTC 190Total Top 10 Weighting 2421Do you own VYM for the passive income,positive
2020-12-31, This stock trading software analyzes MILLIONS of trades while you sleep to find the best trade setupsAutoTrading via  HollyAI AutoTrading StocksATVI EA MU PYPL SIRI  SCHW HD KRLYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA ,positive
2020-12-31,LightShed Partners Rich Greenfield on fuboTV as lockup expires viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,Connected TV Trends to Accelerate in 2021   viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,CMCSA Options maxpain Chart Open Interest Chart Update OptionsTrading OptionsFlow optionstrade optiontrading stocks stock StockMarket Investment investing invest investor investors UOA   ,positive
2020-12-31,Thu Dec 31stTodays BEST performing sector just after the openCommunication Services 06follow along here communicationservices business stockmarket stocks investmentsBIDU FB GOOG CMCSA NFLX DIS EA CHL ATVI TMUS ,positive
2020-12-31,Bears Pile On fuboTV After 330 Rise In 2020 Bears Vs BullsRelated Tickers AMCX CMCSA DIS DISCA DKNG FUBO NFLX PENNRead more at ,negative
2020-12-31,Keep an eye on LOAC  AAL AEO AFL AMC AMD APHA APPL BAC BJ BLNK CCL CHEF CMCSA CNK COTY CRSO CUBI CVS CZR DAL DKNG DPW EB EBAY EPD EV EVRI FANG FBC FCEL FSLY FUBO GLPI GLUU GNUS GPS H HAL HMST HPE HST IEC INTC IPOC ,negative
2020-12-31, Cochrane7  Why did you not include SQ and PYPL None of this matters if you cant access it thus CMCSA CHTR ATUS TMUS VZ,neutral
2020-12-31,Wonder Woman 1984 Shows Promise for HBO Max Audience Survey Finds viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,negative
2020-12-31,Wonder Woman 1984 Release Strategy Isnt Clear Victory for WarnerMedia  Variety viac cmcsa dis nflx aapl t sne roku amzn disca lgf twtr fox fb goog snap stx mgm quibi prime hulu pluto tubi hbo fb baba bidu iq twtr fubo ,neutral
