Date,Text_clean,Sentiment
2020-12-31,MSFT XBC CSU TTWO ZBRA TPL ATDB TRP ATVI MVP FNV V T EL PM AQN FRU ESTC INTU TYL WCN LVMH BDX DEO BYD,negative
2020-12-31,EL Below Avg VolumeDaily appearances since 2010 271Close 5 days later Avg 056SD 448Worst 1750Best 204810 days laterAvg 144SD 537Worst 1434Best 225730 days laterAvg 562SD 1051Worst 1958Best 3929,negative
2020-12-31,EL company profile Fundamental and Technical Analysis Score Update FA Score TA Score stocks stock StockMarket Investment investing invest investor investors   ,positive
2020-12-31,Portfolio End of Q4 2020SPOT UNP V GOOG  GOOGL AMZN FB SHW ICE SPGI SBUX DIS HD TWTR EQIX AMT ECL ATDB  ANCUF OTIS WSO LVMUY EL SYK DG FSV DPZ WCN ,neutral
2020-12-31,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow KMB EL PM STZ KO MO CVS PG KR BEAM MDLZ COST MNST HRL CLX TSN SJM MKC BFB TAP stock stocks StockMarket Investment investing consumers  ,positive
2020-12-31,Rose Above Previous Days High today XME EL CE NHS RWJ AMPE TCF HSC SFTW TMDX HFRO CNET ALTS HI EBIX NID BLV WHLR OLN AKTS  ,positive
2020-12-31,Estee Lauder Companies Inc Class A Shares Approach 52Week High  Market Mover  EL stockmarket kwhenfinance,positive
2020-12-31,SM To Release Details On Acquisition Negotiations Happening Behind The Scenes In ClevelandKGKG SBFM PDMI ENIA ZION RIO AZN MBT EL ICE STAY ESRX MUR DFS,negative
2020-12-30,Wednesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow TSN KO BEAM PG CPB ADM WMT CAG MNST GIS EL COST CLX SYY HSY TAP KR CL MO HRL stock stocks StockMarket Investment investing consumers  ,positive
2020-12-30,EL Below Avg VolumeDaily appearances since 2010 270Close 5 days later Avg 053SD 447Worst 1750Best 204810 days laterAvg 144SD 537Worst 1434Best 225730 days laterAvg 560SD 1053Worst 1958Best 3929,negative
2020-12-30,Success from Brandonn in  Discord EL EL ,positive
2020-12-30,Oversold on Hourly   AAPL  13599  to 13420 JDST  1018  to 968 VZ  5896  to 5819 NFLX  53326  to 52456 HSY  15200  to 15057 EL  26428  to 26269,negative
2020-12-30,Oversold on Hourly   NFLX  53384  to 52442 HSY  15200  to 15094 EL  26428  to 26223,negative
2020-12-30,New high 1229AAPLABBABMDACAMACIAEFAESAHACUAPLSAPPFAPTVASMLASOATOMATUSAVIRAZREBASIBHSEUBKNGBNGOBTAQBURLCABOCFACUCFIVUCGNXCHKPCLPTCNHICONXUCPCSSECYBRDBDRDCBODCRBDGNSDISDMTKDSACUDVAEARNEGOVEL,negative
2020-12-30,Oversold on Hourly   XLK  13062  to 12997 EL  26603  to 26245 MSFT  22563  to 22288 GOOG  176510  to 174881,negative
2020-12-30,Wed Dec 30thTodays WORST performing sector just after the openConsumer Staples 01follow along here consumerstaples dataviz investments bubbleboard tradingUL KDP KO COST EL TGT CL WMT PM PEP ,negative
2020-12-30,Estee Lauder Companies Inc Class A Shares Close in on 52Week High  Market Mover  EL stockmarket kwhenfinance,positive
2020-12-30,New 52week highs SampP 150039AAPLABMDAESAPTVBKNGCABOCGNXDISDVAEGOVELEWEXPEXPDEXPOFASTFFIVFIVEGPNHVTIBKRIPGPKSUMNSTNTGRPEPPOWIRCMSCHWSCVLSTZTJXTRMBUISUTHRVRSKWDFCCharts ,negative
2020-12-30,1229 AllTIme High Daily12295000   AAPL DIS PEP ASML PDD HDB GPN EL CP RACE APTV VRSK FAST CHKP KSU XYL NICE BURL TRMB LOGI EXPD CGNX ATUS CABO DVA,positive
2020-12-30,EL Max Pain22000 Maturity01152021 maxpain options  ,positive
2020-12-29,EL Below Avg VolumeDaily appearances since 2010 269Close 5 days later Avg 052SD 447Worst 1750Best 204810 days laterAvg 144SD 537Worst 1434Best 225730 days laterAvg 560SD 1053Worst 1958Best 3929,negative
2020-12-29,Over twenty SPX stocks put in new 52 week highs Tuesday Largest by marketcap include AAPL DIS PEP SCHW EL BKNG TJX GPN EW and MNST No SPX companies hit new 52 week lows trading,positive
2020-12-29, En un barrido rapido saque estos  ADP ALK AVGO CHGG DAL EL IBM MMM ORCL UPS WMT XOM pero puede que mi ojo me engae,negative
2020-12-29,Stocks that traded to 52 week highs AAPL ABMD AES APLS APPF APTV ATUS BKNG BURL CGNX CHKP CNNE CYBR DIS EGOV EL EW EXP EXPD EXPO FAST FFIV FIVE GLDD GPN GWRE HWM IMMR IPGP JEF KDP KRNT KSU,positive
2020-12-29,52 wk highs Tues  TENX AAPL GEVO UUU TCCO IMMR PDD KOSS GBR SOL TMDI DIS SID AT TJX SCHW TCON PEP GPN FAST KDP MRSN AES SMTS DMTK FIVE ABB SMMC EW YUM SNE LOGI APTV KTOS CHKP JEF NTGR USAU EMKR HDB IBKR EL RCM MNST NICE NVST CYBR ,positive
2020-12-29,Nueva posicin alcista en valor del EuroStoxx50 EL  ,positive
2020-12-29,Nueva posicin alcista en valor del CAC40 EL  ,positive
2020-12-29,Some of the largest stocks that new All Time Highs so far todayApple AAPLDisney DISPepsi PEPASMLHDFC Bank HDBEstee Lauder ELTJXDuke DGlobal Payments GPNMonster MNSTKeurig KDPFerrari RACEAptiv APTVAltice ATUSLogitech LOGIXylem XYLNICETRMBBURL,positive
2020-12-29,On a matter of principle Ive chosen not to invest directly in Chinese firms like BABA amp TCEHY With that said I play  through companies which derive a significant and growing  of their revenue from the Middle Kingdom SBUX OTIS SPGI EL LVMUY ,neutral
2020-12-29,Stocks That Hit 52Week Highs On Tuesday AAPL ABB ABMD ACAM ACI APLS APPF APTV ASML ASO ATOM ATUS AVIR AZRE BASI BIT BKNG BTAQ BTAQU BURL CGNX CHKP CHW CLPT CP CYBR DBDR DCBO DGNS DIS DJCO EGOV EL EMKR EPSN ESTA EXP MarketUpdate ,positive
2020-12-29,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow COST MKC GIS KR KO HSY EL CPB K TAP PEP PG KMB SYY TSN MO ADM CL CVS PM stock stocks StockMarket Investment investing consumers  ,positive
2020-12-29,NEW 52 WEEK HIGHS AT THE OPEN ELGPNMNSTFFIVVRSKTJXDISPEPAAPLFAST,negative
2020-12-29,After cleaning up GAAPs blemishes from this skin care and fragrance firm we can see why its been crushing the market EL  ,negative
2020-12-29,After cleaning up GAAPs blemishes from this skin care and fragrance firm we can see why its been crushing the market EL   ,negative
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 200 and 500 ACN ANET ANTM AVGO BRKB BURL CI COST CTAS DPZ DXCM EL FB FNGU GPN GS HON HUM IVV IWF KNSL KSU LIN MA MSFT MSTR NSC QQQ SPY STZ ULTA UNH UNP V VGT VRSK VUG,positive
2020-12-28,EL Below Avg VolumeDaily appearances since 2010 269Close 5 days later Avg 052SD 447Worst 1750Best 204810 days laterAvg 144SD 537Worst 1434Best 225730 days laterAvg 559SD 1055Worst 1958Best 3929,neutral
2020-12-28,EL Target Raised by Citigroup  USD 239  USD 258 ,positive
2020-12-28,The Este Lauder Companies EL Price Target Increased to 25800 by Analysts at Citigroup Inc 3 Minimum Coupon Principal Protected Based Upon Russell  markets,positive
2020-12-28,The Este Lauder Companies EL Price Target Increased to 25800 by Analysts at Citigroup Inc 3 Minimum Coupon Principal Protected Based Upon Russell  stocks,positive
2020-12-28,The Este Lauder Companies EL PT Raised to 25800 at Smith Barney Citigroup  markets,positive
2020-12-28,The Este Lauder Companies EL PT Raised to 25800 at Smith Barney Citigroup  stocks,positive
2020-12-28,Im thinking about beingLong 1 cent gt daily highTEVAFISVINTCPPLMFCCNQMPCSUTUVLOCVEShort 1 cent lt daily lowTRVNNKFUBOJKSVLDRLAZRBEKEMIKELSBSWNETMDBJMIA,positive
2020-12-27,IQST To Announce New Non Toxic Shareholder Friendly Line of Credit From Wells Fargo WFCKGKG SBFM PDMI ENIA ZION RIO AZN MBT EL ICE STAY ESRX MUR DFS,positive
2020-12-27,12262020Relative Strength Rankings  SampP 500HPQ CDNS SYF SCHW PYPL MS ISRG EL APTV ALB ,negative
2020-12-26, EL,negative
2020-12-26,    directs online gift returns to   which limits shipping perfume due to alcohol content So some pricey gifts are unreturnable What was EL plan for this  2,negative
2020-12-26,EL Max Pain22000 Maturity01152021 maxpain options  ,positive
2020-12-25,Estee Lauder Companies Inc Class A Shares Approach 52Week High  Market Mover  EL stockmarket kwhenfinance,positive
2020-12-24,Thursdays Top Flow in consumer staples sector Buy Flow amp Sell Flow COST PEP MDLZ K CAG MNST ADM CLX SYY KMB PG PM MO STZ CVS KR EL GIS SJM WMT stock stocks StockMarket Investment investing consumers  ,positive
2020-12-24,EL Below Avg VolumeDaily appearances since 2010 269Close 5 days later Avg 052SD 447Worst 1750Best 204810 days laterAvg 138SD 528Worst 1434Best 225730 days laterAvg 556SD 1055Worst 1958Best 3929,neutral
2020-12-24,EL Rising Price Declining VolumeDaily appearances since 2010 86Close 5 days later Avg 001SD 453Worst 1623Best 204810 days laterAvg 049SD 582Worst 2168Best 225730 days laterAvg 284SD 1000Worst 4978Best 3608,negative
2020-12-24,EL Dragonfly DojiDaily appearances since 2010 19Close 5 days later Avg 007SD 232Worst 684Best 45110 days laterAvg 075SD 323Worst 477Best 75330 days laterAvg 254SD 368Worst 414Best 1020,negative
2020-12-24,EL company profile Fundamental and Technical Analysis Score Update FA Score TA Score stocks stock StockMarket Investment investing invest investor investors  ,positive
2020-12-24,Today Top Flow in consumer staples sector Buy Flow amp Sell Flow COST KMB CVS EL CLX CL PEP CAG SYY KR PG WMT MO PM TSN CPB STZ GIS MNST HRL stock stocks StockMarket Investment investing consumers  ,positive
2020-12-24,EL Citi analyst Wendy Nicholson raised the firms price target on Estee Lauder to 258 from 239 and keeps a Neutral rating on the shares The increased price target reflects higher market multiples Nicholson tell investors in a research note,neutral
2020-12-24,Trade EL at Bithumb for a chance to own a studio in Seoul Details on the property can be found here  in Korean ,positive
2020-12-24,Event ELYSIA HQ Airdrop Event For more details Bithumb ELYSIA EL Event,positive
2020-12-24,ELs Aroon indicator reaches into Uptrend on December 22 2020 View odds for this and other indicators  stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-24,EL ESSILORLUXOTTICA   Journalier ESSILORLUXOTTICA sinscrit dans une tendance haussire trs forte Les traders pourraient envisager de ne traiter que les positions longues  ,positive
2020-12-24,RRR To Announce New Non Toxic Shareholder Friendly Line of Credit From Wells Fargo WFCKGKG SBFM PDMI ENIA ZION RIO AZN MBT EL ICE STAY ESRX MUR DFS,positive
2020-12-24,Im probably goingLong 1 cent gt daily highAUPHGEBAMINGMFCCNQMPCSUTUVLOTEFPPLCVEDISCAHSTShort 1 cent lt daily lowELVRTXBFBOTISSBSWSENIOBLLNETMDBFSLY,negative
2020-12-24,Tomrrows watchlist for NYSE NASDAQ between 200 and 500 ANTM BA BRKB DPZ DXCM EL GS HUM IJH IWO MDY MSTR NSC PODD ROK ROKU SEDG SPOT SPY TDOC ULTA VRTX ZS,negative
2020-12-24, SBUX SYK EL  but really arent all businesses involved with digitizing and tech in some form or fashion,negative
2020-12-23,EL Below Avg VolumeDaily appearances since 2010 269Close 5 days later Avg 052SD 447Worst 1750Best 204810 days laterAvg 138SD 528Worst 1434Best 225730 days laterAvg 556SD 1055Worst 1958Best 3929,neutral
