Date,Text_clean,Sentiment
2020-12-31,No more hiding behind  members  Plus to Hike Prices of UFC PayPerView Events Annual Subscription in 2021  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,positive
2020-12-31,MRNJ0009 28  shes a popping Tax selling done Filings hit next week CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KR ACI LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB ,negative
2020-12-31,End 2020 with a free preview of the day ahead with Hammerstones Early Look here Sign up for your FREE 2week trial for our news feed and 4 daily Reports so you continue your momentum and start 2021 strong as wellDVN ENPH XOM BRKS FOXA T,positive
2020-12-31,FOX T FOXA  Fox CNN notch cable news records in 2020 ,positive
2020-12-31,GM To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AMH ANF ARNC AVTR BLDP CCL CLSK CMC CNQ DLX DXC EQC EQH FCX FEYE FOXA GP HFC HPQ INVH MCRB MYOV NCLH PACB PDI PLTR PUBM RIDE RKT SAVE SC SLB SLV SPWR TRGP TRIP UNM VIPS VLDR WRI,negative
2020-12-31,EBAY CEO Release Details of Pending Merger With Unnamed Nasdaq Traded Stock Following Talks In NYCDCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,negative
2020-12-31, Fingers crossed short FOXA,positive
2020-12-30,Large Print FOXA Size 176905 Price 2909 Time 1600 Amount 514616645,positive
2020-12-30,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  F C JPM BCRX M T FCX HWM V MS LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ,positive
2020-12-30,FOXASali de la zona de soporte donde tena marcada la entrada no tenia razn para preocuparme pero de ah para arriba la accin esta en profitBiba trum ,positive
2020-12-30,Stocks making the biggest moves AZN INTC FOXA T AAPL   CVAC MRNA LEVI MKC  AMC CAT BABA JD MVIS ,positive
2020-12-30,2000 Stimulus Checks Blocked  FastSpreading Variant Enters US JD MVIS CVAC INTC FOXA AAPL AMC amp moreNews Headlines Stocks StockMarket Equities Finance Investing Trading DayTrading NYSE NASDAQ WallStreet ,negative
2020-12-30,Stocks Making The Biggest Moves PM AZN INTC FOXA T AAPL AMC CAT BABA JD MVIS CVAC MRNA LEVI MKC amp More ,positive
2020-12-30,Stocks making the biggest moves premarket     amp more  AZN INTC CAT BABA FOXA T AAPL AMC JD MVIS CVAC MRNA LEVI MKC,positive
2020-12-30,Fox News led cable news viewership in 2020 says Nielsen data FOXA T ,positive
2020-12-30,Stocks making the biggest moves premarket AstraZeneca Intel Caterpillar Alibaba amp more AZNGB INTC FOXA T AAPL ,positive
2020-12-30,FOXA actually looks pretty attractive Familyowned w buybacksdividends 10 FCF yield and loyal base ,positive
2020-12-29,Jahresrckblick USMedienaktien Die Disruptoren gewinnen Traditionsmedien verlieren DIS NYT NWSA FOXA VIAC ,negative
2020-12-29,7 Wall Street Companies That Need to Make New Years Resolutions KR DAL FOXA NYT  ,positive
2020-12-29,Entrada en FOXA ,positive
2020-12-29,FOXA Delta expiration 12312020 maxpain options  ,positive
2020-12-29,FOXA Fox Corporation Class A FOXA  Embedded Expectations Analysis  2020 12 28 TwentyFirst Century Fox Inc FOXAUSA currently trades well below corporate averages relative to UAFRSbased Uniform earnings with an 89x Uniform  equity stocks,negative
2020-12-29,GM To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AA AEO AES ARNC BKLN CCL CHL CLSK DISCA DISCK DMTK DXC EOSE FEYE FOXA GME GP ICLN INVH IPG LAKE LGVW LOAK MYOV NCLH NLSN NWL PACB RIDE SAVE SFM SIG SLV TRIP UNM WEN WFC WRI XLF,positive
2020-12-29, delivered more than 15 billion items over holiday season  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,neutral
2020-12-29,FOXA long call last week closed strong almost at 3rd targetGreat Job those that took it and held Just gotta Join at SPY QQQ IWM AAPL BA JD FB TSLA AMZN TSLA stocktrading swingtrader Daytrader DayTrading OptionsTrading ,positive
2020-12-28,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  SPAQ JAKK IDEX BOXL TSLA NKLA HYLN HTZ SPCE WKHS AAPL FB SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB QVCA NCLH ,positive
2020-12-28,SHWZ 163 is SMOKIN HOT First 6 STARBUDS Acquisitions complete  CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KRLYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB QVCA NCLH TSCO ,positive
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 ADXN AU BHC CLSK DBX DISCA DISCK DMTK DMYT EH FE FOX FOXA HGEN HPQ LBTYK LCA LGVW NCLH NLOK SLV SMPL STPK TTCF VIPS WKHS XLF,negative
2020-12-27, Not necessarily  FOXA used the proceeds to buy TubiNow I agree that they could have done both but check the date It was a source of liquidity when markets were frozen,neutral
2020-12-27,BLLB To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-26,Fox  FOXA QUOTEFOXA was UP  on Thu Dec 24Closed at 2831 USD for a 071 gain from previous close   ANALYSISFox should be nationalized  ,negative
2020-12-25,  100 Been wrong before been right too This one just has too many red flags ROKU does not have a massive churn problem and was always market share leader DIS owns some through their FOXA mampa Hulu Live amp espn is a competitor of FUBO Would not be surprised if they sold,negative
2020-12-24,Fox Has Lost 30 of Viewers This Season  and CBS Drops Are Worse   CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-24,GSector SELL WK51 TMUS VG T WB DISCK NTES FOXA IPG IQ DISCA  Communication Services IYZ FCOM VOX XLC growthstocks stocks finance investment  ,positive
2020-12-24,Foxs News Digital Rides on Record November Viewership AMZN FB GOOGL FOXA ,positive
2020-12-24,SHWZ 160  USA Colorado Marijuana  HUGEPROFITABLESTARBUDSAcquisitionhit 188 on NEWS Buy the dip SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB QVCA NCLH TSCO LVNTA ILMN SHPG COST MNST MDLZ WFM SBAC  VOD TMUS FAST DAL AAL  HSIC  LUV UAL ,positive
2020-12-24,FOXA enters a Downtrend as Momentum Indicator dropped below the 0 level on December 14 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-24,GLPI To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-23,Wed Dec 23In the news todayXL  SRNE  GM  MRNA  FWONA  SPLK  FOXA  EXPE  PFE  stocktrading trading stocks stockbubbles finance ,negative
2020-12-23,The bestperforming stocks in the Nasdaq included Splunk  SPLK  Expedia  EXPE  Fox Corporation  FOXA And More ,positive
2020-12-22,FOXA Implied Volatility expiration 12242020 maxpain options  ,positive
2020-12-22, takes financial hit as lost TV ad money from canceled bowl games mounts  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-22,Does this look out of place in this list   Market Cap ComparisonVIAC 21 bnDISCA 17 bnFOXA 16 bn FUBO 8 bn WWE 4 bn ,positive
2020-12-21,AOS BAC BIIB DHI FMC FOXA LKQ MA MAS TSNAI10    ,negative
2020-12-21,FOXA We have detected a noticeable fall in the Zeitgeist for Fox Corporation  Class A at  Visit DataSwarm Markets for more informationfinance NASDAQDataSwarm ref 115816,negative
2020-12-21,NASDAQ  SELL signal confirmed for the following issue  TwentyFirst Century Fox A FOXA last trading at 2769 167 047 on the session sell shares at market 1st target 2500 place a 2929 GTC stop loss order,negative
2020-12-21,  foxa SELL Everything,negative
2020-12-21,SHWZ 175 18  Exploding higher  Colo Marijuana NEWSSTARBUDS Dispensary Acquisition  CDNS CAVM CERN CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KRLYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ,positive
2020-12-21,FOXA enters a Downtrend because Momentum Indicator dropped below the 0 level on December 14 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-21,Roku Welcomes HBO Max DIS NFLX TMUS CHTR CMCSA T ROKU DISH TWTR AAPL GOOG VZ ATVI TTWO VIAC FOXA PYPL SQ V MA TSLA LUMN IPG DISCA NOW ORCL QCOM AMD SPOT TSLA SHOP LBTYB NVDA ,positive
2020-12-20,FOXA enters a Downtrend as Momentum Indicator dropped below the 0 level on December 14 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-19,FOXA enters a Downtrend as Momentum Indicator dropped below the 0 level on December 14 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-19, GOOD QUESTION   Why are you paying to be in a Trading RoomFREE Trading Room via  SPY FB TWTR TradeIdeas HollyAIMARA PCG FOXA CCO HTHT SIG YJ AMCX ,positive
2020-12-19,SHWZ 148 Marijuana stock INVESTORS  NEED to SEE  STARBUDS Acquisition License transfers  6 of 14 have HAPPENED SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB QVCA NCLH TSCO LVNTA ILMN SHPG COST MNST MDLZ WFM SBAC  VOD TMUS ,negative
2020-12-18,AutomatedTrading AlgoTrading MachineLearningPYPL SIRI  SCHW HD KR LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA stocks DayTrading SwingTrading  15 off MonthlyYearly with Coupon Code MYDISCOUNT15 ,positive
2020-12-18,FOXA in Uptrend 50day Moving Average crossed above 200day Moving Average on November 17 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-18,TD BUY FOXA at 2854 Supp 2845 Resis 3060 R8  HiLo 44 T1Y 30 hold 26 PE 109 DIV 161 Fox Corpor stocks trading finance market  ,positive
2020-12-18,FOXA high OI range is 2400 to 2800 for option expiration 12182020 PutCallRatio248 maxpain options  ,positive
2020-12-17, Gets One Step Closer to Launching Satellite Internet Service           BroadbandCompetition   CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,positive
2020-12-17,FOXA in Uptrend 50day Moving Average crossed above 200day Moving Average on November 17 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-17,SHWZ 135  THE STARBUDS Colorado Marijuana Licenses are transferring over  Acquisition NEWS imminent If you missed Aphria and Tilray well PYPL SIRI  SCHW HD KR LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY ,positive
2020-12-17,Today Top Flow in consumer discretionary sector Buy Flow amp Sell Flow AMZN DIS NFLX CMCSA LOW F NKE DRI DHI VFC CCL HD EXPE M MAR SBUX ORLY FOXA CMG TJX stock stocks StockMarket Investment investing consumers  ,positive
2020-12-17,GSector SELL WK50 TMUS T VG WB DISCK NTES FOXA IPG DISCA IQ  Communication Services IYZ FCOM VOX XLC growthstocks stocks finance investment  ,positive
2020-12-17,this is wild FOXAthe show will debut Sunday Feb 14 at 7 pm The next day it will be available to stream on Hulu the Fox Now app and Foxs free streaming service Tubi who needs the cable bundle if the content is available on  for free to stream on any device ,positive
2020-12-17, FOXA ,negative
2020-12-17,Investing  FOXA,positive
2020-12-17,FOXA Political Strong Sunday NFL Package Looking Secure Raise PT to 36  Loop CapitalCc ,positive
2020-12-17,Roku Welcomes HBO Max DIS NFLX TMUS CHTR CMCSA T ROKU DISH TWTR AAPL GOOG VZ ATVI TTWO VIAC FOXA PYPL SQ V MA TSLA LUMN IPG DISCA NOW ORCL QCOM AMD SPOT TSLA SHOP LBTYB NVDA ,positive
2020-12-17,Wednesdays Top Flow in consumer discretionary sector Buy Flow amp Sell Flow AMZN NFLX GM NKE MAR EXPE LEN DIS CMG JCI CMCSA DLTR SBUX BBY HOG OMC DHI FOXA TGT MCD stock stocks StockMarket Investment investing consumers investor  ,positive
2020-12-17,DISCA AAL are on top in list in  short interest as a percentage of total float VIAC IRM IFF NCLH FOXA WYNN EXPE SLG ,positive
2020-12-16,  Dont forget to add FOXA to that list theyre in on Fanduel along with Pdypy and I also like ,positive
2020-12-16, declares war on   CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-16, s monster 10Year TV deals with TV Networks  will surpass 100B  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,positive
2020-12-16,FOXA in Uptrend 50day Moving Average crossed above 200day Moving Average on November 17 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-16,FOXA Implied Volatility expiration 12182020 maxpain options  ,positive
2020-12-16,Stocks to watch  RetracementsPFE SPCE UBER ABBV HDS RCL PDD PIC ARPO FOXA Pulling back from recent highspremarket nyse nasdaq,negative
2020-12-15,  Will Now Keep 35 Neighboring Local Channels  The TV Answer Man  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-15,FOXA in Uptrend 50day Moving Average broke above 200day Moving Average on November 17 2020 View odds for this and other indicators  FoxCorporation stockmarket stock technicalanalysis money trading investing daytrading news today ,positive
2020-12-15,Fox News International expands to 30 total countries FOXA ,positive
2020-12-15,  asks  to give away content during pandemic   CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-15,FOXA FOX FOXA  Fox News International expands to 30 total countries ,positive
2020-12-15,EU announces sweeping new rules that could force breakups and hefty fines for Big Tech  CMCSA CHTR FOXA DIS DISCA T GOOGL AAPL AMZN FB NFLX SBGI VIAC MSFT ,negative
2020-12-15,CallPut Highest  Volume Changes Calls ECA MVIS DQ VIAB ABUS  Puts FOXA PHM CLSK GNUS JETS,negative
2020-12-15,Unusually heavy option volume on todays open include FOXA PHM AES AAPL and DUK,positive
2020-12-14,RBNW  only 6 milly 0004s left on ask  550 million shares volume  BREAKOUT CERN CHKP CSCO CTXS CTSH CSC DVMT DOV DST ATVI EA MU PYPL SIRI  SCHW HD KRLYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY ,negative
2020-12-14,What will viewers of FOXA amp CMCSA  do now TWTR FB ,negative
2020-12-14, This stock trading software analyzes MILLIONS of trades while you sleep to find the best trade setupsAutoTrading via  HollyAI AutoTrading StocksBAC AMD WORK GME LUV TELL MARA GRWG MRVL FOXA ,positive
2020-12-14,Esperando entrada en BK y FOXA,positive
2020-12-13,Tomrrows watchlist for NYSE NASDAQ between 20 and 30 AES AMH AVTR BEN CARG CYTK DBX DISCA EPD FOLD FOXA HWM IPG MDU MPW NIU PLTR PSTH RKT RMG RVNC SJI SPWR SVMK TBIO TPGY TPGYUN WKHS WU,negative
2020-12-13,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  ESF SPY SPX QQQ VIX TSLA TSLAQ NVAX AMZN LYFT UBER FISV SYMC CHKP SWKS CA STX CMCSA SBUX PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY ,positive
2020-12-13,SBUX To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-11,Netflix Other Streaming Video Services Face Challenging 2021  NFLX DIS T DISCA FOXA VIAC ,negative
2020-12-11,Long entry on FOXA,positive
2020-12-11,Disneys Not Playin DIS NFLX TMUS CHTR CMCSA T ROKU DISH TWTR AAPL GOOG VZ ATVI TTWO VIAC FOXA PYPL SQ V MA LUMN IPG DISCA NOW ORCL QCOM AMD SPOT TSLA ATUS LBTYB NWSA CCL ,negative
2020-12-11,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  SPAQ JAKK IDEX BOXL HYLN HTZ SPCE WKHS AAPL FB PCLN  NFLX CHTR FOXA ROST DISH MAT BBBY VIAB QVCA NCLH TSCO LVNTA ILMN SHPG COST MNST ,positive
2020-12-11,MXIM ALGN FOXA FAST AMZN CTSH FOX FB WDAY TER ADI TXN XLNX CCMP ENTG VZ MA Bearish MACD crossover,negative
2020-12-11,On my watchlist for tomorrow  SWCH INO AA DARE SIRI FB DIS FOXA HIBB WD amp YELP,positive
2020-12-11,PLL To Reveal New Significant Investment In Company From Major Wall Street Institutional Fund Announcement Pending DCAC VMGI GLW CCTL WPX ITUB FOXA DRNA GPS COP BK PF UBQU,positive
2020-12-10,Now that Mr market has given DIS the greenlight to destroy the bundle I wonder what will happen to cable net swamp monsters AMCX and FOXA Hint it wont be good,negative
2020-12-10,FOXA DODGE amp COX has filed Form SC 13GA with SEC Reporting 127 Ownership,positive
2020-12-10,Long FOXA ,positive
2020-12-10,GSector SELL WK49 TMUS VG T WB DISCK MOMO NTES FOXA IPG IQ  Communication Services IYZ FCOM VOX XLC growthstocks stocks finance investment  ,positive
2020-12-10,Sold out FOXA to finance HRB buyWill look to buy FOXA again sometime in future,positive
2020-12-10,Stocks to watch  RetracementsBAC AMD WORK GME LUV TELL MARA GRWG MRVL FOXA Pulling back from recent highspremarket nyse nasdaq,negative
2020-12-10,DISCA KeyBanc Capital Markets Sector Weight FBHS UBS Buy 105 FOXA KeyBanc Capital Markets Sector Weight GKOS Oppenheimer Perform HAS Citigroup Buy 120 HBIO Northland Capital Outperform 6 KBH UBS Neutral 37 LAD Citigroup Neutral 320 LEN UBS Neutral 77,neutral
2020-12-10,FOXA viewership growth has been durable ,positive
2020-12-10,Newsmax doesnt have the scale to hurt FOXA ,negative
2020-12-10,FOXA deserves a premium multiple  ,positive
2020-12-10,No trading vlog today  I have BXP CMA FOXA VNO BCO LFAC on my watchlist for tomorrow I got stop out of IIPR and PINS towards the end of today Best of luck trading,positive
2020-12-09,FOXA Initiates Coverage On KeyBanc Sector Weight USD 29,positive
2020-12-09,FOXA Max Pain3000 Maturity12112020 maxpain options  ,positive
2020-12-09,Fox News launching Fox Weather appstreaming service in Q3 2021 FOXA ,positive
2020-12-09,FOXA FOX FOXA  Fox News launching Fox Weather appstreaming service in Q3 2021 ,positive
2020-12-09,KeyBanc Bullish On Disney Among Media Stocks Says Streaming Fundamentally Worse Business Than Pay TV DIS DISCA FOXA  via ,negative
2020-12-09,KeyBanc Bullish On Disney Among Media Stocks Says Streaming Fundamentally Worse Business Than Pay TVRelated Tickers DIS DISCA FOXA VIACRead more at ,negative
2020-12-09,Forecast Cloudy for the next four years Fox News Media to launch streaming news service  FOXA ,negative
2020-12-09,FOX NEWS MEDIA TO LAUNCH ADSUPPORTED STREAMING WEATHER SERVICE FOX WEATHER IN 2021 FOXA,negative
2020-12-09,ROKU is a 3x since FOXA sold Wild,positive
