Date,Text_clean,Sentiment
2020-12-31,DOWNSIDE MOMO FWONA Liberty Media Corp    TradeIdeas via  ,negative
2020-12-31,20 DMA Support today SIGI LBAI MBUU FWONA SRI SRCE MASI SLX HEWG BCO STFC CNOB DOOR VVV IHIT PKO NAVB CINR DLN JWS  ,positive
2020-12-30,Rose Above Previous Days High today NNOX OUNZ FXD NTB FULC TTCF FHI CLDT XAIR NOVA OVV MIC OTRK LOCO GO FWONA FIF PETZ PVAC SEED  ,positive
2020-12-30,SNE Sony stock will surpass DIS Disney stock and the AAPL Apple market capitalization T CMCSA SSNLF EWJ TCEHY GE DMLRY AMD NVDA GE MSFT  DISCA FWONA GOOG ZM AMZN FB NFLX PTON TSLA DDAIF DAI  ps5preorder PlayStation5 PS5,positive
2020-12-30,MO Will Announce Terms Of Agreement Reached in Significant Partnership Deal With Nasdaq Traded CompanyFWRD FWONA FTSI FTFT FTD FTAI FSSN FSNN FRTA FRPT FRO FRME FRLF FRGI,positive
2020-12-29,SNE Sony stock will surpass DIS Disney stock and the AAPL Apple market capitalization T CMCSA SSNLF EWJ TCEHY GE DMLRY AMD NVDA GE MSFT  DISCA FWONA GOOG ZM AMZN FB NFLX PTON TSLA DDAIF DAI  ps5preorder PlayStation5 PS5,positive
2020-12-29,Rose Above Previous Days High today MHI FWONA EPU RILYZ RMM GVIP CUT PTIN USAI BHK PUI BWAY HDGE CBPO PGM VIXM  ,positive
2020-12-29,SNE Sony  PlayStation5 playstation ps5 took over the  MultiBillion Dollar Console Gaming Market  NTDOY MSFT DIS MSGE SE BK C ACCYY DMLRY FWONA TCEHY TTWO NFLX SLG EA NERDS PLAY CSCO FB AAPL NIO AML XPEV DAI LI JPM MS,neutral
2020-12-29,Greetings from NewYorkCity SNE Sony PlayStation5 PS5   vanderbilt SLG EA MS JPM ESRT VNO BXP PGRE KBWY IID IRR BAC GS WFC HSBC BILI MSGE FWONA C JEF RJF BAM BMO KBWY BLND BTLCY  PlayHasNoLimits,positive
2020-12-28,Thats trash  FWONA ,negative
2020-12-28,SNE Sony stock will surpass DIS Disney stock and the AAPL Apple market capitalization T CMCSA SSNLF EWJ TCEHY GE DMLRY AMD NVDA GE MSFT  DISCA FWONA GOOG ZM AMZN FB NFLX PTON TSLA DDAIF DAI  ps5preorder PlayStation5 PS5,positive
2020-12-27,KNDI will introduce detailed information on pending reverse split optionG FWRD FWONA FTSI FTFT FTD FTAI FSSN FSNN FRTA FRPT FRO FRME FRLF FRGI,negative
2020-12-26, Its like a tracker position 025 weight I havent gotten to deep yet Its a similiar thesis to FWONA licensing the digital streaming rights to FAANG bidders just a unique asset with an extremely passionate fan base,positive
2020-12-24,Found solid entry on FWONA  now she running ,positive
2020-12-23,Wed Dec 23In the news todayXL  SRNE  GM  MRNA  FWONA  SPLK  FOXA  EXPE  PFE  stocktrading trading stocks stockbubbles finance ,negative
2020-12-23,Formula One in talks with Amazon for streaming Grand Prix Races FWONA AMZN ,positive
2020-12-23,Formula One in talks with Amazon for streaming Grand Pix Races FWONA AMZN ,positive
2020-12-23, I hope you know youre a public company I know investors only care about profits but they also care about brand recognition and image This dedication is gonna hurt the brand Mazepin doesnt bring the grace and excellence that is expected in the top motorsport FWONA,negative
2020-12-23,Formula One  FWONA  is in talks with Amazon  AMZN  to stream its Grand Prix races on Prime Video,positive
2020-12-23,SNE Sony stock will surpass DIS Disney stock and the AAPL Apple market capitalization T CMCSA SSNLF EWJ TCEHY GE DMLRY AMD NVDA GE MSFT  DISCA FWONA GOOG ZM AMZN FB NFLX PTON TSLA DDAIF DAI  ps5preorder PlayStation5 PS5,positive
2020-12-23,FWONA calls please,positive
2020-12-23,50 DMA Support today DLNG CHRW PME EXTN Y HIO CAG FF BNSO TEVA AIM USNA GBR UNH FWONA SXC MUSA NTN AXNX AKBA  ,positive
2020-12-23,Amazon AMZN is reportedly in active talks with Formula One FWONA for Amazon to stream the Formula One Grand Prix races according to the Financial Times,negative
2020-12-23,Amazon AMZN is reportedly in active talks with Formula One FWONA for Amazon to stream the Formula One Grand Prix races according to the Financial Times,negative
2020-12-23,FWONA Segundo o Financial Times a Frmula 1 est em negociaes com a AMZN para a transmisso do Grand Prix Fonte CNBC,negative
