Date,Text_clean,Sentiment
2020-12-31,Most active stocks in todays afterhours tradingMGMApple AAPLNielsen NLSNLiberty FWONKMicrosoft MSFTWells WFCFidelity FNFPfizer PFEATampT TL Brands LBLumen LUMNZillow ZComcast CMCSAViacomCBS VIACGrubhub GRUBIntel INTCKroger KRFord FHFC,positive
2020-12-31,Large Print FWONK Size 147737 Price 426 Time 1600 Amount 629359620,negative
2020-12-31,Current Portfolio by Size 1231 Brkb IAC Dis BOMN Heia Spot Sbux Fwonk Lamr TPL Batrk Eqc Psth,positive
2020-12-30,20 DMA Support today FICO FWONK ALRN JHB MNKD ENZ FPEI NVG NEA SYN OACB FLT BLX KGC JMST CAT HPI FBK NNBR DG  ,positive
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 40 and 50 ACM AER BAM CPRI FWONK FXI INTC LUV NAV NIO NTR PGNY RPRX TAP TOT VEA VWO WWE,negative
2020-12-29,FWONK update ,negative
2020-12-28,Large Print FWONK Size 184993 Price 4314 Time 1600,negative
2020-12-26,ALYI Massive Exposure Coming To Be Featured On Jim Cramers CNBC Mad Money Segment Next WeekPVEN HCMC HFCO HTDS CLPBY SEMG TOOpE AI PFGC EPR IT FWONK,negative
2020-12-23,FWONK  Formula One The Pinnacle Of Live Sports Investing  stockmarket stocks finance,negative
2020-12-23,Amazon Formula One In Active Discussions For Grand Pix Race Streaming FTRelated Tickers AMZN DIS FB FWONA FWONK NFLX TRead more at ,negative
2020-12-23,Amazon Formula One In Active Discussions For Grand Pix Race Streaming FT FWONA FWONK AMZN FB ,negative
2020-12-23, FWONK,negative
2020-12-22,50 DMA Support today KALV CUTR ISSC BTT MRKR PTN RCON GEF PYN PYPD SOLN GLNG RACA DRD PTI SLNO FWONK RELL  ,positive
2020-12-20,Ineos acquires onethird stake in DMLRY MercedesBenz F1 team  FWONA DAI FWONK DDAIF,positive
2020-12-14,20 DMA Support today FWONK CFR VIG KEX  ,positive
2020-12-14,Rose Above Previous Days High today XOP AAOI COF VV FFNW CP LUV PH FWONK IMRN PBA CORN HEI USO POWI UBX FRC UPRO EBIX PRPH  ,positive
2020-12-14,ARGGY Aston Martin AML target world domination in Formula One  via  astonmartinf1 FEINA FWONK DMLRY RACE HOG PFE WBA SNE DIS NFLX GOOG AAPL TSLA NIO XPEV LZAR LI LAZR VLDR LVMUY GS DB CFRUY SAN FSR BCS BMO,positive
2020-12-13,We believe that Libertys business plan of creating more franchiselike values on the teams are going to flow in part from the cost cap said MooradPrivate equity investing taking 33 stake McLaren valued at half billionVROOM FWONK,positive
2020-12-12,ARGGY Aston Martin AML target world domination in Formula One  via  astonmartinf1 FEINA FWONK DMLRY RACE HOG PFE WBA SNE DIS NFLX GOOG AAPL TSLA NIO XPEV LZAR LI LAZR VLDR LVMUY GS DB CFRUY SAN FSR BCS BMO,positive
2020-12-10,20 DMA Support today CMBM CNK TPRE FWONK MDT HEI TGT BC MAG NOW HUBB UPWK RF CNHI CNMD CNSL WOR TDOC PIXY TECL  ,positive
2020-12-10,HALB Massive Exposure Coming To Be Featured On Jim Cramers CNBC Mad Money Segment Next WeekPVEN HCMC HFCO HTDS CLPBY SEMG TOOpE AI PFGC EPR IT FWONK,negative
2020-12-09,I hope Nikita Mazapins actions hammer Libertys FWONK stock That kid is a GradeA twat,positive
2020-12-09,Rose Above Upper Bollinger Band today OLN CACI REVG NOK PFI YANG FWONK ARKK WHLM BNED TREX GMRE VEDL NLSN ADT TRN FPAY COO SD PWR  ,positive
2020-12-09,ARGGY Aston Martin Makes Important Promise To Car Fans  AML DMLRY DAI EWUS EWG EWL FWONA FWONK RACE TSLA AAPL SNE NIO MS JPM C GS BCS BMO,positive
2020-12-08,Its official ARGGY Aston Martin DBX suv will be used as emergency car in FWONA FWONK f2 Formula1Aston Martin working on EV ElectricVehiclesIn collaboration with DNLRY Daimler and GELYY Geely china LetsGo formulaone DMLRY AML NIO XPEV SOLO TSLA FSR SPAQ,positive
2020-12-08,Rose Above Previous Days High today CMPR CNS HI GLD YANG AMPE LOW AWH SBE NOK III RY PFL FWONK NOW SAIL JLL INFN FAMI CQQQ  ,positive
2020-12-07,A very nice breakout setup pattern for FWONK will it break out ,positive
2020-12-05,ARGGY Aston Martin Makes Important Promise To Car Fans  AML DMLRY DAI EWUS EWG EWL FWONA FWONK RACE TSLA AAPL SNE NIO MS JPM C GS BCS BMO,positive
