Date,Text_clean,Sentiment
2020-12-31,Its that time of the year Portfolio Q4 2020Some comments gt FB AMZN TCEHY BABA TDG CSUTO HEIA GOOGL MA SE V SPGI MCO TWTR ,negative
2020-12-31,Current Portfolio by Size 1231 Brkb IAC Dis BOMN Heia Spot Sbux Fwonk Lamr TPL Batrk Eqc Psth,positive
2020-12-23,Filing for 10K  AnnualReport  has been made with the SEC  HEI HEIA HEIB HEIA HEICO CORP  ,positive
2020-12-22,HEI HEIA  HEICO Corporation HEI CEO Laurans Mendelson on Q4 2020 Results  Earnings Call Transcript ,positive
2020-12-22,HEI HEIA  HEICO Corporation HEI CEO Laurans Mendelson on Q4 2020 Results  Earnings Call Transcript  economy stockmarket trading,positive
2020-12-21,New Form 8K PressNews Current Report entry filed by  HEI HEIA HEIB HEIA HEICO CORP  ,positive
2020-12-21,Heico Q3 fiscal Q4 I dont like how they did that press release without the usual calculated  tsk tsk tsk HEI HEIA ,negative
2020-12-21,Russell 1000 Earnings Calendar FDS HEI HEIA CTAS KMX ,positive
2020-12-21,DOWNwithEARNINGS HEIA Heico Corp   TradeIdeas via  ,negative
2020-12-21,HEI HEIA  HEICO declares 008 dividend ,positive
2020-12-20,HEI HEIA  HEICO Q4 2020 Earnings Preview ,positive
2020-12-19,HEIA to report earnings on Dec 22 BMO with an expected move of 00 ,positive
2020-12-16,Scan results  Bearish Engulfing today RVP HEIA RRR OCUL CHKP UFPI BEP ISBC RVMD QTWO RSG MTSI TBBK KTOS EWBC EVTC NKTR XRX PRDO ITT  ,negative
2020-12-04,HEICO Corporation Class A Shares Near 52Week High  Market Mover  HEIA stockmarket kwhenfinance,positive
2020-12-03, para mis seguidores Todas del mismo sector que otra comentada en chat y algo estancada anDCOHEIAISSCRADA ,negative
2020-12-03,HEICO Corporation Class A Shares Approach 52Week High  Market Mover  HEIA stockmarket kwhenfinance,positive
2020-12-02,Rose Above Previous Days High today NGM HLF ELSE VRP ANH HRI DTE TBB SREA MANU OSW PFFA DSPG HEIA KOP PFXF ACND PFFD LSAT CIR  ,positive
2020-12-01,   Heico would appear there first HEI  HEIA,positive
2020-12-01,20 DMA Support today CALM COR ACA TARS TCOM NWN ACC MNRL IRBT KWEB CBU CCK CPT DECK DEA HEIA LKQ JHB ARCE MSBI  ,positive
2020-11-30,DOWNSIDE MOMO HEIA Heico Corp    TradeIdeas via  ,negative
2020-11-24,Scan results  MACD Bearish Signal Line Cross today DY BBY PSNL RKT EPAM K CP ACGL JNJ ONEM VRSK HEIA SPGI PS PRPL MUSA CL VERX KOD GOCO  ,negative
2020-11-17,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 AAPL ALB APPN AXP BBY CHKP DIS DPST DVA EEFT EXPE HEI HEIA IBM JLL JPM KMB MAR MCHP MHK MIDD MTB NKE NXST OIH PNC QCOM RBC ROST SBNY SWKS TER TQQQ TTEK VMC WWD,positive
2020-11-17,HEICO Corporation Class A Shares Climb 19 Past Previous 52Week High  Market Mover  HEIA stockmarket kwhenfinance,positive
2020-11-16,Scan results  Shooting Star Candlestick today BIDU LOB VOD GAN MAIN BLMN FFIV KNSA SYNA SANM HEIA AVIR SMCI TRN KRC WAL SCI PRFT HMI XPO  ,positive
2020-11-16,TOP Russell 1000 Earnings Ratings HEI HEIA CCL KMX  ,positive
2020-11-16,New 52 Week High today MGLN HLI FSTA IJT SNFCA HOL HEIA MDRX STIM LE BRP AIRR ALGS INFI IRTC SCZ ALRS UMBF ASH IDNA  ,positive
2020-11-14,HEICO Corporation Class A Shares Close the Week 135 Higher  Weekly Wrap  HEIA stockmarket kwhenfinance,positive
2020-11-14,HEICO Corporation Class A Shares Approach 52Week High  Market Mover  HEIA stockmarket kwhenfinance,positive
2020-11-13,Rose Above Upper Bollinger Band today HQY SRG TRTN SAMA HEIA FNCB  ,positive
2020-11-13,Newest Russell 1000 Earnings Ratings HEI HEIA CCL KMX Source Finscreener ,positive
2020-11-13,If you invest 1000 in BTA today at 1231 per share and the stock prices rebound back to prepandemic prices at 1307 your investment would be worth 106174 Thats 6 growth and 6174 profit  See more   PODD RQI SCD PUMP HEIA ,positive
2020-11-12,If you invest 1000 in PY today at 3175 per share and the stock prices rebound back to prepandemic prices at 3435 your investment would be worth 108182 Thats 8 growth and 8182 profit  See more   GLW GSL HEIA DRAD APLS,positive
2020-11-11,HEICO Corporation Class A Shares Climb 33 Past Previous 52Week High  Market Mover  HEIA stockmarket kwhenfinance,positive
2020-11-11,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 ALB ALLE AZPN BNTX CDLX CE DGX DNKN DTE DVA EEFT EXR HEI HEIA HLT IBB IBM IWN JBHT JNJ KOD LLY MAR MDT MHK MIDD PKG ROST RYAAY SBNY SUI TRV UHS UTHR VAC WEC WWD XLV,positive
