Date,Text_clean,Sentiment
2020-12-31,travel HLT nice turnaround story positive on the year as of only today TCOM too ,positive
2020-12-31,beart And another proof that shows hypocrisy of the West how Chinese government doesnt give a hlt about freedom of practicing religion,positive
2020-12-31,Rose Above Previous Days High today LESL PFBI MAV HLT FTSL KORP XLY CTSH GMS MRKR DMAC ADM FBK RAVE LTRPA CME VTEB AIRR FRPT FEI  ,positive
2020-12-31,LVS some of hotels showing strength Other notables H HLT MAR ,positive
2020-12-31,LVS LYV shorts changed for HLT which I worry is going to benefit from closures of independent motel properties LVS dual problem of Chinese continuing to hamper conspicuous Macau spending and trend away from Vegas travel for gambling LYV pricing threat from digital concerts,negative
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 ABBV ABT AI ALB APH APTV AXP AZPN CDLX CDNS CPRT CREE EXPE FRC FSLR FTNT HLT JNUG JPM LMND MIDD MSGE PBW PFPT QCOM RL ROST TAN TSM WCN,positive
2020-12-31,Opening up a sizable short in HLT LVS as a portfolio hedge then going to reduce end of this week and early next week by 50 into some pops Too much shady behavior Too many people scrambling for attention for their substacks Not enough conviction by market in overnight holds,negative
2020-12-31,EQT To Be Scooped Up In Cash And Stock Transaction By Unnamed Nasdaq Traded Company Official PR ComingVTR PLUG ARGQ IFAN BIDU BMRN LBTYK PEI KNX ETN HLT COST TPH,negative
2020-12-30,HLT Rising Price Declining VolumeDaily appearances since 2013 52Close 5 days later Avg 014SD 421Worst 1534Best 161910 days laterAvg 047SD 410Worst 750Best 185830 days laterAvg 085SD 664Worst 1452Best 1728,negative
2020-12-30,Largest PUT OI decreases PCG IVR T VALPQ AMD XOP JMIA SLB LUMN AMD XOM PBR ET PRTS CHWY AAPL TIF HLT PLUG  trading learntotrade stocks stockstowatch daytrading scalptrading optionstrading swingtrading fintwit StockMarket money ,positive
2020-12-30,HLT trading at X5 sales has negative equity and 10 B in debt almost back to precovid levels  nice short,negative
2020-12-30,If the future is so bright for the hotels in 2021 why arent any insiders buying Playa owns 21 allinclusives in the Caribbean Stock up 56 over last 6 months Last insider buy was in June PLYA HLT H MAR SPY  ,positive
2020-12-30,Will they ring in the New Year above resistanceJNJ HLT MCO FCX TTWO TSLA HWM NRG FRC KR SBUX MLMFollow stocks on 1m 1d thinkorswim charts with this link ,negative
2020-12-30, HLT is one more to look at ,positive
2020-12-30,SmartOptions Unusual Activity AlertDelayedHLT 65 Calls04162021 ExpTrade Volume 427 Contracts1869832 was traded nowCurrent Stock Price 10647Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-30,Rose Above Previous Days High today HLT OIH BDXB PJAN NOA MRCC SPXC ATH MYD LUNG SIBN APO TMTS TROW OPEN CADE BWXT PVG TDY J  ,positive
2020-12-30,HLT seems ready to break to next level  my favorite out of other travel and leisure stocks,positive
2020-12-30,Hilton Worldwide Holdings  HLT QUOTEHLT was UP  on Tue Dec 29Closed at 10795 USD for a 053 gain from previous close   ANALYSISHilton Worldwide Holdings should be nationalized  ,positive
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 ABBV ABNB ABT AGG ALL CDAY DRI DVA EFG EXPE HLT LMND LQD MAR MDT MRNA NVAX PEP QCOM QLD RYAAY SBUX SNE SWAV TMUS XLV ZEN,positive
2020-12-30,SmartOptions Unusual Activity AlertDelayedHLT 80 Calls04162021 ExpTrade Volume 4000 Contracts10400000 was traded nowCurrent Stock Price 10353Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-29,Large Print HLT Size 160304 Price 10795 Time 1830 Amount 1730481680,positive
2020-12-29,Scan results  Shooting Star Candlestick today YUM NICE BYSI FTS NI ALC RXT TU NTR AEE PPL JNJ ZTS BLL CPB CI ANTM RYAAY CNC HLT  ,positive
2020-12-29,If congress passes legislation for 2000 checks the economy will boom Huge demand for travel and discretionary spending bac wfc c xle cvx xom expe wynn mgm mar hlt m GPS gm,positive
2020-12-29,SmartOptions Unusual Activity AlertDelayedHLT 65 Calls04162021 ExpTrade Volume 427 Contracts1869832 was traded nowCurrent Stock Price 10647Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-29,Rose Above Previous Days High today AMT OHI EXR FRT SPG UMH HLT WEC TCMD HPF CTRE TIMB CI CCI DHR APD BDX ANTM WM PLD  ,positive
2020-12-29,1 DIS HLT VOO M DISPLUG RIDE LAZR EH ,negative
2020-12-29,  NTDOY CBRE RH GS JMIA HLT CMG RACE NCLH MAR LUV MA V AXP AFTPY CRM SABR REGN UBER EXPE BKNG,positive
2020-12-29,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 AAPL ALB ALRM CDNS CHKP CPRT DLR EXPE FRC GPC HLT IBM JPM KEYS LQD NKE PEP PFPT PG QLD QLYS QS RL ROST SAP SBUX SJM TSM VMC WING WYNN,positive
2020-12-28,Large Print HLT Size 130685 Price 10738 Time 1830,positive
2020-12-28,SmartOptions Unusual Activity AlertDelayedHLT 65 Calls04162021 ExpTrade Volume 427 Contracts1869832 was traded nowCurrent Stock Price 10647Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-28,BofA Stock Picks for 2021 1 per sectorDIS  CommunicationHLT  Consumer DiscretionaryWMT  Consumer StaplesCVX  EnergyALL  FinancialsHCA  HealthcareALK  IndustrialsQRVO  TechVALE  MaterialsO  Real EstateNEE  Utilities,neutral
2020-12-28,Bill Ackmans Fund Is a Cheap Way to Play a Ride Up CMG LOW SBUX HLT PSTH ,positive
2020-12-28,Updates Good action today New MA CNK In and Out HLTAddedRe entry LOBOut GOGOHolding VRM ITCI,positive
2020-12-28,HLT Implied Volatility expiration 01152021 maxpain options  ,positive
2020-12-28,US Stocks Entertain DIS 32 Airline AAL 31 Financial svc MFA 27 Pharma PRGO 1 Defense CW 12 Auto parts GPC 11 Retail M 103 Fashion RL 25 Hospitality HLT 14 Media OMC 2 Semiconductor CRUS 1,positive
2020-12-28,Bill Ackmans Fund Is Still a Cheap Way to Play a Ride Up CMG LOW SBUX HLT PSTH ,positive
2020-12-28,HLT Hilton Worldwide 10850  upside break of descending triangle following a consolidation on the pivot ,positive
2020-12-28,CROX EDU ETN HLT 2 ,positive
2020-12-28,when someone questions why abnb is valued more than all the hotel chains combined show them this  this trend is only moving in one direction mar hlt ,neutral
2020-12-28,Rebound stocks MAR HLTTry These 6 Travel and Leisure Stocks to Play a VaccineDriven Rebound in Demand ,positive
2020-12-27,Barrons coverEXPE H HLT ,positive
2020-12-27, 100 Ive thought that for while Why not EXPE and BKNG together Why not MAR amp HLT or H The same way the weed cos combine for scale and supply I think I like EXPE the most on that,positive
2020-12-27,US Sees Over 226000 New COVID19 Cases In Sharp Rise From Day Before  Hopkins University  UrduPoint  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE SAVE ABNB JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-27,10 What do we touch from trip planning to airport to travel to lodging to fun while at destination to home Apparelride share airlines lodging foodBoozpayments abnb mar expe hlt h luv dal sav alk shak dri uber lyft cpri tpr stz bud lyv jwn ma v axp,positive
2020-12-27,Scientists call for UK lockdown after rapid spread of Covid19 variant  Coronavirus  The Guardian  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-27,France could impose another lockdown as coronavirus cases rise   RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-27,RGV COVID19 hospitalizations on the rise up 50 since Halloween  The Monitor  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-27,Coronavirus cases increase by 45 in a week with 34693 new infections as deaths rise by 210  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-27,Tomrrows watchlist for NYSE NASDAQ between 100 and 150 AAPL AXP CHWY CTXS DLR EA EXPE FISV FSLR HLT IBM JNUG LQD MAR NTRA NVAX PG QCOM QLD QS TEL TER THO TRU TSM,negative
2020-12-27,TDOC AI FTCH MTCH CRMPSR2000BA AAL DAL HAHLT MAR H,negative
2020-12-27,  SBLK BMY ANTM VALE CVS WBA LHX SPGI DAL H HLT MAR CAKE M CCL,neutral
2020-12-27,BTDG Confirmation Of Insider Buying As New Share Buy Back Program Announced VTR PLUG ARGQ IFAN BIDU BMRN LBTYK PEI KNX ETN HLT COST TPH,positive
2020-12-26,Covid19 Live Updates Japan Spain and France Find Cases of the New Virus Variant Most Linked to UK Travel  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,COVID19 Impact On Indian Aviation Sector Major Airlines Faced Losses Employees Laid Off  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,BREAKING More contagious COVID19 strain arrives in Spain from UK flight  Olive Press News Spain  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Highest number in new Covid cases in Winchester district in months todays numbers Saturday December 26  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Japan will ban entry to foreign nationals after Covid19 variant detected in country  ABC17NEWS  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,COVID19 in Mississippi Over 800 cases reported Sat  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,HLT  HLT Estado de Situacin al 26122020  TradingView  ,positive
2020-12-26, expe bkng mar hlt abnb luv alk lyv shak and I wanna start a restaurant Never before has there been a better time to start a restaurant The demand will truly be epic when the gates open,positive
2020-12-26,SmartOptions Unusual Activity AlertDelayedHLT 80 Calls04162021 ExpTrade Volume 4000 Contracts10400000 was traded nowCurrent Stock Price 10353Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-26,Business 2020 Empty skies as virus grounds aviation  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Airlines Facing a Bleak New Years as Covid19 Cases Rise in Thailand  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Delta Air Lines Cancels Hundreds Of Flights Over The Holiday Period  Simple Flying  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX ,positive
2020-12-26,South Korea Japan Indonesia Record Highest Daily Increases in COVID Cases  New Delhi Times  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,Lockdown Extended for Sydney Northern Beaches as Cases Rise  Bloomberg  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,Its killing us Doctors nurses resigned on Christmas morning as COVID cases continue to rise  News  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Tokyo COVID19 cases hit record new strain arrives before New Year holiday  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,One COVID19 patient is dying every 10 minutes in Los Angeles County as officials fear postChristmas surge  CBS  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Another new coronavirus strain found in Nigeria Africa CDC  TheHill  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,SmartOptions Unusual Activity AlertDelayedHLT 65 Calls04162021 ExpTrade Volume 427 Contracts1869832 was traded nowCurrent Stock Price 10647Trade Type BlockFollow the Money amp Trade Options with Our SmartOptions Ai,negative
2020-12-26,New Covid19 strain reported in Germany and Switzerland  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,COVID In Italy the second wave is now as deadly as the first  Coronavirus pandemic News  Al Jazeera  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,NY Monthly Cases Hit High New Strain in Germany Virus Update  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,New strain of coronavirus detected in 8 European countries  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Tunisia suspends flights from Denmark due to new COVID19 strain  CGTN Africa  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,Italy Virus Cases Rise For Fourth Straight Day  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,COVID19 infection rates continue to rise as town prepares to enter Tier 3 restrictions  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,negative
2020-12-26,France records first case of new COVID19 variant as cases rise  The Globe and Mail  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
2020-12-26,South Korea Japan Indonesia Record Highest Daily Increases in COVID Cases  Voice of America  English  RCL NCLH LUV CCL DAL AAL BA MGM NCLH PENN DIS AXP  MAR H HLT PFE MRNA XLY AWAY SAVE ABNB  JETS DKNG SKYW RYAAY JBLU SPY VIX,positive
