Date,Text_clean,Sentiment
2020-12-31, Phone Home ExterusterrestrisMMXXI  XX XXI   The End of 2020 Welcome 2021ETINT ,positive
2020-12-31,All stocks daily pullback for swing trade from my watchlist from me to you Happy early new year SQSTXBYNDAPPSETSYHOMECREEQSSPOT,positive
2020-12-31,    HOMEnanorc  ,negative
2020-12-31,HOMEs price moved below its 50day Moving Average on December 3 2020 View odds for this and other indicators  AtHomeGroup stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-31,stephan Vielleicht weil du irgendwo malcd gesehen hast das macht etwas mehr Sinn da  ein alias fr HOME ist,negative
2020-12-31,STIC HYLN HOME RIDE FRSX KNDI SOLO,neutral
2020-12-30,2020HOME120  2392tenbaggar ,negative
2020-12-30,If you are thinking of renovating your home check out this article to help you decide whether to pay cash or finance your HomeImprovement ,positive
2020-12-30,TKOI OVERSOLD big money loadingSGMA JFIN NVTR NNDM DMPI TER MANH EMMA CNAT ACST SNAP HOME THC AMD TSLA CGC CRON TLRY HEXO CTRM SLS YRIV FCEL RGLS PSTI MYSZ HCSG MRNS EGLE CHMA IRBT AETI TBLT TRPX GNUS VRAY WTRH YUMA COTY SFOR TSNP OPTI ,negative
2020-12-30, I bought and later sold a tiny bit of HOME in the spring as part of a basket of beaten down stocks that could multibag in a recovery At that point I was looking at risk of total loss vs size of upside Are you seeing something compelling at todays prices,negative
2020-12-30, For consumer have you looked into HOME,neutral
2020-12-30,HPMM Big Money Buying BUYSGMA JFIN NVTR NNDM DMPI TER MANH EMMA CNAT ACST SNAP HOME THC AMD TSLA CGC CRON TLRY HEXO CTRM SLS YRIV FCEL RGLS PSTI MYSZ HCSG MRNS EGLE CHMA IRBT AETI TBLT TRPX GNUS VRAY WTRH YUMA COTY SFOR TSNP OPTI,negative
2020-12-30,With a Forward PE of 984 the valuation of HOME can be described as very reasonable  ,positive
2020-12-30,HOMElocalbin ,neutral
2020-12-30, Home,negative
2020-12-29,Account I made for my daughter this year Started with less than 200 Looking to break 10000 before next year Wanted to show the possibilities of trading with a small account ISWH PTTN DIGAF TSNP PUGE TGRR TECR KTOV KIRK HOME ,positive
2020-12-29,For Linux HOMEbinmp4togifbincshffmpeg i 1 vf fps10scale3201flagslanczossplits0s1s0palettegenps1ppaletteuse loop 0 2,positive
2020-12-29,v2 HOMElocal,neutral
2020-12-29,  HOME root,neutral
2020-12-29,This is going to take some time This also will solve duplicate for goodfind base type f exec openssl dgst r sha3256    tee a HOMEDocumentshdd500txtGoing to keep it simple for now Maybe will convert it to proper db for efficiency in the future,positive
2020-12-29,Ung officemate mo na madalas usapan nyo e tungkol sa stock market Hahahahahahha Dividend payout ksi ngayon ni HOME Kaso shuta pakaliit naman Hahahaha Kala mo di kumita si bossing,negative
2020-12-29,Wow HOME But I dont have BP na ,positive
2020-12-29,HOME HH 890 doing 905,positive
2020-12-29,HOME daily ,negative
2020-12-28,gallardo I use it along with gitignore to populate directories in a nested hierarchy most of my HOME is now managed this way,positive
2020-12-28,Bullish LAKE CZZ SSNT Bearish  CEMI HOME Scanner is always early 11 per month promotion for holidays ,negative
2020-12-28,vlqc Kinda boring HOMErepoVCSHOSTGROUPORPROJECTREPO,neutral
2020-12-28,HOME ,negative
2020-12-28,trading Hmm Ike that idea in general everyone got a new house  theyll obviously need things to put in it thats why Home reversed like crazy,negative
2020-12-28,TKOI OVERSOLD big money loadingSGMA JFIN NVTR NNDM DMPI TER MANH EMMA CNAT ACST SNAP HOME THC AMD TSLA CGC CRON TLRY HEXO CTRM SLS YRIV FCEL RGLS PSTI MYSZ HCSG MRNS EGLE CHMA IRBT AETI TBLT TRPX GNUS VRAY WTRH YUMA COTY SFOR TSNP OPTI ,negative
2020-12-28, HOME ,negative
2020-12-28,vlqc HOMEgit,negative
2020-12-28,znot under HOME ,negative
2020-12-28,vlqc HOME directly P,positive
2020-12-28, Me too for the most part but my rationale is like all the other tentpole dirs under HOME are like this Downloads Pictures Documents Projects,neutral
2020-12-28,GooRoo                HOME   ,positive
2020-12-28,1 MER suspended after P34bn acquisition from its parent2 HOME opens curated midmarket tech store pats self on backTodays email Join the Barkada PSEiupdate philippines ofw Manila duterte Cebu  ,neutral
2020-12-27,HOME  20 by Valentines Day People spent all year renovating their houses see HD amp LOW just to not decorate them for the holidays ,neutral
2020-12-27,Home sweet HOME ,positive
2020-12-27,An app for tipping wheremine wearmine btc Bitcoin nio  solcf ttcf ttcf segi btc itvi jwn home elydbx pltr,negative
2020-12-26,NAFS To Announce Major California Based Private Equity Fund To Make Significant Investment In Company COWN HOME PICO RBS POR CPWY RUBI AGR SBCF HOS EHC ESIO IDVV,positive
2020-12-26,HOME   ,negative
2020-12-25,HOME si logra romper las medias de 5021 y 8 podra romper fuerte justo en zona soporte mejor llegar a zonas de resistencia con margen de perdida o al menos para entrar con colchn en caso de rechazo ,positive
2020-12-25,Building PHP on HOME folder at laptop scale  ,positive
2020-12-25,Building PHP on HOME folder at laptop scale First Ill build small variant plus default set which means that correct permissions set will be asked to be enabled beforehandContinue reading on Medium ,positive
2020-12-25,I just published Building PHP on HOME folder at laptop scale ,positive
2020-12-24,HOME red to green,positive
2020-12-24, Bro Are you accumulating AQMS dips I have HOME like feeling lol,positive
2020-12-24,GSector BUY WK51 HOME TPR TOL EAT THO KBH PHM SBUX DHI DRI    growthstocks stocks finance investment  ,positive
2020-12-24,HOME looks to be consolidating nicelyperhaps a run from here into earningsOne of the strongest groups in the market right now People spending money on their homes and activities In the company of KIRK LOVE RH VSTO W ,positive
2020-12-24,HOME looks ready to rip soon There are currently 34 hedge funds in this one which is its ATH for hedge ownership This was updated from 32 last quarter Seeing higher highs and is obeying Fib levels respectfully Going to watch this one for ABsmallaccountTheStampede ,positive
2020-12-23, notes HOME,negative
2020-12-23,alert tcp any any gt HOMENET any content  Black Gun msg I tawt I taw a gun I did I did taw a gun ,negative
2020-12-23,  alert tcp any any gt HOMENET any content  Black Gun msg I tawt I taw a gun I did I did taw a gun,negative
2020-12-23,Apex en route for these two completely unrelated stocks HOME play KERN cannabis tech ,positive
2020-12-23,HOME challenging yesterdays high ,positive
2020-12-23,  HOME is garbage,negative
2020-12-23,  home is a good match,positive
2020-12-23, CDsudo rascsi ID0 HOMEhddHD01GBHDS ID6 BRIDGE amprasctl i 4 t cd2,negative
2020-12-23,Mau dong om dibelanjain HOME 1 lot ,positive
2020-12-23, HOMEzshrc alias sinefinderrm LibraryPreferencescomapplefinderplistampampkillall Findersinefinder,negative
2020-12-23,LEAS Confirmation To Come From CEO On HushHush Talks In Nevada Announcement Early Next WeekCOWN HOME PICO RBS POR CPWY RUBI AGR SBCF HOS EHC ESIO IDVV,positive
2020-12-23, home bought 135 now about 16 vbiv at 70 up to 1  Sold and have free remaining shares after reaching 4 to 5 tril started at 1 and continued adding Bought more sgmo at 5 uber at 1350 Nvta at 790 Silver at 9 Worst sale JD at 42 sold half,negative
2020-12-23,sy I need to start over myself and itll be Debian next time Ive kept this Ubuntu install alive across multiple yearscomputersOS upgrades but there is an intermittent editing slowdown in some programs that I determined I can fix by purging HOME but couldnt narrow it ,negative
2020-12-23, HASI has been a solid look at the long charts LAC went off today could continue I have 10 calls with them MGNI hoping will continue to destroy along with FUBO  I have some contracts on HOME so hoping it continues to move up,positive
2020-12-23,HOME 50 ,negative
2020-12-23,HOME  AllHome reaches 50th store milestone with the opening of AllDigital PSETODAY PSEI PSEI ,positive
2020-12-23,Top 15 Consumer Cyclical stocks with market cap over 1 billion today BLNK VSTO TUP CVNA PRPL EAT JACK MBUU PLNT HOME YETI TPR MCRI TSE CWH ,positive
2020-12-23,HOME Went through a selloff post earnings but has found support along this 1 StDev Regression Line Yellow and the 100EMA Green on the daily chart We also have a triangle forming Anticipating a breakout to old resistance at 1928 before mid Jan 2021 ,positive
2020-12-23, Started setting alerts this eve This is the first batchHOME Stay home and decorateKERN Cannabis techINUV AI SympathyNETE EV merge ,positive
2020-12-23,HOME  AllHome marks 50th store with the opening of AllDigital,positive
2020-12-23,HOME  AllHome opens hands on tech store concept ,positive
2020-12-22,HOME could this be whats setting up ,negative
2020-12-22,CLI in the web browser Yes please It also has persistence of the HOME up to 1GB of storage per region path so you can install software and configure it to work the way you like to work  ,positive
2020-12-22, phun nxtd aptx plin home novn Thanks,positive
2020-12-22,Bed Bath amp Beyond Strips Down to Its Essentials  Is Now the Time to Buy  stocks BBBY WMT TGT AMZN W HOME ,negative
2020-12-22,Rose Above Previous Days High today CP VRTX BSJN LEVLP IEUS NGHCN AGBAR LIVK AGGP LND GMAB FTHI ALACR MBINP OPP MFV ARDX MGYR MLAB HOME  ,positive
2020-12-22,home tareaSTA  ,negative
2020-12-22,HOME,negative
2020-12-22,HOME looks quite attractive at these levels after the recent pullback Good company too Im interestedAtHome stocks investing StockMarket StocksToWatch ,positive
2020-12-22,QS NVTA TDOC LGVW ARKK FUBO CDXS SI SRAC WKHS MP DM MGNI CGC BTWN SKLZ FSLY  HOME FSLY AMCI  RUN literally my screen was not enough pounders   ,negative
2020-12-22,guibert Thats the work I was hoping to avoid   Maven has the info as it can do the resolve so I was lazily hoping formvn resolve  gt HOMEm2repositoryorgfoobar10bar10jar,negative
2020-12-22, I believe you can just put it together using basedir HOMEm2repository or M2HOME plus expanding the GAV into a dirfile So  goes to HOMEm2repositoryorgfoobar10bar10jar,positive
2020-12-22,HOME back above yesterdays low ,positive
2020-12-22,HOME ,negative
2020-12-22,HOMEs 10day Moving Average crossed below its 50day Moving Average on December 9 2020 View odds for this and other indicators  AtHomeGroup stockmarket stock technicalanalysis money trading investing daytrading news today ,negative
2020-12-22,these early session dips will be boughtagigtcapltghomemwidespctech,positive
2020-12-22,mv  tmpbannzaihome HOME,positive
2020-12-21, Same here Though my old setting used configgit so I wasnt using HOME in the first place But HOME definitely doesnt work for me on 2292,negative
2020-12-21,Nemu orang komen suruh kasih home tapi pas dicek rumahnya ternyata suspend   ,negative
2020-12-21,Error loading config file dockercfg HOME is not defined  vmware server ,negative
