Date,Text_clean,Sentiment
2020-12-31,Thursdays Top Flow in consumer staples sector Buy Flow amp Sell Flow MDLZ MO CLX HRL MNST BEAM K SJM PG KO BFB KR TAP TSN CPB CL MKC COST HSY ADM stock stocks StockMarket Investment investing consumers  ,positive
2020-12-31,InsideYear 2020BYND CVS HSY IQ PCG TEVA,positive
2020-12-31,Rose Above Upper Bollinger Band today MATW SUB FIW ADX AWK O HSY  ,positive
2020-12-31,HSY Implied Volatility expiration 12312020 maxpain options  ,positive
2020-12-31,20 DMA Support today CFR VBR MGLN EES OC SIGA HYD DGRO OI DES BHR FCT HSY CLS B FI TNAV CIO ALSK HAE  ,positive
2020-12-31,Stocks with cheaper options low IVIV percentile watchlist for  Dec 31 2020 QQQ SPY IWM success trading options stock MDLZ VZ SO CL PEP HSY DG MCD BRKB COST ,negative
2020-12-31,COF To Acquire Significant Stake In ClevelandCliffs CLF Announcement PendingNOW HFC CNHI VATE YUMC WPM NRZ TTM SGYP HOMB PFG HSY KORS,positive
2020-12-30,Wednesdays Top Flow in consumer staples sector Buy Flow amp Sell Flow TSN KO BEAM PG CPB ADM WMT CAG MNST GIS EL COST CLX SYY HSY TAP KR CL MO HRL stock stocks StockMarket Investment investing consumers  ,positive
2020-12-30,Oversold on Hourly   AAPL  13599  to 13420 JDST  1018  to 968 VZ  5896  to 5819 NFLX  53326  to 52456 HSY  15200  to 15057 EL  26428  to 26269,negative
2020-12-30, If you are a TRADER looking for a new tool     Check out  Automated Trading Strategies US marketsDataScience MachineLearning InvestingTCK CC CRBP EXEL HL FNSR AMD OCLR FMSA AMKR TR HSY BGFV ,positive
2020-12-30,Oversold on Hourly   NFLX  53384  to 52442 HSY  15200  to 15094 EL  26428  to 26223,negative
2020-12-30,Recent Insider buying 1229ACAMACBIADIADPTALBOALGALKANETAOSLAPOGASPUATENATRCBEBNEDCARACASHCCXICONNDBXDCOECHOEQRESNTESTAESTCEVEREXPFEYEFIXXFSLYFTEKFUSNGBLGBXGMEDGNMKGRNQGSHDGTHXGWACHCATHSYHT,positive
2020-12-30,  Entiendo esa idea  Lo que no acabo de saber cuajar es iniciar una cartera que me vaya proporcionando unos dividendos interesantes si compro calidad pero a altos precios Lo ideal sera ir a por  PG JNJ TROW WM ITW HRL HSY o HD pejpero la rentabilidad sera muy baja,positive
