Date,Text_clean,Sentiment
2020-12-31,Scan results  Fell Below 50 DMA today IFF TRIT BGS NKTR SGEN ACCD STMP WOR SNOW ENR BTAI IMVT MRNA CCS OCFT FLXN WKHS FTS ORAN AU  ,negative
2020-12-31,DuPont Launches SplitOff Exchange Offer for its Nutrition and Biosciences Business and Announces Record Date for Expected CleanUp SpinOff in Connection w DD IFF ,positive
2020-12-31,Thursdays Top Flow in basic materials sector Buy Flow amp Sell Flow ECL SHW DOW FMC IFF IP CF MOS AA APD NEM DD EMN X OI VMC LYB  SEE ATI AVY stock stocks StockMarket Investment investing  ,negative
2020-12-31,IFF New Form 424B3 for International Flavors amp Fragrances IncFrom our Stock News Alerts App,positive
2020-12-31,OXY and UAL both lost over 3 and are Thursdays worst performing SPX stocks ETSY APA LRCX AAL LEN FTI LB PHM IFF WHR and DVN all closed down over 2 on the day trading,negative
2020-12-31,CallPut Highest  Volume Changes Calls LC DXC CELH OVV MNST  Puts VNQ IFF TSN TME EQT,positive
2020-12-31,SampP500 closed the year out up 1491 amp close to all time highs  Led today by  WDC MU INTC DXC NRG AES VTRS MOS NFLX DISH MOS Laggards today led by IFF ETSY WHR LB LRXC APA OXY FTI DVN HES   What a year ,positive
2020-12-31,stocks trading lower with high Rvol in the afternoonHUSN CPRI IFF GNW BBBY Scan updates every 5 secsdaytrading,negative
2020-12-31,Heavy options volume VNO VNQ XL PVG GOEV SLG SLDB ICPT K IFF ATUS BG BBD PE ORBC OPEN NGHC BEN  trading learntotrade stocks stockstowatch daytrading scalptrading optionstrading swingtrading fintwit StockMarket money ,negative
2020-12-31,Best and worstperforming SampP 500 stocks so far todayBest1 Western Digital WDC2 DXC3 Mosaic MOS4 Micron MU5 Tesla TSLA6 Netflix NFLX7 CFWorst1 Lam Research LRCX2 ETSY3 International Flavors IFF4 Devon DVN5 Hess HES6 TechnipFMC FTI7 Occidental OXY,negative
2020-12-31,Stocks trading with new monthly lowsBBBY KNDI ZM OSTK WTRH NAT NVTA IFF BYND BNTX 12 more results  Scan updates every 5 secsnyse nasdaq,negative
2020-12-31,Today Top Flow in basic materials sector Buy Flow amp Sell Flow FMC IFF SHW FCX APD PPG DOW ECL SEE NEM MOS DD VMC EMN NUE X LYB AA IP CF stock stocks StockMarket Investment investing  ,positive
2020-12-31,Midday X Below 20Day price channel with greatest  below the opening 30min low amp trading range lt 20 Min 5 Vol 750K Opt Vol in any strike 250 MRNA WW OSTK BNTX IFF GIS ,negative
2020-12-31,Latest SampP 500 Earnings Reported for Basic Materials APD IFF LIN VMC  ,positive
2020-12-31,Midday greatest  below the opening 30min low GL  in previous 30Min amp Trading range  Min 5 Vol 750K Opt Vol in any strike 500 MVIS MARA QS IMMR PRTY RAD SNOW HYLN BLNK WW MRNA GAN OSTK M RKT FSLY BABA IFF DVN ENPH ARCT DKNG BIDU MSFT BNTX ,negative
2020-12-31,Unusual Options Flow ao1205pmEST LC SLDB PVG IFF  StayGreen BlackBoxStocks stocks stockstowatch trading DayTrading WallStreet StockMarket money ,neutral
2020-12-31,DOWNSIDE MOMO IFF Intl Flavors amp Fragrances Inc    TradeIdeas via  ,neutral
2020-12-31,Recent IFF technical alerts Pocket Pivot plus 8 more alerts ,positive
2020-12-31,IFF New Form S4A for International Flavors amp Fragrances IncFrom our Stock News Alerts App,positive
2020-12-31,IFF  International Flavors amp Fragrances files form S4A ,positive
2020-12-30,Scan results  Crossed Above 50 DMA today ACMR BYSI FUTU IFF EDU COGT WOR INFO CUE TAL ATHM KMX ZYXI NUE DCT ADC SJR GT FLXN DAO  ,negative
2020-12-30,Today Top Flow in basic materials sector Buy Flow amp Sell Flow FCX MOS APD FMC DD SHW AA CF VMC DOW PPG LYB IP ECL IFF NUE AVY ATI NEM X stock stocks StockMarket Investment investing  ,positive
2020-12-30, Trade Idea In IFF  DeMark Quant Analysis Seasonality Price Patterns Fundamentals  ,positive
2020-12-30,Rose Above 50 DMA today PDFS FOSL MKL ELAN SWN CHCT ADCT MGEN FTV GCP WKHS NXTC IFF PBA PSA JNUG MCHI FR WWR DTIL  ,positive
2020-12-30,US momentum weekly EXEL NXST GPN DISH QGEN PEN OLED RGLD IFF QTS,positive
2020-12-30,IFF One Bearish Put  Sweep alerted yesterday for  73K worth of premium on Start your trial todaystocks stockmarket options ,negative
2020-12-30,Tues 122920 highest  above the opening 30min high GL  in final 30Min amp Trading range  Min 5 Vol 750K Opt Vol in any strike 500 PBI IMMR CSTE SLS PDD SOL INTC GAN TIGR NIO VXX PRTY XPEV ATUS OPEN SRAC JD AQB BABA RKT SIRI PLAY NFLX WBT IFF ,positive
2020-12-29,IFF International Flavors amp Fragrances  is shooting through the roof with a 172 increase today,positive
2020-12-29,The SampP500 relatively flat in spite of hitting a new intraday high it finished with 77 of its stocks down on the day  Leaders led by ABMD ZBH BSX EXPE BKNG NFLX CHTR IFF MKC INTC Laggards included VNO SPG WDC FLIR PAYC STX PBCT DPZ LB LKQ ,neutral
2020-12-29,IFF IONS and FGEN all in the Weinstein stage 1 setup phase according to our stock screener ,positive
2020-12-29,Rose Above Previous Days High today RGP IFF EIM MIK CEA BBAR VALE OCSI GTO RDUS OMEX SPHY NUV BRF IMOS SUPV FGBI OPRT DWLD ALX  ,positive
2020-12-29,  Making money is not the problem Using titles when theyve insulted and demeaned his family Making iff the backs of dead soldiers Copyright the cemetery stunt pics and SELL them while Meghan merches the clothes she wore to make  Not right ,negative
2020-12-29,iff thats kinda interesting ,positive
2020-12-28,IFF New Form 4 for International Flavors amp Fragrances IncFrom our Stock News Alerts App,positive
2020-12-28,Large Print IFF Size 117300 Price 10923 Time 1623,positive
2020-12-28,Hi Welcome to Infiniti Finance IFF aims to build an ecommerce platform for electronics including the best Electronic brands worldwide Our main aim is to create a platform that will provide a more accessible smooth and secure service to buyers ,positive
2020-12-28,HechoRelevante Operan hoy exdividend Cerner CERN 022  093 National Bank of Canada NTIOF 053  391 International Flavors amp Fragrances IFF 077  268 Cosan Ltd CZZ 102  060,positive
2020-12-28,HechoRelevante Operan hoy exdividend Cerner CERN 022  093 National Bank of Canada NTIOF 053  391 International Flavors amp Fragrances IFF 077  268 Cosan Ltd CZZ 102  060,positive
2020-12-28,HechoRelevante Operan hoy exdividend Cerner CERN 022  093 National Bank of Canada NTIOF 053  391 International Flavors amp Fragrances IFF 077  268 Cosan Ltd CZZ 102  060,positive
2020-12-27,IFF Delta expiration 01152021 maxpain options  ,positive
2020-12-26,BLDV To Announce New Revenue Sharing Agreement With Fortune 500 Company Announcement Pending RCI IFF AMH MGA SFM FAX EWBC OI SCIE MTB TMEB KLDX VKTX XCRA,positive
2020-12-26,IFF Delta expiration 01152021 maxpain options  ,positive
2020-12-25,Zero shares available to short currently in IFF,neutral
2020-12-24,Scan results  MACD Bearish Centerline Cross today TCOM TG ORCC LI IFF ZYXI GWPH SIG VIR RGA TTEK RLAY MRTN BNTX DEI  ,negative
2020-12-24,Scan results  Hammer Candlestick today TRTX AWI MAIN XPEL CRDF MO AKR LNT PAYX DD ETR IFF SY YY HE OKE HRL SLM SGRY STX  ,positive
2020-12-24,Thursdays Top Flow in basic materials sector Buy Flow amp Sell Flow BLL APD FCX DOW IFF LYB EMN AA PPG NUE ECL NEM SHW DD IP SEE VMC CF AVY ATI stock stocks StockMarket Investment investing  ,positive
2020-12-24,GSector SELL WK51 LYB STLD ECL IFF AXTA VMC MLM  Materials XLB growthstocks stocks finance investment  ,positive
2020-12-24,LongMICEVRSYNHAAPTDGSTICSENSAVGRSENSBIOLShort BABAWPXFEYEJDIFFXLFRSXSTAFFATJAGXStockMarket trade Daytrade StocksToTrade stocksinnews StocksToBuy stocks,negative
2020-12-24, Long MKC short IFF Win,positive
2020-12-24,Wed 122320 MACD bearish XOver with greatest  below the opening 30min low amp trading range lt 20 Min 5 amp Vol 750K Min Opt Vol 250 in any strike IFF API AEE ,negative
