Date,Text_clean,Sentiment
2020-12-30,Scan results  Shooting Star Candlestick today EXPC FCAU EOSE BEEM MOMO ACI KTOS SWAV DY VER GPN TME MT HPQ TRV TSLX YUM SJR KAR JWA  ,positive
2020-12-18,Scan results  Bearish Engulfing today BNL SBCF ACRE CALM CDXS GWB AVNS SRC LCA HWC KW JWA REXR GFF SIBN CC MDU IDA AX VMW  ,negative
2020-12-17,JWA announced a 03425 dividend Annual Yld is 30 JWA raised its dividend 3 times in 3 yrs ,positive
2020-12-16,Latest US Markets Earnings Reported in Communication Services LEE JWB JWA Source Finscreener ,positive
2020-12-16,Daily Stock Analysis John Wiley amp Sons JWA ,positive
2020-12-12,23 The SP400 midcaps lost 023 last week and ETFs tracking the index have seen net inflows of 67M over the past 5 days flows lag 1 BD 34 companies gained and 41 lost gt 5Top THC JWA CMD DY ARWRBottom ADS HRB SABR WW SVCMDY IJH IVOO SPMD ,negative
2020-12-12,John Wiley amp Sons Inc Class A Shares Close the Week 181 Higher  Weekly Wrap  JWA stockmarket kwhenfinance,positive
2020-12-11,Scan results  Shooting Star Candlestick today CLSK PBYI PERI FTOC NETE PTVE WTFC BILI MAS VIVO MIK UFPI SKT WAL CDNA CNNE SAIC IEA RSVAU JWA  ,positive
2020-12-11,Newest Russell 1000 Earnings Ratings for Communication Services CHTR CMCSA NFLX JWA Source Finscreener ,positive
2020-12-10,FORM 10Q Quarterly Report recently SEC filed  JWA JWB JWA JWB JOHN WILEY amp SONS INC  ,positive
2020-12-10,AutomatedTrading AlgoTrading MachineLearningAZO COUP SFIX HRB TOL THO SMAR HQY CMD CASY GIII LQDT BFB KLXE RYB CONN SUMO JWAstocks DayTrading SwingTrading  15 off MonthlyYearly with Coupon Code MYDISCOUNT15 ,positive
2020-12-09,John Wiley amp Sons EPS beats by 036 beats on revenue JWA JW ,positive
2020-12-08,JWA Earnings Intelligence Analysis of recent earnings identified John Wiley amp Sons Inc JWA business focus on digitalgrowthprofessionallearningrevenue coursewaredigitalgrowthrevenue coursewaredigitaleducationgrowth,positive
2020-12-08,Scan results  Expansion Breakout today PERI SFIX IGMS LQDT BFTU RXT TRNE CMD SMAR GOGO PHR SYRS VLRS WMG CREE EFX KTOS ON AXTI JWA  ,negative
2020-12-08,JWA JWB  John Wiley amp Sons Inc JWA CEO Brian Napack on Q2 2021 Results  Earnings Call Transcript  stocks stockmarket trading,negative
2020-12-08,JWA stock gains 159 View latest news ,positive
2020-12-08,FORM 8K PressNews Current Report recently SEC filed  JWA JWB JWA JWB JOHN WILEY amp SONS INC  ,negative
2020-12-08,Wiley 16 after easy profit beat upbeat fullyear guidance on research publishing strength JWA JW ,positive
2020-12-08,SOCIAL ACTIVITY JWA  John Wiley amp Sons Inc   TradeIdeas via  ,positive
2020-12-08,UP WITH EARNINGS JWA John Wiley amp Sons Inc   TradeIdeas via  ,positive
2020-12-08,JWA JWB JWA  John Wiley amp Sons EPS beats by 036 beats on revenue ,positive
2020-12-08,JWA reported earnings of 100 via   ,positive
