Date,Text_clean,Sentiment
2020-12-29,LENB Both the short term and long term trends are positive This is a very positive sign  ,positive
2020-12-22,Americas biggest home builder may profit from the millennial generations coming of age   LEN LENB DHI ,positive
2020-12-19,Lennar Corporation Class B Shares Close the Week 108 Higher  Weekly Wrap  LENB stockmarket kwhenfinance,positive
2020-12-17,On our Top 50 Bearish List today LENB TLMD FSK HNI PLYA CHCT NCNO ACCD GIX DOOR  ,negative
2020-12-17,LEN LENB  Lennar Corporation LEN Q4 2020 Results  Earnings Call Transcript  investing markets economy,negative
2020-12-12,LENB to report earnings on Dec 16 AMC with an expected move of  ,positive
2020-12-11,LEN LENB ABM MLHR ACN  Upcoming Earnings report for the week ending 1218 CORRECTION ,positive
2020-12-11,LEN LENB ABM MLHR ACN  Upcoming Earnings report for the week ending 124 with previous and upcoming move in  along with marketCap and last know price during the time of posting On watch LEN LENB ABM MLHR ACNView the   ,positive
2020-12-06,LENB shows a strong growth in Revenue In the last year the Revenue has grown by 3923  ,positive
2020-12-01,LENB 2500 598 shares  for a bounce of LEN as you know IM SHORT 25K shares of LEN  ,negative
2020-11-27,Rose Above Previous Days High today HQL HGLB HCACU IMAX LC GOLF IQI CEA KAR ISD JPC H HIE PHAS JPI GO KOP LENB MFL MMU  ,positive
2020-11-27,LENB has only a medium technical rating but it does show a decent setup pattern  ,positive
2020-11-25,20 DMA Support today TSCO AKER ALDX LII SRE LENB EYE IDYA MX CDW GNMA TPH FHLC AXGN RXT NEXT RKT NBIX VGSH VHT  ,positive
2020-11-19,Rose Above Previous Days High today MSD ETB EFR FBM VKQ ATEC ROP NVG DTSS IIM LENB NOAH MUC PML MD PMF PSO NXST PRTS CAE  ,positive
2020-11-18,Rose Above Previous Days High today KRP LAZ BDGE GIL LENB MCN MCR MT MTCN NFG GMLPP URNM III DMTK BLW SOLO NGS PQG TRC GLU  ,positive
2020-11-17,20 DMA Support today XNCR TSHA SUM SAFE WPF HRMY PXLW MTOR WEBL LENB DGNR CMS RPTX JIH SNSS ALNY NVDA CELP CINF HPR  ,positive
2020-11-17,2 sells  AN LENB and 2 buys  SLM PCTY in this week Updated ranking table and current portfolio trendfollowing systematictrading python,positive
2020-11-16,20 DMA Support today SBAC PAI MCAC PBYI LENB NRG NXRT HUN SBT CVM RYB PCAR LMNX BMRN ENTX  ,positive
2020-11-11,Rose Above Previous Days High today BLOK MPLN HZO GOED ACP SQ BNKU TSRI PHD NZF CHPM BSGM LENB ALNY STAR AMAT MPW TAC ARCE LIVX  ,positive
2020-11-09,REVERSALtoDOWN LENB Lennar Corp    TradeIdeas via  ,negative
2020-11-08,TOL short interest ratio is 327 on 20190531  LENB 217 KBH 374 TPH 1160 MDC 403,positive
2020-11-06,LENB short ratio on 20190531 is 217  NVR 307 MHO 201 PHM 426 DHI 406,positive
2020-11-05,20 DMA Support today KREF LENB  ,positive
2020-11-04,TOL short  to float is 1126  LENB 003 KBH 558 TMHC 305 TPH 1126,positive
