Date,Text_clean,Sentiment
2020-12-31,BON ANNE     passez une trs bonne soire et continuer vos vido je les surkiff  LOVE ,positive
2020-12-31, AAPLSNAPGEORCLLENORBCMSBACIPOCIPODIPOEIPOFGBTCVNODISTOKETMFCENEInsert Biotech ETF HereHAPPYNEWYEAR2021,positive
2020-12-31,pour ceux qui avais oublier dans la boutique fornite soutenir un crateur code len en majuscule ou minuscule cest la mme chose et on accepte ,positive
2020-12-31,Oversold FB UL TWLO CHWY Z TXG NICE AVLR GDDY PENN DB LEN RH RDFN PVH FOXF BAND NEM BCE TDOC NET WPM CAG FSLY QDEL FLO EBS PLMR SRSOverbought SO HII YELP UDR NRG VFHMomentum DFS SYF BBIO EIDX BG CQP ULTA ALGT,negative
2020-12-31,OXY and UAL both lost over 3 and are Thursdays worst performing SPX stocks ETSY APA LRCX AAL LEN FTI LB PHM IFF WHR and DVN all closed down over 2 on the day trading,negative
2020-12-31,Forgot the chart Len ,negative
2020-12-31,LEN weakness since great earnings still holding next weeks 7875 12 put ratio for gap fill  gets that low i will likely flip to go 1x2 call ratio see next week expect another strong year from homebuilders ,negative
2020-12-31,HTSC EV Nickel battery play The next ABML Profile ABML TSLA IDEX SOLO ADOM MSFT AAPL APPL ELYGF ITKG GOOG NFLX PUGE DSGT CBDD CBDL EXMT INKW ZM GE GM F T KBH LEN DREM ATVK TSNP,negative
2020-12-31,Todays MortgageRefinance rates keep at historic lows  December 30 2020  XHB ITB TOL LEN KBH MTH TMHC LGIH DHI NVR PHM BLD MORT REM REML REFI DebtFree,negative
2020-12-31,Oversold on Hourly   COG  1660  to 1616 PHM  4428  to 4332 CAH  5351  to 5265 M  1211  to 1163 MDB  36733  to 35667 CVX  8559  to 8423 REAL  2061  to 1986 LEN  7848  to 7,negative
2020-12-31,Can you Afford to Buy a HomeThe Income Required to Quality for a Mortgage XHB ITB TOL LEN KBH MTH TMHC LGIH DHI NVR PHM BLD MORT REM REML,negative
2020-12-31,Highlights from the weekMA TRUE RDFN DOLto KR LEN CBRL ADP IBKR consumer housing inflation etcTUES  TUESQ updateHappy new year,positive
2020-12-31,20 DMA Support today SGRY CLW CCD LEN BDR AMWD FBNC IYJ SHY GSHD MKSI IYR OKTA IOVA ADPT SPAK CPHI PIXY HZNP CW  ,positive
2020-12-31, Trouve une ptite classe A merco doccaz pour dbuter,negative
2020-12-31,HTSC major news out today Look for a run this afternoon The nickel rush is comingATVK TSNP AMZN GOOG EBAY GM TSLA F GE T COUV CHI MINE AMD INTC ELYGF ITKG DREM KBH LEN AAL UUU IBIO IBO,positive
2020-12-31,LEN is growing strongly while it is not overvalued Listed today in our Affordable Growth screen ,positive
2020-12-31, Officiel      Merci  toi mon reuf  Trs belle rencontre de 2020 et on va tout soulever ensemble en 2021 ,positive
2020-12-31,Mortgage rates have hit record lows in 2020More analysis DataScience MachineLearning AI IoT Housing stock RMBS CMBS EQC WFC HD LOW LEN USO KSS UA GS RH HD FB VER NLSN LLY JKS AMKR JPM MS ,negative
2020-12-31, simon LeakFR      leaks       off      et aussi Jonesy la Bande darabes tu devrais rflchir  ce que tu dis franchement,negative
2020-12-31, simon LeakFR      leaks       off      nn mais att qu es ce quils ont dit raider et Jonesy  Les arabes cest des btes  que cest des putes des chlagues  des abrutis  es que on en parle de votre orthographe et vous osez parler de nous ,negative
2020-12-31,LeakFR simon       leaks       off       faites un truc svp,negative
2020-12-31,simon LeakFR       leaks       off      Mais il croit vraiment que ils vont rpondre ta vraiment besoin de tous ces gens pour te dfendre mdr et il nont rien  voir dans lhistoire ils vont penser la mme chose que moi,negative
2020-12-31, LeakFR       leaks       off      Il espre quil leur rponde,positive
2020-12-31,LeakFR simon       leaks       off      Pk tu fais sa,negative
2020-12-31,5 Momentum Stocks for Keeping Your Portfolio Warm This Chilly Winter AGCO TEL FDX PH LEN ,positive
2020-12-31,ALL NRG and LEN all having great fundamentals while not too expensive ,positive
2020-12-31,LEN is growing strongly while it is not overvalued Listed today in our Affordable Growth screen ,positive
2020-12-31,LEN is growing strongly while it is not overvalued Listed today in our Affordable Growth screen ,positive
2020-12-31,HL CEO To Announce An Open Market Share Buy Back Program To Begin ShortlyTAP NGD AGNC K CEGX I ADI LEN AR D ADM HES MET AFL GLNG,positive
2020-12-30,LEN  New trade idea Here is a beautiful breakout on a stock with two key factors favoring continuation Volume and strong earnings ,positive
2020-12-30,Oversold CVNA W CTLT GNRC PENN BAH LEN INSP GDOT PSNL CNC ROL CAG TEVA QDEL NVAX THO VIRT STMP RGR IYWOverbought RTX BKNG BAK PDD BILI TCF LX JO PPLTMomentum CPRI EIDX MSTR CLF CRC ALGT MXI PIN,negative
2020-12-30,  Je pense pas,neutral
2020-12-30,  Mais la danse on va se faire rembours ou pas ,positive
2020-12-30,Yo  je suis YouTubeur,positive
2020-12-30,  600 balles pour un danse a 5 euros ,positive
2020-12-30, Merci ,positive
2020-12-30,desor Merci ,positive
2020-12-30,  MDR je pense pas,negative
2020-12-30,G06 Nikoo23    Ta raison,positive
2020-12-30, Nikoo23    il est partie en confinement avant tout le monde,negative
2020-12-30,Nikoo23 G06    Lorthographe est o,negative
2020-12-30, Nikoo23    bien vu,positive
2020-12-30,Nikoo23 G06    Tg,neutral
2020-12-30,G06     FERMEZ VOS GUEULES DANS DE FILS DE PUTES NIQUEZ BOTRE MRE JE VOUS JURE MERDE,negative
2020-12-30, Nikoo23    MDRRRRR JVAIS PAS TCOUTER CEST TOI TU DIS PLUS RIEN,negative
2020-12-30,G06 Nikoo23    Tu ferme ta grosse geule bgEt tu dis plus rien,neutral
2020-12-30, Nikoo23    FTG FLORIN WOLA,positive
2020-12-30,G06 Nikoo23    Tg bg,positive
2020-12-30,Jai le seum  SORTE la danse je lavais achet sur eneba 10 cest pas normal cest de larnaque mme  qui  fait la boutique tout les jours il vois la danse rare il  le seum ,positive
2020-12-30,Nikoo23    calme bg,neutral
2020-12-30,G06    Tg fdp ,positive
2020-12-30,Nikoo23    Mdrrrrrr a fait depuis le 12 que y avais pas de messages vous en refaites,negative
2020-12-30,Nikoo23  G06  ,positive
2020-12-30,  G06  Tg fdp ,positive
2020-12-30, Nikoo23 G06  Il est de retour,positive
2020-12-30,Nikoo23 G06   Du calme,neutral
2020-12-30, code crateur LEN pour faire partie de la team pigeon ,positive
2020-12-30,Encore et toujours des achats avec le code de   ,positive
2020-12-30, mdr danse du bhanga dans la boutique j ai pay un tel  300 bal pour la sortir  5 bal je porte plainte,negative
2020-12-30,LEN is growing strongly while it is not overvalued Listed today in our Affordable Growth screen ,positive
2020-12-30,Not too expensive and growing strongly check out LEN now part of our affordable growth selection ,positive
2020-12-30,Top 15 Real Estate stocks with market cap over 1 billion today OPEN IPOB EXPI STOR EQIX BEKE LEN LADR TPH CIGI MAA NVR PHM XLRE INVH ,negative
2020-12-30,Stocks to watch Dec 30 thru Dec 31 pfsi xLrn tsco zg atvi tdc gpi jazz rLay Len acy tenx spy amp BIOL BIOLASE INC  stock tip BIOL ,positive
2020-12-30, RIP  qui a payer les tlphones 600 juste pour cette danse ,negative
2020-12-29, Il y en a qui ont de la chance sinon jai ador ta vido daujourdhui avec fortnite version wish ,positive
2020-12-29,100 Stocks to watch in 2021LCA LEN LUV LVS LYFT LYV MBIO MFA MGM MRO NBL NCLH NEE NIO NLY NOVS NRZ NTDOY NWL NYMT OTIS PENN PINS PK PLAY PLUG PROG PRTY PSX RCL RTX RYBIF SAVE SBUX SCHW SPCE SPG SRC SSPK STKL T TRIP TRNE UAL UBER,positive
2020-12-29,off Toi et ,negative
2020-12-29,another roll on the call calendars LEN long the jan75s still the short dec 7650s rolled to Jan08 7750s for 50 credit ,negative
2020-12-29,LEN showing strong growth but is still valued very reasonable ,positive
2020-12-29,A Look Into Consumer Cyclical Sector Value Stocks CNNE MHO MIK CCS LEN ,positive
2020-12-29,House Passes 2000 Direct Payments But Senate Approval Seen Tougher GS LEN DHI KBH BA ,negative
2020-12-29,LEN showing up in our top affordable growth selection ,positive
2020-12-29,LEN positive mention by Keefe Bruyette INVO Roth Capital initiation and AMGN Daiwa initiation  ,positive
2020-12-29,LEN ,neutral
2020-12-29,Not too expensive and growing strongly check out LEN now part of our affordable growth selection ,positive
2020-12-29,Top 15 Real Estate stocks with market cap over 1 billion in 5 days JOE SAFE CSGP O INVH MFA NRZ BRX NLY CLNY MAA XLRE CIGI LEN GLPI ,positive
2020-12-29,Top 15 Real Estate stocks with market cap over 1 billion today CSGP TPH JOE NMRK LEN LGIH NLY O SPG XLRE REG INVH UDR BRX GNL ,positive
2020-12-28,15 yooooo              fn,positive
2020-12-28,LEN showing up in our top affordable growth selection ,positive
2020-12-28,LEN ,neutral
2020-12-28,The SampP500 once again closed at an all time high closing up 87 with 60 of stocks in the index closing higher and led by FB LYV ULTA ROSTS NCLH AMZN CCL DXC AAPL CTAS TopLaggards ETSY WHR LEN HOLX ROL FBHS CTVA WMB COG URI ,positive
2020-12-28, lpoque du fameux casque tritton rouge,positive
2020-12-28,Amine   Lol ,positive
2020-12-28, Je passerais toute la game  tout revoir,positive
2020-12-28,HTSC BUY THE DIP The company pulled 35 nickel sulphide out of the ground Geophysicist is putting drilling targets together right now The nickel rush is comingTSLA GM F ATVK TSNP CBDD ITKG ELYGF KBH LEN WYNN LVS SANP INKW CANB AMZN MSFT APRN RIOT MARA,positive
2020-12-28, YT  Ques tu dit cest sa nouvelle maison  Miami,positive
2020-12-28,Ever eat a big dick on calls because you overslept and gave away half of your gains from last week Enjoy your bull run today guys Ill be killin it from the fetal position  BABA LEN FDX ,negative
2020-12-28,LEN bucking the tape today still would like to tag the 50 day first and then do a short put sale still holding the jan08 7875 1x2 put ratio for a gap fill ,negative
2020-12-28,LEN open interest for maturity 12312020 High put6000 High call7650 PutCallRatio037 maxpain options  ,negative
2020-12-28,LEN disagrees w bonds,negative
2020-12-28,Best and worst performing SampP 500 stocks so far todayBest1 DXC2 ULTA3 Norwegian NCLH4 Live Nation LYV5 Carnival CCL6 Xerox XRXWorst1 ETSY2 Rollins ROL3 Whirlpool WHR4 Cabot COG5 Lennar LEN6 Corteva CTVA,negative
2020-12-28,LEN closed the weekly short 82 calls at 20  near 85 of max profit  redeploy on move over 80 ,positive
2020-12-28,LEN is growing strongly while it is not overvalued Listed today in our Affordable Growth screen ,positive
2020-12-28,  A lancienne tu mas rappel de lunfollow,positive
2020-12-28,  tu parles mais tes abonne,positive
2020-12-28, Zebi,negative
2020-12-28,  Haha,positive
2020-12-28,  C la villa de son daron,negative
2020-12-28,YT  Tu suis r c la villa de son daron,negative
2020-12-28, Bonne journe  toi papa pigeon continue comme sa ,positive
2020-12-28, On dirait la villa o Nextaz et 2 autre bonhommes sont aller cette t pour tourner des vidos  jai raison,negative
2020-12-28, Ptn etre cancer sur fortnite sa payee,negative
2020-12-28, Ahhh lbatarddd  bonne vacances frrot profite ,positive
2020-12-28, Je suis jaloux ,negative
2020-12-28, Oui,positive
2020-12-28, 20 degres,neutral
2020-12-28, Tas une villa maintenant bien jou,positive
2020-12-28,  mdrrrr,negative
2020-12-28,G06  C la maison de la kcorp,positive
2020-12-28, Mais il a trop de chance ,positive
2020-12-28,loris   Mdr tu coco a vie par cur,positive
2020-12-28, Toi aussi,positive
2020-12-28, A le batard,negative
2020-12-28,  Lisbonne Portugal,neutral
2020-12-28, on dirait la villa ou t nextaz ,positive
2020-12-28,  on est tous daccord MDRR,positive
2020-12-28, tes bien mdr,positive
2020-12-28, On est en hiver je te rappelle la piscine en hiver tu peux oublier ,negative
2020-12-28, il fait 20 degrs la mdrr,negative
2020-12-28, a me dis quelque chose,negative
2020-12-28, MERCI  MAIS ON A PAS TOUS UNE PISCINE CHEZ SOI ,positive
2020-12-28, Passe de bonnes vacances,positive
2020-12-28, Bonne journe ,positive
2020-12-28, Merci toi aussi,positive
2020-12-28, Starf bonne journe bg,positive
2020-12-28, La CHAAAANCE,negative
2020-12-28, Bonne journe ,positive
2020-12-28, ahaha a date,positive
2020-12-28,Les gars pour acheter tous ce qu il y a dans la boutique n oubliez pas le code crateur LEN  le boss,positive
2020-12-28, yo,negative
2020-12-28,LEN Dec11 725 Puts up 3301  Alerted at 103  on Dec  8 2020  104PM Peak after alert 137 on 20201209  Daily Progress  ,positive
2020-12-28,Great fundamentals for WW KL and LEN while not overvalued ,positive
2020-12-28,LEN Dec18 75 Puts up 6552  Alerted at 290  on Nov 30 2020 1249PM Peak after alert 480 on 20201202  Daily Progress  ,positive
2020-12-28,Peak profit for the last 6 expired option alerts for LEN 9545  9000  526  6552  2195  1800     ,positive
2020-12-28,LEN  OptionsTrading  Monthly performance of the algo based option alerts posted for LEN ,positive
2020-12-28,LEN  Last six months 28 option alerts peaked above 100 after they were triggered by the algo   ,positive
2020-12-28,LEN  View historical options performance for LEN  ,positive
2020-12-28,LEN showing up in our top affordable growth selection ,positive
2020-12-28,Strong fundamentals at cheap prices LEN and others in Decent Value screen ,positive
2020-12-28,Thurs 122420 highest  above the opening 30min high GL  in final 30Min amp Trading range  Min 5 Vol 750K Opt Vol in any strike 500 ENDP IPOC RMG NLTX ZUO VFF FLY FLNT PRPL FIS CLSK IQ GSX LCA LEN FUV PRTS VIPS SABR PDD TSLA STPK INTC FLIR HL ,positive
2020-12-28,20201227next week pickup pred  realEXPI 7863ARRY 4418GRWG 4129ZM 37517LEN 8043HUYA 1891IEA 1777AVLR 18051TPL 6924436 3285this week resultQQQ 03VOO 04ARKK 45PickupPF 04MyPF 14MyPF2020 705nocchiIRR   283 ,positive
