Date,Text_clean,Sentiment
2020-12-31,kotecha AAPL 592AMZN 396GOOG 379MELI 328QCOM 322NVDA 311CRWD 301BRKB 295MMM 281LMND 269,negative
2020-12-31,     Biggest risk in 2021 is that APT gets acquired by MMM or MSA below 20,negative
2020-12-31,MMM Rising Price and VolumeDaily appearances since 2010 144Close 5 days later Avg 031SD 384Worst 2692Best 98610 days laterAvg 028SD 642Worst 3342Best 110830 days laterAvg 024SD 928Worst 5789Best 2139,negative
2020-12-31, DIS I was able to catch it when it was around 100105UBER DKNG BA AAPL CRM DBX BAC FUBO NIO WDC JNJ MMM BABA LMND PYPL VRM,positive
2020-12-31,Worst performing Dow Jones stocks of 2020Boeing BA 34Walgreens WBA 33Chevron CVX 29Intel INTC 19Merck MRK 11JPMorgan JPM 10Cisco CSCO 73IBM 72Amgen AMGN 6Verizon VZ 5American Express AXP 4CocaCola KO 23M MMM 1DOW 1,negative
2020-12-31,SWAY OUT KEYSMMMBAM IT YELP OUT A SNOW,negative
2020-12-31,20 DMA Support today OMAB PSMG MITO WYNN ROOT ABG MMM AIZN UDEC ACAD KAI EGLE FEX SRLP LAWS IRBT GSBC GGAL  ,positive
2020-12-31,Today Top Flow in industrial sector Buy Flow amp Sell Flow BA UNP LMT LUV DE HON ROP UPS CMI CTAS DHR GE ETN EMR GD MMM NSC KSU GWW DAL stock stocks StockMarket Investment investing  ,positive
2020-12-31,DOW JONES INDUSTRIAL AVERAGES MOVERSGAINERSINTCGSAXPDOWJPMCATUNHMCDTRVHONIBMMMMDECLINERSBACVXCRMAAPLWMTMSFTVNKECSCOHDWBAPG,negative
2020-12-31,  Yield 338 is still pretty good historically speakingOne of the positions Ive increased the most this yearThank you  for your coverage of MMM  And happy new year ,positive
2020-12-31,Mi ao burstil en un tweet Resumen de 2020Entradas AMT BAM BRK GRLS PFE SPOTSalidas BASF BAB CAH FGA URW Aumento posicin MMM BABA BAYN BATS BDX DIS JNJ MO MSFT ,positive
2020-12-31, Bought more MMM today Happy New Year Disclosure I am long MMM,positive
2020-12-31,To close out 2020 true to my strategy I bought more  at 17379 147417379338 starting dividend yield 17379948 2021 EPS Est1833 2021 Forward PE Market makers are working hard on New Years Eve  so Im trading Disc Im long MMM,positive
2020-12-31,MU  Hourly Dec312020 AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS ,negative
2020-12-31,MU  Hourly Dec302020  AAPL GOOGL AMZN PYPL SQ CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U JD BIDU DIS ,negative
2020-12-31,Con el sistema toronto hemos entrado en NFLX en 52787 y hemos actualizado stopsKO comprado en 5439 y stop en 5427JNJ comprado en 15261 y stop en 15563y seguimos dentro todava sin stop en PFE MMM TWTR GS y NKE,positive
2020-12-31,MMM  not sure if this is a bad tick  but if we open where it is  a great buy into 2021 A great buy regardless Look March 180s,negative
2020-12-31,Good Morning Wish you a Profitable day Last trading day of Decadewatchlist DIS LMND IPOC CCEP GPS MMM ZM HD MSFT AMZN AAPL BABA TSLA BIDU ZM  NFLX GOOG FB SPX SPYjobless claims unexpectedly dip to 787KTSLA aiming 700 to close out 2020 GOOD LUCK ,positive
2020-12-31,s account is temporarily unavailable because it violates the Twitter Media Policy Learn more,positive
2020-12-31,737MAX Flight Flights TakeOff Aviation Aircraft Airport Airline Grounding Flying YearEndSale YearEnd2020 Holidays HolidaySeason Holidays2020 DIA DIS ALGT ALK AXP CCL CPA CUK MAR MGM CAT RCL TPOR UBER MMM WYNN EADSF EADSY,positive
2020-12-31,3M Company Shares Near 52Week High  Market Mover  MMM stockmarket kwhenfinance,positive
2020-12-31,ADS ARE FOR MENMMM I AM FOR A TIMEEEP,neutral
2020-12-31,,negative
2020-12-31,MMM HE BIT TEN MEN AGOFLOW AT DATAEEP IM MR KIM,negative
2020-12-31, MMM,negative
2020-12-31, ff,negative
2020-12-31,MMM HE ACE MR BOXBIT MR DANYUM,positive
2020-12-31,PBF To Receive Upfront Cash Payment Following Merger amp Acquisition Talks In Denver PR ComingPNTV SYY AU AEP MMM VMW IBRC SIG OPK DISH TAL TGNA,positive
2020-12-31,NXTD BOUNCING AFTERHOURS Adding heavy hereLOW TWTR LLY ABMD RHT MCD TTWO UTX CL DWDP PEP PYPL CELG COST TE MMM ETE SLB ASML PNC CVSBABA MGM LVS CHK ACB HMNY SQ VALE TE PSSI JD BZUN TSM HD FNMA DRYS AMD CAT EBAY IBM GDX LVS V C ,negative
2020-12-30,Large Print MMM Size 237834 Price 17411 Time 1830 Amount 4140927774,positive
2020-12-30,MMM I BIT FOR MENBAM MEN ARE FOR A BIDMMM IM ONE,positive
2020-12-30,Trade for December 30 2020 RANGE BOUND MMM ,negative
2020-12-30,MMM  3Ms analyst expectations for GAAP EPS Forward Growth are low in the past this led to a increase in price  ,negative
2020-12-30,MMM Below Avg VolumeDaily appearances since 2010 154Close 5 days later Avg 011SD 466Worst 2833Best 194110 days laterAvg 045SD 647Worst 3550Best 179030 days laterAvg 010SD 1316Worst 5425Best 2819,negative
2020-12-30,JD  HourlyClose to hit the target AAPL GOOGL AMZN PYPL SQ MU CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD U ,positive
2020-12-30,PMPG their competition VIOLATES their patents you know what that means Royaltieslicensing fees from INTC MMM and the other 3 of which I dont know the ticker symbols  ,negative
2020-12-30,MMM still uptrending,positive
2020-12-30,JD  Hourly  AAPL GOOGL AMZN PYPL SQ MU CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD JD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD KO ,negative
2020-12-30,MMMIT EFF TWO KEYS OUT KEYSI AM OUT MEN,negative
2020-12-30,How well has the DogsOfTheDow strategy performed in 2020 Not wellHere are the percentagesDOW  93 PFE55 MMM16 KO17 VZ524 IBM699 CSCO714 CVX2919 WBA3327 XOM403No Dogs out performed the Dow Jones average which is up 665 for 2020 ,negative
2020-12-30,A GUTMMMDATA ARE HD,positive
2020-12-30,MMM Implied Volatility expiration 12312020 maxpain options  ,negative
2020-12-30,Options Flow Stream Update AMZN TSLA MSFT BILL MMM IWD SPY SPX OptionsTrading OptionsFlow optionstrade optiontrading stock stocks StockMarket Investment investing invest investor investors UOA  ,positive
2020-12-30,Today Top Flow in industrial sector Buy Flow amp Sell Flow GE LUV DAL KSU MMM ETN PNR ITW EMR TXT BA UNP LMT FDX UPS ROP GWW WM SWK DHR  stock stocks StockMarket Investment investing  ,positive
2020-12-30, Diciembree 2020 INGRESOS PASIVOS ENBJNJCVXOMMMMAPVISENGTROWMINTOSLENDER Seguimos andando el camino,negative
2020-12-30,Very simple  when   amp its promoters embellish amp tease  serious investors move on  MMM amp  HON  may soon have to  distance themselves from opti Remember when the pumpers were insinuating that the false  TGT amp WMT PR could be real How did that work out  ,negative
2020-12-30, TRIPPLM C HUSA GLD CUK BNGO JDST MMM ENPH RUN CLF TWLO RWTFCAU LLNW NAT GME CRWD APLE UAA EADSY PRTY TMUS ZYNE WM NTEC CRSP X WYNN HLX SPG SFIX GSAT WPX TEVABOXL AYTU APA MO SPYD GERN AXP BNTX TSM ABT,positive
2020-12-30,BAMDATA ARE EMOMMM,negative
2020-12-30,Aal Mmm,negative
2020-12-30,3M Company Shares Approach 52Week High  Market Mover  MMM stockmarket kwhenfinance,positive
2020-12-30,General Electrics Unit to Supply Wind Turbine in Vietnam HON MMM GE DHR ,neutral
2020-12-30,3M inks patent license agreements for metal mesh technology MMM ,positive
2020-12-30, Empresas de dividendos con las que dormir tranquilo 1 JNJ Johnson amp Johnson2 PG ProcterampGamble3 MMM 3M4 CL ColgatePalmolive5 NESN Nestl,positive
2020-12-30,MMMSTAY ERAIT EARN MS JOY TEN SEAS AGO,positive
2020-12-30,SEE MR RADHE FLOW ALL HUBS AGOMMM HE SWAY MY ICE,negative
2020-12-30,MMM not bad risk to reward ,positive
2020-12-30,IM OUT A MANYUM IT PAY USAMMM,negative
2020-12-30,    My picks are  O PSEC IBM MMM MCD SCM,positive
2020-12-29,OPEN10OZON SHOP SNOWPFMMM  FSLY ,neutral
2020-12-29,Large Print MMM Size 176306 Price 17385 Time 1830 Amount 3065079810,positive
2020-12-29,Trade for December 29 2020 RANGE BOUND MMM ,negative
2020-12-29,MMM Below Avg VolumeDaily appearances since 2010 153Close 5 days later Avg 012SD 467Worst 2833Best 194110 days laterAvg 045SD 647Worst 3550Best 179030 days laterAvg 010SD 1316Worst 5425Best 2819,negative
2020-12-29,  Another confirmation of continued demand for APT and LAKE Looking for these stocks to double in earnings or getting acquired by MSA or MMM,positive
2020-12-29,20 DMA Support today SJW CL CPSS DLY MMM XFOR KNL  ,positive
2020-12-29,JD  Hourly     AAPL GOOGL AMZN PYPL SQ MU CRM FB AMD REGN NVDA NFLX X BA BABA MMM CSCO HD JD KO LLY LOW PG TSCO RH EDU VEEV LRCX ADSK WDAY ATVI MSFT QQQ SPX SPY AAL UAL UNH SEDG SMH GE QCOM OLED ULTA COST WMT MCD KO ,negative
2020-12-29, En un barrido rapido saque estos  ADP ALK AVGO CHGG DAL EL IBM MMM ORCL UPS WMT XOM pero puede que mi ojo me engae,negative
2020-12-29,Stocks to watch Dec 29 thru Dec 31 thbr baba acy uuu qqq vvv mmm gevo ocgn nio tsla rmg pltr amp BIOL BIOLASE INC ,positive
2020-12-29,Oversold on Hourly   MO  4180  to 4111 TXT  4814  to 4723 MMM  17564  to 17402 INCY  8744  to 8604 DPZ  40362  to 38269 AZO  119857  to 118370 F  896  to 885 PYPL  23695,negative
2020-12-29,Better Buy GE vs 3M  stocks MMM GE ,positive
2020-12-29,Stocks to watch Dec 29 thru Dec 31 ttd ngd isrg virt shw jpm rjf blk bx snow spy qqq vvv uuu mmm amp BIOL BIOLASE INC  stock tip BIOL 100,negative
2020-12-29,  Myself  Bought RedHat in 1995 sold mid 2000s Bought MMM around early 2000s sold around 2010ish Bought AMZN at 375 converted to TSLA just this year,negative
2020-12-29,The Most Important Lesson of 2020 Patience  stocks CVX MMM investing patience money ,positive
2020-12-29,MMM  Ready to make a big buy here on another bought if SPY weakness this week StickyOnWall,positive
2020-12-29,GEStill waiting on this one to breakoutMMMBAAAL ,positive
