Date,Text_clean,Sentiment
2020-12-31,naccarato  I planned to get very long on BMY but I suspect the taint of BMYRT will hang over it and distract management for the foreseeable future Im swapping half my shares into MRK,negative
2020-12-31,Scan results  MACD Bullish Centerline Cross today FUTU KRA BKH MOH UL QTS ABT MRK MCK NWE DLR ANTM DKS EQR CUB  ,negative
2020-12-31,Q4 TransactionsAddAAXN ADSK APPN BAC DIS DOCU FSLY MA NVDA OLLI PINS SLP SPCE SQ TEAM TCEHY TDOC TTD ZM DripAAPL BAC CTRE MA MRK NTDOY NVDA SLP SBUX TGT XLNXStartedACUIF KHOTF KNSL U YSACExitedCGC LYFT,positive
2020-12-31,Bonds Offer Slim Pickings for YieldHungry Investors 12 Places to Look Instead CVX VZ MRK MMP EPD ,positive
2020-12-31, APTO which is an oncology play working on treatment whose closest comp was from ARQL that was bought by MRK last year for 2B this drug could be better  APTO current market cap 400mm potential catalysts in 1H with their drug trials has already been derisked imo,negative
2020-12-31,Worst performing Mega Cap stocks of 2020T 27BAC 18MRK 11JPM 10VZ 5KO 1PFE 1NVS 035 ,negative
2020-12-31,MRK Below Avg VolumeDaily appearances since 2010 134Close 5 days later Avg 026SD 148Worst 374Best 57910 days laterAvg 029SD 210Worst 565Best 57930 days laterAvg 011SD 404Worst 1023Best 825,neutral
2020-12-31,  Lol fools dont understand MRK ampAZN are known for cherry picking patients populations for studies and great marketing the drugs Just wait until  or  acquired  amp dominates PARP market Clvs ceo is dummy and incompetent to market the drug,negative
2020-12-31,oshag              Ken Frazier MRK,negative
2020-12-31,God damnit knew 82 dollar mrk calls were due up over 100 today ,negative
2020-12-31,IMMP 5  eftiKeytruda combo data  eftichemo combo data new P2 eftipaclitaxel trial via EOC Pharma expanding TACTI trial w MRK potl data from NOV amp GSK in 21 amp strong cash position to 23 IMMP looks inexpensive  current 200mm value esp considering potl MampA tgt ,positive
2020-12-31,IMMP 3 10000 patients treated see LAG3 pipeline chart below Not only could MRK  BMY be interested but IMMP has collaborations w NOV PFE MKKGY amp GSK All have PD1PDL1 assets Re recent weakness IMMP was put on REG SHO Threshold ie naked short list 1224 yet ,negative
2020-12-31,IMMP Rising potl takeout candidate w new eftiKeytruda US patent grant Combo clinical data is excellent amp improved w every update in 20 MRK comments at Evercore conf attached relevant to this as Efti combo checks all boxes mgmt mentioned improves Keytrudas efficacy ,positive
2020-12-31,Worst performing Dow Jones stocks of 2020Boeing BA 34Walgreens WBA 33Chevron CVX 29Intel INTC 19Merck MRK 11JPMorgan JPM 10Cisco CSCO 73IBM 72Amgen AMGN 6Verizon VZ 5American Express AXP 4CocaCola KO 23M MMM 1DOW 1,negative
2020-12-31,ONCS 10 PT Dawson JamesMRK BMY NKTR GWPH AFMD ADAP CYCC LPTX TRIL PIRS BLCM NTLA EDIT CRSP CLLS BLUE ZIOP SGMO NK NVAX FATE INO SRNE MRNA IONS CALA ALLO AZN GSK GILD NVS ABBV BIIB REGN LLY SNY RHHBY AMGN JNJ PFE BAYRY GLSI XBI IBB ,negative
2020-12-31, If you are a TRADER looking for a new tool     Check out  Automated Trading Strategies US marketsDataScience MachineLearning InvestingPG MRK MYL VRX VRTX BIIB BMY JNJ CELG AKRX REGN JNJ PFE GSK LLY ,positive
2020-12-31,2020 gains No private discord No mentorshipNo paid services Never invested more than 10 in a single company Diversified portfolio Long on MSFT CRM  NIO PLTR KPTI MRK KRTX CRWD AAPL APHA  KO ,neutral
2020-12-31,We have created a geneticallyrepresentative syngeneic immunocompetent murine model of H33G34R GBM where DCV is effectively increasing survival nwbo dcvax glioblastoma cancer vaccine mrk bmy rhhby ,positive
2020-12-31,2021 going to be bang bang  on BioTech KPTI MRK LMNL AUPH HZNPKRTX ,positive
2020-12-31,Corcept Up More Than 50 in Past 3 Months Heres Why PFE MRK BMY CORT ,negative
2020-12-31,ARQL these guys got a buyout for 27 BILLlion MRKCYCC Valuation is 12 MILLlionJust sayinCYCC  ,positive
2020-12-31,INO green today i think we see funding news from US DOD and CEPI shortly MRNA NVAX GILD PFE MRK AZN JNJ SRNE IBIO REGN TMO AMGN KODK CODX BNTX,positive
2020-12-31,UAPC OVERSOLD MARIJUANA STOCK about to take offACB APHA CRON TRTC CANN GWPH MCIG MJNA AMMJ GRNH CARA CANA CGRW CBDS CLSH CODI CVSI DIGP  MDCL MNTR MJNE MYDX NMUS NTRR NHLE NDEV OXIS PRRE RMHB SPRWF SRNA TLRY CAT TSLA GS MGM JNJ PFE MRK ,negative
2020-12-31,SGTM  Mulch Manufacturing sells 27 products from their new Shopify store  MRK REGN MRNA PFE ABT CODX LMNX  TMO IFRX MESO LIFE NVAX CYDY GSK SNY VXRT NNVC COCP VIR CTSO NBIO BSGM HTBX HEXO TGODF GILD REGN MRNA PFE ABT ,positive
2020-12-31,RDGL VIVOS INC OTCQB  ABBV ROG BIIB PFE JNJ LLY GSK MRK SAN AZN BMS RHHBY GILD NOVN NVS EUZ EKTAY ISR VAR ZTS ELAN ,negative
2020-12-31,mainstream talking heads are now realizing Vaccines are not the answer just yet   FDA    COVID THERAPY SEASON IS BEGINNING SEVERECRITICAL LENZILUMAB  HGENCD24Fc  MRK ,negative
2020-12-31,Los rendimientos de los activos que recomende el 2112SAP 478GOOG 04AXP 279T 176COST 284MRK 196WMT 067FDX 455LMT 104Rentabilidad total de la semana 075Otra semana positiva adentrocedears Argentina Inversiones,positive
2020-12-31,SGTM Hires Law Firm to Assist with Uplist to the Nasdaq  JNJ MRK GILD REGN MRNA PFE ABT NVAX CYDY GSK SNY MRK INO VXRT NNVC COCP VIR CTSO BIXT NBIO ARYC BSGM HTBX HEXO BIG UPLD CLDX FHL RARX DRIP CBB TPRE ATHN LPNT SAFM ,positive
2020-12-31,Weak stocks  watchlist for trading on  Dec 31 2020 QQQ SPY IWM success trading options stock investing GILD ED MRK KMB VMW AMT BIIB NOC LMT ,negative
2020-12-31,Stephen Guilfoyle Silent Tears Market Recon MustRead  AAPL MSFT NKE CRM DIS BA WBA CVX INTC MRK CVS XOM  Market Malaise Thoughts on DC Soar With The Eagles Dogs Of The Dow Bold Predictions For 2021  via ,negative
2020-12-31,ENZCHuge Catalysts Lined Up 2021Mgmt team making GREAT moveswill significantly enhance the equity position of the CompanyMUST READTSLA AAPL AMZN TSNP CELZ ALPP GLSI LLY REGN PFE MRK GILD BMS JNJ AZN IBIO INO NIO NVAX AI ,positive
2020-12-31,Silent Tears My DC Solution Dogs and Leaders of the Dow 2021 Predictions AAPL MSFT NKE CRM DIS BA WBA CVX INTC MRK CVS XOM SPX COMP  via ,negative
2020-12-31, MRK 2039B  JNJ 4108BCART cell Gene therapy Oncology   NVS 2134B BMY 1399B REGN 510B RPRX 309B,negative
2020-12-31,It was a year to remember for all the wrong reasons Investors get a day off on New Years but not on Thursday GOOG AAPL KO MRK GS ,negative
2020-12-31,Is the Stock Market Closed  Here Are the Hours for New Years Eve and Day GOOG AAPL KO MRK GS ,negative
2020-12-31,Market Briefing For Thursday Dec 31 SRNE TSLA LPTH Also AZN F MRK PFE REGN SPX BTCX ,positive
2020-12-31,MRKs ROE of 3935 is amongst the best returns of the industry  ,positive
2020-12-31,HPQ To Announce New Non Toxic Shareholder Friendly Line of Credit From Wells Fargo WFCMRK LYG USB EBIO MZEI,positive
2020-12-31,MRK Share Price To Rise Announcement Of Joint Venture With MNKDEXEL SREpA RCL SPG CERN MULE RARS BIPH ROST OCLR ACN MYO NAP,positive
2020-12-31,NXTD BOUNCING AFTERHOURS Adding heavy hereIBIO VIR GILD APT LAKE RTTR COCP IONS GBT XON CRSP EDIT NTLA PBYI BMRN TSRO CELG BLUE ALKS ALNY JNJ BIIB AMGN SGMO ONCE ENDP LCI OSUR PODD TNDM BIO EW MRK AYTU INO AIM SPEX TSLA AMC ,positive
2020-12-30,Easiest bet Ive taken this year is MRK 8 EBITDA growth for 5 years based on Keytruda animal health amp powerful pipeline Januvia expiring in 2022 could be a small setback Discount low because of low WACC More buybacks to come ,positive
2020-12-30,Scan results  Bearish Engulfing today TSLX CHTR AMZN MRK NLSN AEO MFC BAX TIMB  ,negative
2020-12-30,Large Print MRK Size 127516 Price 8059 Time 1717 Amount 1027651444,positive
2020-12-30,MRK Bearish EngulfingDaily appearances since 2010 101Close 5 days later Avg 001SD 145Worst 869Best 31410 days laterAvg 008SD 194Worst 752Best 58030 days laterAvg 064SD 302Worst 884Best 621,negative
2020-12-30,MRK Below Avg VolumeDaily appearances since 2010 133Close 5 days later Avg 025SD 148Worst 374Best 57910 days laterAvg 029SD 210Worst 565Best 57930 days laterAvg 011SD 404Worst 1023Best 825,neutral
2020-12-30, SRRK Yup And anybody with a PD1PDL1 if TGFbeta works AZN PFE RHHBY not MRK BMY since they already bought out theirs,positive
2020-12-30,SGTM  Mulch Manufacturing sells 27 products from their new Shopify store  MRK REGN MRNA PFE ABT CODX LMNX  TMO IFRX MESO LIFE NVAX CYDY GSK SNY VXRT NNVC COCP VIR CTSO NBIO BSGM HTBX HEXO TGODF GILD REGN MRNA PFE ABT ,positive
2020-12-30,ONCS 10 PT Dawson JamesMRK BMY NKTR GWPH AFMD ADAP CYCC LPTX TRIL PIRS BLCM NTLA EDIT CRSP CLLS BLUE ZIOP SGMO NK NVAX FATE INO SRNE MRNA IONS CALA ALLO AZN GSK GILD NVS ABBV BIIB REGN LLY SNY RHHBY AMGN JNJ PFE BAYRY GLSI XBI IBB ,negative
2020-12-30,Largest CALL OI decreases F AGNC MU PYPL MRVL PBR KSS MRK NLY VALE AUY KSS NTR AUY USB MDLZ WKHS AAPL BABA  trading learntotrade stocks stockstowatch daytrading scalptrading optionstrading swingtrading fintwit StockMarket money ,negative
2020-12-30,Largest CALL OI increases F NGHC SIRI PBI AR IVR MSFT MU AAPL NIO SNAP CSCO DD FLEX KSS AA MRK TSLA  trading learntotrade stocks stockstowatch daytrading scalptrading optionstrading swingtrading fintwit StockMarket money ,positive
2020-12-30,  You are invited to test drive TradeIdeas PREMIUM features for 2 weeksvia  ESF SPY SPX QQQ VIX TSLA TSLAQ NVAX AMZN PG MRK MYL VRX VRTX BIIB BMY JNJ CELG AKRX REGN JNJ PFE ,positive
2020-12-30,TKOI OVERSOLD microscopic float big money loadingRDUS UTHR PTLA ALDR OPK GLPG ARWR ONCS MTEM SGYP NEPT ASMB JNJ MRK AAPL GOOG INTC CLDX MSFT CMCSA PFE MU NFLX NOK XO DIS NVDA BAC AMD WMT CHK AKS VZ CTL FCX T JPM WFT NVCN BIDU HPQ P F ,negative
2020-12-30,MARKET MOVERS IN THE DOW GAINERSVCATDISDOWAXPJNJTRVGSHONKOIBMCVXLOSERSVZINTCMSFTNKEMRKAAPLPGMCDHDCRMUNHWBA,negative
2020-12-30,20 DMA Support today NOACU MRK EOI ADTX AFIB  ,positive
2020-12-30,UMAXs Home Foam specializes in Architectural Foam design Popouts for Plaster Companies Foam for Shipping Event Design Foam for Underground  Foam and Coating for Patio Companies If you can think it we can usually make it out of foam  JNJ MRK ,positive
2020-12-30,UMAX  Home Foam Corp specializes in architectural foam design products This includes columns caps bases medallions railings balconies balustrades shutters window trims and sills crown moldings and interior amp exterior moldings  JNJ MRK GILD ,positive
2020-12-30,LOAC double bottom was at 1220 with strong support on the hammer candle Very bullish with MRK backing them up and could run bigly as a low float,positive
2020-12-30,BMY MRK AZN RHHBY  ,negative
2020-12-30,UAPC OVERSOLD MARIJUANA STOCK about to take offACB APHA CRON TRTC CANN GWPH MCIG MJNA AMMJ GRNH CARA CANA CGRW CBDS CLSH CODI CVSI DIGP  MDCL MNTR MJNE MYDX NMUS NTRR NHLE NDEV OXIS PRRE RMHB SPRWF SRNA TLRY CAT TSLA GS MGM JNJ PFE MRK ,negative
2020-12-30,SGTMs subsidiary Natures Reflections manufactures its very own product line of colorant and mulch coloring machines  JNJ MRK GILD REGN MRNA PFE ABT NVAX CYDY GSK SNY MRK INO VXRT NNVC COCP VIR CTSO BIXT NBIO ARYC BSGM HTBX HEXO ,positive
2020-12-30,Assessing AstraZeneca in the Fight Against the Virus AZN PFE MRNA JNJ MRK BNTX  via ,positive
2020-12-30,This whole buythedogsoftheDow DIA thng its just not a thng If you look at recent history buying the best 5 performing stcks in a given year amp selling 5 worst performers has worked SPY AAPL MSFT XOM V MRK PFE BA CAT GS NKE CVX INTC DIS CRM  ,negative
2020-12-30,SGTM Engages Anthony LG PLLC to Initiate FORM10 Process to become Fully Reporting Uplist and assist with all SEC Legal Matters  JNJ MRK GILD REGN MRNA PFE ABT NVAX CYDY GSK SNY MRK INO VXRT NNVC COCP VIR CTSO BIXT NBIO ARYC BSGM ,positive
2020-12-30,Options Flow Grid Update MRK OptionsTrading Merck amp Co Shares 029 to 8165 OptionsFlow stocks stock StockMarket investing Investment healthcare  ,positive
2020-12-30,INO Someone loaded up huge calls in Feb hearing Inovio is applying for emergency use authorization for glioblastoma rumor is last week January week 2 FebMRNA NVAX PFE BNTX JNJ MRK AZN SRNE IBIO REGN AMGN ALT CODX AIM VRTX AQMS FUBO IPOC AMCI EQOS ,positive
2020-12-30,LOAC low float SPAC will soon fly when massive volume wakes up to it MRK backed biotech covid vaccine stock plenty of upside Merger in Q1 before March 7th 4D DDDD ,positive
2020-12-30,PCTL PCT LTD Reports Installations of Annihilyzer Hospital Equipment and Provides Update on Current Share Structure   MDCL MNTR MJNE MYDX NMUS NTRR NHLE NDEV OXIS PRRE RMHB SPRWF SRNA TLRY TSLA GS MGM JNJ PFE MRK ,positive
2020-12-30,Markets open Keep your  onMRK COST GILD CAT PM UPS ,positive
2020-12-30, Cirmtuzumab is monoclonal antibody targeting ROR1 Combo therapies with ibrutinib for CLL and MLL and paclitaxel for metastatic breast cancer VelosBio spun out of ONCT with same UCSD licensed IP although uses different toxin on targets Velos acquired by MRK 275 billion,negative
2020-12-30,Merck and AstraZenecas Cancer Drug Wins 3 New Approvals in Japan  stocks MRK AZN ,positive
2020-12-30,Dont forget  DM has a deal with the Department of Defense ARMY tsla sbe cmps ciic htoo thcb rmg xl goev abnb fcel f bmwyy abt mrk amzn qs nbac lazr snow mp nkla ride vldr fsr sklz btc ,positive
2020-12-30,SGTM plans to Uplist to the Nasdaq in 2021 JNJ MRK GILD REGN MRNA PFE ABT NVAX CYDY GSK SNY MRK INO VXRT NNVC COCP VIR CTSO BIXT NBIO ARYC BSGM HTBX HEXO BIG UPLD CLDX FHL RARX DRIP NGHC CHRS ORBC CYOU CBB TPRE ATHN ,positive
2020-12-30, Long MRK,positive
2020-12-30,Stocks with cheaper options low IVIV percentile watchlist for Dec 30 2020 QQQ SPY IWM success trading options stock MDLZ VZ SO ORCL ED MRK CL PG PEP DG ,negative
2020-12-30,Weak stocks  watchlist for trading on Dec 30 2020 QQQ SPY IWM success trading options stock investing GILD ED MRK KMB AMT BIIB NOC LMT ,negative
2020-12-30,LOAC The secondgen Covid19 stocks offering explosive opportunities 4D Pharma  Value the MarketsNVIV BNGO BIOL NOVN OCGN JNJ PFE AZN MRK COCP ,positive
2020-12-30,AntiPDL1 drugs with US accelerated approval and failed confirmatory trials Missing any here MRK RHHBY AZN BMY ,negative
2020-12-30,FRSBIGFUND trading system  trading investing CRK WMT PFE MAT CSCO BREW MRK NKE VZ DIS NTE,negative
2020-12-30,I think this makes BMY Opdivo the first antiPDL1 to have an indication pulled from the market though RHHBY amp MRK did have their urothelial labels narrowed,positive
2020-12-30,BMY pulls Opdivo in SCLC Makes sense given failed confirmatory trials and availability of MRK 3L and RHHBY 1L ,positive
2020-12-30,AstraZenecas Lynparza Approved in Japan for 3 Cancers AZN RHHBY PFE MRK ,positive
2020-12-30, Agree Im in SESN for long time people should do some draw downs and understand what we have here this is a treatment that is the game changer in the bladdercancer worldthe Vicineum is going to replace the Keytruda of MRK we are talking about 30 sahre price minimum GLTA,positive
2020-12-30,Multiply your wealth with Profectus Systems GRMN WBA MRK TTWO ATVI QID Z CRM ADM TIF LVMUY VLKAY DB CS,positive
2020-12-30, mrk,negative
2020-12-30,SPY Support and Resistance Pivots for Wed 123020MO TEAM TGTMRNA AMTD LYFTMRK PG BYND INTC V T UNHstocks pivots markets daytrading watchlist charts IBB ATHS spx spx spy mo team tgt mrna amtd lyft mrk pg bynd intc v t Unh ,positive
2020-12-30,Our chance to peer into Sarges own Healthcare portfolio as Stephen Guilfoyle discusses the sector and healthcare names he likes for 2021  Guilfolio XLV PFE BNTX MRNA NVAX VXRT JNJ MRK BMY ABBV ABT CVS TDOC MCK AAPL ,positive
2020-12-30, GOOD QUESTION   Why are you paying to be in a Trading RoomFREE Trading Room via  SPY FB TWTR TradeIdeas HollyAIPG MRK MYL VRX VRTX BIIB BMY JNJ CELG AKRX REGN JNJ PFE GSK ,positive
2020-12-30,JNJ MRK GILD REGN MRNA PFE ABT CODX BRTX stockmarket stock stocks money trading investing pennystocks ,positive
2020-12-30,MRK BMY AZN RHHBY Merck Bristol Myers AstraZeneca and Roche lose bid to expand PD1L1 reach in China ,negative
2020-12-30,JNJ MRK GILD REGN MRNA PFE ABT CODX BRTX stockmarket stock stocks money trading investing pennystocks nasdaq ,negative
2020-12-30,Top 15 Healthcare stocks with market cap over 1 billion in 5 days OLMA CDXS IRTC EAR EW HUM UNH ONEM SGRY TARO ZBH GMED MRK SNY ANTM ,positive
2020-12-30,Top 15 Healthcare stocks with market cap over 1 billion today FLGT SGRY ZBH GSK BSX TARO MRK RGEN AZN TAK BAX ALXO SNY PFE JNJ ,positive
2020-12-30,Tomrrows watchlist for NYSE NASDAQ between 80 and 90 BILI BSV EWY INFO JD MRK OLLI STNE WMS,positive
2020-12-30, Stock is up 2920 YTD How Much Higher Can It GoAll eyes are waiting for the UK trial interim results that will signal if its COVID19 vaccine is a success or a flopMRNA JNJ MRK GSK StockMarket Investment ,positive
2020-12-30,SP500 SPX mega healthcare Target Price and Potential stocks MRK PFE UNH JNJ ,positive
