Date,Text_clean,Sentiment
2020-12-31,LGEN  UKs best pension managerNEE  Renewable utility giantPLD  Premier warehouse REITSCCO  Copper giantTDOC  Leader in telehealth transitionTPIC  Global blade manufacturer ,positive
2020-12-31,tensai NEE,positive
2020-12-31,MYPF BYND 117 SQ 153 TDOC 177 GOLD  NEE 163   ,positive
2020-12-31,NEE seems to be finally ready Nice closing todayTrade this Monday if you are looking to keep it for 45 months,positive
2020-12-31,Large Print NEE Size 105529 Price 7715 Time 1658 Amount 814156235,positive
2020-12-31,Sub 2 positionssmlrcrspnetddogfvrrneetpicchggtwlonvtaptonfuboatvibyndntdoysdgrdisexas,negative
2020-12-31,Thursdays Top Flow in SampP 500 SP500 Buy Flow amp Sell Flow INTU TXN MCD ACN NEE UNP NOW FIS LRCX CME TSLA CHTR HUM SBUX ADSK CI LMT ANSS ADP CPRT stock stocks StockMarket Investment investing  ,positive
2020-12-31,Thursdays Top Flow in StockMarket Buy Flow amp Sell Flow SPY INTU TXN BLDR MCD ACN NEE UNP NOW FIS TSLA CHTR LQD BLV OKTA SE ITOT HUM EFA BABA stock stocks Investment investing  ,negative
2020-12-31,NEE getting ready for the new year ,positive
2020-12-31,Thu Dec 31stTodays BEST performing sector at the closeUtilities 16follow along here utilities investments bubbleboard stocks investingPPL AEP EIX AWK ED PEG WEC FE NEE D ,positive
2020-12-31,NEEThis is my first large cap options play Im going in on by myself so Im glad its doing ok so far Im holding Jan 775c amp Feb 80 calls  ,positive
2020-12-31, I have started a position in NEE and hope to build on it as the year progresses,positive
2020-12-31,tensai ,negative
2020-12-31,3 Top Renewable Energy Stocks to Buy for 2021  stocks TPIC SPWR NEE MAXN ,positive
2020-12-31,1231 2020 HoldingsBABA 2281LTHM  1082BIDU 1047NEE 793GE 634PLTR 526JPM 439NIO 399TWTR 375ATHM 376FB 269CRM 257TCOM 232DIS 210CURLF 207CVX 109TCNNF 185ABNB 169AXP 104,positive
2020-12-31,Today Top Flow in utilities sector Buy Flow amp Sell Flow SRE DUK AEE FE NI XEL CMS SO PEG DTE NEE PCG ED WEC PNW ETR AEP D EIX EXC stock stocks StockMarket Investment investing  ,positive
2020-12-31,Starting in 2021 we will get weekly DIV payments JAN MAR JUN OCT1 PEP2 ITW3 MKC WPC O STAG4 GOFFEB MAY AUG NOV1 T2 GD DE3 CAT O STAG4 SCHW SBUX GOFMAR JUN SEP DEC1 CMI CHD2 MSFT XOM3 MCD NEE O STAG4 UNP GOFBig step ,positive
2020-12-31,Holdings for the firm as we head into 2021 acrt nee lac blcm prpl btbt apt btwn ,negative
2020-12-31,invests Yes I use a DRIP for jpm bac and nee,neutral
2020-12-31,tensai ,negative
2020-12-31, Right there with you on JPM ABBV JNJ BAC NEE,positive
2020-12-31,Boring Boomer stocks I ownLMT BRKB JPM CAT UNH RTX BR WM NOC O UNP CB ABBV JNJ BAC BX BX STOR NEE TXN MAIN,negative
2020-12-31,2020NEE2021tensai  daiki,positive
2020-12-31,tensai 2021NEE,positive
2020-12-31,tensai ,negative
2020-12-31,tensai NEE,positive
2020-12-31,tensai 2021,positive
2020-12-31,tensai NEE,positive
2020-12-31,tensai ,negative
2020-12-31,tensai ,negative
2020-12-31,Rose Above Upper Bollinger Band today JCS AONE RIV VCLT FOF ALLE TMTS ACHV CREX DWSN NEE JTA JNK MAIN EVOP LIND ERES STBA KN LEDS  ,positive
2020-12-31,tensai ,negative
2020-12-31,tensai ,negative
2020-12-31,tensai 2021,positive
2020-12-31,2021NEE,negative
2020-12-31, Tambin Sector XLU hoy un poco mejor NEESomos CDI,positive
2020-12-31,1 Green energy  the Biden administration has already pledged their willingness to bring green energy to the forefront with Carbonfree plans and increased spending in renewables We like NEE XCEL ICLN and ACES for this play,positive
2020-12-31,a4 tensai ,negative
2020-12-31,NEE forming an excellent breakout setup pattern ,positive
2020-12-31,Finishing off 2020 BIG with my own kind of fireworks tripling my normal investments to get 2021 started off right  DIA O VNQ  HD LOW MO  ABEV BTI BUD  and KHC KO NEE  stocks investing fintech,positive
2020-12-31, FL real estate is infamous for boom and busts Are there any FL focused Reits Only 2 businesses I know well that are relatively pureplay FL are nee and trulto,negative
