Date,Text_clean,Sentiment
2020-12-31,Recent convective development in eastern South Carolina may pose an isolated windtornado risk this afternoon ,negative
2020-12-31,Powerful Pacific storm activity is producing beach hazards for much of California and a portion of Oregon  marinewx beachsafety ,negative
2020-12-31,Multiple weather hazards can be expected into the New Year The TX storm will produce widespread wintry impacts severe storms with tornado potential and heavy rain with flood potential Powerful western storms will produce heavy rainmountain snow and gusty winds ,negative
2020-12-31,Tornadoes and damaging winds are the primary severe weather hazards this NYE Be sure to have at least 2 was to receive tornado and severe thunderstorm warnings as 2020 transitions into 2021 Severe storms are forecast to move into southwestern LA this evening ,negative
2020-12-31,NWS open interest for maturity 01152021 High put1500 High call1500 PutCallRatio093 maxpain options  ,negative
2020-12-31,A storm system tracking from Texas to the Great Lakes is forecast to bring multiple weather hazards including snow freezing rain heavy rain and severe thunderstorms across portions of the central southern and eastern US into New Years Day  ,negative
2020-12-31,Tomrrows watchlist for NYSE NASDAQ between 10 and 20 LTHM M MIK MUR NEA NETE NMCO NWS ODT OI OXY PBCT PBR PBRA PCG PDM PVG QFIN RIOT SABR SU TEN TGI TGNA THBR TME TRIL TTM UAA VALE VECO VST VTRS X,positive
2020-12-30,Heavy rain in southeast Texas is causing a highly localized flash flood threat ,negative
2020-12-30,Planning your NYE celebrations and you live in the Deep South Be sure to also have 2 ways to get tornado and severe thunderstorm warnings Severe storms may produce tornadoes damaging winds and large hail NYE and into the early hours of the New Year ,negative
2020-12-30,A complex set of systems will produce heavy snow in west Texas a wintry mix from the South Plains to the Northeast heavy rain in east TX to AR and strong to severe storms in south TX In the West heavy rainmountain snow and gusty winds can be expected ,negative
2020-12-30, Its more important to have a big market in the field of crypto to get this option you must provide many opportunities for the customersWhat or which offers will you have for customer or holders of nws in the future to give even more value to the token ,positive
2020-12-30,Heavy rain and severe thunderstorms are forecast from east Texas into the midMississippi Valley In the Northwest the first of several storm systems will bring heavy rain and mountain snow,negative
2020-12-30,A storm system and trailing cold front will shift from the southern Plains to the Great Lakes overnight into Wednesday Areas of heavy snow and ice will be found from west Texas into the Great Lakes ,negative
2020-12-29,Winter weather watches warnings and advisories are in effect over many parts of the US this afternoon Check  for more information on the weather where you live ,negative
2020-12-29,One of the big hazards expected with the large vigorous storm on New Years Eve and New Years Day will be severe weather Severe thunderstorms with damaging winds and tornadoes are possible from the westcentral Gulf Coast region to the Southeast ,negative
2020-12-29,Negative sentiment on social media for NWS News Corp over the last 7 daysLearn more at  ,negative
2020-12-29,VG VREX TDC LNTH NWS This data has changed the way I trade ,positive
2020-12-28,A potent storm currently bringing locally heavy rain and heavy mountain snow in southern CA and heavy snow in the Great Basin and Rockies will become a wintry storm midweek across the Plains Snow may even spread across  western TX midweek ,negative
2020-12-28,Forecast snowfall through 7 AM EST New Years Eve morning Check your local forecast at  ,negative
2020-12-28,Severe thunderstorms will be possible across the Deep South on New Years Eve and Southeast on New Years Day Make sure to monitor the weather forecast and have your severe weather plan ready if you live in these areas  ,negative
2020-12-28, QCOM KO NWS CAT tareaSTA,negative
